,ADX
2024-06-04,4.9938
2024-06-03,4.9834
2024-05-31,4.9733
2024-05-30,4.9666
2024-05-29,4.9587
2024-05-28,4.9507
2024-05-24,4.9427
2024-05-23,4.9381
2024-05-22,4.9335
2024-05-21,4.9230
2024-05-20,4.9114
2024-05-17,4.9009
2024-05-16,4.8919
2024-05-15,4.8821
2024-05-14,4.8728
2024-05-13,4.8668
2024-05-10,4.8624
2024-05-09,4.8608
2024-05-08,4.8601
2024-05-07,4.8617
2024-05-06,4.8633
2024-05-03,4.8658
2024-05-02,4.8650
2024-05-01,4.8838
2024-04-30,4.9038
2024-04-29,4.9224
2024-04-26,4.9365
2024-04-25,4.9576
2024-04-24,4.9800
2024-04-23,5.0044
2024-04-22,5.0267
2024-04-19,5.0491
2024-04-18,5.0702
2024-04-17,5.0953
2024-04-16,5.1191
2024-04-15,5.1427
2024-04-12,5.1598
2024-04-11,5.1744
2024-04-10,5.1935
2024-04-09,5.2168
2024-04-08,5.2421
2024-04-05,5.2662
2024-04-04,5.2914
2024-04-03,5.3169
2024-04-02,5.3405
2024-04-01,5.3622
2024-03-28,5.3859
2024-03-27,5.4112
2024-03-26,5.4367
2024-03-25,5.4590
2024-03-22,5.4814
2024-03-21,5.5049
2024-03-20,5.5296
2024-03-19,5.5539
2024-03-18,5.5814
2024-03-15,5.6084
2024-03-14,5.6299
2024-03-13,5.6541
2024-03-12,5.6768
2024-03-11,5.6999
2024-03-08,5.7248
2024-03-07,5.7487
2024-03-06,5.7682
2024-03-05,5.7880
2024-03-04,5.8094
2024-03-01,5.8371
2024-02-29,5.8624
2024-02-28,5.8845
2024-02-27,5.9058
2024-02-26,5.9271
2024-02-23,5.9504
2024-02-22,5.9713
2024-02-21,5.9919
2024-02-20,6.0158
2024-02-16,6.0404
2024-02-15,6.0626
2024-02-14,6.0855
2024-02-13,6.1068
2024-02-12,6.1266
2024-02-09,6.1414
2024-02-08,6.1545
2024-02-07,6.1686
2024-02-06,6.1808
2024-02-05,6.1956
2024-02-02,6.2105
2024-02-01,6.2283
2024-01-31,6.2391
2024-01-30,6.2492
2024-01-29,6.2544
2024-01-26,6.2563
2024-01-25,6.2544
2024-01-24,6.2506
2024-01-23,6.2448
2024-01-22,6.2399
2024-01-19,6.2355
2024-01-18,6.2358
2024-01-17,6.2401
2024-01-16,6.2534
2024-01-12,6.2658
2024-01-11,6.2715
2024-01-10,6.2771
2024-01-09,6.2838
2024-01-08,6.2923
2024-01-05,6.3008
2024-01-04,6.3135
2024-01-03,6.3252
2024-01-02,6.3328
2023-12-29,6.3398
2023-12-28,6.3341
2023-12-27,6.3260
2023-12-26,6.3195
2023-12-22,6.3101
2023-12-21,6.3004
2023-12-20,6.2897
2023-12-19,6.2768
2023-12-18,6.2621
2023-12-15,6.2478
2023-12-14,6.2290
2023-12-13,6.2102
2023-12-12,6.1934
2023-12-11,6.1811
2023-12-08,6.1704
2023-12-07,6.1560
2023-12-06,6.1429
2023-12-05,6.1300
2023-12-04,6.1176
2023-12-01,6.1112
2023-11-30,6.1018
2023-11-29,6.0941
2023-11-28,6.0851
2023-11-27,6.0774
2023-11-24,6.0703
2023-11-22,6.0626
2023-11-21,6.0523
2023-11-20,6.0439
2023-11-17,6.0352
2023-11-16,6.0286
2023-11-15,6.0218
2023-11-14,6.0170
2023-11-13,6.0141
2023-11-10,6.0140
2023-11-09,6.0140
2023-11-08,6.0177
2023-11-07,6.0223
2023-11-06,6.0284
2023-11-03,6.0387
2023-11-02,6.0528
2023-11-01,6.0637
2023-10-31,6.0798
2023-10-30,6.1008
2023-10-27,6.1204
2023-10-26,6.1434
2023-10-25,6.1665
2023-10-24,6.1821
2023-10-23,6.1965
2023-10-20,6.2110
2023-10-19,6.2214
2023-10-18,6.2278
2023-10-17,6.2347
2023-10-16,6.2416
2023-10-13,6.2459
2023-10-12,6.2476
2023-10-11,6.2479
2023-10-10,6.2517
2023-10-09,6.2550
2023-10-06,6.2592
2023-10-05,6.2649
2023-10-04,6.2742
2023-10-03,6.2853
2023-10-02,6.2973
2023-09-29,6.3092
2023-09-28,6.3228
2023-09-27,6.3380
2023-09-26,6.3511
2023-09-25,6.3604
2023-09-22,6.3658
2023-09-21,6.3713
2023-09-20,6.3779
2023-09-19,6.3822
2023-09-18,6.3838
2023-09-15,6.3858
2023-09-14,6.3917
2023-09-13,6.3982
2023-09-12,6.4042
2023-09-11,6.4089
2023-09-08,6.4098
2023-09-07,6.4100
2023-09-06,6.4129
2023-09-05,6.4036
2023-09-01,6.3844
2023-08-31,6.3641
2023-08-30,6.3446
2023-08-29,6.3268
2023-08-28,6.3128
2023-08-25,6.3045
2023-08-24,6.2982
2023-08-23,6.2915
2023-08-22,6.2812
2023-08-21,6.2760
2023-08-18,6.2729
2023-08-17,6.2713
2023-08-16,6.2673
2023-08-15,6.2584
2023-08-14,6.2486
2023-08-11,6.2383
2023-08-10,6.2294
2023-08-09,6.2192
2023-08-08,6.2089
2023-08-07,6.1995
2023-08-04,6.1900
2023-08-03,6.1732
2023-08-02,6.1420
2023-08-01,6.1087
2023-07-31,6.0695
2023-07-28,6.0303
2023-07-27,5.9909
2023-07-26,5.9514
2023-07-25,5.9136
2023-07-24,5.8772
2023-07-21,5.8406
2023-07-20,5.8038
2023-07-19,5.7647
2023-07-18,5.7252
2023-07-17,5.6904
2023-07-14,5.6555
2023-07-13,5.6243
2023-07-12,5.5928
2023-07-11,5.5611
2023-07-10,5.5323
2023-07-07,5.5027
2023-07-06,5.4678
