,EMA
2024-06-04,179.0578
2024-06-03,178.9012
2024-05-31,178.7605
2024-05-30,178.6331
2024-05-29,178.5112
2024-05-28,178.3997
2024-05-24,178.2679
2024-05-23,178.1619
2024-05-22,178.0330
2024-05-21,177.8900
2024-05-20,177.7573
2024-05-17,177.6411
2024-05-16,177.5218
2024-05-15,177.3917
2024-05-14,177.2860
2024-05-13,177.1832
2024-05-10,177.1003
2024-05-09,177.0219
2024-05-08,176.9687
2024-05-07,176.9121
2024-05-06,176.8489
2024-05-03,176.7961
2024-05-02,176.6997
2024-05-01,176.7441
2024-04-30,176.8185
2024-04-29,176.8559
2024-04-26,176.8933
2024-04-25,176.9661
2024-04-24,177.0432
2024-04-23,177.1511
2024-04-22,177.2720
2024-04-19,177.3924
2024-04-18,177.5070
2024-04-17,177.6046
2024-04-16,177.6873
2024-04-15,177.7493
2024-04-12,177.7757
2024-04-11,177.8134
2024-04-10,177.9110
2024-04-09,178.0048
2024-04-08,178.1007
2024-04-05,178.1941
2024-04-04,178.2829
2024-04-03,178.3656
2024-04-02,178.4642
2024-04-01,178.5608
2024-03-28,178.6372
2024-03-27,178.7088
2024-03-26,178.7945
2024-03-25,178.8852
2024-03-22,178.9712
2024-03-21,179.0460
2024-03-20,179.0685
2024-03-19,179.1046
2024-03-18,179.1549
2024-03-15,179.1933
2024-03-14,179.2763
2024-03-13,179.3426
2024-03-12,179.4110
2024-03-11,179.4763
2024-03-08,179.5444
2024-03-07,179.6527
2024-03-06,179.7606
2024-03-05,179.8504
2024-03-04,179.9441
2024-03-01,179.9846
2024-02-29,179.9914
2024-02-28,179.9811
2024-02-27,179.9582
2024-02-26,179.9492
2024-02-23,179.9286
2024-02-22,179.8801
2024-02-21,179.8464
2024-02-20,179.8279
2024-02-16,179.8107
2024-02-15,179.7769
2024-02-14,179.7415
2024-02-13,179.6880
2024-02-12,179.6294
2024-02-09,179.5437
2024-02-08,179.4547
2024-02-07,179.3600
2024-02-06,179.2516
2024-02-05,179.1801
2024-02-02,179.0949
2024-02-01,179.0920
2024-01-31,179.0477
2024-01-30,178.9723
2024-01-29,178.8571
2024-01-26,178.7300
2024-01-25,178.5789
2024-01-24,178.4168
2024-01-23,178.2511
2024-01-22,178.0878
2024-01-19,177.9500
2024-01-18,177.8406
2024-01-17,177.7626
2024-01-16,177.7322
2024-01-12,177.6925
2024-01-11,177.6133
2024-01-10,177.5286
2024-01-09,177.4649
2024-01-08,177.4049
2024-01-05,177.3626
2024-01-04,177.3209
2024-01-03,177.2772
2024-01-02,177.2123
2023-12-29,177.1174
2023-12-28,176.9539
2023-12-27,176.7863
2023-12-26,176.6335
2023-12-22,176.4680
2023-12-21,176.2851
2023-12-20,176.0912
2023-12-19,175.8872
2023-12-18,175.6887
2023-12-15,175.4888
2023-12-14,175.2725
2023-12-13,175.0492
2023-12-12,174.8529
2023-12-11,174.6748
2023-12-08,174.4947
2023-12-07,174.3017
2023-12-06,174.1126
2023-12-05,173.9134
2023-12-04,173.7546
2023-12-01,173.5966
2023-11-30,173.4334
2023-11-29,173.2735
2023-11-28,173.1014
2023-11-27,172.9388
2023-11-24,172.7732
2023-11-22,172.5964
2023-11-21,172.4115
2023-11-20,172.2257
2023-11-17,172.0532
2023-11-16,171.8753
2023-11-15,171.7025
2023-11-14,171.5452
2023-11-13,171.3878
2023-11-10,171.2477
2023-11-09,171.1247
2023-11-08,171.0129
2023-11-07,170.9062
2023-11-06,170.8301
2023-11-03,170.7812
2023-11-02,170.7533
2023-11-01,170.7123
2023-10-31,170.7162
2023-10-30,170.7365
2023-10-27,170.7604
2023-10-26,170.8057
2023-10-25,170.8168
2023-10-24,170.8129
2023-10-23,170.7972
2023-10-20,170.8028
2023-10-19,170.7644
2023-10-18,170.7183
2023-10-17,170.6763
2023-10-16,170.6233
2023-10-13,170.5687
2023-10-12,170.4667
2023-10-11,170.3773
2023-10-10,170.3057
2023-10-09,170.2344
2023-10-06,170.1752
2023-10-05,170.1456
2023-10-04,170.1159
2023-10-03,170.1128
2023-10-02,170.0980
2023-09-29,170.0935
2023-09-28,170.0809
2023-09-27,170.0950
2023-09-26,170.0764
2023-09-25,170.0356
2023-09-22,170.0006
2023-09-21,169.9606
2023-09-20,169.9213
2023-09-19,169.8345
2023-09-18,169.7642
2023-09-15,169.7037
2023-09-14,169.6425
2023-09-13,169.6056
2023-09-12,169.5431
2023-09-11,169.4502
2023-09-08,169.3506
2023-09-07,169.2671
2023-09-06,169.2146
2023-09-05,169.0292
2023-09-01,168.8431
2023-08-31,168.6431
2023-08-30,168.4576
2023-08-29,168.2992
2023-08-28,168.1917
2023-08-25,168.0792
2023-08-24,167.9928
2023-08-23,167.8724
2023-08-22,167.7724
2023-08-21,167.6860
2023-08-18,167.6187
2023-08-17,167.5784
2023-08-16,167.4893
2023-08-15,167.3994
2023-08-14,167.2910
2023-08-11,167.1907
2023-08-10,167.0959
2023-08-09,166.9809
2023-08-08,166.8509
2023-08-07,166.7313
2023-08-04,166.5862
2023-08-03,166.4057
2023-08-02,166.1629
2023-08-01,165.8830
2023-07-31,165.5883
2023-07-28,165.2924
2023-07-27,165.0075
2023-07-26,164.7061
2023-07-25,164.4253
2023-07-24,164.1450
2023-07-21,163.8611
2023-07-20,163.5674
2023-07-19,163.2609
2023-07-18,162.9713
2023-07-17,162.6762
2023-07-14,162.3926
2023-07-13,162.1229
2023-07-12,161.8477
2023-07-11,161.5780
2023-07-10,161.3108
2023-07-07,161.0399
2023-07-06,160.7448
2023-07-05,160.4624
2023-07-03,160.1599
2023-06-30,159.8323
2023-06-29,159.5228
2023-06-28,159.2358
2023-06-27,158.9573
2023-06-26,158.6965
2023-06-23,158.4236
2023-06-22,158.1608
2023-06-21,157.9134
2023-06-20,157.6519
2023-06-16,157.3928
2023-06-15,157.1078
2023-06-14,156.8476
2023-06-13,156.5908
2023-06-12,156.3370
2023-06-09,156.0960
2023-06-08,155.8503
2023-06-07,155.6381
2023-06-06,155.4184
2023-06-05,155.1812
2023-06-02,154.9150
2023-06-01,154.6621
2023-05-31,154.4399
2023-05-30,154.2193
2023-05-26,154.0001
2023-05-25,153.8151
2023-05-24,153.6373
2023-05-23,153.4709
2023-05-22,153.2825
2023-05-19,153.0837
2023-05-18,152.8588
2023-05-17,152.6655
2023-05-16,152.4831
2023-05-15,152.2962
2023-05-12,152.0956
2023-05-11,151.8885
2023-05-10,151.6794
2023-05-09,151.4764
2023-05-08,151.2712
2023-05-05,151.0695
2023-05-04,150.8809
2023-05-03,150.7511
2023-05-02,150.5739
2023-05-01,150.3891
2023-04-28,150.2106
2023-04-27,150.0381
2023-04-26,149.8969
2023-04-25,149.7755
2023-04-24,149.6316
2023-04-21,149.4881
2023-04-20,149.3428
2023-04-19,149.1855
2023-04-18,149.0296
2023-04-17,148.8691
2023-04-14,148.7171
2023-04-13,148.5686
2023-04-12,148.4481
2023-04-11,148.3305
2023-04-10,148.2004
2023-04-06,148.0783
2023-04-05,147.9449
2023-04-04,147.7871
2023-04-03,147.6092
2023-03-31,147.4527
2023-03-30,147.3129
2023-03-29,147.1808
2023-03-28,147.0689
2023-03-27,146.9699
2023-03-24,146.8502
2023-03-23,146.7401
2023-03-22,146.6292
2023-03-21,146.5125
2023-03-20,146.4144
2023-03-17,146.3377
2023-03-16,146.2502
2023-03-15,146.2010
2023-03-14,146.1609
2023-03-13,146.1196
2023-03-10,146.1125
2023-03-09,146.0814
2023-03-08,146.0164
2023-03-07,145.9584
2023-03-06,145.8908
2023-03-03,145.8217
2023-03-02,145.8093
2023-03-01,145.8333
2023-02-28,145.8330
2023-02-27,145.8306
2023-02-24,145.8216
2023-02-23,145.8185
2023-02-22,145.7855
2023-02-21,145.7645
2023-02-17,145.7299
2023-02-16,145.6735
2023-02-15,145.6050
2023-02-14,145.5398
2023-02-13,145.4838
2023-02-10,145.4389
2023-02-09,145.4085
2023-02-08,145.3370
2023-02-07,145.2638
2023-02-06,145.2221
2023-02-03,145.1607
2023-02-02,145.1439
2023-02-01,145.1184
2023-01-31,145.1417
2023-01-30,145.1780
2023-01-27,145.1921
2023-01-26,145.2243
2023-01-25,145.2566
2023-01-24,145.3121
2023-01-23,145.3739
2023-01-20,145.4581
2023-01-19,145.5715
2023-01-18,145.6979
2023-01-17,145.7984
2023-01-13,145.9197
2023-01-12,146.0701
2023-01-11,146.2036
2023-01-10,146.3646
2023-01-09,146.5371
2023-01-06,146.7093
2023-01-05,146.9277
2023-01-04,147.1371
2023-01-03,147.3510
2022-12-30,147.5332
2022-12-29,147.7359
2022-12-28,147.9448
2022-12-27,148.1391
2022-12-23,148.3183
2022-12-22,148.5039
2022-12-21,148.6571
2022-12-20,148.8256
2022-12-19,149.0116
2022-12-16,149.1624
2022-12-15,149.2990
2022-12-14,149.3928
2022-12-13,149.4453
2022-12-12,149.4570
2022-12-09,149.5366
2022-12-08,149.6206
2022-12-07,149.7053
2022-12-06,149.7924
2022-12-05,149.8318
2022-12-02,149.8646
2022-12-01,149.9158
2022-11-30,149.9451
2022-11-29,150.0426
2022-11-28,150.1122
2022-11-25,150.1741
2022-11-23,150.2050
2022-11-22,150.2248
2022-11-21,150.2580
2022-11-18,150.2713
2022-11-17,150.2634
2022-11-16,150.3139
2022-11-15,150.3380
2022-11-14,150.3316
2022-11-11,150.3575
2022-11-10,150.4150
2022-11-09,150.5188
2022-11-08,150.6509
2022-11-07,150.7653
2022-11-04,150.9138
2022-11-03,151.0141
2022-11-02,151.1181
2022-11-01,151.1546
2022-10-31,151.1304
2022-10-28,151.1252
2022-10-27,151.1691
2022-10-26,151.2149
2022-10-25,151.2323
2022-10-24,151.2585
2022-10-21,151.3140
2022-10-20,151.4129
2022-10-19,151.5113
2022-10-18,151.6240
2022-10-17,151.7000
2022-10-14,151.8207
2022-10-13,151.9104
2022-10-12,152.0938
2022-10-11,152.2377
2022-10-10,152.3755
2022-10-07,152.5095
2022-10-06,152.6237
2022-10-05,152.7066
2022-10-04,152.8075
2022-10-03,152.8999
2022-09-30,153.0612
2022-09-29,153.1935
2022-09-28,153.2792
2022-09-27,153.3504
2022-09-26,153.3715
2022-09-23,153.4236
2022-09-22,153.4609
2022-09-21,153.4868
2022-09-20,153.4635
2022-09-19,153.4793
2022-09-16,153.5359
2022-09-15,153.5741
2022-09-14,153.5785
2022-09-13,153.5816
2022-09-12,153.5339
2022-09-09,153.4887
2022-09-08,153.4841
2022-09-07,153.4877
2022-09-06,153.4895
2022-09-02,153.4750
2022-09-01,153.4276
2022-08-31,153.4108
2022-08-30,153.3573
2022-08-29,153.2851
2022-08-26,153.2219
2022-08-25,153.0644
2022-08-24,152.9230
2022-08-23,152.7948
2022-08-22,152.6677
2022-08-19,152.5133
2022-08-18,152.3241
