,RSI
2024-06-05,53.1152
2024-06-04,53.0181
2024-06-03,52.7974
2024-05-31,52.6110
2024-05-30,52.5242
2024-05-29,52.3773
2024-05-28,52.6450
2024-05-24,52.3015
2024-05-23,52.6064
2024-05-22,52.7886
2024-05-21,52.6394
2024-05-20,52.4146
2024-05-17,52.4406
2024-05-16,52.5750
2024-05-15,52.2502
2024-05-14,52.1993
2024-05-13,51.9349
2024-05-10,51.8666
2024-05-09,51.5350
2024-05-08,51.5745
2024-05-07,51.6561
2024-05-06,51.5167
2024-05-03,52.1021
2024-05-02,50.2491
2024-05-01,49.8490
2024-04-30,50.3648
2024-04-29,50.3704
2024-04-26,49.8925
2024-04-25,49.8437
2024-04-24,49.4310
2024-04-23,49.2654
2024-04-22,49.2877
2024-04-19,49.3812
2024-04-18,49.6266
2024-04-17,49.8405
2024-04-16,50.1318
2024-04-15,50.6284
2024-04-12,50.4796
2024-04-11,49.6677
2024-04-10,49.7308
2024-04-09,49.7170
2024-04-08,49.7618
2024-04-05,49.8378
2024-04-04,49.9326
2024-04-03,49.7287
2024-04-02,49.7677
2024-04-01,50.0517
2024-03-28,50.1273
2024-03-27,49.9474
2024-03-26,49.8924
2024-03-25,49.9677
2024-03-22,50.1269
2024-03-21,50.8405
2024-03-20,50.6648
2024-03-19,50.4821
2024-03-18,50.6484
2024-03-15,50.0628
2024-03-14,50.2976
2024-03-13,50.2789
2024-03-12,50.3300
2024-03-11,50.3023
2024-03-08,49.7783
2024-03-07,49.7982
2024-03-06,50.0516
2024-03-05,50.0118
2024-03-04,50.7335
2024-03-01,51.1972
2024-02-29,51.4338
2024-02-28,51.6049
2024-02-27,51.4221
2024-02-26,51.5789
2024-02-23,51.9618
2024-02-22,51.7650
2024-02-21,51.5663
2024-02-20,51.5469
2024-02-16,51.7705
2024-02-15,51.7884
2024-02-14,52.0311
2024-02-13,52.0929
2024-02-12,52.4571
2024-02-09,52.4895
2024-02-08,52.5576
2024-02-07,52.7300
2024-02-06,52.2606
2024-02-05,52.4374
2024-02-02,51.3859
2024-02-01,51.9546
2024-01-31,52.3818
2024-01-30,52.9346
2024-01-29,53.0876
2024-01-26,53.4120
2024-01-25,53.5488
2024-01-24,53.5776
2024-01-23,53.5279
2024-01-22,53.1891
2024-01-19,52.8154
2024-01-18,52.4029
2024-01-17,51.7789
2024-01-16,51.9039
2024-01-12,52.4561
2024-01-11,52.5246
2024-01-10,52.2417
2024-01-09,52.1861
2024-01-08,51.9483
2024-01-05,51.9360
2024-01-04,51.9583
2024-01-03,52.2472
2024-01-02,52.6596
2023-12-29,53.6298
2023-12-28,53.6648
2023-12-27,53.4571
2023-12-26,53.6194
2023-12-22,53.8474
2023-12-21,53.9813
2023-12-20,54.0977
2023-12-19,54.0064
2023-12-18,53.9978
2023-12-15,54.2054
2023-12-14,54.2761
2023-12-13,53.9187
2023-12-12,53.6715
2023-12-11,53.6758
2023-12-08,53.8308
2023-12-07,53.7614
2023-12-06,53.8774
2023-12-05,53.3594
2023-12-04,53.3311
2023-12-01,53.3801
2023-11-30,53.3203
2023-11-29,53.4679
2023-11-28,53.3321
2023-11-27,53.3515
2023-11-24,53.4826
2023-11-22,53.5681
2023-11-21,53.5585
2023-11-20,53.3776
2023-11-17,53.4267
2023-11-16,53.3461
2023-11-15,53.1415
2023-11-14,53.1243
2023-11-13,52.9014
2023-11-10,52.6810
2023-11-09,52.5323
2023-11-08,52.4595
2023-11-07,52.0798
2023-11-06,51.7411
2023-11-03,51.4802
2023-11-02,51.6464
2023-11-01,51.0918
2023-10-31,50.8872
2023-10-30,50.8463
2023-10-27,50.5844
2023-10-26,51.0280
2023-10-25,51.2231
2023-10-24,51.3745
2023-10-23,51.1115
2023-10-20,51.6834
2023-10-19,51.7791
2023-10-18,51.7230
2023-10-17,51.8618
2023-10-16,51.8755
2023-10-13,52.4870
2023-10-12,52.3254
2023-10-11,52.1007
2023-10-10,52.0887
2023-10-09,51.9340
2023-10-06,51.5710
2023-10-05,51.5698
2023-10-04,51.2427
2023-10-03,51.3917
2023-10-02,51.2665
2023-09-29,51.3683
2023-09-28,51.0442
2023-09-27,51.4618
2023-09-26,51.7443
2023-09-25,51.6699
2023-09-22,51.7301
2023-09-21,51.7158
2023-09-20,52.3203
2023-09-19,52.1145
2023-09-18,51.9913
2023-09-15,51.9913
2023-09-14,51.6979
2023-09-13,52.0181
2023-09-12,52.4014
2023-09-11,52.4763
2023-09-08,52.2750
2023-09-07,51.9015
2023-09-06,53.6436
2023-09-05,53.6296
2023-09-01,53.7926
2023-08-31,53.6010
2023-08-30,53.2612
2023-08-29,52.6369
2023-08-28,52.6896
2023-08-25,52.3638
2023-08-24,52.8036
2023-08-23,52.5443
2023-08-22,52.3678
2023-08-21,52.1263
2023-08-18,51.7878
2023-08-17,52.4324
2023-08-16,52.4312
2023-08-15,52.6658
2023-08-14,52.5559
2023-08-11,52.4776
2023-08-10,52.7334
2023-08-09,52.9192
2023-08-08,52.7786
2023-08-07,53.1047
2023-08-04,53.5622
2023-08-03,54.3943
2023-08-02,54.8809
2023-08-01,55.0496
2023-07-31,55.0294
2023-07-28,54.8696
2023-07-27,55.0587
2023-07-26,54.7888
2023-07-25,54.7497
2023-07-24,54.7608
2023-07-21,54.8562
2023-07-20,54.9929
2023-07-19,54.7674
2023-07-18,54.8017
2023-07-17,54.6376
2023-07-14,54.4481
2023-07-13,54.4847
2023-07-12,54.3920
2023-07-11,54.3333
2023-07-10,54.3467
2023-07-07,54.6345
2023-07-06,54.4593
2023-07-05,54.6902
2023-07-03,54.9882
2023-06-30,54.7501
2023-06-29,54.4659
2023-06-28,54.3372
2023-06-27,54.1082
2023-06-26,54.2329
2023-06-23,54.0896
2023-06-22,53.8864
2023-06-21,54.0389
2023-06-20,53.9842
2023-06-16,54.2888
2023-06-15,53.9803
2023-06-14,53.9144
2023-06-13,53.8509
2023-06-12,53.6803
2023-06-09,53.7100
2023-06-08,53.3073
2023-06-07,53.3772
2023-06-06,53.5726
2023-06-05,53.9159
2023-06-02,53.7388
2023-06-01,53.3677
2023-05-31,53.3258
2023-05-30,53.2851
2023-05-26,52.8774
2023-05-25,52.7748
2023-05-24,52.6261
2023-05-23,52.8822
2023-05-22,52.9892
2023-05-19,53.2932
2023-05-18,52.9151
2023-05-17,52.7703
2023-05-16,52.8054
2023-05-15,52.9517
2023-05-12,53.0091
2023-05-11,53.0079
2023-05-10,52.9167
2023-05-09,52.9204
2023-05-08,52.8583
2023-05-05,52.6942
2023-05-04,52.0224
2023-05-03,52.5853
2023-05-02,52.6579
2023-05-01,52.5685
2023-04-28,52.4814
2023-04-27,52.1160
2023-04-26,51.8778
2023-04-25,52.1359
2023-04-24,52.1148
2023-04-21,52.1208
2023-04-20,52.2456
2023-04-19,52.2138
2023-04-18,52.2496
2023-04-17,52.1398
2023-04-14,52.0856
2023-04-13,51.7635
2023-04-12,51.7188
2023-04-11,51.8506
2023-04-10,51.7499
2023-04-06,51.8672
2023-04-05,52.1360
2023-04-04,52.3528
2023-04-03,52.1044
2023-03-31,51.9081
2023-03-30,51.8103
2023-03-29,51.5779
2023-03-28,51.4268
2023-03-27,51.6525
2023-03-24,51.5365
2023-03-23,51.5333
2023-03-22,51.5866
2023-03-21,51.3757
2023-03-20,51.1350
2023-03-17,51.2483
2023-03-16,50.8275
2023-03-15,50.7228
2023-03-14,50.7328
2023-03-13,50.3578
2023-03-10,50.6231
2023-03-09,50.9954
2023-03-08,50.9151
2023-03-07,51.0140
2023-03-06,51.0234
2023-03-03,50.4084
2023-03-02,50.0095
2023-03-01,50.2785
2023-02-28,50.3027
2023-02-27,50.3749
2023-02-24,50.3104
2023-02-23,50.6361
2023-02-22,50.5055
2023-02-21,50.6508
2023-02-17,50.8862
2023-02-16,51.0135
2023-02-15,50.9714
2023-02-14,50.8675
2023-02-13,50.7449
2023-02-10,50.5883
2023-02-09,51.0300
2023-02-08,51.0414
2023-02-07,50.7035
2023-02-06,50.9123
2023-02-03,50.4353
2023-02-02,50.5288
2023-02-01,50.0060
2023-01-31,49.8703
2023-01-30,50.1107
2023-01-27,49.9189
2023-01-26,49.9205
2023-01-25,49.6780
2023-01-24,49.6157
2023-01-23,49.3827
2023-01-20,49.0783
2023-01-19,48.9492
2023-01-18,49.2323
2023-01-17,49.0194
2023-01-13,48.7176
2023-01-12,48.9079
2023-01-11,48.6240
2023-01-10,48.5169
2023-01-09,48.5377
2023-01-06,48.0548
2023-01-05,48.1679
2023-01-04,48.1419
2023-01-03,48.4839
2022-12-30,48.2822
2022-12-29,48.2369
2022-12-28,48.4056
2022-12-27,48.5776
2022-12-23,48.5287
2022-12-22,48.8741
2022-12-21,48.7290
2022-12-20,48.5605
2022-12-19,48.9348
2022-12-16,49.0941
2022-12-15,49.5453
2022-12-14,49.9831
2022-12-13,50.4171
2022-12-12,49.7052
2022-12-09,49.6671
2022-12-08,49.6692
2022-12-07,49.6514
2022-12-06,50.1590
2022-12-05,50.2317
2022-12-02,50.0441
2022-12-01,50.2786
2022-11-30,49.5664
2022-11-29,49.8683
2022-11-28,49.9572
2022-11-25,50.2893
2022-11-23,50.4100
2022-11-22,50.2731
2022-11-21,50.4863
2022-11-18,50.7123
2022-11-17,50.1035
2022-11-16,50.3881
2022-11-15,50.7157
2022-11-14,50.3781
2022-11-11,50.0476
2022-11-10,49.5616
2022-11-09,49.2678
2022-11-08,49.4676
2022-11-07,49.1127
2022-11-04,49.6362
2022-11-03,49.6077
2022-11-02,50.3412
2022-11-01,51.0099
2022-10-31,50.8059
2022-10-28,50.2755
2022-10-27,50.2615
2022-10-26,50.5765
2022-10-25,50.4835
2022-10-24,50.1722
2022-10-21,49.7049
2022-10-20,49.7210
2022-10-19,49.5767
2022-10-18,49.9847
2022-10-17,49.5032
2022-10-14,49.8534
2022-10-13,48.8187
2022-10-12,49.2680
2022-10-11,49.3520
2022-10-10,49.4087
2022-10-07,49.6398
2022-10-06,49.9987
2022-10-05,49.8071
2022-10-04,49.9119
2022-10-03,49.1520
2022-09-30,49.4883
2022-09-29,50.0229
2022-09-28,50.1953
2022-09-27,50.7718
2022-09-26,50.4297
2022-09-23,50.6035
2022-09-22,50.7389
2022-09-21,51.3080
2022-09-20,50.8724
2022-09-19,50.4143
2022-09-16,50.6326
2022-09-15,51.0305
2022-09-14,51.0462
2022-09-13,51.6439
2022-09-12,51.6098
2022-09-09,51.1533
2022-09-08,51.0608
2022-09-07,51.0823
2022-09-06,51.2729
2022-09-02,51.6554
2022-09-01,51.3127
2022-08-31,51.7428
2022-08-30,51.9585
2022-08-29,51.8507
2022-08-26,52.9828
2022-08-25,52.7880
2022-08-24,52.6287
2022-08-23,52.6026
2022-08-22,52.9187
2022-08-19,53.3268
2022-08-18,53.4151
2022-08-17,53.3104
2022-08-16,53.3116
2022-08-15,53.1776
2022-08-12,52.9964
2022-08-11,53.0252
2022-08-10,52.7718
