,SMA
2024-06-04,180.8643
2024-06-03,180.7734
2024-05-31,180.6910
2024-05-30,180.6247
2024-05-29,180.5573
2024-05-28,180.4924
2024-05-24,180.4275
2024-05-23,180.3830
2024-05-22,180.3219
2024-05-21,180.2664
2024-05-20,180.2337
2024-05-17,180.2399
2024-05-16,180.2624
2024-05-15,180.2860
2024-05-14,180.3216
2024-05-13,180.3523
2024-05-10,180.4001
2024-05-09,180.4389
2024-05-08,180.4889
2024-05-07,180.5378
2024-05-06,180.5872
2024-05-03,180.6470
2024-05-02,180.6755
2024-05-01,180.7758
2024-04-30,180.8835
2024-04-29,180.9642
2024-04-26,181.0460
2024-04-25,181.1412
2024-04-24,181.2355
2024-04-23,181.3453
2024-04-22,181.4717
2024-04-19,181.5895
2024-04-18,181.7123
2024-04-17,181.8371
2024-04-16,181.9434
2024-04-15,182.0262
2024-04-12,182.0853
2024-04-11,182.1398
2024-04-10,182.2285
2024-04-09,182.3085
2024-04-08,182.3800
2024-04-05,182.4557
2024-04-04,182.5261
2024-04-03,182.6045
2024-04-02,182.6767
2024-04-01,182.7445
2024-03-28,182.7989
2024-03-27,182.8429
2024-03-26,182.8947
2024-03-25,182.9307
2024-03-22,182.9665
2024-03-21,183.0040
2024-03-20,183.0283
2024-03-19,183.0513
2024-03-18,183.0646
2024-03-15,183.0699
2024-03-14,183.0954
2024-03-13,183.0941
2024-03-12,183.0889
2024-03-11,183.0753
2024-03-08,183.0729
2024-03-07,183.0944
2024-03-06,183.1271
2024-03-05,183.1334
2024-03-04,183.1348
2024-03-01,183.1107
2024-02-29,183.0754
2024-02-28,183.0338
2024-02-27,182.9860
2024-02-26,182.9411
2024-02-23,182.8906
2024-02-22,182.8235
2024-02-21,182.7566
2024-02-20,182.6671
2024-02-16,182.6013
2024-02-15,182.5302
2024-02-14,182.4545
2024-02-13,182.3660
2024-02-12,182.2589
2024-02-09,182.1280
2024-02-08,182.0065
2024-02-07,181.8816
2024-02-06,181.7506
2024-02-05,181.6437
2024-02-02,181.5290
2024-02-01,181.4570
2024-01-31,181.3595
2024-01-30,181.2442
2024-01-29,181.0948
2024-01-26,180.9381
2024-01-25,180.7756
2024-01-24,180.6038
2024-01-23,180.4361
2024-01-22,180.2818
2024-01-19,180.1502
2024-01-18,180.0220
2024-01-17,179.9008
2024-01-16,179.7991
2024-01-12,179.6823
2024-01-11,179.5390
2024-01-10,179.4032
2024-01-09,179.2729
2024-01-08,179.1446
2024-01-05,179.0277
2024-01-04,178.9016
2024-01-03,178.7634
2024-01-02,178.6200
2023-12-29,178.4424
2023-12-28,178.2264
2023-12-27,178.0096
2023-12-26,177.7838
2023-12-22,177.5644
2023-12-21,177.3538
2023-12-20,177.1348
2023-12-19,176.9163
2023-12-18,176.7019
2023-12-15,176.4594
2023-12-14,176.1914
2023-12-13,175.9332
2023-12-12,175.6907
2023-12-11,175.4615
2023-12-08,175.2291
2023-12-07,175.0062
2023-12-06,174.7800
2023-12-05,174.5563
2023-12-04,174.3644
2023-12-01,174.1795
2023-11-30,173.9908
2023-11-29,173.7997
2023-11-28,173.5974
2023-11-27,173.3934
2023-11-24,173.2089
2023-11-22,173.0202
2023-11-21,172.8123
2023-11-20,172.6144
2023-11-17,172.4016
2023-11-16,172.1913
2023-11-15,171.9599
2023-11-14,171.7308
2023-11-13,171.5137
2023-11-10,171.2969
2023-11-09,171.0895
2023-11-08,170.8770
2023-11-07,170.6647
2023-11-06,170.4572
2023-11-03,170.2497
2023-11-02,170.0468
2023-11-01,169.8512
2023-10-31,169.6682
2023-10-30,169.4795
2023-10-27,169.3016
2023-10-26,169.1213
2023-10-25,168.9187
2023-10-24,168.7097
2023-10-23,168.4728
2023-10-20,168.2520
2023-10-19,168.0082
2023-10-18,167.7775
2023-10-17,167.5399
2023-10-16,167.2948
2023-10-13,167.0576
2023-10-12,166.8056
2023-10-11,166.5581
2023-10-10,166.3368
2023-10-09,166.1093
2023-10-06,165.8803
2023-10-05,165.6848
2023-10-04,165.4971
2023-10-03,165.3448
2023-10-02,165.2077
2023-09-29,165.0963
2023-09-28,164.9473
2023-09-27,164.8098
2023-09-26,164.6561
2023-09-25,164.4906
2023-09-22,164.3524
2023-09-21,164.2153
2023-09-20,164.0698
2023-09-19,163.9120
2023-09-18,163.7291
2023-09-15,163.5657
2023-09-14,163.4065
2023-09-13,163.2754
2023-09-12,163.1375
2023-09-11,162.9782
2023-09-08,162.8260
2023-09-07,162.6931
2023-09-06,162.5468
2023-09-05,162.3481
2023-09-01,162.1652
2023-08-31,161.9603
2023-08-30,161.7479
2023-08-29,161.5273
2023-08-28,161.3192
2023-08-25,161.1186
2023-08-24,160.9151
2023-08-23,160.7199
2023-08-22,160.5342
2023-08-21,160.3898
2023-08-18,160.2857
2023-08-17,160.1858
2023-08-16,160.0373
2023-08-15,159.8882
2023-08-14,159.7447
2023-08-11,159.6015
2023-08-10,159.4471
2023-08-09,159.2617
2023-08-08,159.0702
2023-08-07,158.8780
2023-08-04,158.6925
2023-08-03,158.4682
2023-08-02,158.2298
2023-08-01,157.9281
2023-07-31,157.6409
2023-07-28,157.3584
2023-07-27,157.0854
2023-07-26,156.8162
2023-07-25,156.5748
2023-07-24,156.3266
2023-07-21,156.0827
2023-07-20,155.8015
2023-07-19,155.5307
2023-07-18,155.2936
2023-07-17,155.0629
2023-07-14,154.8647
2023-07-13,154.6595
2023-07-12,154.4606
2023-07-11,154.2716
2023-07-10,154.1097
2023-07-07,153.9279
2023-07-06,153.7151
2023-07-05,153.5196
2023-07-03,153.3324
2023-06-30,153.1350
2023-06-29,152.9735
2023-06-28,152.8232
2023-06-27,152.6583
2023-06-26,152.4993
2023-06-23,152.3366
2023-06-22,152.1885
2023-06-21,152.0655
2023-06-20,151.9214
2023-06-16,151.7979
2023-06-15,151.6718
2023-06-14,151.5547
2023-06-13,151.4872
2023-06-12,151.4136
2023-06-09,151.3404
2023-06-08,151.2649
2023-06-07,151.2203
2023-06-06,151.1894
2023-06-05,151.1546
2023-06-02,151.1016
2023-06-01,151.0567
2023-05-31,151.0220
2023-05-30,150.9808
2023-05-26,150.9427
2023-05-25,150.9108
2023-05-24,150.8654
2023-05-23,150.8381
2023-05-22,150.7851
2023-05-19,150.7405
2023-05-18,150.6584
2023-05-17,150.5895
2023-05-16,150.5315
2023-05-15,150.4733
2023-05-12,150.3882
2023-05-11,150.2790
2023-05-10,150.1684
2023-05-09,150.0704
2023-05-08,149.9792
2023-05-05,149.8864
2023-05-04,149.7844
2023-05-03,149.6967
2023-05-02,149.6001
2023-05-01,149.4959
2023-04-28,149.3674
2023-04-27,149.2375
2023-04-26,149.1377
2023-04-25,149.0481
2023-04-24,148.9458
2023-04-21,148.8348
2023-04-20,148.7139
2023-04-19,148.5701
2023-04-18,148.4192
2023-04-17,148.2728
2023-04-14,148.1324
2023-04-13,148.0177
2023-04-12,147.9204
2023-04-11,147.8113
2023-04-10,147.6814
2023-04-06,147.5461
2023-04-05,147.3990
2023-04-04,147.2238
2023-04-03,147.0494
2023-03-31,146.8974
2023-03-30,146.7488
2023-03-29,146.6035
2023-03-28,146.5055
2023-03-27,146.4481
2023-03-24,146.3883
2023-03-23,146.3129
2023-03-22,146.2510
2023-03-21,146.1861
2023-03-20,146.1356
2023-03-17,146.1065
2023-03-16,146.0683
2023-03-15,146.0314
2023-03-14,145.9597
2023-03-13,145.8928
2023-03-10,145.8548
2023-03-09,145.7900
2023-03-08,145.7150
2023-03-07,145.6476
2023-03-06,145.6102
