,EMA
2024-06-04,515.9155
2024-06-03,516.6501
2024-05-31,517.3443
2024-05-30,518.0440
2024-05-29,518.5781
2024-05-28,519.0384
2024-05-24,519.5010
2024-05-23,519.8854
2024-05-22,520.2021
2024-05-21,520.5662
2024-05-20,520.9619
2024-05-17,521.3435
2024-05-16,521.7256
2024-05-15,522.0977
2024-05-14,522.5132
2024-05-13,522.9363
2024-05-10,523.3051
2024-05-09,523.7052
2024-05-08,524.0499
2024-05-07,524.3924
2024-05-06,524.7128
2024-05-03,525.0607
2024-05-02,525.4907
2024-05-01,526.0052
2024-04-30,526.6573
2024-04-29,527.2066
2024-04-26,527.7008
2024-04-25,528.2575
2024-04-24,528.8590
2024-04-23,529.4210
2024-04-22,530.0210
2024-04-19,530.6220
2024-04-18,531.1656
2024-04-17,531.7124
2024-04-16,532.2591
2024-04-15,532.8848
2024-04-12,533.4463
2024-04-11,534.0040
2024-04-10,534.4728
2024-04-09,534.9259
2024-04-08,535.4176
2024-04-05,535.9266
2024-04-04,536.3998
2024-04-03,536.7298
2024-04-02,537.1255
2024-04-01,537.5549
2024-03-28,537.8822
2024-03-27,538.1813
2024-03-26,538.4095
2024-03-25,538.7146
2024-03-22,539.1359
2024-03-21,539.4381
2024-03-20,539.6576
2024-03-19,539.8221
2024-03-18,540.1229
2024-03-15,540.5709
2024-03-14,540.9822
2024-03-13,540.6102
2024-03-12,540.2237
2024-03-11,539.9386
2024-03-08,539.8128
2024-03-07,539.6803
2024-03-06,539.5766
2024-03-05,539.4919
2024-03-04,539.2597
2024-03-01,538.9221
2024-02-29,538.6991
2024-02-28,538.5364
2024-02-27,538.4010
2024-02-26,538.1246
2024-02-23,537.9393
2024-02-22,537.8835
2024-02-21,537.7221
2024-02-20,537.7017
2024-02-16,537.7640
2024-02-15,537.2401
2024-02-14,536.5490
2024-02-13,535.8525
2024-02-12,535.2410
2024-02-09,534.3288
2024-02-08,533.5080
2024-02-07,532.6804
2024-02-06,531.8707
2024-02-05,530.9289
2024-02-02,529.9028
2024-02-01,528.9491
2024-01-31,528.0441
2024-01-30,527.1199
2024-01-29,526.0859
2024-01-26,525.1852
2024-01-25,524.2252
2024-01-24,523.3087
2024-01-23,522.5208
2024-01-22,521.7199
2024-01-19,520.7824
2024-01-18,520.0484
2024-01-17,519.3766
2024-01-16,518.6468
2024-01-12,517.9012
2024-01-11,517.0923
2024-01-10,516.3394
2024-01-09,515.6451
2024-01-08,515.0151
2024-01-05,514.4839
2024-01-04,513.9912
2024-01-03,513.4184
2024-01-02,512.8037
2023-12-29,512.0328
2023-12-28,511.1880
2023-12-27,510.3211
2023-12-26,509.4339
2023-12-22,508.5345
2023-12-21,507.6072
2023-12-20,506.6485
2023-12-19,505.7032
2023-12-18,504.7555
2023-12-15,503.8835
2023-12-14,503.1125
2023-12-13,502.2091
2023-12-12,500.9206
2023-12-11,499.6649
2023-12-08,498.4869
2023-12-07,497.4164
2023-12-06,496.3963
2023-12-05,495.2740
2023-12-04,494.2540
2023-12-01,493.1418
2023-11-30,491.9750
2023-11-29,490.6883
2023-11-28,489.3290
2023-11-27,488.0763
2023-11-24,486.7625
2023-11-22,485.4610
2023-11-21,484.1427
2023-11-20,482.8715
2023-11-17,481.6410
2023-11-16,480.4306
2023-11-15,479.2747
2023-11-14,478.0111
2023-11-13,476.7694
2023-11-10,475.6316
2023-11-09,474.5777
2023-11-08,473.4427
2023-11-07,472.2814
2023-11-06,471.3112
2023-11-03,470.3596
2023-11-02,469.4587
2023-11-01,468.6448
2023-10-31,467.9779
2023-10-30,467.3481
2023-10-27,466.8581
2023-10-26,466.3491
2023-10-25,465.7094
2023-10-24,465.0275
2023-10-23,464.2274
2023-10-20,463.5079
2023-10-19,462.5810
2023-10-18,461.6019
2023-10-17,460.6684
2023-10-16,459.8168
2023-10-13,458.8784
2023-10-12,457.8621
2023-10-11,456.8989
2023-10-10,456.0779
2023-10-09,455.3259
2023-10-06,454.6558
2023-10-05,454.0672
2023-10-04,453.4061
2023-10-03,452.8180
2023-10-02,452.1677
2023-09-29,451.6041
2023-09-28,451.0631
2023-09-27,450.5713
2023-09-26,449.9990
2023-09-25,449.3946
2023-09-22,448.7709
2023-09-21,448.1245
2023-09-20,447.4073
2023-09-19,446.4598
2023-09-18,445.6066
2023-09-15,444.8164
2023-09-14,443.9391
2023-09-13,442.8622
2023-09-12,441.7149
2023-09-11,440.5700
2023-09-08,439.3496
2023-09-07,438.0476
2023-09-06,436.8822
2023-09-05,435.6404
2023-09-01,434.4118
2023-08-31,433.1014
2023-08-30,431.9567
2023-08-29,430.8698
2023-08-28,429.8966
2023-08-25,428.9338
2023-08-24,428.0696
2023-08-23,426.9547
2023-08-22,425.9922
2023-08-21,424.9497
2023-08-18,424.0920
2023-08-17,423.2824
2023-08-16,422.2601
2023-08-15,421.2998
2023-08-14,420.3244
2023-08-11,419.4555
