,RSI
2024-06-05,48.4876
2024-06-04,48.2728
2024-06-03,48.4229
2024-05-31,48.4274
2024-05-30,48.9716
2024-05-29,49.2241
2024-05-28,49.2315
2024-05-24,49.4957
2024-05-23,49.7255
2024-05-22,49.5815
2024-05-21,49.4907
2024-05-20,49.5485
2024-05-17,49.5587
2024-05-16,49.6024
2024-05-15,49.4758
2024-05-14,49.4645
2024-05-13,49.6473
2024-05-10,49.5602
2024-05-09,49.7450
2024-05-08,49.7625
2024-05-07,49.8416
2024-05-06,49.7662
2024-05-03,49.5209
2024-05-02,49.2700
2024-05-01,48.8517
2024-04-30,49.1848
2024-04-29,49.3708
2024-04-26,49.1894
2024-04-25,49.0659
2024-04-24,49.2042
2024-04-23,49.1027
2024-04-22,49.1177
2024-04-19,49.3093
2024-04-18,49.3160
2024-04-17,49.3325
2024-04-16,49.1064
2024-04-15,49.3167
2024-04-12,49.3446
2024-04-11,49.6267
2024-04-10,49.6877
2024-04-09,49.5847
2024-04-08,49.5478
2024-04-05,49.6684
2024-04-04,50.1083
2024-04-03,49.9224
2024-04-02,49.8337
2024-04-01,50.1502
2024-03-28,50.2440
2024-03-27,50.4647
2024-03-26,50.2455
2024-03-25,49.9100
2024-03-22,50.2775
2024-03-21,50.5347
2024-03-20,50.7068
2024-03-19,50.3102
2024-03-18,49.8808
2024-03-15,50.0034
2024-03-14,52.4621
2024-03-13,52.4969
2024-03-12,52.1860
2024-03-11,51.7003
2024-03-08,51.7181
2024-03-07,51.6277
2024-03-06,51.5676
2024-03-05,52.0375
2024-03-04,52.3709
2024-03-01,52.0206
2024-02-29,51.8339
2024-02-28,51.7470
2024-02-27,52.1977
2024-02-26,51.9176
2024-02-23,51.5226
2024-02-22,51.8616
2024-02-21,51.4301
2024-02-20,51.1764
2024-02-16,53.1281
2024-02-15,53.6897
2024-02-14,53.6852
2024-02-13,53.4080
2024-02-12,54.4461
2024-02-09,54.1434
2024-02-08,54.1389
2024-02-07,54.0603
2024-02-06,54.5009
2024-02-05,54.7693
2024-02-02,54.5228
2024-02-01,54.3489
2024-01-31,54.3847
2024-01-30,54.7429
2024-01-29,54.3150
2024-01-26,54.4940
2024-01-25,54.3356
2024-01-24,53.9211
2024-01-23,53.9389
2024-01-22,54.3950
2024-01-19,53.7503
2024-01-18,53.5372
2024-01-17,53.7186
2024-01-16,53.7485
2024-01-12,53.9463
2024-01-11,53.7517
2024-01-10,53.5508
2024-01-09,53.3329
2024-01-08,53.0098
2024-01-05,52.8741
2024-01-04,53.1357
