,SMA
2024-06-04,546.4290
2024-06-03,546.8399
2024-05-31,547.1911
2024-05-30,547.5442
2024-05-29,547.7536
2024-05-28,547.9439
2024-05-24,548.1840
2024-05-23,548.3805
2024-05-22,548.5585
2024-05-21,548.7887
2024-05-20,549.0164
2024-05-17,549.2164
2024-05-16,549.4964
2024-05-15,549.8018
2024-05-14,550.1074
2024-05-13,550.2825
2024-05-10,550.4671
2024-05-09,550.6520
2024-05-08,550.8021
2024-05-07,550.9522
2024-05-06,551.0984
2024-05-03,551.2581
2024-05-02,551.5191
2024-05-01,551.7458
2024-04-30,552.0052
2024-04-29,552.2319
2024-04-26,552.3898
2024-04-25,552.5753
2024-04-24,552.7196
2024-04-23,552.7813
2024-04-22,552.8426
2024-04-19,552.8915
2024-04-18,552.9137
2024-04-17,552.9619
2024-04-16,552.9890
2024-04-15,553.0614
2024-04-12,553.0863
2024-04-11,553.0965
2024-04-10,553.0748
2024-04-09,552.9926
2024-04-08,552.9332
2024-04-05,552.9693
2024-04-04,552.9532
2024-04-03,553.0266
2024-04-02,552.9171
2024-04-01,552.8258
2024-03-28,552.7494
2024-03-27,552.5274
2024-03-26,552.2346
2024-03-25,551.8150
2024-03-22,551.5039
2024-03-21,551.1213
2024-03-20,550.6983
2024-03-19,550.2419
2024-03-18,549.7539
2024-03-15,549.3456
2024-03-14,548.9971
2024-03-13,548.0907
2024-03-12,547.0729
2024-03-11,546.0719
2024-03-08,545.1687
2024-03-07,544.2600
2024-03-06,543.3250
2024-03-05,542.3700
2024-03-04,541.2838
2024-03-01,540.1405
2024-02-29,539.0217
2024-02-28,537.9498
2024-02-27,536.8992
2024-02-26,535.8109
2024-02-23,534.7406
2024-02-22,533.7632
2024-02-21,532.6884
2024-02-20,531.7294
2024-02-16,530.8894
2024-02-15,529.8117
2024-02-14,528.6642
2024-02-13,527.4921
2024-02-12,526.3383
2024-02-09,525.0513
2024-02-08,523.8394
2024-02-07,522.6431
2024-02-06,521.4767
2024-02-05,520.2290
2024-02-02,518.9534
2024-02-01,517.7339
2024-01-31,516.5370
2024-01-30,515.3188
2024-01-29,514.0348
2024-01-26,512.8384
2024-01-25,511.6049
2024-01-24,510.4052
2024-01-23,509.2932
2024-01-22,508.2026
2024-01-19,507.0388
2024-01-18,505.9742
2024-01-17,504.9511
2024-01-16,503.8994
2024-01-12,502.8187
2024-01-11,501.6938
2024-01-10,500.6164
2024-01-09,499.5404
2024-01-08,498.4937
2024-01-05,497.5293
2024-01-04,496.5350
2024-01-03,495.4681
2024-01-02,494.3691
2023-12-29,493.1444
2023-12-28,491.8139
2023-12-27,490.4878
2023-12-26,489.1419
2023-12-22,487.8390
2023-12-21,486.5586
2023-12-20,485.2773
2023-12-19,484.0130
2023-12-18,482.7347
2023-12-15,481.4505
2023-12-14,480.1644
2023-12-13,478.8184
2023-12-12,477.2832
2023-12-11,475.7640
2023-12-08,474.3202
2023-12-07,473.0474
2023-12-06,471.7863
2023-12-05,470.4999
2023-12-04,469.3126
2023-12-01,468.1182
2023-11-30,466.9500
2023-11-29,465.7250
2023-11-28,464.4624
2023-11-27,463.2506
2023-11-24,462.0815
2023-11-22,460.9126
2023-11-21,459.6966
2023-11-20,458.5245
2023-11-17,457.4194
2023-11-16,456.3755
2023-11-15,455.2483
2023-11-14,454.0468
2023-11-13,452.8685
2023-11-10,451.7361
2023-11-09,450.6474
2023-11-08,449.4882
2023-11-07,448.3637
2023-11-06,447.3111
2023-11-03,446.1974
2023-11-02,445.1002
2023-11-01,444.0731
2023-10-31,443.1200
2023-10-30,442.1680
2023-10-27,441.3083
2023-10-26,440.4077
2023-10-25,439.4460
2023-10-24,438.4727
2023-10-23,437.4109
2023-10-20,436.4195
2023-10-19,435.3552
2023-10-18,434.2560
2023-10-17,433.1486
2023-10-16,432.0753
2023-10-13,430.9847
2023-10-12,429.8747
2023-10-11,428.7812
2023-10-10,427.7683
2023-10-09,426.8152
2023-10-06,425.8402
2023-10-05,424.9641
2023-10-04,424.0899
2023-10-03,423.1941
2023-10-02,422.3259
2023-09-29,421.5529
2023-09-28,420.6995
2023-09-27,419.8570
2023-09-26,418.9480
2023-09-25,418.0349
2023-09-22,417.1481
2023-09-21,416.2717
2023-09-20,415.3603
2023-09-19,414.3920
2023-09-18,413.3708
2023-09-15,412.3831
2023-09-14,411.4017
2023-09-13,410.3107
2023-09-12,409.1753
2023-09-11,408.0096
2023-09-08,406.8472
2023-09-07,405.7242
2023-09-06,404.6129
2023-09-05,403.5357
2023-09-01,402.4883
2023-08-31,401.3547
2023-08-30,400.2714
2023-08-29,399.1636
2023-08-28,398.0234
2023-08-25,396.9006
2023-08-24,395.7709
2023-08-23,394.5278
2023-08-22,393.3995
2023-08-21,392.3451
2023-08-18,391.3987
2023-08-17,390.4929
2023-08-16,389.4612
2023-08-15,388.4870
2023-08-14,387.4860
2023-08-11,386.5477
2023-08-10,385.5357
2023-08-09,384.4355
2023-08-08,383.3379
2023-08-07,382.1950
2023-08-04,381.0584
2023-08-03,379.9119
2023-08-02,378.7725
2023-08-01,377.4745
2023-07-31,376.1690
2023-07-28,374.8881
2023-07-27,373.7597
2023-07-26,372.6007
2023-07-25,371.4840
2023-07-24,370.3440
2023-07-21,369.1987
2023-07-20,367.9813
2023-07-19,366.7696
2023-07-18,365.4862
2023-07-17,364.2899
2023-07-14,363.1334
2023-07-13,361.9769
2023-07-12,360.8566
2023-07-11,359.7196
2023-07-10,358.6974
2023-07-07,357.7352
2023-07-06,356.7997
2023-07-05,355.8913
2023-07-03,355.1021
2023-06-30,354.5180
2023-06-29,354.0171
2023-06-28,353.5502
2023-06-27,353.0911
2023-06-26,352.5771
2023-06-23,352.0031
2023-06-22,351.4745
2023-06-21,350.9765
2023-06-20,350.3715
2023-06-16,349.8360
2023-06-15,349.1445
2023-06-14,348.6676
2023-06-13,348.3068
2023-06-12,347.8872
2023-06-09,347.6220
2023-06-08,347.3893
2023-06-07,347.3656
2023-06-06,347.3507
2023-06-05,347.3810
2023-06-02,347.4203
2023-06-01,347.4909
2023-05-31,347.6548
2023-05-30,347.7834
2023-05-26,347.8600
2023-05-25,348.0835
2023-05-24,348.3777
2023-05-23,348.7107
2023-05-22,348.9666
2023-05-19,349.2376
2023-05-18,349.4867
2023-05-17,349.7284
2023-05-16,350.0341
2023-05-15,350.3366
2023-05-12,350.6136
2023-05-11,350.8365
2023-05-10,351.0950
2023-05-09,351.3543
2023-05-08,351.6919
2023-05-05,351.9725
2023-05-04,352.2386
2023-05-03,352.4132
2023-05-02,352.5149
2023-05-01,352.5321
2023-04-28,352.4937
2023-04-27,352.4776
2023-04-26,352.5674
2023-04-25,352.6572
2023-04-24,352.7108
2023-04-21,352.7404
2023-04-20,352.7332
2023-04-19,352.6705
2023-04-18,352.6019
2023-04-17,352.5119
2023-04-14,352.4535
2023-04-13,352.4767
2023-04-12,352.5547
2023-04-11,352.5758
2023-04-10,352.5643
2023-04-06,352.4908
2023-04-05,352.3694
2023-04-04,352.1951
2023-04-03,352.1308
2023-03-31,352.1065
2023-03-30,352.0523
2023-03-29,352.0308
2023-03-28,352.2119
2023-03-27,352.4657
2023-03-24,352.7358
2023-03-23,353.0046
2023-03-22,353.3476
2023-03-21,353.6261
2023-03-20,353.8935
2023-03-17,354.2455
2023-03-16,354.6077
2023-03-15,354.9588
2023-03-14,355.3343
2023-03-13,355.6498
2023-03-10,356.0108
2023-03-09,356.3391
2023-03-08,356.6225
2023-03-07,356.8838
2023-03-06,357.1664
2023-03-03,357.5102
2023-03-02,357.8354
2023-03-01,358.2009
2023-02-28,358.4489
2023-02-27,358.7820
2023-02-24,359.1005
2023-02-23,359.3696
2023-02-22,359.5924
2023-02-21,359.9367
2023-02-17,360.2193
2023-02-16,360.4557
2023-02-15,360.6111
2023-02-14,360.7705
2023-02-13,360.9261
2023-02-10,361.0663
2023-02-09,361.2590
2023-02-08,361.3626
2023-02-07,361.5537
2023-02-06,361.8500
2023-02-03,362.1719
2023-02-02,362.3606
2023-02-01,362.4912
2023-01-31,362.8204
2023-01-30,363.1334
2023-01-27,363.5173
2023-01-26,363.8939
2023-01-25,364.3299
2023-01-24,364.7720
2023-01-23,365.1927
2023-01-20,365.7479
2023-01-19,366.3367
2023-01-18,366.9089
2023-01-17,367.4918
2023-01-13,368.0775
2023-01-12,368.6721
2023-01-11,369.1183
2023-01-10,369.6086
2023-01-09,370.0507
2023-01-06,370.5438
2023-01-05,371.1499
2023-01-04,371.7193
2023-01-03,372.2009
2022-12-30,372.7064
2022-12-29,373.2001
2022-12-28,373.6262
2022-12-27,374.0177
2022-12-23,374.5260
2022-12-22,375.0744
2022-12-21,375.6133
2022-12-20,376.0744
2022-12-19,376.7205
2022-12-16,377.3080
2022-12-15,377.9621
2022-12-14,378.6580
2022-12-13,379.2786
2022-12-12,379.8224
2022-12-09,380.4756
2022-12-08,380.9110
2022-12-07,381.5214
2022-12-06,382.0855
2022-12-05,382.7085
2022-12-02,383.3852
2022-12-01,384.0816
2022-11-30,384.7541
2022-11-29,385.4845
2022-11-28,386.3407
2022-11-25,387.2019
2022-11-23,388.1392
2022-11-22,388.9977
2022-11-21,389.9653
2022-11-18,390.8365
2022-11-17,391.7293
2022-11-16,392.7519
2022-11-15,393.7069
2022-11-14,394.5597
2022-11-11,395.3398
2022-11-10,396.2328
2022-11-09,397.2101
2022-11-08,398.2394
2022-11-07,399.1890
2022-11-04,400.2866
2022-11-03,401.4466
2022-11-02,402.5437
2022-11-01,403.5014
2022-10-31,404.4688
2022-10-28,405.5125
2022-10-27,406.5846
2022-10-26,407.5976
2022-10-25,408.5068
2022-10-24,409.4795
2022-10-21,410.4873
2022-10-20,411.6574
2022-10-19,412.9717
2022-10-18,414.3280
2022-10-17,415.6646
2022-10-14,417.0302
2022-10-13,418.4212
2022-10-12,419.9369
2022-10-11,421.3886
2022-10-10,422.8050
2022-10-07,424.1577
2022-10-06,425.4555
2022-10-05,426.6978
2022-10-04,428.0712
2022-10-03,429.5084
2022-09-30,431.1969
2022-09-29,432.9752
2022-09-28,434.8501
2022-09-27,436.6388
2022-09-26,438.4849
2022-09-23,440.2913
2022-09-22,442.0844
2022-09-21,443.7617
2022-09-20,445.5880
2022-09-19,447.4037
2022-09-16,449.3093
2022-09-15,451.2538
2022-09-14,452.9780
2022-09-13,454.4814
2022-09-12,455.8478
2022-09-09,457.2059
2022-09-08,458.7363
2022-09-07,460.2566
2022-09-06,461.7687
2022-09-02,463.2914
2022-09-01,464.7144
2022-08-31,466.1513
2022-08-30,467.5037
2022-08-29,468.8521
2022-08-26,470.2677
2022-08-25,471.5862
2022-08-24,472.8900
2022-08-23,474.2203
2022-08-22,475.4657
2022-08-19,476.5962
2022-08-18,477.6439
2022-08-17,478.7061
2022-08-16,479.6906
2022-08-15,480.6500
2022-08-12,481.6471
2022-08-11,482.7036
2022-08-10,483.6996
2022-08-09,484.6947
2022-08-08,485.6830
2022-08-05,486.7044
2022-08-04,487.7157
2022-08-03,488.6417
2022-08-02,489.6361
2022-08-01,490.6094
2022-07-29,491.5031
2022-07-28,492.3755
2022-07-27,493.2842
2022-07-26,494.2653
2022-07-25,495.1897
2022-07-22,495.9953
2022-07-21,496.7647
2022-07-20,497.6171
2022-07-19,498.5437
2022-07-18,499.5325
2022-07-15,500.5406
2022-07-14,501.6332
2022-07-13,502.8681
2022-07-12,504.1671
2022-07-11,505.4090
2022-07-08,506.6001
2022-07-07,507.9127
2022-07-06,509.2304
2022-07-05,510.6537
2022-07-01,512.1239
2022-06-30,513.5646
2022-06-29,514.9801
2022-06-28,516.4556
2022-06-27,517.8815
2022-06-24,519.2617
2022-06-23,520.6592
2022-06-22,522.1374
2022-06-21,523.6556
2022-06-17,525.2296
2022-06-16,526.8060
2022-06-15,528.2986
2022-06-14,529.7174
2022-06-13,531.1228
2022-06-10,532.5039
2022-06-09,533.7325
2022-06-08,534.9073
2022-06-07,535.9840
2022-06-06,537.0633
2022-06-03,537.9997
2022-06-02,539.0102
2022-06-01,540.1024
2022-05-31,541.1475
2022-05-27,542.1839
2022-05-26,543.2399
2022-05-25,544.3332
2022-05-24,545.5090
2022-05-23,546.6759
2022-05-20,547.8022
2022-05-19,548.9302
2022-05-18,550.0475
2022-05-17,551.1267
2022-05-16,552.1907
2022-05-13,553.2871
2022-05-12,554.3900
2022-05-11,555.6279
2022-05-10,556.7830
2022-05-09,557.9753
2022-05-06,559.1943
2022-05-05,560.2922
2022-05-04,561.2431
2022-05-03,562.2336
2022-05-02,563.2144
2022-04-29,564.2723
2022-04-28,565.2769
2022-04-27,566.2870
2022-04-26,567.2826
2022-04-25,568.2617
2022-04-22,569.2404
2022-04-21,570.1150
2022-04-20,570.9516
2022-04-19,571.7280
2022-04-18,572.5612
2022-04-14,573.3809
2022-04-13,574.1553
2022-04-12,574.9527
2022-04-11,575.6528
2022-04-08,576.3520
2022-04-07,576.9817
2022-04-06,577.6512
2022-04-05,578.2526
2022-04-04,578.7359
2022-04-01,579.2805
2022-03-31,579.7055
2022-03-30,580.1398
2022-03-29,580.6072
2022-03-28,581.0366
2022-03-25,581.5183
2022-03-24,581.9110
2022-03-23,582.3506
2022-03-22,582.7188
2022-03-21,582.9762
2022-03-18,583.2128
2022-03-17,583.4788
2022-03-16,583.7484
2022-03-15,584.1124
2022-03-14,584.5629
2022-03-11,585.0211
2022-03-10,585.3542
2022-03-09,585.6259
2022-03-08,585.8801
2022-03-07,586.1885
2022-03-04,586.3258
2022-03-03,586.4134
2022-03-02,586.4574
2022-03-01,586.5329
2022-02-28,586.6010
2022-02-25,586.6791
2022-02-24,586.7381
2022-02-23,587.0003
2022-02-22,587.1991
2022-02-18,587.4773
2022-02-17,587.6122
2022-02-16,587.7250
2022-02-15,587.8399
2022-02-14,587.9821
2022-02-11,588.1867
2022-02-10,588.2877
2022-02-09,588.3235
2022-02-08,588.3117
2022-02-07,588.3714
2022-02-04,588.3354
2022-02-03,588.3569
2022-02-02,588.3177
2022-02-01,588.2129
2022-01-31,588.1485
2022-01-28,588.1747
2022-01-27,588.2826
2022-01-26,588.3079
2022-01-25,588.2721
2022-01-24,588.2410
2022-01-21,588.2775
2022-01-20,588.2358
2022-01-19,588.0888
2022-01-18,587.9680
2022-01-14,587.8345
2022-01-13,587.6777
2022-01-12,587.3651
2022-01-11,587.0125
2022-01-10,586.7299
2022-01-07,586.4812
2022-01-06,586.1545
2022-01-05,585.9283
2022-01-04,585.5401
2022-01-03,584.9449
2021-12-31,584.3075
2021-12-30,583.6733
2021-12-29,583.0477
2021-12-28,582.4411
2021-12-27,581.7489
2021-12-23,581.0909
2021-12-22,580.4868
2021-12-21,579.9139
2021-12-20,579.3486
2021-12-17,578.8193
2021-12-16,578.2133
2021-12-15,577.5535
2021-12-14,576.7898
2021-12-13,575.9782
2021-12-10,575.0427
2021-12-09,574.1661
2021-12-08,573.2677
2021-12-07,572.3487
2021-12-06,571.4328
2021-12-03,570.6979
2021-12-02,569.8432
2021-12-01,568.9950
2021-11-30,568.0921
2021-11-29,567.1561
2021-11-26,566.2919
2021-11-24,565.4133
2021-11-23,564.6300
2021-11-22,563.7915
2021-11-19,562.7814
2021-11-18,561.8297
2021-11-17,560.8977
