,EMA
2024-06-04,148.0111
2024-06-03,147.8621
2024-05-31,147.6314
2024-05-30,147.4402
2024-05-29,147.2346
2024-05-28,147.0313
2024-05-24,146.8063
2024-05-23,146.6595
2024-05-22,146.4231
2024-05-21,146.2122
2024-05-20,146.0334
2024-05-17,145.8373
2024-05-16,145.6102
2024-05-15,145.4564
2024-05-14,145.3545
2024-05-13,145.3035
2024-05-10,145.2435
2024-05-09,145.1526
2024-05-08,145.0724
2024-05-07,144.9887
2024-05-06,144.8748
2024-05-03,144.7921
2024-05-02,144.7524
2024-05-01,144.7448
2024-04-30,144.7109
2024-04-29,144.5509
2024-04-26,144.4049
2024-04-25,144.3061
2024-04-24,144.2574
2024-04-23,144.1337
2024-04-22,144.0582
2024-04-19,144.0171
2024-04-18,143.9410
2024-04-17,143.8247
2024-04-16,143.6222
2024-04-15,143.4347
2024-04-12,143.2237
2024-04-11,143.0096
2024-04-10,142.7630
2024-04-09,142.5223
2024-04-08,142.2441
2024-04-05,141.9832
2024-04-04,141.7207
2024-04-03,141.3066
2024-04-02,140.9425
2024-04-01,140.5553
2024-03-28,140.1578
2024-03-27,139.7627
2024-03-26,139.3588
2024-03-25,138.9549
2024-03-22,138.6138
2024-03-21,138.2259
2024-03-20,137.7460
2024-03-19,137.3010
2024-03-18,136.8401
2024-03-15,136.2728
2024-03-14,135.7848
2024-03-13,135.2105
2024-03-12,134.5722
2024-03-11,133.9094
2024-03-08,133.2149
2024-03-07,132.4089
2024-03-06,131.6038
2024-03-05,130.8115
2024-03-04,130.1112
2024-03-01,129.3569
2024-02-29,128.6679
2024-02-28,128.1538
2024-02-27,127.6705
2024-02-26,127.1855
2024-02-23,126.6670
2024-02-22,126.1123
2024-02-21,125.6391
2024-02-20,125.2662
2024-02-16,124.8051
2024-02-15,124.2760
2024-02-14,123.7246
2024-02-13,123.2247
2024-02-12,122.7753
2024-02-09,122.2737
2024-02-08,121.7840
2024-02-07,121.2961
2024-02-06,120.8120
2024-02-05,120.2860
2024-02-02,119.6950
2024-02-01,119.1513
2024-01-31,118.6476
2024-01-30,118.1743
2024-01-29,117.5918
2024-01-26,116.9770
2024-01-25,116.3909
2024-01-24,115.7173
2024-01-23,115.1462
2024-01-22,114.6300
2024-01-19,114.0294
2024-01-18,113.5091
2024-01-17,112.9796
2024-01-16,112.5226
2024-01-12,112.1423
2024-01-11,111.7815
2024-01-10,111.4123
2024-01-09,111.0238
2024-01-08,110.6728
2024-01-05,110.3744
2024-01-04,110.1090
2024-01-03,109.8659
2024-01-02,109.6062
2023-12-29,109.2577
2023-12-28,108.8532
2023-12-27,108.4719
2023-12-26,108.1076
2023-12-22,107.7863
2023-12-21,107.4577
2023-12-20,107.1494
2023-12-19,106.8293
2023-12-18,106.5103
2023-12-15,106.1822
2023-12-14,105.8472
2023-12-13,105.5151
2023-12-12,105.1889
2023-12-11,104.9169
2023-12-08,104.6592
2023-12-07,104.4092
2023-12-06,104.2446
2023-12-05,104.0793
2023-12-04,103.9451
2023-12-01,103.7863
2023-11-30,103.6245
2023-11-29,103.4237
2023-11-28,103.2171
2023-11-27,103.0285
2023-11-24,102.8371
2023-11-22,102.6442
2023-11-21,102.4698
2023-11-20,102.2882
2023-11-17,102.1032
2023-11-16,101.9269
2023-11-15,101.7734
2023-11-14,101.5848
2023-11-13,101.4027
2023-11-10,101.2325
2023-11-09,101.1007
2023-11-08,100.9701
2023-11-07,100.8437
2023-11-06,100.7329
2023-11-03,100.6137
2023-11-02,100.5289
2023-11-01,100.4542
2023-10-31,100.4730
2023-10-30,100.5156
2023-10-27,100.5596
2023-10-26,100.6074
2023-10-25,100.6538
2023-10-24,100.6562
2023-10-23,100.6530
2023-10-20,100.6514
2023-10-19,100.6351
2023-10-18,100.6032
2023-10-17,100.5753
2023-10-16,100.5455
2023-10-13,100.4965
2023-10-12,100.4145
2023-10-11,100.3343
2023-10-10,100.2458
2023-10-09,100.1730
2023-10-06,100.1143
2023-10-05,100.0937
2023-10-04,100.0605
2023-10-03,100.0545
2023-10-02,100.0370
2023-09-29,100.0152
2023-09-28,99.9682
2023-09-27,99.9886
2023-09-26,100.0204
2023-09-25,100.0558
2023-09-22,100.0971
2023-09-21,100.1290
2023-09-20,100.1444
2023-09-19,100.1221
2023-09-18,100.1058
2023-09-15,100.0986
2023-09-14,100.0386
2023-09-13,99.9543
2023-09-12,99.9026
2023-09-11,99.8594
2023-09-08,99.7844
2023-09-07,99.7117
2023-09-06,99.6471
2023-09-05,99.5374
2023-09-01,99.4423
2023-08-31,99.3664
2023-08-30,99.2978
2023-08-29,99.2365
2023-08-28,99.2076
2023-08-25,99.1647
2023-08-24,99.1446
2023-08-23,99.0249
2023-08-22,98.9583
2023-08-21,98.8534
2023-08-18,98.7795
2023-08-17,98.7431
2023-08-16,98.6539
2023-08-15,98.5390
2023-08-14,98.4038
2023-08-11,98.3200
2023-08-10,98.2141
2023-08-09,98.0826
2023-08-08,97.9338
2023-08-07,97.7629
2023-08-04,97.5760
2023-08-03,97.4061
2023-08-02,97.2901
2023-08-01,97.0669
2023-07-31,96.8941
2023-07-28,96.7206
2023-07-27,96.5532
2023-07-26,96.4001
2023-07-25,96.2442
2023-07-24,96.0945
2023-07-21,95.9485
2023-07-20,95.7975
2023-07-19,95.6050
2023-07-18,95.3467
2023-07-17,95.1236
2023-07-14,94.9143
2023-07-13,94.7006
2023-07-12,94.4890
2023-07-11,94.3040
2023-07-10,94.1296
2023-07-07,93.9400
2023-07-06,93.7367
2023-07-05,93.5525
2023-07-03,93.3259
2023-06-30,93.1064
2023-06-29,92.9062
2023-06-28,92.7137
2023-06-27,92.5579
2023-06-26,92.3970
2023-06-23,92.2106
2023-06-22,92.0387
2023-06-21,91.8357
2023-06-20,91.5679
2023-06-16,91.2913
2023-06-15,90.9443
2023-06-14,90.5981
2023-06-13,90.2370
2023-06-12,89.8141
2023-06-09,89.4251
2023-06-08,89.0819
2023-06-07,88.7883
2023-06-06,88.4342
2023-06-05,88.1379
2023-06-02,87.8520
2023-06-01,87.5213
2023-05-31,87.2222
2023-05-30,86.8684
2023-05-26,86.4308
2023-05-25,86.0687
2023-05-24,85.7547
2023-05-23,85.5515
2023-05-22,85.3334
2023-05-19,85.1389
2023-05-18,84.9257
2023-05-17,84.7342
2023-05-16,84.5628
2023-05-15,84.4338
2023-05-12,84.3256
2023-05-11,84.2000
2023-05-10,84.0597
2023-05-09,83.9355
2023-05-08,83.8254
2023-05-05,83.7634
2023-05-04,83.7511
2023-05-03,83.7730
2023-05-02,83.7754
2023-05-01,83.7196
2023-04-28,83.6462
2023-04-27,83.6123
2023-04-26,83.5841
2023-04-25,83.5547
2023-04-24,83.5211
2023-04-21,83.4750
2023-04-20,83.4114
2023-04-19,83.3570
2023-04-18,83.3052
2023-04-17,83.2218
2023-04-14,83.1513
2023-04-13,83.0642
2023-04-12,82.9665
2023-04-11,82.8458
2023-04-10,82.7130
2023-04-06,82.6265
2023-04-05,82.5376
2023-04-04,82.4189
2023-04-03,82.2720
2023-03-31,82.1270
2023-03-30,81.9842
2023-03-29,81.8232
2023-03-28,81.6801
2023-03-27,81.5284
2023-03-24,81.3627
2023-03-23,81.1836
2023-03-22,80.9940
2023-03-21,80.8467
2023-03-20,80.6843
2023-03-17,80.5274
2023-03-16,80.3653
2023-03-15,80.2712
2023-03-14,80.2059
2023-03-13,80.1711
2023-03-10,80.1589
2023-03-09,80.1155
2023-03-08,80.0635
2023-03-07,80.0361
2023-03-06,80.0257
2023-03-03,80.0056
2023-03-02,80.0016
2023-03-01,80.0261
2023-02-28,80.0409
2023-02-27,80.0627
2023-02-24,80.0669
2023-02-23,80.0902
2023-02-22,80.0848
2023-02-21,80.1165
2023-02-17,80.1463
2023-02-16,80.1518
2023-02-15,80.1234
2023-02-14,80.0734
2023-02-13,80.0470
2023-02-10,80.0317
2023-02-09,80.0090
2023-02-08,79.9500
2023-02-07,79.8904
2023-02-06,79.8459
2023-02-03,79.7978
2023-02-02,79.7289
2023-02-01,79.6830
2023-01-31,79.6952
2023-01-30,79.7699
2023-01-27,79.8256
2023-01-26,79.8872
2023-01-25,79.9212
2023-01-24,79.9918
2023-01-23,80.0545
2023-01-20,80.1332
2023-01-19,80.2550
2023-01-18,80.3684
2023-01-17,80.4538
2023-01-13,80.5501
2023-01-12,80.6578
2023-01-11,80.7642
2023-01-10,80.8886
2023-01-09,81.0315
2023-01-06,81.1803
2023-01-05,81.3616
2023-01-04,81.5346
2023-01-03,81.7007
2022-12-30,81.8585
2022-12-29,82.0403
2022-12-28,82.2253
2022-12-27,82.4232
2022-12-23,82.6096
2022-12-22,82.8056
2022-12-21,82.9737
2022-12-20,83.1500
2022-12-19,83.3449
2022-12-16,83.5281
2022-12-15,83.7017
2022-12-14,83.8635
2022-12-13,83.9935
2022-12-12,84.0852
2022-12-09,84.2414
2022-12-08,84.3897
2022-12-07,84.5329
2022-12-06,84.6836
2022-12-05,84.8003
2022-12-02,84.9034
2022-12-01,85.0024
2022-11-30,85.0697
2022-11-29,85.1872
2022-11-28,85.3034
2022-11-25,85.4189
2022-11-23,85.5169
2022-11-22,85.6177
2022-11-21,85.7473
2022-11-18,85.8834
2022-11-17,85.9920
2022-11-16,86.1471
2022-11-15,86.2727
2022-11-14,86.3633
2022-11-11,86.4752
2022-11-10,86.6451
2022-11-09,86.8696
2022-11-08,87.1168
2022-11-07,87.3482
2022-11-04,87.5936
2022-11-03,87.8458
2022-11-02,88.1446
2022-11-01,88.3974
2022-10-31,88.6678
2022-10-28,88.9484
2022-10-27,89.2484
2022-10-26,89.5263
2022-10-25,89.8261
2022-10-24,90.1383
2022-10-21,90.4556
2022-10-20,90.7896
2022-10-19,91.1245
2022-10-18,91.4642
2022-10-17,91.7813
2022-10-14,92.1274
2022-10-13,92.4543
2022-10-12,92.8255
2022-10-11,93.1810
2022-10-10,93.5425
2022-10-07,93.9067
2022-10-06,94.2072
2022-10-05,94.4723
2022-10-04,94.7526
2022-10-03,95.0187
2022-09-30,95.3259
2022-09-29,95.6446
2022-09-28,95.9309
2022-09-27,96.2206
2022-09-26,96.5052
2022-09-23,96.7930
2022-09-22,97.0824
2022-09-21,97.3155
2022-09-20,97.5354
2022-09-19,97.7510
2022-09-16,97.9757
2022-09-15,98.2004
2022-09-14,98.4171
2022-09-13,98.6314
2022-09-12,98.8090
2022-09-09,98.9489
2022-09-08,99.0988
2022-09-07,99.2905
2022-09-06,99.4920
2022-09-02,99.6838
2022-09-01,99.8483
2022-08-31,100.0242
2022-08-30,100.1623
2022-08-29,100.2639
2022-08-26,100.3666
2022-08-25,100.4075
2022-08-24,100.4806
2022-08-23,100.5637
2022-08-22,100.6458
2022-08-19,100.7086
2022-08-18,100.7291
2022-08-17,100.7591
2022-08-16,100.7742
2022-08-15,100.7736
2022-08-12,100.7763
2022-08-11,100.7921
2022-08-10,100.8008
2022-08-09,100.8244
2022-08-08,100.8533
2022-08-05,100.8612
2022-08-04,100.8593
2022-08-03,100.8931
2022-08-02,100.9540
2022-08-01,101.0067
2022-07-29,101.0612
2022-07-28,101.1653
2022-07-27,101.2734
2022-07-26,101.4174
2022-07-25,101.5623
2022-07-22,101.7130
2022-07-21,101.8287
2022-07-20,101.9516
2022-07-19,102.1181
2022-07-18,102.3126
2022-07-15,102.5146
2022-07-14,102.7474
2022-07-13,102.9938
2022-07-12,103.2757
2022-07-11,103.5400
2022-07-08,103.7982
2022-07-07,104.0544
2022-07-06,104.3243
2022-07-05,104.6173
2022-07-01,104.9454
2022-06-30,105.2445
2022-06-29,105.5210
2022-06-28,105.7820
2022-06-27,105.9837
2022-06-24,106.1709
2022-06-23,106.3982
2022-06-22,106.6201
2022-06-21,106.8435
2022-06-17,107.0713
2022-06-16,107.3214
2022-06-15,107.5293
2022-06-14,107.7266
2022-06-13,107.9308
2022-06-10,108.0984
2022-06-09,108.1916
2022-06-08,108.2582
2022-06-07,108.2952
2022-06-06,108.3360
2022-06-03,108.3366
2022-06-02,108.3621
2022-06-01,108.4383
2022-05-31,108.5017
2022-05-27,108.5628
2022-05-26,108.6474
2022-05-25,108.8214
2022-05-24,109.0062
2022-05-23,109.1717
2022-05-20,109.3477
2022-05-19,109.4579
2022-05-18,109.5862
2022-05-17,109.6826
2022-05-16,109.8012
2022-05-13,109.9614
2022-05-12,110.1791
2022-05-11,110.4161
2022-05-10,110.6430
2022-05-09,110.8587
2022-05-06,111.0395
2022-05-05,111.2074
2022-05-04,111.3436
2022-05-03,111.4759
2022-05-02,111.6933
2022-04-29,111.9549
2022-04-28,112.1952
2022-04-27,112.4517
2022-04-26,112.7352
2022-04-25,112.9663
2022-04-22,113.1985
2022-04-21,113.4313
2022-04-20,113.6150
2022-04-19,113.7735
2022-04-18,113.9784
2022-04-14,114.1990
2022-04-13,114.3581
2022-04-12,114.5496
2022-04-11,114.7081
2022-04-08,114.8700
2022-04-07,114.9942
2022-04-06,115.1055
2022-04-05,115.2126
2022-04-04,115.2682
2022-04-01,115.3214
2022-03-31,115.3701
2022-03-30,115.3606
2022-03-29,115.2835
2022-03-28,115.2132
2022-03-25,115.1882
2022-03-24,115.1407
2022-03-23,115.1425
2022-03-22,115.1510
2022-03-21,115.1482
2022-03-18,115.1625
2022-03-17,115.2015
2022-03-16,115.2323
2022-03-15,115.2688
2022-03-14,115.3955
2022-03-11,115.5202
2022-03-10,115.5945
2022-03-09,115.6618
2022-03-08,115.7347
2022-03-07,115.8646
2022-03-04,115.9383
2022-03-03,115.9779
2022-03-02,115.9563
2022-03-01,115.9612
2022-02-28,115.8972
2022-02-25,115.8528
2022-02-24,115.8397
2022-02-23,115.9530
2022-02-22,115.9385
2022-02-18,115.9452
2022-02-17,115.9658
2022-02-16,115.9628
2022-02-15,115.9318
2022-02-14,115.9191
2022-02-11,115.9232
2022-02-10,115.8206
2022-02-09,115.6897
2022-02-08,115.5499
2022-02-07,115.4813
2022-02-04,115.4001
2022-02-03,115.3504
2022-02-02,115.3005
2022-02-01,115.1539
2022-01-31,115.1378
2022-01-28,115.2103
2022-01-27,115.3475
2022-01-26,115.3816
2022-01-25,115.3900
2022-01-24,115.4029
2022-01-21,115.4029
2022-01-20,115.3553
2022-01-19,115.2480
2022-01-18,115.0640
2022-01-14,114.8687
2022-01-13,114.6997
2022-01-12,114.4511
2022-01-11,114.2085
2022-01-10,114.0151
2022-01-07,113.8637
2022-01-06,113.6384
2022-01-05,113.4118
2022-01-04,113.1163
2022-01-03,112.7354
2021-12-31,112.4098
2021-12-30,112.0706
2021-12-29,111.7152
2021-12-28,111.3020
2021-12-27,110.8540
2021-12-23,110.4856
2021-12-22,110.1499
2021-12-21,109.8233
2021-12-20,109.5382
2021-12-17,109.2726
2021-12-16,109.0009
2021-12-15,108.6190
2021-12-14,108.3528
2021-12-13,108.1185
2021-12-10,107.8156
2021-12-09,107.4792
2021-12-08,107.1005
2021-12-07,106.7200
2021-12-06,106.3463
2021-12-03,105.9967
2021-12-02,105.5379
2021-12-01,105.1144
2021-11-30,104.5591
2021-11-29,103.9689
2021-11-26,103.4309
2021-11-24,102.9046
2021-11-23,102.4367
2021-11-22,101.9546
2021-11-19,101.4000
2021-11-18,100.8536
2021-11-17,100.2886
2021-11-16,99.7691
2021-11-15,99.3052
2021-11-12,98.8158
2021-11-11,98.3413
2021-11-10,97.8930
2021-11-09,97.4303
2021-11-08,96.8616
2021-11-05,96.4512
2021-11-04,96.0217
2021-11-03,95.6600
2021-11-02,95.3375
2021-11-01,95.0396
2021-10-29,94.7943
2021-10-28,94.5314
2021-10-27,94.2467
2021-10-26,93.9715
2021-10-25,93.6799
2021-10-22,93.4102
2021-10-21,93.1346
2021-10-20,92.8998
2021-10-19,92.6647
2021-10-18,92.4286
2021-10-15,92.2329
2021-10-14,92.0292
2021-10-13,91.8435
2021-10-12,91.6985
2021-10-11,91.5632
2021-10-08,91.4319
2021-10-07,91.2800
2021-10-06,91.1461
2021-10-05,91.0527
2021-10-04,90.9535
2021-10-01,90.8451
2021-09-30,90.7269
2021-09-29,90.6128
2021-09-28,90.4954
2021-09-27,90.3312
2021-09-24,90.1831
2021-09-23,90.0324
2021-09-22,89.8830
2021-09-21,89.7531
2021-09-20,89.6285
2021-09-17,89.5084
2021-09-16,89.3471
2021-09-15,89.1906
2021-09-14,89.0217
2021-09-13,88.8559
2021-09-10,88.6910
2021-09-09,88.5071
2021-09-08,88.3257
2021-09-07,88.1191
2021-09-03,87.8996
2021-09-02,87.6891
2021-09-01,87.4616
2021-08-31,87.2220
2021-08-30,86.9805
2021-08-27,86.7229
2021-08-26,86.5089
2021-08-25,86.2872
2021-08-24,86.0677
2021-08-23,85.8327
2021-08-20,85.6371
2021-08-19,85.4493
2021-08-18,85.2698
2021-08-17,85.0479
2021-08-16,84.8308
2021-08-13,84.5758
2021-08-12,84.3488
2021-08-11,84.1172
2021-08-10,83.8812
2021-08-09,83.6398
2021-08-06,83.3618
2021-08-05,83.0885
2021-08-04,82.7514
2021-08-03,82.4337
2021-08-02,82.1753
2021-07-30,81.9365
2021-07-29,81.7389
2021-07-28,81.5898
2021-07-27,81.4707
2021-07-26,81.3554
2021-07-23,81.2483
2021-07-22,81.1468
2021-07-21,81.0638
2021-07-20,81.0017
2021-07-19,80.9405
2021-07-16,80.8998
2021-07-15,80.8353
2021-07-14,80.7454
2021-07-13,80.6447
2021-07-12,80.5459
2021-07-09,80.4386
2021-07-08,80.3421
2021-07-07,80.2665
2021-07-06,80.1183
2021-07-02,79.9700
2021-07-01,79.8362
2021-06-30,79.6934
2021-06-29,79.5816
2021-06-28,79.5029
2021-06-25,79.4338
2021-06-24,79.3644
2021-06-23,79.3139
2021-06-22,79.2685
2021-06-21,79.2320
2021-06-18,79.1892
2021-06-17,79.1381
2021-06-16,79.1217
2021-06-15,79.1053
2021-06-14,79.0803
2021-06-11,79.0559
2021-06-10,79.0302
2021-06-09,79.0203
2021-06-08,78.9995
2021-06-07,78.9706
2021-06-04,78.9462
2021-06-03,78.9264
2021-06-02,78.9042
2021-06-01,78.8832
2021-05-28,78.8618
2021-05-27,78.8638
2021-05-26,78.8714
2021-05-25,78.8819
2021-05-24,78.8975
2021-05-21,78.9139
2021-05-20,78.9176
2021-05-19,78.9388
2021-05-18,78.9968
2021-05-17,79.0396
2021-05-14,79.0881
2021-05-13,79.1390
2021-05-12,79.1785
2021-05-11,79.2196
2021-05-10,79.2764
2021-05-07,79.2872
2021-05-06,79.2926
2021-05-05,79.3093
2021-05-04,79.3119
2021-05-03,79.3256
2021-04-30,79.2990
2021-04-29,79.2621
2021-04-28,79.2075
2021-04-27,79.1106
2021-04-26,79.0447
2021-04-23,79.0014
2021-04-22,78.9892
2021-04-21,78.9629
2021-04-20,78.9626
2021-04-19,78.9440
2021-04-16,78.9119
2021-04-15,78.8678
2021-04-14,78.8532
2021-04-13,78.8429
2021-04-12,78.8346
2021-04-09,78.8023
2021-04-08,78.7621
2021-04-07,78.7163
2021-04-06,78.6901
2021-04-05,78.6648
2021-04-01,78.6339
2021-03-31,78.6186
2021-03-30,78.6392
2021-03-29,78.6610
2021-03-26,78.6774
2021-03-25,78.6980
2021-03-24,78.7267
2021-03-23,78.7385
2021-03-22,78.7245
2021-03-19,78.7118
2021-03-18,78.7140
2021-03-17,78.6905
2021-03-16,78.6597
2021-03-15,78.6095
2021-03-12,78.5763
2021-03-11,78.5647
2021-03-10,78.5563
2021-03-09,78.5443
2021-03-08,78.5626
2021-03-05,78.5679
2021-03-04,78.5636
2021-03-03,78.5468
2021-03-02,78.4892
2021-03-01,78.4045
2021-02-26,78.3345
2021-02-25,78.2819
2021-02-24,78.2027
2021-02-23,78.1411
2021-02-22,78.0882
2021-02-19,77.9871
2021-02-18,77.8689
2021-02-17,77.7561
2021-02-16,77.6274
2021-02-12,77.4639
2021-02-11,77.3103
2021-02-10,77.1536
2021-02-09,77.0094
2021-02-08,76.8649
2021-02-05,76.7498
2021-02-04,76.6353
2021-02-03,76.5188
2021-02-02,76.3974
2021-02-01,76.2759
2021-01-29,76.1698
2021-01-28,76.0553
2021-01-27,75.9169
2021-01-26,75.7643
2021-01-25,75.5719
2021-01-22,75.3853
2021-01-21,75.1940
2021-01-20,75.0518
2021-01-19,74.8960
2021-01-15,74.7487
2021-01-14,74.5878
2021-01-13,74.4152
2021-01-12,74.2283
2021-01-11,73.9908
2021-01-08,73.7894
2021-01-07,73.5664
2021-01-06,73.3879
2021-01-05,73.2046
2021-01-04,73.0147
2020-12-31,72.8228
2020-12-30,72.6291
2020-12-29,72.4467
2020-12-28,72.2536
2020-12-24,72.0457
2020-12-23,71.8472
2020-12-22,71.6338
2020-12-21,71.4155
2020-12-18,71.1860
2020-12-17,70.9238
2020-12-16,70.6562
2020-12-15,70.3911
2020-12-14,70.1344
2020-12-11,69.9126
2020-12-10,69.6952
2020-12-09,69.4957
2020-12-08,69.2619
2020-12-07,69.0127
2020-12-04,68.7520
2020-12-03,68.5126
2020-12-02,68.2558
2020-12-01,68.0082
2020-11-30,67.7646
2020-11-27,67.5680
2020-11-25,67.3627
2020-11-24,67.1778
2020-11-23,66.9914
2020-11-20,66.8052
2020-11-19,66.6195
2020-11-18,66.4610
2020-11-17,66.2947
2020-11-16,66.1174
2020-11-13,65.9658
2020-11-12,65.7973
2020-11-11,65.6413
2020-11-10,65.5031
2020-11-09,65.3380
2020-11-06,65.1480
2020-11-05,64.9634
2020-11-04,64.7794
2020-11-03,64.6239
2020-11-02,64.5203
2020-10-30,64.4065
2020-10-29,64.2790
2020-10-28,64.1537
2020-10-27,64.0072
2020-10-26,63.8263
2020-10-23,63.6382
2020-10-22,63.4644
2020-10-21,63.3017
2020-10-20,63.1166
2020-10-19,62.9252
2020-10-16,62.7172
2020-10-15,62.5079
2020-10-14,62.2980
2020-10-13,62.0612
2020-10-12,61.8320
2020-10-09,61.6127
2020-10-08,61.3803
2020-10-07,61.1117
2020-10-06,60.8605
2020-10-05,60.6058
2020-10-02,60.3852
2020-10-01,60.1622
2020-09-30,59.9320
2020-09-29,59.7128
2020-09-28,59.5159
2020-09-25,59.3189
2020-09-24,59.1477
2020-09-23,58.9930
2020-09-22,58.8081
2020-09-21,58.6116
2020-09-18,58.4546
2020-09-17,58.2682
2020-09-16,58.1013
2020-09-15,57.8877
2020-09-14,57.6890
2020-09-11,57.4969
2020-09-10,57.2726
2020-09-09,57.0133
2020-09-08,56.7682
2020-09-04,56.5543
2020-09-03,56.3041
2020-09-02,55.9872
2020-09-01,55.6051
2020-08-31,55.2401
2020-08-28,54.9405
2020-08-27,54.6454
2020-08-26,54.3268
2020-08-25,53.9987
2020-08-24,53.7036
2020-08-21,53.3936
2020-08-20,53.0931
2020-08-19,52.8253
2020-08-18,52.5344
2020-08-17,52.2302
2020-08-14,51.9301
2020-08-13,51.6298
2020-08-12,51.3157
2020-08-11,51.0432
2020-08-10,50.7451
2020-08-07,50.4003
2020-08-06,50.0358
2020-08-05,49.6794
2020-08-04,49.3249
2020-08-03,49.0364
2020-07-31,48.7434
2020-07-30,48.4426
2020-07-29,48.1720
2020-07-28,47.8973
2020-07-27,47.6943
2020-07-24,47.4773
2020-07-23,47.3095
2020-07-22,47.1655
2020-07-21,47.0660
2020-07-20,46.9580
2020-07-17,46.8749
2020-07-16,46.7901
2020-07-15,46.7108
2020-07-14,46.6279
2020-07-13,46.5609
2020-07-10,46.4592
2020-07-09,46.3478
2020-07-08,46.2757
2020-07-07,46.2080
2020-07-06,46.1369
2020-07-02,46.0690
2020-07-01,45.9990
2020-06-30,45.9324
2020-06-29,45.8798
2020-06-26,45.8369
2020-06-25,45.7765
2020-06-24,45.7083
2020-06-23,45.6256
2020-06-22,45.5309
2020-06-19,45.4390
2020-06-18,45.3489
2020-06-17,45.2557
2020-06-16,45.1599
2020-06-15,45.0537
2020-06-12,44.9781
2020-06-11,44.8773
2020-06-10,44.7661
2020-06-09,44.6411
2020-06-08,44.5576
2020-06-05,44.4697
2020-06-04,44.3841
2020-06-03,44.3016
2020-06-02,44.2082
2020-06-01,44.1153
2020-05-29,44.0229
2020-05-28,43.9420
2020-05-27,43.8585
2020-05-26,43.7639
2020-05-22,43.6409
2020-05-21,43.5290
2020-05-20,43.3968
2020-05-19,43.2646
2020-05-18,43.1528
2020-05-15,43.0340
2020-05-14,42.9306
2020-05-13,42.8384
2020-05-12,42.7259
2020-05-11,42.5903
2020-05-08,42.4867
2020-05-07,42.3896
2020-05-06,42.2837
2020-05-05,42.1818
2020-05-04,42.0687
2020-05-01,41.9908
2020-04-30,41.8996
2020-04-29,41.7837
2020-04-28,41.6556
2020-04-27,41.4998
