,RSI
2024-06-05,52.5431
2024-06-04,52.6066
2024-06-03,53.2699
2024-05-31,52.9615
2024-05-30,53.0660
2024-05-29,53.0336
2024-05-28,53.1965
2024-05-24,52.6044
2024-05-23,53.3396
2024-05-22,53.1337
2024-05-21,52.8790
2024-05-20,53.0093
2024-05-17,53.2519
2024-05-16,52.6902
2024-05-15,52.2852
2024-05-14,51.8887
2024-05-13,51.9595
2024-05-10,52.2103
2024-05-09,52.1218
2024-05-08,52.1442
2024-05-07,52.3865
2024-05-06,52.1425
2024-05-03,51.8105
2024-05-02,51.5615
2024-05-01,51.7751
2024-04-30,52.8238
2024-04-29,52.7058
2024-04-26,52.3354
2024-04-25,51.9415
2024-04-24,52.5707
2024-04-23,52.1889
2024-04-22,51.9143
2024-04-19,52.2075
2024-04-18,52.5440
2024-04-17,53.2815
2024-04-16,53.1508
2024-04-15,53.3397
2024-04-12,53.3485
2024-04-11,53.6130
2024-04-10,53.5495
2024-04-09,53.8569
2024-04-08,53.7051
2024-04-05,53.6975
2024-04-04,55.0194
2024-04-03,54.6158
2024-04-02,54.7913
2024-04-01,54.8485
2024-03-28,54.8015
2024-03-27,54.8457
2024-03-26,54.8146
2024-03-25,54.3205
2024-03-22,54.7069
2024-03-21,55.5053
2024-03-20,55.2128
2024-03-19,55.3166
2024-03-18,56.2594
2024-03-15,55.6311
2024-03-14,56.4024
2024-03-13,56.9669
2024-03-12,57.1422
2024-03-11,57.3866
2024-03-08,58.4252
2024-03-07,58.3610
2024-03-06,58.2103
2024-03-05,57.4828
2024-03-04,57.9539
2024-03-01,57.4136
2024-02-29,56.0104
2024-02-28,55.7239
2024-02-27,55.6974
2024-02-26,55.9867
2024-02-23,56.3001
2024-02-22,55.6049
2024-02-21,54.7394
2024-02-20,55.6056
2024-02-16,56.2711
2024-02-15,56.4511
2024-02-14,55.9809
2024-02-13,55.5149
2024-02-12,56.0207
2024-02-09,55.8789
2024-02-08,55.8224
2024-02-07,55.7500
2024-02-06,56.1417
2024-02-05,56.7825
2024-02-02,56.3401
2024-02-01,55.9575
2024-01-31,55.6556
2024-01-30,56.7959
2024-01-29,57.0916
2024-01-26,56.7966
2024-01-25,57.7180
2024-01-24,56.7850
2024-01-23,56.2499
2024-01-22,57.1685
2024-01-19,56.3972
2024-01-18,56.4442
2024-01-17,55.7316
2024-01-16,54.9663
2024-01-12,54.7431
2024-01-11,54.7990
2024-01-10,54.9794
2024-01-09,54.5839
2024-01-08,54.0387
2024-01-05,53.6844
2024-01-04,53.4370
2024-01-03,53.5990
2024-01-02,54.5998
2023-12-29,55.2247
2023-12-28,54.9594
2023-12-27,54.7539
2023-12-26,54.2900
2023-12-22,54.3388
2023-12-21,54.1042
2023-12-20,54.2061
2023-12-19,54.1631
2023-12-18,54.2314
2023-12-15,54.2748
2023-12-14,54.2127
2023-12-13,54.1222
2023-12-12,53.5542
2023-12-11,53.3845
2023-12-08,53.2820
2023-12-07,52.3881
2023-12-06,52.3782
2023-12-05,52.0399
2023-12-04,52.3030
2023-12-01,52.3178
2023-11-30,52.7424
2023-11-29,52.7847
2023-11-28,52.5802
2023-11-27,52.5904
2023-11-24,52.5864
2023-11-22,52.3801
2023-11-21,52.4405
2023-11-20,52.4583
2023-11-17,52.3515
2023-11-16,52.1051
2023-11-15,52.4747
2023-11-14,52.3902
2023-11-13,52.2535
2023-11-10,51.8497
2023-11-09,51.8238
2023-11-08,51.7686
2023-11-07,51.5975
2023-11-06,51.6774
2023-11-03,51.3177
2023-11-02,51.2068
2023-11-01,50.2357
2023-10-31,49.9881
2023-10-30,49.9781
2023-10-27,49.9423
2023-10-26,49.9622
2023-10-25,50.4274
2023-10-24,50.4854
2023-10-23,50.4691
2023-10-20,50.6232
2023-10-19,50.7840
2023-10-18,50.7402
2023-10-17,50.7569
2023-10-16,50.9531
2023-10-13,51.2918
2023-10-12,51.2669
2023-10-11,51.3444
2023-10-10,51.1807
2023-10-09,51.0337
2023-10-06,50.6490
2023-10-05,50.7774
2023-10-04,50.5012
2023-10-03,50.6188
2023-10-02,50.6611
2023-09-29,50.9152
2023-09-28,50.2393
2023-09-27,50.1259
2023-09-26,50.0936
2023-09-25,50.0382
2023-09-22,50.1358
2023-09-21,50.3050
2023-09-20,50.6858
2023-09-19,50.6255
2023-09-18,50.5332
2023-09-15,51.0671
2023-09-14,51.3093
2023-09-13,50.9829
2023-09-12,50.8943
2023-09-11,51.2129
2023-09-08,51.1841
2023-09-07,51.0985
2023-09-06,51.5505
2023-09-05,51.3995
2023-09-01,51.2055
2023-08-31,51.1269
2023-08-30,51.0506
2023-08-29,50.7307
2023-08-28,50.8674
2023-08-25,50.6432
2023-08-24,51.6498
2023-08-23,51.1213
2023-08-22,51.5096
2023-08-21,51.1948
2023-08-18,50.8176
2023-08-17,51.3602
2023-08-16,51.6193
2023-08-15,51.8201
2023-08-14,51.3013
2023-08-11,51.5226
2023-08-10,51.7818
2023-08-09,51.9506
2023-08-08,52.1687
2023-08-07,52.3201
2023-08-04,52.1371
2023-08-03,51.5933
2023-08-02,52.7294
2023-08-01,52.2099
2023-07-31,52.1999
2023-07-28,52.1222
2023-07-27,51.9638
2023-07-26,51.9767
2023-07-25,51.9003
2023-07-24,51.8486
2023-07-21,51.8861
2023-07-20,52.3112
2023-07-19,52.9978
2023-07-18,52.6319
2023-07-17,52.4748
2023-07-14,52.4987
2023-07-13,52.4586
2023-07-12,52.1781
2023-07-11,52.0575
2023-07-10,52.2002
2023-07-07,52.3238
2023-07-06,52.1206
2023-07-05,52.5503
2023-07-03,52.4593
2023-06-30,52.2530
2023-06-29,52.1594
2023-06-28,51.7836
2023-06-27,51.8209
2023-06-26,52.0716
2023-06-23,51.9124
2023-06-22,52.2207
2023-06-21,52.8868
2023-06-20,52.9513
2023-06-16,53.6833
2023-06-15,53.6426
2023-06-14,53.7667
2023-06-13,54.4062
2023-06-12,54.0496
2023-06-09,53.5791
2023-06-08,53.0695
2023-06-07,53.7067
2023-06-06,53.1088
2023-06-05,52.9784
2023-06-02,53.4446
2023-06-01,53.1030
2023-05-31,53.6840
2023-05-30,54.6104
2023-05-26,53.8215
2023-05-25,53.2981
2023-05-24,52.1115
2023-05-23,52.2597
2023-05-22,51.9848
2023-05-19,52.1802
2023-05-18,51.9255
2023-05-17,51.6899
2023-05-16,51.2120
2023-05-15,50.9718
2023-05-12,51.1583
2023-05-11,51.3102
2023-05-10,51.1211
2023-05-09,50.9540
2023-05-08,50.4138
2023-05-05,49.8530
2023-05-04,49.4640
2023-05-03,49.6849
2023-05-02,50.3412
2023-05-01,50.5377
2023-04-28,50.0831
2023-04-27,50.0135
2023-04-26,50.0249
2023-04-25,50.0690
2023-04-24,50.2059
2023-04-21,50.3973
2023-04-20,50.2885
2023-04-19,50.2534
2023-04-18,50.6030
2023-04-17,50.4503
2023-04-14,50.6297
2023-04-13,50.7392
2023-04-12,50.9859
2023-04-11,51.1094
2023-04-10,50.5912
2023-04-06,50.6081
2023-04-05,50.9330
2023-04-04,51.2384
2023-04-03,51.2013
2023-03-31,51.1629
2023-03-30,51.3506
2023-03-29,51.1433
2023-03-28,51.2220
2023-03-27,51.3626
2023-03-24,51.4930
2023-03-23,51.5908
2023-03-22,51.1238
2023-03-21,51.2748
2023-03-20,51.2004
2023-03-17,51.2404
2023-03-16,50.4982
2023-03-15,50.1775
2023-03-14,49.8376
2023-03-13,49.5859
2023-03-10,49.9226
2023-03-09,50.0125
2023-03-08,49.7378
2023-03-07,49.5480
2023-03-06,49.6521
2023-03-03,49.4727
2023-03-02,49.1598
2023-03-01,49.2649
2023-02-28,49.1901
2023-02-27,49.3790
2023-02-24,49.1714
2023-02-23,49.4791
2023-02-22,49.0717
2023-02-21,49.0952
2023-02-17,49.3562
2023-02-16,49.7190
2023-02-15,49.9482
2023-02-14,49.6870
2023-02-13,49.5636
2023-02-10,49.6408
2023-02-09,50.0270
2023-02-08,50.0270
2023-02-07,49.8592
2023-02-06,49.8923
2023-02-03,50.1087
2023-02-02,49.8560
2023-02-01,49.2261
2023-01-31,48.5398
2023-01-30,48.7478
2023-01-27,48.6890
2023-01-26,48.9846
2023-01-25,48.5852
2023-01-24,48.6747
2023-01-23,48.5053
2023-01-20,48.0337
2023-01-19,48.1341
2023-01-18,48.4364
2023-01-17,48.3249
2023-01-13,48.2100
2023-01-12,48.2338
2023-01-11,48.0473
2023-01-10,47.8560
2023-01-09,47.8059
2023-01-06,47.4631
2023-01-05,47.5647
2023-01-04,47.6505
2023-01-03,47.7512
2022-12-30,47.5048
2022-12-29,47.4899
2022-12-28,47.3691
2022-12-27,47.5011
2022-12-23,47.4178
2022-12-22,47.7123
2022-12-21,47.6415
2022-12-20,47.4596
2022-12-19,47.5936
2022-12-16,47.7049
2022-12-15,47.8384
2022-12-14,48.1677
2022-12-13,48.5617
2022-12-12,47.8802
2022-12-09,47.9751
2022-12-08,48.0399
2022-12-07,47.9743
2022-12-06,48.3279
2022-12-05,48.4741
2022-12-02,48.5251
2022-12-01,48.8522
2022-11-30,48.3281
2022-11-29,48.3521
2022-11-28,48.3710
2022-11-25,48.5561
2022-11-23,48.5371
2022-11-22,48.2451
2022-11-21,48.1912
2022-11-18,48.4727
2022-11-17,47.9961
2022-11-16,48.3012
2022-11-15,48.6596
2022-11-14,48.4442
2022-11-11,47.8422
2022-11-10,47.2687
2022-11-09,47.0470
2022-11-08,47.2240
2022-11-07,47.0971
2022-11-04,47.0501
2022-11-03,46.5683
2022-11-02,47.0427
2022-11-01,46.8759
2022-10-31,46.7950
2022-10-28,46.6134
2022-10-27,46.8545
2022-10-26,46.6447
2022-10-25,46.5430
2022-10-24,46.5216
2022-10-21,46.3733
2022-10-20,46.3974
2022-10-19,46.3817
2022-10-18,46.6248
2022-10-17,46.3476
2022-10-14,46.5591
2022-10-13,46.1156
2022-10-12,46.2964
2022-10-11,46.2703
2022-10-10,46.2796
2022-10-07,46.9092
2022-10-06,47.2730
2022-10-05,47.1413
2022-10-04,47.3019
2022-10-03,46.8937
2022-09-30,46.8028
2022-09-29,47.1387
2022-09-28,47.1345
2022-09-27,47.2094
2022-09-26,47.2063
2022-09-23,47.2185
2022-09-22,47.7769
2022-09-21,47.9248
2022-09-20,47.9865
2022-09-19,47.9151
2022-09-16,47.9369
2022-09-15,48.0334
2022-09-14,48.0769
2022-09-13,48.4422
2022-09-12,48.8189
2022-09-09,48.7322
2022-09-08,48.3271
2022-09-07,48.2467
2022-09-06,48.3576
2022-09-02,48.6336
2022-09-01,48.5360
2022-08-31,48.9110
2022-08-30,49.2745
2022-08-29,49.2740
2022-08-26,49.8806
2022-08-25,49.5688
2022-08-24,49.4764
2022-08-23,49.4939
2022-08-22,49.6886
2022-08-19,50.1054
2022-08-18,50.0145
2022-08-17,50.1631
2022-08-16,50.3177
2022-08-15,50.2853
2022-08-12,50.1597
2022-08-11,50.2303
2022-08-10,50.0885
2022-08-09,50.0406
2022-08-08,50.2429
2022-08-05,50.3380
2022-08-04,50.0006
2022-08-03,49.7451
2022-08-02,49.8286
2022-08-01,49.8172
2022-07-29,49.3494
2022-07-28,49.3220
2022-07-27,48.9873
2022-07-26,48.9929
2022-07-25,48.9515
2022-07-22,49.2868
2022-07-21,49.2296
2022-07-20,48.8267
2022-07-19,48.5730
2022-07-18,48.5199
2022-07-15,48.2444
2022-07-14,48.1349
2022-07-13,47.8150
2022-07-12,47.9976
2022-07-11,48.0751
2022-07-08,48.1166
2022-07-07,48.0094
2022-07-06,47.8146
2022-07-05,47.5063
2022-07-01,47.7885
2022-06-30,48.0140
2022-06-29,48.1756
2022-06-28,48.7283
2022-06-27,48.8772
2022-06-24,48.5159
2022-06-23,48.5839
2022-06-22,48.5915
2022-06-21,48.5698
2022-06-17,48.3829
2022-06-16,48.7784
2022-06-15,48.8922
2022-06-14,48.8464
2022-06-13,49.1910
2022-06-10,49.8786
2022-06-09,50.1322
2022-06-08,50.4104
2022-06-07,50.3803
2022-06-06,50.7551
2022-06-03,50.5307
2022-06-02,50.0704
2022-06-01,50.1954
2022-05-31,50.2231
2022-05-27,50.0135
2022-05-26,49.1955
2022-05-25,49.1093
2022-05-24,49.3016
2022-05-23,49.2193
2022-05-20,49.8346
2022-05-19,49.6768
2022-05-18,49.9823
2022-05-17,49.7855
2022-05-16,49.4101
2022-05-13,48.8841
2022-05-12,48.7219
2022-05-11,48.8344
2022-05-10,48.9559
2022-05-09,49.2914
2022-05-06,49.4263
2022-05-05,49.7303
2022-05-04,49.7791
2022-05-03,48.9968
2022-05-02,48.5956
2022-04-29,48.8138
2022-04-28,48.6817
2022-04-27,48.4496
2022-04-26,48.9493
2022-04-25,48.9603
2022-04-22,48.9757
2022-04-21,49.4454
2022-04-20,49.6931
2022-04-19,49.2728
2022-04-18,49.1442
2022-04-14,49.7311
2022-04-13,49.4402
2022-04-12,49.7650
2022-04-11,49.7480
2022-04-08,50.1144
2022-04-07,50.2471
2022-04-06,50.2970
2022-04-05,50.7921
2022-04-04,50.8192
2022-04-01,50.8676
2022-03-31,51.4237
2022-03-30,52.0778
2022-03-29,52.0092
2022-03-28,51.5938
2022-03-25,51.8096
2022-03-24,51.3567
2022-03-23,51.2952
2022-03-22,51.4053
2022-03-21,51.2500
2022-03-18,51.0255
2022-03-17,51.1077
2022-03-16,51.0584
2022-03-15,50.2324
2022-03-14,50.2635
2022-03-11,50.7514
2022-03-10,50.8240
2022-03-09,50.7798
2022-03-08,50.2604
2022-03-07,50.8052
2022-03-04,51.1398
2022-03-03,51.7388
2022-03-02,51.4935
2022-03-01,52.1740
2022-02-28,51.9881
2022-02-25,51.6968
2022-02-24,50.5015
2022-02-23,51.8013
2022-02-22,51.5956
2022-02-18,51.4631
2022-02-17,51.7057
2022-02-16,51.9941
2022-02-15,51.8158
2022-02-14,51.6545
2022-02-11,52.7668
2022-02-10,53.0555
2022-02-09,53.1369
2022-02-08,52.4470
2022-02-07,52.5729
2022-02-04,52.2619
2022-02-03,52.2599
2022-02-02,53.2883
2022-02-01,51.9978
2022-01-31,51.0955
2022-01-28,50.4247
2022-01-27,51.5731
2022-01-26,51.8655
2022-01-25,51.8183
2022-01-24,51.9648
2022-01-21,52.5035
2022-01-20,53.1864
2022-01-19,54.0772
2022-01-18,54.1914
2022-01-14,53.9038
2022-01-13,54.8467
2022-01-12,54.7599
2022-01-11,54.2345
2022-01-10,53.7799
2022-01-07,54.6701
2022-01-06,54.6608
2022-01-05,55.4978
2022-01-04,56.5639
2022-01-03,55.9604
2021-12-31,56.0957
2021-12-30,56.2647
2021-12-29,56.9827
2021-12-28,57.3972
2021-12-27,56.5367
2021-12-23,56.1557
2021-12-22,56.0242
2021-12-21,55.5469
2021-12-20,55.3074
2021-12-17,55.3516
2021-12-16,56.8166
2021-12-15,55.5148
2021-12-14,55.1253
2021-12-13,56.0594
2021-12-10,56.4994
2021-12-09,57.0669
2021-12-08,57.0447
2021-12-07,56.9273
2021-12-06,56.6197
2021-12-03,58.1915
2021-12-02,57.7507
2021-12-01,59.7554
2021-11-30,60.2323
2021-11-29,59.5950
2021-11-26,59.4047
2021-11-24,58.6823
2021-11-23,58.8384
2021-11-22,59.9627
2021-11-19,59.8060
2021-11-18,60.0279
2021-11-17,59.4462
2021-11-16,58.7359
2021-11-15,59.0882
2021-11-12,58.8539
2021-11-11,58.4862
2021-11-10,58.6518
2021-11-09,60.4118
2021-11-08,58.4022
2021-11-05,58.6720
2021-11-04,57.7332
2021-11-03,57.1583
2021-11-02,56.7779
2021-11-01,56.0019
2021-10-29,56.2746
2021-10-28,56.6230
2021-10-27,56.4505
2021-10-26,56.6996
2021-10-25,56.3508
2021-10-22,56.4074
2021-10-21,55.7908
2021-10-20,55.7606
2021-10-19,55.7419
2021-10-18,55.1254
2021-10-15,55.2341
2021-10-14,54.9411
2021-10-13,54.3139
2021-10-12,54.1471
2021-10-11,54.0652
2021-10-08,54.4078
2021-10-07,54.1155
2021-10-06,53.4832
2021-10-05,53.5672
2021-10-04,53.7124
2021-10-01,53.8640
2021-09-30,53.7853
2021-09-29,53.8231
2021-09-28,54.6288
2021-09-27,54.3638
2021-09-24,54.3852
2021-09-23,54.3412
2021-09-22,54.0307
2021-09-21,53.9308
2021-09-20,53.8452
2021-09-17,54.5481
2021-09-16,54.4529
2021-09-15,54.6460
2021-09-14,54.5751
2021-09-13,54.5368
2021-09-10,54.8431
2021-09-09,54.7803
2021-09-08,55.1924
2021-09-07,55.3845
2021-09-03,55.2251
2021-09-02,55.4876
2021-09-01,55.6630
2021-08-31,55.6573
2021-08-30,55.8984
2021-08-27,55.2411
2021-08-26,55.3410
2021-08-25,55.2778
2021-08-24,55.5124
2021-08-23,54.9130
2021-08-20,54.7707
2021-08-19,54.6239
2021-08-18,55.3417
2021-08-17,55.2392
2021-08-16,55.8815
2021-08-13,55.4424
2021-08-12,55.4823
2021-08-11,55.5202
2021-08-10,55.5733
2021-08-09,56.1928
2021-08-06,56.0844
2021-08-05,57.2111
2021-08-04,56.8894
2021-08-03,55.9885
2021-08-02,55.6590
2021-07-30,55.0051
2021-07-29,54.2264
2021-07-28,53.7281
2021-07-27,53.6481
2021-07-26,53.4994
2021-07-23,53.3935
2021-07-22,53.0806
2021-07-21,52.7321
2021-07-20,52.7061
2021-07-19,52.3638
2021-07-16,52.7856
2021-07-15,53.2361
2021-07-14,53.4168
2021-07-13,53.3718
2021-07-12,53.5077
2021-07-09,53.3191
2021-07-08,52.9684
2021-07-07,54.3015
2021-07-06,54.2783
2021-07-02,54.0230
2021-07-01,54.1664
2021-06-30,53.6477
2021-06-29,53.0882
2021-06-28,52.9174
2021-06-25,52.9108
2021-06-24,52.5872
2021-06-23,52.4939
2021-06-22,52.3390
2021-06-21,52.4470
2021-06-18,52.5915
2021-06-17,52.0067
2021-06-16,52.0034
2021-06-15,52.1558
2021-06-14,52.1425
2021-06-11,52.1605
2021-06-10,51.8975
2021-06-09,52.0893
2021-06-08,52.2293
2021-06-07,52.1522
2021-06-04,52.0736
2021-06-03,52.1108
2021-06-02,52.0897
2021-06-01,52.0915
2021-05-28,51.7103
2021-05-27,51.6207
2021-05-26,51.5751
2021-05-25,51.4940
2021-05-24,51.4827
2021-05-21,51.7040
2021-05-20,51.4238
2021-05-19,50.8284
2021-05-18,51.0981
2021-05-17,51.0122
2021-05-14,50.9803
2021-05-13,51.1824
2021-05-12,51.1629
2021-05-11,50.9169
2021-05-10,51.7065
2021-05-07,51.8014
2021-05-06,51.6214
2021-05-05,51.8658
2021-05-04,51.6895
2021-05-03,52.3871
2021-04-30,52.5626
2021-04-29,52.8676
2021-04-28,53.6101
2021-04-27,53.1080
2021-04-26,52.7366
2021-04-23,52.2272
2021-04-22,52.4781
2021-04-21,52.0491
2021-04-20,52.3777
2021-04-19,52.6143
2021-04-16,52.8264
2021-04-15,52.3396
2021-04-14,52.2672
