,SMA
2024-06-04,142.9501
2024-06-03,142.6740
2024-05-31,142.3703
2024-05-30,142.0970
2024-05-29,141.7913
2024-05-28,141.4982
2024-05-24,141.2076
2024-05-23,140.9650
2024-05-22,140.6888
2024-05-21,140.4336
2024-05-20,140.1860
2024-05-17,139.9030
2024-05-16,139.6583
2024-05-15,139.4250
2024-05-14,139.2178
2024-05-13,139.0326
2024-05-10,138.8351
2024-05-09,138.6233
2024-05-08,138.4133
2024-05-07,138.1994
2024-05-06,137.9726
2024-05-03,137.7819
2024-05-02,137.6447
2024-05-01,137.5049
2024-04-30,137.3441
2024-04-29,137.1218
2024-04-26,136.9052
2024-04-25,136.6984
2024-04-24,136.5110
2024-04-23,136.2932
2024-04-22,136.1057
2024-04-19,135.9253
2024-04-18,135.7479
2024-04-17,135.5461
2024-04-16,135.2914
2024-04-15,135.0404
2024-04-12,134.7593
2024-04-11,134.4794
2024-04-10,134.1965
2024-04-09,133.9095
2024-04-08,133.6196
2024-04-05,133.3710
2024-04-04,133.1260
2024-04-03,132.8405
2024-04-02,132.5797
2024-04-01,132.3150
2024-03-28,132.0761
2024-03-27,131.8213
2024-03-26,131.5394
2024-03-25,131.2332
2024-03-22,130.9888
2024-03-21,130.6923
2024-03-20,130.3454
2024-03-19,130.0390
2024-03-18,129.7096
2024-03-15,129.3553
2024-03-14,129.0832
2024-03-13,128.7309
2024-03-12,128.3238
2024-03-11,127.8511
2024-03-08,127.3723
2024-03-07,126.8287
2024-03-06,126.2979
2024-03-05,125.7656
2024-03-04,125.2721
2024-03-01,124.7332
2024-02-29,124.2197
2024-02-28,123.8047
2024-02-27,123.4142
2024-02-26,123.0167
2024-02-23,122.5973
2024-02-22,122.1379
2024-02-21,121.6969
2024-02-20,121.2910
2024-02-16,120.8530
2024-02-15,120.4124
2024-02-14,119.9718
2024-02-13,119.5396
2024-02-12,119.1319
2024-02-09,118.7011
2024-02-08,118.2806
2024-02-07,117.8695
2024-02-06,117.4711
2024-02-05,117.0495
2024-02-02,116.5966
2024-02-01,116.1857
2024-01-31,115.7905
2024-01-30,115.4209
2024-01-29,115.0042
2024-01-26,114.5852
2024-01-25,114.1891
2024-01-24,113.7286
2024-01-23,113.3232
2024-01-22,112.9625
2024-01-19,112.5757
2024-01-18,112.2302
2024-01-17,111.8809
2024-01-16,111.5786
2024-01-12,111.3072
2024-01-11,111.0508
2024-01-10,110.7983
2024-01-09,110.5439
2024-01-08,110.3144
2024-01-05,110.0908
2024-01-04,109.8919
2024-01-03,109.7019
2024-01-02,109.5067
2023-12-29,109.2339
2023-12-28,108.9202
2023-12-27,108.6046
2023-12-26,108.2879
2023-12-22,108.0099
2023-12-21,107.7340
2023-12-20,107.4572
2023-12-19,107.1676
2023-12-18,106.8849
2023-12-15,106.5911
2023-12-14,106.2814
2023-12-13,105.9797
2023-12-12,105.6792
2023-12-11,105.4161
2023-12-08,105.1521
