,SMA
2024-06-04,277.0622
2024-06-03,276.8118
2024-05-31,276.5691
2024-05-30,276.3261
2024-05-29,276.1115
2024-05-28,275.8851
2024-05-24,275.6376
2024-05-23,275.3656
2024-05-22,275.0718
2024-05-21,274.6825
2024-05-20,274.2655
2024-05-17,273.8124
2024-05-16,273.3643
2024-05-15,272.9301
2024-05-14,272.5137
2024-05-13,272.1292
2024-05-10,271.7164
2024-05-09,271.2973
2024-05-08,270.8969
2024-05-07,270.5463
2024-05-06,270.1816
2024-05-03,269.7719
2024-05-02,269.3456
2024-05-01,269.0714
2024-04-30,268.8102
2024-04-29,268.5441
2024-04-26,268.3027
2024-04-25,268.0753
2024-04-24,267.8029
2024-04-23,267.5219
2024-04-22,267.2465
2024-04-19,266.9974
2024-04-18,266.7729
2024-04-17,266.5266
2024-04-16,266.2747
2024-04-15,266.0148
2024-04-12,265.7522
2024-04-11,265.5047
2024-04-10,265.2628
2024-04-09,265.0470
2024-04-08,264.8077
2024-04-05,264.5762
2024-04-04,264.3665
2024-04-03,264.1114
2024-04-02,263.8240
2024-04-01,263.4997
2024-03-28,263.1534
2024-03-27,262.7873
2024-03-26,262.4397
2024-03-25,262.1117
2024-03-22,261.8097
2024-03-21,261.5142
2024-03-20,261.2158
2024-03-19,260.9057
2024-03-18,260.6308
2024-03-15,260.3550
2024-03-14,260.0467
2024-03-13,259.7194
2024-03-12,259.4055
2024-03-11,259.1250
2024-03-08,258.8493
2024-03-07,258.5851
2024-03-06,258.3015
2024-03-05,258.0241
2024-03-04,257.7317
2024-03-01,257.4503
2024-02-29,257.1980
2024-02-28,256.9345
2024-02-27,256.6764
2024-02-26,256.4190
2024-02-23,256.1148
2024-02-22,255.8227
2024-02-21,255.5377
2024-02-20,255.2298
2024-02-16,254.9539
2024-02-15,254.6690
2024-02-14,254.3927
2024-02-13,254.1021
2024-02-12,253.7999
2024-02-09,253.5341
2024-02-08,253.2589
2024-02-07,252.9639
2024-02-06,252.5789
2024-02-05,252.1580
2024-02-02,251.7422
2024-02-01,251.3408
2024-01-31,250.9965
2024-01-30,250.6435
2024-01-29,250.2979
2024-01-26,249.9764
2024-01-25,249.6540
2024-01-24,249.3649
2024-01-23,249.0598
2024-01-22,248.7289
2024-01-19,248.3826
2024-01-18,248.0437
2024-01-17,247.7143
2024-01-16,247.3892
2024-01-12,247.0306
2024-01-11,246.6652
2024-01-10,246.3213
2024-01-09,245.9331
2024-01-08,245.5206
2024-01-05,245.1567
2024-01-04,244.7953
2024-01-03,244.4175
2024-01-02,244.0612
2023-12-29,243.7687
2023-12-28,243.4572
2023-12-27,243.1603
2023-12-26,242.8692
2023-12-22,242.5587
2023-12-21,242.2816
2023-12-20,242.0247
2023-12-19,241.7852
2023-12-18,241.5410
2023-12-15,241.3052
2023-12-14,241.0783
2023-12-13,240.7989
2023-12-12,240.5704
2023-12-11,240.3350
2023-12-08,240.1327
2023-12-07,239.9337
2023-12-06,239.7553
2023-12-05,239.5748
2023-12-04,239.3658
2023-12-01,239.1767
2023-11-30,239.0005
2023-11-29,238.8474
2023-11-28,238.7010
2023-11-27,238.5505
2023-11-24,238.3909
2023-11-22,238.2417
2023-11-21,238.0942
2023-11-20,237.9552
2023-11-17,237.8517
2023-11-16,237.6851
2023-11-15,237.5284
2023-11-14,237.4159
2023-11-13,237.3068
2023-11-10,237.2217
2023-11-09,237.1398
2023-11-08,237.0480
2023-11-07,236.9632
2023-11-06,236.8859
2023-11-03,236.8100
2023-11-02,236.7450
2023-11-01,236.7407
2023-10-31,236.7841
2023-10-30,236.8234
2023-10-27,236.8227
2023-10-26,236.8221
2023-10-25,236.7898
2023-10-24,236.7573
2023-10-23,236.7131
2023-10-20,236.6012
2023-10-19,236.4819
2023-10-18,236.3451
2023-10-17,236.2113
2023-10-16,236.0670
2023-10-13,235.9354
2023-10-12,235.7942
2023-10-11,235.6673
2023-10-10,235.5893
2023-10-09,235.5264
2023-10-06,235.4714
2023-10-05,235.4555
2023-10-04,235.4159
2023-10-03,235.4224
2023-10-02,235.4267
2023-09-29,235.4609
2023-09-28,235.4353
2023-09-27,235.4794
2023-09-26,235.5154
2023-09-25,235.5612
2023-09-22,235.6145
2023-09-21,235.6573
2023-09-20,235.6799
2023-09-19,235.7559
2023-09-18,235.8150
2023-09-15,235.8768
2023-09-14,235.9445
2023-09-13,236.0215
2023-09-12,236.1224
2023-09-11,236.2097
2023-09-08,236.3240
2023-09-07,236.4282
2023-09-06,236.5506
2023-09-05,236.6592
2023-09-01,236.7570
2023-08-31,236.8389
2023-08-30,236.9412
2023-08-29,237.0610
2023-08-28,237.1744
2023-08-25,237.2547
2023-08-24,237.2660
2023-08-23,237.2498
2023-08-22,237.2512
2023-08-21,237.2638
2023-08-18,237.2601
2023-08-17,237.2495
2023-08-16,237.2350
2023-08-15,237.2110
2023-08-14,237.1876
2023-08-11,237.1479
2023-08-10,237.0847
2023-08-09,236.9870
2023-08-08,236.8974
2023-08-07,236.8371
2023-08-04,236.8533
2023-08-03,236.8887
2023-08-02,236.9613
2023-08-01,236.9904
2023-07-31,237.0068
2023-07-28,236.9927
2023-07-27,236.9372
2023-07-26,236.8879
2023-07-25,236.8531
2023-07-24,236.8168
2023-07-21,236.7696
2023-07-20,236.7156
2023-07-19,236.6621
2023-07-18,236.6274
2023-07-17,236.6104
2023-07-14,236.5836
2023-07-13,236.5513
2023-07-12,236.5343
2023-07-11,236.4997
2023-07-10,236.4979
2023-07-07,236.5158
2023-07-06,236.5307
2023-07-05,236.5131
2023-07-03,236.5024
