,ADX
2024-06-04,6.3260
2024-06-03,6.3279
2024-05-31,6.3313
2024-05-30,6.3347
2024-05-29,6.3315
2024-05-28,6.3235
2024-05-24,6.3179
2024-05-23,6.3109
2024-05-22,6.3040
2024-05-21,6.2941
2024-05-20,6.2867
2024-05-17,6.2755
2024-05-16,6.2660
2024-05-15,6.2562
2024-05-14,6.2472
2024-05-13,6.2370
2024-05-10,6.2239
2024-05-09,6.2084
2024-05-08,6.1920
2024-05-07,6.1797
2024-05-06,6.1659
2024-05-03,6.1535
2024-05-02,6.1422
2024-05-01,6.1343
2024-04-30,6.1264
2024-04-29,6.1211
2024-04-26,6.1091
2024-04-25,6.1004
2024-04-24,6.1006
2024-04-23,6.0858
2024-04-22,6.0714
2024-04-19,6.0583
2024-04-18,6.0452
2024-04-17,6.0238
2024-04-16,6.0005
2024-04-15,5.9733
2024-04-12,5.9446
2024-04-11,5.9126
2024-04-10,5.8796
2024-04-09,5.8509
2024-04-08,5.8196
2024-04-05,5.7872
2024-04-04,5.7559
2024-04-03,5.7259
2024-04-02,5.6986
2024-04-01,5.6737
2024-03-28,5.6463
2024-03-27,5.6203
2024-03-26,5.5964
2024-03-25,5.5713
2024-03-22,5.5462
2024-03-21,5.5231
2024-03-20,5.4977
2024-03-19,5.4758
2024-03-18,5.4569
2024-03-15,5.4368
2024-03-14,5.4165
2024-03-13,5.3922
2024-03-12,5.3702
2024-03-11,5.3492
2024-03-08,5.3310
2024-03-07,5.3083
2024-03-06,5.2865
2024-03-05,5.2665
2024-03-04,5.2464
2024-03-01,5.2197
2024-02-29,5.1946
2024-02-28,5.1714
2024-02-27,5.1520
2024-02-26,5.1317
2024-02-23,5.1091
2024-02-22,5.0871
2024-02-21,5.0663
2024-02-20,5.0512
2024-02-16,5.0380
2024-02-15,5.0226
2024-02-14,5.0064
2024-02-13,4.9891
2024-02-12,4.9721
2024-02-09,4.9462
2024-02-08,4.9206
2024-02-07,4.8994
2024-02-06,4.8788
2024-02-05,4.8583
2024-02-02,4.8379
2024-02-01,4.8174
2024-01-31,4.8134
2024-01-30,4.8104
2024-01-29,4.8017
2024-01-26,4.7937
2024-01-25,4.7863
2024-01-24,4.7819
2024-01-23,4.7745
2024-01-22,4.7702
2024-01-19,4.7658
2024-01-18,4.7632
2024-01-17,4.7631
2024-01-16,4.7653
2024-01-12,4.7642
2024-01-11,4.7603
2024-01-10,4.7564
2024-01-09,4.7562
2024-01-08,4.7596
2024-01-05,4.7661
2024-01-04,4.7766
2024-01-03,4.7871
2024-01-02,4.7914
2023-12-29,4.7956
2023-12-28,4.7960
2023-12-27,4.7934
2023-12-26,4.7906
2023-12-22,4.7889
2023-12-21,4.7872
2023-12-20,4.7860
2023-12-19,4.7847
2023-12-18,4.7818
2023-12-15,4.7793
2023-12-14,4.7823
2023-12-13,4.7855
2023-12-12,4.7867
2023-12-11,4.7906
2023-12-08,4.7963
2023-12-07,4.7994
2023-12-06,4.8026
2023-12-05,4.8058
2023-12-04,4.8091
2023-12-01,4.8166
2023-11-30,4.8203
2023-11-29,4.8244
2023-11-28,4.8262
2023-11-27,4.8292
2023-11-24,4.8304
2023-11-22,4.8342
2023-11-21,4.8380
2023-11-20,4.8467
2023-11-17,4.8508
2023-11-16,4.8569
2023-11-15,4.8654
2023-11-14,4.8697
2023-11-13,4.8710
2023-11-10,4.8776
2023-11-09,4.8843
2023-11-08,4.8923
2023-11-07,4.8984
2023-11-06,4.9045
2023-11-03,4.9142
2023-11-02,4.9255
2023-11-01,4.9378
2023-10-31,4.9520
2023-10-30,4.9714
2023-10-27,4.9916
2023-10-26,5.0160
2023-10-25,5.0303
2023-10-24,5.0480
2023-10-23,5.0733
2023-10-20,5.0976
2023-10-19,5.1230
2023-10-18,5.1451
2023-10-17,5.1694
2023-10-16,5.1922
2023-10-13,5.2126
2023-10-12,5.2332
2023-10-11,5.2507
2023-10-10,5.2716
2023-10-09,5.2944
2023-10-06,5.3200
2023-10-05,5.3462
2023-10-04,5.3712
2023-10-03,5.3982
2023-10-02,5.4253
2023-09-29,5.4494
2023-09-28,5.4754
2023-09-27,5.5008
2023-09-26,5.5277
2023-09-25,5.5546
2023-09-22,5.5768
2023-09-21,5.5991
2023-09-20,5.6204
2023-09-19,5.6336
2023-09-18,5.6475
2023-09-15,5.6564
2023-09-14,5.6639
2023-09-13,5.6675
2023-09-12,5.6721
2023-09-11,5.6795
2023-09-08,5.6868
2023-09-07,5.7005
