,EMA
2024-06-04,160.9325
2024-06-03,160.7646
2024-05-31,160.5944
2024-05-30,160.4164
2024-05-29,160.2064
2024-05-28,159.9904
2024-05-24,159.7900
2024-05-23,159.5703
2024-05-22,159.3282
2024-05-21,159.0815
2024-05-20,158.8481
2024-05-17,158.5919
2024-05-16,158.3390
2024-05-15,158.0650
2024-05-14,157.7845
2024-05-13,157.5229
2024-05-10,157.2166
2024-05-09,156.8955
2024-05-08,156.5741
2024-05-07,156.2639
2024-05-06,155.9357
2024-05-03,155.6307
2024-05-02,155.3155
2024-05-01,155.0589
2024-04-30,154.7918
2024-04-29,154.5275
2024-04-26,154.2439
2024-04-25,154.0072
2024-04-24,153.8496
2024-04-23,153.5874
2024-04-22,153.3413
2024-04-19,153.1041
2024-04-18,152.8465
2024-04-17,152.5588
2024-04-16,152.2397
2024-04-15,151.9278
2024-04-12,151.5711
2024-04-11,151.2078
2024-04-10,150.8506
2024-04-09,150.5299
2024-04-08,150.1609
2024-04-05,149.7917
2024-04-04,149.4642
2024-04-03,149.1171
2024-04-02,148.8077
2024-04-01,148.5036
2024-03-28,148.1791
2024-03-27,147.8576
2024-03-26,147.5357
2024-03-25,147.2080
2024-03-22,146.8984
2024-03-21,146.5883
2024-03-20,146.2526
2024-03-19,145.9523
2024-03-18,145.6682
2024-03-15,145.3654
2024-03-14,145.0511
2024-03-13,144.7230
2024-03-12,144.4097
2024-03-11,144.1173
2024-03-08,143.8139
2024-03-07,143.4860
2024-03-06,143.1710
2024-03-05,142.8457
2024-03-04,142.5031
2024-03-01,142.1511
2024-02-29,141.8033
2024-02-28,141.4897
2024-02-27,141.1786
2024-02-26,140.8480
2024-02-23,140.4978
2024-02-22,140.1582
2024-02-21,139.8272
2024-02-20,139.5346
2024-02-16,139.2502
2024-02-15,138.9538
2024-02-14,138.6360
2024-02-13,138.3287
2024-02-12,138.0332
2024-02-09,137.6637
2024-02-08,137.3296
2024-02-07,137.0048
2024-02-06,136.6784
2024-02-05,136.3497
2024-02-02,136.0095
2024-02-01,135.6760
2024-01-31,135.4730
2024-01-30,135.2567
2024-01-29,135.0010
2024-01-26,134.7564
2024-01-25,134.5185
2024-01-24,134.2931
2024-01-23,134.0569
2024-01-22,133.8479
2024-01-19,133.6163
2024-01-18,133.4131
2024-01-17,133.2186
2024-01-16,133.0350
2024-01-12,132.8290
2024-01-11,132.6022
2024-01-10,132.3767
2024-01-09,132.1789
2024-01-08,132.0166
2024-01-05,131.8686
2024-01-04,131.7398
2024-01-03,131.6006
2024-01-02,131.4237
2023-12-29,131.2215
2023-12-28,131.0016
2023-12-27,130.7733
2023-12-26,130.5443
2023-12-22,130.3130
2023-12-21,130.0772
2023-12-20,129.8438
2023-12-19,129.6121
2023-12-18,129.3630
2023-12-15,129.1500
2023-12-14,128.9567
2023-12-13,128.7459
2023-12-12,128.5512
2023-12-11,128.3806
2023-12-08,128.2070
2023-12-07,128.0334
2023-12-06,127.8513
2023-12-05,127.6530
2023-12-04,127.4933
2023-12-01,127.3148
2023-11-30,127.1270
2023-11-29,126.9498
2023-11-28,126.7397
2023-11-27,126.5363
2023-11-24,126.3253
2023-11-22,126.1206
2023-11-21,125.9351
2023-11-20,125.7545
2023-11-17,125.5598
2023-11-16,125.3879
2023-11-15,125.2319
2023-11-14,125.0125
2023-11-13,124.8116
2023-11-10,124.6381
2023-11-09,124.4791
2023-11-08,124.3028
2023-11-07,124.1152
2023-11-06,123.9500
2023-11-03,123.8012
2023-11-02,123.6485
2023-11-01,123.4969
2023-10-31,123.3918
2023-10-30,123.2977
2023-10-27,123.2332
2023-10-26,123.2034
2023-10-25,123.2292
2023-10-24,123.2010
2023-10-23,123.1554
2023-10-20,123.1405
2023-10-19,123.0912
2023-10-18,123.0161
2023-10-17,122.9469
2023-10-16,122.8721
2023-10-13,122.7935
2023-10-12,122.6911
2023-10-11,122.5959
2023-10-10,122.5241
2023-10-09,122.4608
2023-10-06,122.4230
2023-10-05,122.4056
2023-10-04,122.3623
2023-10-03,122.3251
2023-10-02,122.2675
2023-09-29,122.2171
2023-09-28,122.1570
2023-09-27,122.1381
2023-09-26,122.1017
2023-09-25,122.0211
2023-09-22,121.9473
2023-09-21,121.8552
2023-09-20,121.7539
2023-09-19,121.5851
2023-09-18,121.4131
2023-09-15,121.2214
2023-09-14,121.0057
2023-09-13,120.7637
2023-09-12,120.5608
2023-09-11,120.3422
2023-09-08,120.1572
2023-09-07,119.9893
2023-09-06,119.8495
2023-09-05,119.6840
2023-09-01,119.5026
2023-08-31,119.3021
2023-08-30,119.1437
2023-08-29,118.9850
2023-08-28,118.8404
2023-08-25,118.6902
2023-08-24,118.5517
