,RSI
2024-06-05,53.9401
2024-06-04,53.6636
2024-06-03,53.6714
2024-05-31,53.7493
2024-05-30,54.1416
2024-05-29,54.1926
2024-05-28,53.9970
2024-05-24,54.2209
2024-05-23,54.4836
2024-05-22,54.5124
2024-05-21,54.3401
2024-05-20,54.6058
2024-05-17,54.5429
2024-05-16,54.7824
2024-05-15,54.8305
2024-05-14,54.5997
2024-05-13,55.1448
2024-05-10,55.2973
2024-05-09,55.2676
2024-05-08,55.1150
2024-05-07,55.3079
2024-05-06,55.0285
2024-05-03,55.1207
2024-05-02,54.4641
2024-05-01,54.5657
2024-04-30,54.5071
2024-04-29,54.7210
2024-04-26,54.1870
2024-04-25,53.2895
2024-04-24,54.6361
2024-04-23,54.4283
2024-04-22,54.3007
2024-04-19,54.5407
2024-04-18,54.9068
2024-04-17,55.2910
2024-04-16,55.1767
2024-04-15,55.7431
2024-04-12,55.7836
2024-04-11,55.6773
2024-04-10,55.2429
2024-04-09,55.8561
2024-04-08,55.8190
2024-04-05,55.3227
2024-04-04,55.5452
2024-04-03,55.0904
2024-04-02,54.9976
2024-04-01,55.2328
2024-03-28,55.1641
2024-03-27,55.1320
2024-03-26,55.1686
2024-03-25,54.9328
2024-03-22,54.9044
2024-03-21,55.2048
2024-03-20,54.7811
2024-03-19,54.5672
2024-03-18,54.7795
2024-03-15,54.8921
2024-03-14,55.0329
2024-03-13,54.8365
2024-03-12,54.5718
2024-03-11,54.6794
2024-03-08,54.9630
2024-03-07,54.7866
2024-03-06,54.8809
2024-03-05,55.0655
2024-03-04,55.1452
2024-03-01,55.0611
2024-02-29,54.6555
2024-02-28,54.5933
2024-02-27,54.8077
2024-02-26,55.0214
2024-02-23,54.8684
2024-02-22,54.7411
2024-02-21,54.2889
2024-02-20,54.1673
2024-02-16,54.2851
2024-02-15,54.5236
2024-02-14,54.3751
2024-02-13,54.2144
2024-02-12,55.1376
2024-02-09,54.7143
2024-02-08,54.5777
2024-02-07,54.5591
2024-02-06,54.5493
2024-02-05,54.6547
2024-02-02,54.5458
2024-02-01,53.0664
2024-01-31,53.2126
2024-01-30,53.6945
2024-01-29,53.5406
