,SMA
2024-06-04,157.1950
2024-06-03,156.9841
2024-05-31,156.7815
2024-05-30,156.5903
2024-05-29,156.3752
2024-05-28,156.1537
2024-05-24,155.9494
2024-05-23,155.7410
2024-05-22,155.5258
2024-05-21,155.3114
2024-05-20,155.1052
2024-05-17,154.8209
2024-05-16,154.5528
2024-05-15,154.2926
2024-05-14,154.0287
2024-05-13,153.7581
2024-05-10,153.4731
2024-05-09,153.1598
2024-05-08,152.8620
2024-05-07,152.5763
2024-05-06,152.2884
2024-05-03,152.0274
2024-05-02,151.7594
2024-05-01,151.5187
2024-04-30,151.2833
2024-04-29,151.0481
2024-04-26,150.8046
2024-04-25,150.5672
2024-04-24,150.3575
2024-04-23,150.1032
2024-04-22,149.8557
2024-04-19,149.6123
2024-04-18,149.3698
2024-04-17,149.1165
2024-04-16,148.8423
2024-04-15,148.5698
2024-04-12,148.2774
2024-04-11,147.9819
2024-04-10,147.6949
2024-04-09,147.4266
2024-04-08,147.1170
2024-04-05,146.8107
2024-04-04,146.5236
2024-04-03,146.2422
2024-04-02,145.9687
2024-04-01,145.7069
2024-03-28,145.4435
2024-03-27,145.1628
2024-03-26,144.8838
2024-03-25,144.5981
2024-03-22,144.3431
2024-03-21,144.0797
2024-03-20,143.7965
2024-03-19,143.5404
2024-03-18,143.2728
2024-03-15,143.0010
2024-03-14,142.7297
2024-03-13,142.4214
2024-03-12,142.1251
2024-03-11,141.8343
2024-03-08,141.5341
2024-03-07,141.2358
2024-03-06,140.9524
2024-03-05,140.6582
2024-03-04,140.3480
2024-03-01,140.0156
2024-02-29,139.6876
2024-02-28,139.3833
2024-02-27,139.0763
2024-02-26,138.7464
2024-02-23,138.3953
2024-02-22,138.0491
2024-02-21,137.7050
2024-02-20,137.3805
2024-02-16,137.0600
2024-02-15,136.7236
2024-02-14,136.3955
2024-02-13,136.0881
2024-02-12,135.7902
2024-02-09,135.4414
2024-02-08,135.1115
2024-02-07,134.8015
2024-02-06,134.4846
2024-02-05,134.1553
2024-02-02,133.8122
2024-02-01,133.4860
2024-01-31,133.2225
2024-01-30,132.9478
2024-01-29,132.6391
2024-01-26,132.3444
2024-01-25,132.0563
2024-01-24,131.7763
2024-01-23,131.4911
2024-01-22,131.2364
2024-01-19,130.9657
2024-01-18,130.7080
2024-01-17,130.4550
2024-01-16,130.2053
2024-01-12,129.9311
2024-01-11,129.6447
2024-01-10,129.3648
2024-01-09,129.0948
2024-01-08,128.8553
2024-01-05,128.6239
2024-01-04,128.3911
2024-01-03,128.1552
2024-01-02,127.9082
2023-12-29,127.6292
2023-12-28,127.3298
2023-12-27,127.0304
2023-12-26,126.7124
2023-12-22,126.4080
2023-12-21,126.1075
2023-12-20,125.8090
2023-12-19,125.5148
2023-12-18,125.2188
2023-12-15,124.9297
2023-12-14,124.6448
2023-12-13,124.3645
2023-12-12,124.0896
2023-12-11,123.8334
2023-12-08,123.5728
2023-12-07,123.3260
2023-12-06,123.0707
2023-12-05,122.8095
2023-12-04,122.5808
2023-12-01,122.3506
2023-11-30,122.1160
2023-11-29,121.8843
2023-11-28,121.6343
2023-11-27,121.3872
2023-11-24,121.1561
2023-11-22,120.9328
2023-11-21,120.7158
2023-11-20,120.5109
2023-11-17,120.3115
2023-11-16,120.1495
2023-11-15,119.9576
2023-11-14,119.7280
2023-11-13,119.5085
2023-11-10,119.2957
2023-11-09,119.0846
2023-11-08,118.8373
2023-11-07,118.6071
2023-11-06,118.3922
2023-11-03,118.1677
2023-11-02,117.9464
2023-11-01,117.7390
2023-10-31,117.5626
2023-10-30,117.3698
2023-10-27,117.2058
2023-10-26,117.0295
2023-10-25,116.8642
2023-10-24,116.6713
2023-10-23,116.4477
2023-10-20,116.2512
2023-10-19,116.0437
2023-10-18,115.8182
2023-10-17,115.5843
2023-10-16,115.3467
2023-10-13,115.1072
2023-10-12,114.8672
2023-10-11,114.6226
2023-10-10,114.4015
2023-10-09,114.1883
2023-10-06,113.9838
2023-10-05,113.8006
2023-10-04,113.6083
2023-10-03,113.4275
2023-10-02,113.2497
2023-09-29,113.0895
2023-09-28,112.8945
2023-09-27,112.7188
2023-09-26,112.5362
2023-09-25,112.3273
2023-09-22,112.1330
2023-09-21,111.9427
2023-09-20,111.7554
2023-09-19,111.5476
2023-09-18,111.3164
2023-09-15,111.0842
2023-09-14,110.8404
2023-09-13,110.5840
2023-09-12,110.3454
2023-09-11,110.0969
2023-09-08,109.8730
2023-09-07,109.6685
2023-09-06,109.4758
2023-09-05,109.2785
2023-09-01,109.1059
2023-08-31,108.9025
2023-08-30,108.7166
2023-08-29,108.5066
2023-08-28,108.2870
2023-08-25,108.0721
2023-08-24,107.8695
2023-08-23,107.6449
2023-08-22,107.4348
2023-08-21,107.2460
2023-08-18,107.0972
2023-08-17,106.9569
2023-08-16,106.7691
2023-08-15,106.6528
2023-08-14,106.5325
2023-08-11,106.4393
2023-08-10,106.3522
2023-08-09,106.2308
2023-08-08,106.1001
2023-08-07,105.9705
2023-08-04,105.8609
2023-08-03,105.7061
2023-08-02,105.6392
2023-08-01,105.5278
2023-07-31,105.4225
2023-07-28,105.3201
2023-07-27,105.2471
2023-07-26,105.1821
2023-07-25,105.1534
2023-07-24,105.0998
2023-07-21,105.0477
2023-07-20,104.9589
2023-07-19,104.8589
2023-07-18,104.7700
2023-07-17,104.6783
2023-07-14,104.5915
2023-07-13,104.4877
2023-07-12,104.3975
2023-07-11,104.3313
2023-07-10,104.3050
2023-07-07,104.2764
2023-07-06,104.2443
2023-07-05,104.2169
2023-07-03,104.2026
2023-06-30,104.1854
2023-06-29,104.1931
2023-06-28,104.2197
2023-06-27,104.2295
2023-06-26,104.2250
2023-06-23,104.2089
2023-06-22,104.2030
2023-06-21,104.2239
2023-06-20,104.2257
2023-06-16,104.2481
2023-06-15,104.2658
2023-06-14,104.2893
2023-06-13,104.3385
2023-06-12,104.3742
2023-06-09,104.4179
2023-06-08,104.4645
2023-06-07,104.5281
2023-06-06,104.5954
2023-06-05,104.6766
2023-06-02,104.7733
2023-06-01,104.8682
2023-05-31,104.9788
2023-05-30,105.0818
2023-05-26,105.1892
2023-05-25,105.3235
2023-05-24,105.4306
2023-05-23,105.5641
2023-05-22,105.6933
2023-05-19,105.8123
2023-05-18,105.9026
2023-05-17,105.9927
2023-05-16,106.0931
2023-05-15,106.2123
2023-05-12,106.2644
2023-05-11,106.2902
2023-05-10,106.3140
2023-05-09,106.3869
2023-05-08,106.4846
2023-05-05,106.5754
2023-05-04,106.6471
2023-05-03,106.7054
2023-05-02,106.7617
2023-05-01,106.8169
2023-04-28,106.8433
2023-04-27,106.8398
2023-04-26,106.8598
2023-04-25,106.9050
2023-04-24,106.9535
2023-04-21,106.9845
2023-04-20,107.0200
2023-04-19,107.0404
2023-04-18,107.0639
2023-04-17,107.0847
2023-04-14,107.1058
2023-04-13,107.1630
2023-04-12,107.2537
2023-04-11,107.3136
2023-04-10,107.3615
2023-04-06,107.3939
2023-04-05,107.4311
2023-04-04,107.4256
2023-04-03,107.4342
2023-03-31,107.4420
2023-03-30,107.4521
2023-03-29,107.4653
2023-03-28,107.5389
2023-03-27,107.6484
2023-03-24,107.7660
2023-03-23,107.8858
2023-03-22,108.0098
2023-03-21,108.1286
2023-03-20,108.2463
2023-03-17,108.3655
2023-03-16,108.4480
2023-03-15,108.5370
2023-03-14,108.6107
2023-03-13,108.6599
2023-03-10,108.7301
2023-03-09,108.8091
2023-03-08,108.8885
2023-03-07,108.9519
2023-03-06,109.0388
2023-03-03,109.1293
2023-03-02,109.2310
2023-03-01,109.3193
2023-02-28,109.3637
2023-02-27,109.4386
2023-02-24,109.5234
2023-02-23,109.6123
2023-02-22,109.7060
2023-02-21,109.8455
2023-02-17,109.9868
2023-02-16,110.1181
2023-02-15,110.2340
2023-02-14,110.3878
2023-02-13,110.6067
2023-02-10,110.8184
2023-02-09,111.0546
2023-02-08,111.2681
2023-02-07,111.4991
2023-02-06,111.7669
2023-02-03,112.0402
2023-02-02,112.2741
2023-02-01,112.4805
2023-01-31,112.7448
2023-01-30,112.9891
2023-01-27,113.2521
2023-01-26,113.5180
2023-01-25,113.8106
2023-01-24,114.1398
2023-01-23,114.4634
2023-01-20,114.8143
2023-01-19,115.1656
2023-01-18,115.5127
2023-01-17,115.8587
2023-01-13,116.2078
2023-01-12,116.5888
2023-01-11,116.9290
2023-01-10,117.2944
2023-01-09,117.6753
2023-01-06,118.0565
2023-01-05,118.4504
2023-01-04,118.8294
2023-01-03,119.1807
2022-12-30,119.5166
2022-12-29,119.8435
2022-12-28,120.1434
2022-12-27,120.4593
2022-12-23,120.7823
2022-12-22,121.0945
2022-12-21,121.3644
2022-12-20,121.6169
2022-12-19,121.9175
2022-12-16,122.2157
2022-12-15,122.5421
2022-12-14,122.8469
2022-12-13,123.1480
2022-12-12,123.4340
2022-12-09,123.7407
2022-12-08,123.9954
2022-12-07,124.3074
2022-12-06,124.6181
2022-12-05,124.9431
2022-12-02,125.2686
2022-12-01,125.5752
2022-11-30,125.8782
2022-11-29,126.1747
2022-11-28,126.4951
2022-11-25,126.8172
2022-11-23,127.1626
2022-11-22,127.4802
2022-11-21,127.8097
2022-11-18,128.1179
2022-11-17,128.3468
2022-11-16,128.6452
2022-11-15,128.9110
