,EMA
2024-06-04,1138.8297
2024-06-03,1137.0049
2024-05-31,1134.8371
2024-05-30,1132.5605
2024-05-29,1130.0837
2024-05-28,1127.3800
2024-05-24,1124.5396
2024-05-23,1121.7733
2024-05-22,1118.6913
2024-05-21,1115.9042
2024-05-20,1113.0622
2024-05-17,1110.2186
2024-05-16,1107.1814
2024-05-15,1103.9772
2024-05-14,1101.2031
2024-05-13,1098.8802
2024-05-10,1096.3764
2024-05-09,1094.1761
2024-05-08,1091.9283
2024-05-07,1089.9025
2024-05-06,1087.6257
2024-05-03,1085.6297
2024-05-02,1083.8873
2024-05-01,1082.1547
2024-04-30,1080.1831
2024-04-29,1077.6837
2024-04-26,1075.0063
2024-04-25,1072.6446
2024-04-24,1070.6365
2024-04-23,1068.6941
2024-04-22,1067.0913
2024-04-19,1065.5094
2024-04-18,1063.5648
2024-04-17,1061.3092
2024-04-16,1058.4770
2024-04-15,1055.8951
2024-04-12,1052.7383
2024-04-11,1049.7305
2024-04-10,1046.8868
2024-04-09,1044.1118
2024-04-08,1040.9635
2024-04-05,1038.0219
2024-04-04,1035.1276
2024-04-03,1031.6081
2024-04-02,1028.6293
2024-04-01,1025.7433
2024-03-28,1022.7288
2024-03-27,1019.7623
2024-03-26,1016.4433
2024-03-25,1012.9433
2024-03-22,1009.6058
2024-03-21,1006.1847
2024-03-20,1002.9472
2024-03-19,1000.5746
2024-03-18,998.4501
2024-03-15,995.9336
2024-03-14,993.3970
2024-03-13,990.7440
2024-03-12,987.8608
2024-03-11,984.7072
2024-03-08,981.8129
2024-03-07,977.7252
2024-03-06,973.7192
2024-03-05,969.5769
2024-03-04,965.3587
2024-03-01,961.0166
2024-02-29,957.4037
2024-02-28,953.9809
2024-02-27,950.6270
2024-02-26,947.0778
2024-02-23,943.4843
2024-02-22,939.8710
2024-02-21,936.4882
2024-02-20,933.7091
2024-02-16,930.7233
2024-02-15,927.4755
2024-02-14,923.9857
2024-02-13,920.5681
2024-02-12,917.4577
2024-02-09,913.7665
2024-02-08,910.4185
2024-02-07,906.8869
2024-02-06,903.6502
2024-02-05,900.0849
2024-02-02,896.8503
2024-02-01,893.7654
2024-01-31,890.8637
2024-01-30,887.9118
2024-01-29,884.6568
2024-01-26,881.3877
2024-01-25,878.0378
2024-01-24,874.0407
2024-01-23,870.3908
2024-01-22,866.9174
2024-01-19,863.4566
2024-01-18,860.5509
2024-01-17,857.9405
2024-01-16,855.4901
2024-01-12,852.9545
2024-01-11,850.3958
2024-01-10,848.0894
2024-01-09,845.7996
2024-01-08,843.6343
2024-01-05,841.5384
2024-01-04,839.4706
2024-01-03,837.3183
2024-01-02,835.0218
2023-12-29,832.4829
2023-12-28,829.6248
2023-12-27,826.6356
2023-12-26,823.5732
2023-12-22,820.5977
2023-12-21,817.5549
2023-12-20,814.4347
2023-12-19,811.2827
2023-12-18,808.0059
2023-12-15,804.9599
2023-12-14,802.1381
2023-12-13,799.3182
2023-12-12,796.7109
2023-12-11,794.4760
2023-12-08,792.9258
2023-12-07,791.6507
2023-12-06,790.5849
2023-12-05,789.3608
2023-12-04,788.2116
2023-12-01,786.9609
2023-11-30,785.6794
2023-11-29,784.2003
2023-11-28,782.6333
2023-11-27,781.1342
2023-11-24,779.2592
2023-11-22,777.3773
2023-11-21,775.3894
2023-11-20,773.4682
2023-11-17,771.5476
2023-11-16,769.7550
2023-11-15,767.8868
2023-11-14,765.8452
2023-11-13,763.9542
2023-11-10,762.1666
2023-11-09,760.6431
2023-11-08,759.1964
2023-11-07,757.8596
2023-11-06,756.6856
2023-11-03,755.5074
2023-11-02,754.3577
2023-11-01,753.3509
2023-10-31,752.5333
2023-10-30,751.6886
2023-10-27,750.8633
2023-10-26,750.1402
2023-10-25,749.2314
2023-10-24,748.0230
2023-10-23,746.9327
2023-10-20,745.8915
2023-10-19,744.6711
2023-10-18,743.3177
