,RSI
2024-06-05,55.9311
2024-06-04,55.5835
2024-06-03,56.1394
2024-05-31,56.2896
2024-05-30,56.5964
2024-05-29,56.9483
2024-05-28,57.1401
2024-05-24,57.0052
2024-05-23,57.5104
2024-05-22,57.0820
2024-05-21,57.1292
2024-05-20,57.0937
2024-05-17,57.3829
2024-05-16,57.6231
2024-05-15,57.0167
2024-05-14,56.3733
2024-05-13,56.6505
2024-05-10,56.2031
2024-05-09,56.2476
2024-05-08,55.9121
2024-05-07,56.3173
2024-05-06,55.8984
2024-05-03,55.5160
2024-05-02,55.4776
2024-05-01,55.8664
2024-04-30,56.7739
2024-04-29,57.0512
2024-04-26,56.5781
2024-04-25,56.0473
2024-04-24,55.9252
2024-04-23,55.4103
2024-04-22,55.3570
2024-04-19,55.9828
2024-04-18,56.5175
2024-04-17,57.5566
2024-04-16,57.1623
2024-04-15,58.2224
2024-04-12,57.9670
2024-04-11,57.6904
2024-04-10,57.5512
2024-04-09,58.2279
2024-04-08,57.8879
2024-04-05,57.7776
2024-04-04,58.9692
2024-04-03,58.1391
2024-04-02,57.9589
2024-04-01,58.1607
2024-03-28,58.0464
2024-03-27,58.7051
2024-03-26,59.0101
2024-03-25,58.7246
2024-03-22,58.8276
2024-03-21,58.5116
2024-03-20,57.1639
2024-03-19,56.7403
2024-03-18,57.5116
2024-03-15,57.5036
2024-03-14,57.6940
2024-03-13,58.1230
2024-03-12,58.6375
2024-03-11,58.1938
2024-03-08,60.7905
2024-03-07,60.6062
2024-03-06,60.8288
2024-03-05,60.9082
2024-03-04,61.0972
2024-03-01,59.9246
2024-02-29,59.5693
2024-02-28,59.4062
2024-02-27,59.7818
2024-02-26,59.8021
2024-02-23,59.7766
2024-02-22,59.3578
2024-02-21,58.3262
2024-02-20,58.7421
2024-02-16,59.2881
2024-02-15,59.7868
2024-02-14,59.6137
2024-02-13,59.0548
2024-02-12,60.3925
2024-02-09,59.7650
2024-02-08,60.1386
2024-02-07,59.5845
2024-02-06,60.3323
2024-02-05,59.7094
2024-02-02,59.3938
2024-02-01,59.0184
2024-01-31,59.0717
2024-01-30,59.7707
2024-01-29,59.7384
2024-01-26,59.8614
2024-01-25,61.4738
2024-01-24,60.8106
2024-01-23,60.4379
2024-01-22,60.3541
2024-01-19,59.2908
2024-01-18,58.6845
2024-01-17,58.3299
2024-01-16,58.4923
2024-01-12,58.4877
2024-01-11,57.9556
2024-01-10,57.8788
2024-01-09,57.5929
2024-01-08,57.4149
2024-01-05,57.3190
2024-01-04,57.4861
2024-01-03,57.8086
2024-01-02,58.3925
2023-12-29,59.1886
2023-12-28,59.4699
2023-12-27,59.5886
2023-12-26,59.3684
2023-12-22,59.4709
2023-12-21,59.5988
2023-12-20,59.6002
2023-12-19,59.8540
2023-12-18,59.3664
2023-12-15,58.8861
2023-12-14,58.8285
2023-12-13,58.3673
2023-12-12,57.5851
2023-12-11,56.1301
2023-12-08,55.5059
2023-12-07,55.0192
2023-12-06,55.4201
2023-12-05,55.2282
2023-12-04,55.4734
2023-12-01,55.5227
2023-11-30,56.0282
2023-11-29,56.2298
2023-11-28,56.0497
2023-11-27,57.0568
2023-11-24,57.0315
2023-11-22,57.2773
2023-11-21,57.0942
2023-11-20,57.0520
2023-11-17,56.7392
2023-11-16,56.9006
2023-11-15,57.3354
2023-11-14,56.9733
2023-11-13,56.7116
2023-11-10,56.0997
2023-11-09,55.8972
2023-11-08,55.6218
2023-11-07,55.2282
2023-11-06,55.2112
2023-11-03,55.1207
2023-11-02,54.7734
2023-11-01,54.3197
2023-10-31,54.3710
2023-10-30,54.3076
2023-10-27,54.0550
2023-10-26,54.5391
2023-10-25,55.3419
2023-10-24,55.0468
2023-10-23,54.9098
2023-10-20,55.3808
2023-10-19,55.7211
2023-10-18,55.5625
2023-10-17,55.7086
2023-10-16,55.8720
2023-10-13,56.3817
2023-10-12,55.6545
2023-10-11,55.2736
2023-10-10,55.2150
2023-10-09,54.8311
2023-10-06,54.3397
2023-10-05,54.3595
2023-10-04,54.3656
2023-10-03,54.5509
2023-10-02,54.6081
2023-09-29,54.8131
2023-09-28,54.4381
2023-09-27,54.4170
2023-09-26,54.6907
2023-09-25,54.6639
2023-09-22,54.2787
2023-09-21,53.9035
2023-09-20,55.4435
2023-09-19,55.2428
2023-09-18,55.1641
2023-09-15,55.8979
2023-09-14,55.6885
2023-09-13,55.4155
