,SMA
2024-06-04,1104.5111
2024-06-03,1102.0326
2024-05-31,1099.4481
2024-05-30,1096.8274
2024-05-29,1094.0294
2024-05-28,1091.1450
2024-05-24,1088.3004
2024-05-23,1085.6527
2024-05-22,1082.8981
2024-05-21,1080.2938
2024-05-20,1077.6628
2024-05-17,1075.0533
2024-05-16,1072.4882
2024-05-15,1069.7896
2024-05-14,1067.3138
2024-05-13,1065.0851
2024-05-10,1062.8235
2024-05-09,1060.7277
2024-05-08,1058.5781
2024-05-07,1056.5510
2024-05-06,1054.4273
2024-05-03,1052.3959
2024-05-02,1050.5239
2024-05-01,1048.7084
2024-04-30,1046.7088
2024-04-29,1044.4327
2024-04-26,1042.1435
2024-04-25,1039.9757
2024-04-24,1037.9568
2024-04-23,1035.8188
2024-04-22,1033.8700
2024-04-19,1031.9128
2024-04-18,1029.8936
2024-04-17,1027.7354
2024-04-16,1025.3011
2024-04-15,1022.9361
2024-04-12,1020.2205
2024-04-11,1017.5453
2024-04-10,1014.9487
2024-04-09,1012.4448
2024-04-08,1009.8237
2024-04-05,1007.3947
2024-04-04,1004.9942
2024-04-03,1002.4275
2024-04-02,1000.1235
2024-04-01,997.7409
2024-03-28,995.3344
2024-03-27,992.7216
2024-03-26,989.9223
2024-03-25,986.9961
2024-03-22,984.1432
2024-03-21,981.3253
2024-03-20,978.6510
2024-03-19,976.3322
2024-03-18,974.1976
2024-03-15,971.8506
2024-03-14,969.7034
2024-03-13,967.0810
2024-03-12,964.1220
2024-03-11,960.9547
2024-03-08,957.9773
2024-03-07,954.3753
2024-03-06,950.8276
2024-03-05,947.1144
2024-03-04,943.3418
2024-03-01,939.4948
2024-02-29,935.9903
2024-02-28,932.5812
2024-02-27,929.2147
2024-02-26,925.7457
2024-02-23,922.2756
2024-02-22,918.8482
2024-02-21,915.4858
2024-02-20,912.4115
2024-02-16,909.2820
2024-02-15,906.0805
2024-02-14,902.7786
2024-02-13,899.4936
2024-02-12,896.3643
2024-02-09,892.9803
2024-02-08,889.8541
2024-02-07,886.6516
2024-02-06,883.5986
2024-02-05,880.3849
2024-02-02,877.3482
2024-02-01,874.4259
2024-01-31,871.5464
2024-01-30,868.6656
2024-01-29,865.6418
2024-01-26,862.6679
2024-01-25,859.6869
2024-01-24,856.3383
2024-01-23,853.2124
2024-01-22,850.2268
2024-01-19,847.3237
2024-01-18,844.6937
2024-01-17,842.1836
2024-01-16,839.7770
2024-01-12,837.3404
2024-01-11,834.8681
2024-01-10,832.6016
2024-01-09,830.3501
2024-01-08,828.1762
2024-01-05,826.0379
2024-01-04,823.9544
2024-01-03,821.7662
2024-01-02,819.5353
2023-12-29,817.1240
2023-12-28,814.5950
2023-12-27,811.9941
2023-12-26,809.2925
2023-12-22,806.7521
2023-12-21,804.2023
2023-12-20,801.6180
2023-12-19,799.0680
2023-12-18,796.4723
2023-12-15,793.9236
2023-12-14,791.3639
2023-12-13,788.8417
2023-12-12,786.3982
2023-12-11,784.1546
2023-12-08,782.2222
2023-12-07,780.4744
2023-12-06,778.8201
2023-12-05,777.1300
2023-12-04,775.5321
2023-12-01,773.8930
2023-11-30,772.2357
2023-11-29,770.4636
2023-11-28,768.6592
2023-11-27,766.9028
2023-11-24,765.0463
2023-11-22,763.1668
2023-11-21,761.2147
2023-11-20,759.2701
2023-11-17,757.3581
2023-11-16,755.5663
2023-11-15,753.6286
2023-11-14,751.6068
2023-11-13,749.6746
2023-11-10,747.8536
2023-11-09,746.1587
2023-11-08,744.4476
2023-11-07,742.8022
2023-11-06,741.2131
2023-11-03,739.5841
2023-11-02,738.0048
2023-11-01,736.5710
2023-10-31,735.1959
2023-10-30,733.8223
2023-10-27,732.4550
2023-10-26,731.1301
2023-10-25,729.7116
2023-10-24,728.2473
2023-10-23,726.7058
2023-10-20,725.1581
2023-10-19,723.5619
2023-10-18,721.9155
2023-10-17,720.2399
2023-10-16,718.5387
2023-10-13,716.8076
2023-10-12,714.9867
2023-10-11,713.3197
2023-10-10,711.7519
2023-10-09,710.1691
2023-10-06,708.6569
2023-10-05,707.2922
2023-10-04,705.9181
2023-10-03,704.5734
2023-10-02,703.2188
2023-09-29,701.8890
2023-09-28,700.3726
2023-09-27,698.9668
2023-09-26,697.4200
2023-09-25,695.8183
2023-09-22,694.2758
2023-09-21,692.8506
2023-09-20,691.5020
2023-09-19,689.9488
2023-09-18,688.3086
2023-09-15,686.6798
2023-09-14,684.9358
2023-09-13,683.2630
2023-09-12,681.6470
2023-09-11,679.9803
2023-09-08,678.1739
2023-09-07,676.4543
2023-09-06,674.6553
2023-09-05,672.8487
2023-09-01,671.1208
2023-08-31,669.1630
2023-08-30,667.1732
2023-08-29,665.1444
2023-08-28,663.2229
2023-08-25,661.3245
2023-08-24,659.3531
2023-08-23,657.1104
2023-08-22,655.0934
2023-08-21,653.0582
2023-08-18,651.2436
2023-08-17,649.4550
2023-08-16,647.5374
2023-08-15,645.6081
2023-08-14,643.6328
2023-08-11,641.7467
2023-08-10,639.8209
2023-08-09,637.7014
2023-08-08,635.4506
2023-08-07,633.1543
2023-08-04,630.9422
2023-08-03,628.7016
2023-08-02,626.4709
2023-08-01,623.9888
2023-07-31,621.6439
2023-07-28,619.3206
2023-07-27,617.1080
2023-07-26,614.9100
2023-07-25,612.7645
2023-07-24,610.6061
2023-07-21,608.4273
2023-07-20,606.1373
2023-07-19,603.9053
2023-07-18,601.7072
2023-07-17,599.4683
2023-07-14,597.3428
2023-07-13,595.2384
2023-07-12,593.0999
2023-07-11,591.0465
2023-07-10,589.0733
2023-07-07,587.2659
2023-07-06,585.4403
2023-07-05,583.6573
2023-07-03,581.8176
2023-06-30,579.9632
2023-06-29,578.1414
2023-06-28,576.4508
2023-06-27,574.7836
2023-06-26,573.1044
2023-06-23,571.4448
2023-06-22,569.7199
2023-06-21,568.0335
2023-06-20,566.1467
2023-06-16,564.3592
2023-06-15,562.4731
2023-06-14,560.6260
2023-06-13,559.0567
2023-06-12,557.3882
2023-06-09,555.9462
2023-06-08,554.5508
2023-06-07,553.2506
2023-06-06,552.0149
2023-06-05,550.6840
2023-06-02,549.3223
2023-06-01,548.1145
2023-05-31,546.8421
2023-05-30,545.5670
2023-05-26,544.1240
2023-05-25,543.0733
2023-05-24,542.2246
2023-05-23,541.5131
2023-05-22,540.7353
2023-05-19,540.0195
2023-05-18,539.2478
2023-05-17,538.5838
2023-05-16,537.9537
2023-05-15,537.3600
2023-05-12,536.7922
2023-05-11,536.1917
2023-05-10,535.5830
2023-05-09,534.9765
2023-05-08,534.4067
2023-05-05,533.7724
2023-05-04,533.1914
2023-05-03,532.5787
2023-05-02,531.9482
2023-05-01,531.2296
2023-04-28,530.4672
2023-04-27,529.7056
2023-04-26,529.0195
2023-04-25,528.3228
2023-04-24,527.5742
2023-04-21,526.8040
2023-04-20,526.0123
2023-04-19,525.1933
2023-04-18,524.4150
2023-04-17,523.6543
2023-04-14,522.9930
2023-04-13,522.4045
2023-04-12,521.8287
2023-04-11,521.1702
2023-04-10,520.4792
2023-04-06,519.8247
2023-04-05,519.1773
2023-04-04,518.4332
2023-04-03,517.7106
2023-03-31,517.0901
2023-03-30,516.4912
2023-03-29,515.8901
2023-03-28,515.3995
2023-03-27,514.9985
2023-03-24,514.5805
2023-03-23,514.1138
2023-03-22,513.6949
2023-03-21,513.2732
2023-03-20,512.8634
2023-03-17,512.5732
2023-03-16,512.2501
2023-03-15,511.8919
2023-03-14,511.3603
2023-03-13,510.8133
2023-03-10,510.3587
2023-03-09,509.7888
2023-03-08,509.3517
2023-03-07,508.9452
2023-03-06,508.7036
2023-03-03,508.4398
2023-03-02,508.2077
2023-03-01,508.0785
2023-02-28,507.8621
2023-02-27,507.7398
2023-02-24,507.6441
2023-02-23,507.5529
2023-02-22,507.4314
2023-02-21,507.4186
2023-02-17,507.3090
2023-02-16,507.1232
2023-02-15,506.8442
2023-02-14,506.6479
2023-02-13,506.4427
2023-02-10,506.1853
2023-02-09,506.0545
2023-02-08,505.8335
2023-02-07,505.6822
2023-02-06,505.6334
2023-02-03,505.6139
2023-02-02,505.4538
2023-02-01,505.2159
2023-01-31,505.2003
2023-01-30,505.1611
2023-01-27,505.1203
2023-01-26,504.9982
2023-01-25,504.9606
2023-01-24,504.9967
2023-01-23,505.0397
2023-01-20,505.2444
2023-01-19,505.4780
2023-01-18,505.7069
2023-01-17,505.8615
2023-01-13,506.0964
2023-01-12,506.3257
2023-01-11,506.4955
2023-01-10,506.6837
2023-01-09,506.7796
2023-01-06,506.7832
2023-01-05,506.8990
2023-01-04,507.0694
2023-01-03,507.1771
2022-12-30,507.2786
2022-12-29,507.4062
2022-12-28,507.4422
2022-12-27,507.4778
2022-12-23,507.5848
2022-12-22,507.6689
2022-12-21,507.7520
2022-12-20,507.7844
2022-12-19,507.9463
2022-12-16,508.0450
2022-12-15,508.1537
2022-12-14,508.1415
2022-12-13,508.1547
2022-12-12,508.1149
2022-12-09,508.2196
2022-12-08,508.1612
2022-12-07,508.3833
2022-12-06,508.6102
2022-12-05,508.7881
2022-12-02,508.9731
2022-12-01,509.1820
2022-11-30,509.2998
2022-11-29,509.4813
2022-11-28,509.7454
2022-11-25,510.0172
2022-11-23,510.3196
2022-11-22,510.5341
2022-11-21,510.7926
2022-11-18,511.0346
2022-11-17,511.3485
2022-11-16,511.7355
2022-11-15,512.0040
2022-11-14,512.0837
2022-11-11,512.1582
2022-11-10,512.4080
2022-11-09,512.6409
2022-11-08,512.8210
2022-11-07,513.0015
