,SMA
2024-06-04,202.6850
2024-06-03,202.9126
2024-05-31,203.1797
2024-05-30,203.4891
2024-05-29,203.8109
2024-05-28,204.1309
2024-05-24,204.4495
2024-05-23,204.7762
2024-05-22,205.0298
2024-05-21,205.2705
2024-05-20,205.5055
2024-05-17,205.7372
2024-05-16,205.9959
2024-05-15,206.2956
2024-05-14,206.5899
2024-05-13,206.8693
2024-05-10,207.1504
2024-05-09,207.3549
2024-05-08,207.5282
2024-05-07,207.7087
2024-05-06,207.8921
2024-05-03,208.0318
2024-05-02,208.1895
2024-05-01,208.3795
2024-04-30,208.6045
2024-04-29,208.8320
2024-04-26,209.0832
2024-04-25,209.3508
2024-04-24,209.5974
2024-04-23,209.7741
2024-04-22,209.9841
2024-04-19,210.1974
2024-04-18,210.3974
2024-04-17,210.6025
2024-04-16,210.8182
2024-04-15,211.0331
2024-04-12,211.2354
2024-04-11,211.4052
2024-04-10,211.5634
2024-04-09,211.7019
2024-04-08,211.8224
2024-04-05,211.9709
2024-04-04,212.1445
2024-04-03,212.3185
2024-04-02,212.4659
2024-04-01,212.6279
2024-03-28,212.7785
2024-03-27,212.9043
2024-03-26,213.0500
2024-03-25,213.1516
2024-03-22,213.2115
2024-03-21,213.3096
2024-03-20,213.4271
2024-03-19,213.5821
2024-03-18,213.7139
2024-03-15,213.8301
2024-03-14,213.9456
2024-03-13,214.0436
2024-03-12,214.1277
2024-03-11,214.1932
2024-03-08,214.2450
2024-03-07,214.2634
2024-03-06,214.3004
2024-03-05,214.3238
2024-03-04,214.3399
2024-03-01,214.3515
2024-02-29,214.3316
2024-02-28,214.3086
2024-02-27,214.2998
2024-02-26,214.3109
2024-02-23,214.3119
2024-02-22,214.3027
2024-02-21,214.2832
2024-02-20,214.2719
2024-02-16,214.2760
2024-02-15,214.2666
2024-02-14,214.2772
2024-02-13,214.2700
2024-02-12,214.2588
2024-02-09,214.2565
2024-02-08,214.2304
2024-02-07,214.1927
2024-02-06,214.1889
2024-02-05,214.1959
2024-02-02,214.2083
2024-02-01,214.1905
2024-01-31,214.1313
2024-01-30,214.1197
2024-01-29,214.1664
2024-01-26,214.2044
2024-01-25,214.2555
2024-01-24,214.2695
2024-01-23,214.2703
2024-01-22,214.2547
2024-01-19,214.2494
2024-01-18,214.2589
2024-01-17,214.2895
2024-01-16,214.3212
2024-01-12,214.3033
2024-01-11,214.2076
2024-01-10,214.0604
2024-01-09,213.9034
2024-01-08,213.7646
2024-01-05,213.6430
2024-01-04,213.4543
2024-01-03,213.2370
2024-01-02,213.0021
2023-12-29,212.6967
2023-12-28,212.4030
2023-12-27,212.1330
2023-12-26,211.8208
2023-12-22,211.5290
2023-12-21,211.2614
2023-12-20,210.9729
2023-12-19,210.7182
2023-12-18,210.4836
2023-12-15,210.2317
2023-12-14,209.9721
2023-12-13,209.7249
2023-12-12,209.4844
2023-12-11,209.2440
2023-12-08,209.0265
2023-12-07,208.8772
2023-12-06,208.7192
2023-12-05,208.5903
2023-12-04,208.4786
2023-12-01,208.3971
2023-11-30,208.3241
2023-11-29,208.2692
2023-11-28,208.2204
2023-11-27,208.1704
2023-11-24,208.1487
2023-11-22,208.1110
2023-11-21,208.0612
2023-11-20,208.0046
2023-11-17,207.9881
2023-11-16,208.0221
2023-11-15,208.0451
2023-11-14,208.0548
2023-11-13,208.0645
2023-11-10,208.1037
2023-11-09,208.1961
2023-11-08,208.2599
2023-11-07,208.3277
2023-11-06,208.4086
2023-11-03,208.4666
2023-11-02,208.5304
2023-11-01,208.6404
2023-10-31,208.7555
2023-10-30,208.8986
2023-10-27,209.0494
2023-10-26,209.1988
2023-10-25,209.3327
2023-10-24,209.4645
2023-10-23,209.5750
2023-10-20,209.6864
2023-10-19,209.7489
2023-10-18,209.7861
2023-10-17,209.7875
2023-10-16,209.8138
2023-10-13,209.8308
2023-10-12,209.8474
2023-10-11,209.8131
2023-10-10,209.8049
2023-10-09,209.8050
2023-10-06,209.7959
2023-10-05,209.7937
2023-10-04,209.7768
2023-10-03,209.7638
2023-10-02,209.7574
2023-09-29,209.7556
2023-09-28,209.7000
2023-09-27,209.6352
2023-09-26,209.5518
2023-09-25,209.4442
2023-09-22,209.3801
2023-09-21,209.2903
2023-09-20,209.1509
2023-09-19,209.0159
2023-09-18,208.8789
2023-09-15,208.7038
2023-09-14,208.5382
2023-09-13,208.3643
2023-09-12,208.1747
2023-09-11,207.9962
2023-09-08,207.7901
2023-09-07,207.5809
2023-09-06,207.3399
2023-09-05,207.1016
2023-09-01,206.8635
2023-08-31,206.6160
2023-08-30,206.3514
2023-08-29,206.0767
2023-08-28,205.7937
2023-08-25,205.5027
2023-08-24,205.2176
2023-08-23,204.8884
2023-08-22,204.4823
2023-08-21,204.0525
2023-08-18,203.6385
2023-08-17,203.2367
2023-08-16,202.7897
2023-08-15,202.3177
2023-08-14,201.8779
2023-08-11,201.4034
2023-08-10,200.9296
2023-08-09,200.4297
2023-08-08,199.9288
2023-08-07,199.4321
2023-08-04,198.9634
2023-08-03,198.4868
2023-08-02,198.0098
2023-08-01,197.4673
2023-07-31,196.9217
2023-07-28,196.3916
2023-07-27,195.8681
2023-07-26,195.3437
2023-07-25,194.8885
2023-07-24,194.4689
2023-07-21,194.0556
2023-07-20,193.5962
2023-07-19,193.1677
2023-07-18,192.7681
2023-07-17,192.3533
2023-07-14,191.9374
2023-07-13,191.5013
2023-07-12,191.0889
2023-07-11,190.7070
2023-07-10,190.3762
2023-07-07,190.0433
2023-07-06,189.6917
2023-07-05,189.3555
2023-07-03,189.0449
2023-06-30,188.7269
2023-06-29,188.4292
2023-06-28,188.1659
2023-06-27,187.8998
2023-06-26,187.6441
2023-06-23,187.3698
2023-06-22,187.1117
2023-06-21,186.8596
2023-06-20,186.5904
2023-06-16,186.3110
2023-06-15,186.0437
2023-06-14,185.7693
