,EMA
2024-06-04,74.4927
2024-06-03,74.3676
2024-05-31,74.2536
2024-05-30,74.1838
2024-05-29,74.1460
2024-05-28,74.1676
2024-05-24,74.1906
2024-05-23,74.2326
2024-05-22,74.2688
2024-05-21,74.2941
2024-05-20,74.2989
2024-05-17,74.3079
2024-05-16,74.3180
2024-05-15,74.3282
2024-05-14,74.3208
2024-05-13,74.3089
2024-05-10,74.3052
2024-05-09,74.3044
2024-05-08,74.3169
2024-05-07,74.3375
2024-05-06,74.3362
2024-05-03,74.3312
2024-05-02,74.3426
2024-05-01,74.3553
2024-04-30,74.3630
2024-04-29,74.3609
2024-04-26,74.3513
2024-04-25,74.3427
2024-04-24,74.3510
2024-04-23,74.3485
2024-04-22,74.3406
2024-04-19,74.3181
2024-04-18,74.3021
2024-04-17,74.2780
2024-04-16,74.2633
2024-04-15,74.2459
2024-04-12,74.1996
2024-04-11,74.1514
2024-04-10,74.0889
2024-04-09,74.0202
2024-04-08,73.9530
2024-04-05,73.8925
2024-04-04,73.8424
2024-04-03,73.7772
2024-04-02,73.7133
2024-04-01,73.6385
2024-03-28,73.5535
2024-03-27,73.4679
2024-03-26,73.3987
2024-03-25,73.3261
2024-03-22,73.2448
2024-03-21,73.1467
2024-03-20,73.0922
2024-03-19,73.0277
2024-03-18,73.0005
2024-03-15,72.9629
2024-03-14,72.9325
2024-03-13,72.8924
2024-03-12,72.8531
2024-03-11,72.8269
2024-03-08,72.7781
2024-03-07,72.7161
2024-03-06,72.6683
2024-03-05,72.6455
2024-03-04,72.6211
2024-03-01,72.5715
2024-02-29,72.4933
2024-02-28,72.3975
2024-02-27,72.3363
2024-02-26,72.3021
2024-02-23,72.2732
2024-02-22,72.2502
2024-02-21,72.2360
2024-02-20,72.2370
2024-02-16,72.2358
2024-02-15,72.2239
2024-02-14,72.2070
2024-02-13,72.2073
2024-02-12,72.1975
2024-02-09,72.1704
2024-02-08,72.1459
2024-02-07,72.1205
2024-02-06,72.0976
2024-02-05,72.0873
2024-02-02,72.0708
2024-02-01,72.0549
2024-01-31,72.0555
2024-01-30,72.0544
2024-01-29,72.0568
2024-01-26,72.0388
2024-01-25,72.0129
2024-01-24,72.0018
