,RSI
2024-06-05,52.8769
2024-06-04,52.6571
2024-06-03,52.4006
2024-05-31,51.4411
2024-05-30,50.7289
2024-05-29,49.3765
2024-05-28,49.3462
2024-05-24,48.9143
2024-05-23,49.0515
2024-05-22,49.3042
2024-05-21,49.7735
2024-05-20,49.6809
2024-05-17,49.6556
2024-05-16,49.6556
2024-05-15,50.0577
2024-05-14,50.1559
2024-05-13,49.9697
2024-05-10,49.9038
2024-05-09,49.6011
2024-05-08,49.4182
2024-05-07,49.9162
2024-05-06,49.9979
2024-05-03,49.6266
2024-05-02,49.5992
2024-05-01,49.7136
2024-04-30,49.9338
2024-04-29,50.1028
2024-04-26,50.0759
2024-04-25,49.6981
2024-04-24,49.9398
2024-04-23,50.0587
2024-04-22,50.3852
2024-04-19,50.2360
2024-04-18,50.4139
2024-04-17,50.2029
2024-04-16,50.2567
2024-04-15,50.9030
2024-04-12,50.9371
2024-04-11,51.2499
2024-04-10,51.3759
2024-04-09,51.3305
2024-04-08,51.1704
2024-04-05,50.9339
2024-04-04,51.2625
2024-04-03,51.2193
2024-04-02,51.4530
2024-04-01,51.6671
2024-03-28,51.6607
2024-03-27,51.2936
2024-03-26,51.3545
2024-03-25,51.5349
2024-03-22,51.8932
2024-03-21,50.9417
2024-03-20,51.1553
2024-03-19,50.3226
2024-03-18,50.5515
2024-03-15,50.3842
2024-03-14,50.5949
2024-03-13,50.5686
2024-03-12,50.2728
2024-03-11,50.7745
2024-03-08,51.0642
2024-03-07,50.7386
2024-03-06,50.1697
2024-03-05,50.2011
2024-03-04,50.7707
2024-03-01,51.4203
2024-02-29,51.8179
2024-02-28,51.0220
2024-02-27,50.3929
2024-02-26,50.2598
2024-02-23,50.1198
2024-02-22,49.9081
2024-02-21,49.5515
2024-02-20,49.6017
2024-02-16,49.8483
2024-02-15,49.9605
2024-02-14,49.5572
2024-02-13,49.7899
2024-02-12,50.1876
2024-02-09,50.1211
2024-02-08,50.1349
2024-02-07,50.0735
2024-02-06,49.7795
2024-02-05,49.9178
2024-02-02,49.9019
2024-02-01,49.5171
2024-01-31,49.5575
2024-01-30,49.4755
2024-01-29,49.9395
2024-01-26,50.1112
2024-01-25,49.7721
2024-01-24,49.7086
2024-01-23,49.8272
2024-01-22,49.1461
2024-01-19,49.0863
2024-01-18,49.1814
2024-01-17,49.1198
2024-01-16,49.5808
2024-01-12,49.9733
2024-01-11,50.2016
2024-01-10,50.0645
2024-01-09,49.9296
2024-01-08,50.1317
2024-01-05,50.0401
2024-01-04,50.0066
2024-01-03,50.3984
2024-01-02,50.7078
2023-12-29,50.7530
2023-12-28,50.6544
2023-12-27,50.6107
2023-12-26,50.2951
2023-12-22,50.1565
2023-12-21,50.2694
2023-12-20,50.4378
2023-12-19,50.5487
2023-12-18,50.5476
2023-12-15,50.6699
2023-12-14,49.7229
2023-12-13,49.5140
2023-12-12,49.6735
2023-12-11,50.0027
2023-12-08,49.7845
2023-12-07,49.7953
2023-12-06,49.6692
2023-12-05,49.4952
2023-12-04,49.4234
2023-12-01,48.9187
2023-11-30,48.9831
2023-11-29,48.9370
2023-11-28,48.6098
2023-11-27,48.4996
2023-11-24,48.3497
2023-11-22,48.2616
2023-11-21,47.5965
2023-11-20,48.2592
2023-11-17,48.1473
2023-11-16,48.2594
2023-11-15,48.2083
2023-11-14,47.6308
2023-11-13,47.2154
2023-11-10,47.0990
2023-11-09,47.3147
2023-11-08,47.4862
2023-11-07,47.8270
2023-11-06,47.9756
2023-11-03,47.9443
2023-11-02,47.8239
2023-11-01,47.8172
2023-10-31,47.4021
2023-10-30,47.3417
2023-10-27,47.6080
2023-10-26,47.8822
2023-10-25,47.9983
2023-10-24,48.1757
2023-10-23,48.1538
2023-10-20,48.3328
2023-10-19,48.9603
2023-10-18,48.5484
2023-10-17,48.5918
2023-10-16,48.4018
2023-10-13,48.4469
2023-10-12,48.6023
2023-10-11,48.4963
2023-10-10,48.5370
2023-10-09,48.0560
2023-10-06,47.8199
2023-10-05,47.9464
2023-10-04,48.1011
2023-10-03,48.1513
2023-10-02,48.2675
2023-09-29,48.2247
2023-09-28,47.9692
2023-09-27,47.9772
2023-09-26,48.2266
2023-09-25,48.1286
2023-09-22,48.4379
2023-09-21,48.3193
2023-09-20,48.6994
2023-09-19,48.3991
2023-09-18,48.5565
2023-09-15,48.7519
2023-09-14,48.7854
2023-09-13,48.8030
2023-09-12,48.6489
2023-09-11,48.8558
2023-09-08,48.6199
2023-09-07,48.7541
2023-09-06,48.7930
2023-09-05,49.1358
2023-09-01,49.4144
2023-08-31,49.2976
2023-08-30,49.4603
2023-08-29,49.2555
2023-08-28,48.7122
2023-08-25,48.7374
2023-08-24,48.9796
2023-08-23,48.8359
2023-08-22,49.4865
2023-08-21,49.7599
2023-08-18,49.4924
2023-08-17,49.7560
2023-08-16,49.7179
2023-08-15,49.7495
2023-08-14,49.8224
2023-08-11,50.0391
2023-08-10,49.9840
2023-08-09,49.8444
2023-08-08,49.8795
2023-08-07,50.0569
2023-08-04,50.3033
2023-08-03,50.2801
2023-08-02,50.4617
2023-08-01,50.6162
2023-07-31,50.6514
2023-07-28,50.8820
2023-07-27,50.9348
2023-07-26,51.0011
2023-07-25,50.9094
2023-07-24,50.6245
2023-07-21,50.8486
2023-07-20,50.8225
2023-07-19,50.7293
2023-07-18,50.4623
2023-07-17,50.1219
2023-07-14,50.3292
2023-07-13,50.3254
2023-07-12,50.4999
2023-07-11,50.1579
2023-07-10,49.9303
2023-07-07,50.1336
2023-07-06,50.1731
2023-07-05,50.4426
2023-07-03,50.4916
2023-06-30,50.7219
2023-06-29,50.5232
2023-06-28,50.5344
2023-06-27,50.3489
2023-06-26,49.9067
2023-06-23,49.8453
2023-06-22,49.9413
2023-06-21,49.9062
2023-06-20,49.9612
2023-06-16,49.9484
2023-06-15,49.4912
2023-06-14,49.4635
2023-06-13,49.3673
2023-06-12,49.1835
