,SMA
2024-06-04,72.8192
2024-06-03,72.7633
2024-05-31,72.7126
2024-05-30,72.6852
2024-05-29,72.6758
2024-05-28,72.7015
2024-05-24,72.7265
2024-05-23,72.7573
2024-05-22,72.7860
2024-05-21,72.8134
2024-05-20,72.8366
2024-05-17,72.8612
2024-05-16,72.8909
2024-05-15,72.9243
2024-05-14,72.9498
2024-05-13,72.9788
2024-05-10,73.0132
2024-05-09,73.0507
2024-05-08,73.0925
2024-05-07,73.1310
2024-05-06,73.1640
2024-05-03,73.1945
2024-05-02,73.2308
2024-05-01,73.2608
2024-04-30,73.2795
2024-04-29,73.2985
2024-04-26,73.3138
2024-04-25,73.3340
2024-04-24,73.3538
2024-04-23,73.3624
2024-04-22,73.3736
2024-04-19,73.3785
2024-04-18,73.3937
2024-04-17,73.4061
2024-04-16,73.4292
2024-04-15,73.4459
2024-04-12,73.4486
2024-04-11,73.4456
2024-04-10,73.4243
2024-04-09,73.3987
2024-04-08,73.3766
2024-04-05,73.3573
2024-04-04,73.3449
2024-04-03,73.3249
2024-04-02,73.2939
2024-04-01,73.2570
2024-03-28,73.2129
2024-03-27,73.1642
2024-03-26,73.1239
2024-03-25,73.0770
2024-03-22,73.0252
2024-03-21,72.9556
2024-03-20,72.9109
2024-03-19,72.8632
2024-03-18,72.8289
2024-03-15,72.7909
2024-03-14,72.7700
2024-03-13,72.7243
2024-03-12,72.6805
2024-03-11,72.6381
2024-03-08,72.5851
2024-03-07,72.5249
2024-03-06,72.4829
2024-03-05,72.4581
2024-03-04,72.4206
2024-03-01,72.3748
2024-02-29,72.3110
2024-02-28,72.2420
2024-02-27,72.1925
2024-02-26,72.1627
2024-02-23,72.1292
2024-02-22,72.1062
2024-02-21,72.0836
2024-02-20,72.0677
2024-02-16,72.0554
2024-02-15,72.0375
2024-02-14,72.0233
2024-02-13,72.0130
2024-02-12,71.9881
2024-02-09,71.9539
2024-02-08,71.9290
2024-02-07,71.9008
2024-02-06,71.8777
2024-02-05,71.8575
2024-02-02,71.8373
2024-02-01,71.8196
2024-01-31,71.8097
2024-01-30,71.7974
2024-01-29,71.7869
2024-01-26,71.7786
2024-01-25,71.7636
2024-01-24,71.7535
2024-01-23,71.7514
2024-01-22,71.7530
2024-01-19,71.7746
2024-01-18,71.7962
2024-01-17,71.8043
2024-01-16,71.8121
2024-01-12,71.8015
2024-01-11,71.7797
2024-01-10,71.7599
2024-01-09,71.7410
2024-01-08,71.7333
2024-01-05,71.7275
2024-01-04,71.7276
2024-01-03,71.7180
2024-01-02,71.7006
2023-12-29,71.6653
2023-12-28,71.6234
2023-12-27,71.5991
2023-12-26,71.5760
2023-12-22,71.5699
2023-12-21,71.5784
2023-12-20,71.5880
2023-12-19,71.5975
2023-12-18,71.6087
2023-12-15,71.6095
2023-12-14,71.6062
2023-12-13,71.6290
2023-12-12,71.6599
2023-12-11,71.6918
2023-12-08,71.7068
2023-12-07,71.7326
2023-12-06,71.7580
2023-12-05,71.7956
2023-12-04,71.8503
2023-12-01,71.9062
2023-11-30,71.9715
2023-11-29,72.0322
2023-11-28,72.0901
2023-11-27,72.1469
2023-11-24,72.2226
2023-11-22,72.2976
2023-11-21,72.3776
2023-11-20,72.4808
2023-11-17,72.5712
2023-11-16,72.6678
2023-11-15,72.7498
2023-11-14,72.8267
2023-11-13,72.9045
2023-11-10,72.9872
2023-11-09,73.0769
2023-11-08,73.1541
2023-11-07,73.2318
2023-11-06,73.2981
2023-11-03,73.3534
2023-11-02,73.4126
2023-11-01,73.4878
2023-10-31,73.5630
2023-10-30,73.6464
2023-10-27,73.7376
2023-10-26,73.8157
2023-10-25,73.8764
2023-10-24,73.9375
2023-10-23,73.9884
2023-10-20,74.0351
2023-10-19,74.0793
2023-10-18,74.1062
2023-10-17,74.1403
2023-10-16,74.1750
2023-10-13,74.2179
2023-10-12,74.2580
2023-10-11,74.2903
2023-10-10,74.3206
2023-10-09,74.3541
2023-10-06,74.3907
2023-10-05,74.4382
2023-10-04,74.4830
2023-10-03,74.5237
2023-10-02,74.5679
2023-09-29,74.6288
2023-09-28,74.6722
2023-09-27,74.7234
2023-09-26,74.7707
2023-09-25,74.8163
2023-09-22,74.8713
2023-09-21,74.9265
2023-09-20,74.9824
2023-09-19,75.0293
2023-09-18,75.0767
2023-09-15,75.1114
2023-09-14,75.1364
2023-09-13,75.1657
2023-09-12,75.1841
2023-09-11,75.1931
2023-09-08,75.1701
2023-09-07,75.1516
2023-09-06,75.1159
2023-09-05,75.0973
2023-09-01,75.0890
2023-08-31,75.0647
2023-08-30,75.0338
2023-08-29,74.9916
2023-08-28,74.9418
2023-08-25,74.9114
2023-08-24,74.8786
2023-08-23,74.8370
2023-08-22,74.7852
2023-08-21,74.7325
2023-08-18,74.6770
2023-08-17,74.6209
2023-08-16,74.5487
2023-08-15,74.4800
2023-08-14,74.4082
2023-08-11,74.3268
2023-08-10,74.2399
2023-08-09,74.1467
2023-08-08,74.0626
2023-08-07,73.9800
2023-08-04,73.9070
2023-08-03,73.8154
2023-08-02,73.7276
2023-08-01,73.6190
2023-07-31,73.5160
2023-07-28,73.4106
2023-07-27,73.3053
2023-07-26,73.2024
2023-07-25,73.1083
2023-07-24,73.0092
2023-07-21,72.9125
2023-07-20,72.8061
2023-07-19,72.7011
2023-07-18,72.6079
2023-07-17,72.5208
2023-07-14,72.4417
2023-07-13,72.3678
2023-07-12,72.2910
2023-07-11,72.2187
2023-07-10,72.1642
2023-07-07,72.1230
2023-07-06,72.0681
2023-07-05,72.0082
2023-07-03,71.9524
2023-06-30,71.8963
2023-06-29,71.8431
2023-06-28,71.8005
2023-06-27,71.7486
2023-06-26,71.6901
2023-06-23,71.6371
2023-06-22,71.5892
2023-06-21,71.5440
2023-06-20,71.4866
2023-06-16,71.4472
2023-06-15,71.4110
2023-06-14,71.3803
2023-06-13,71.3713
2023-06-12,71.3629
2023-06-09,71.3623
2023-06-08,71.3611
2023-06-07,71.3646
2023-06-06,71.3840
2023-06-05,71.4156
2023-06-02,71.4504
2023-06-01,71.4754
2023-05-31,71.4989
2023-05-30,71.5265
2023-05-26,71.5345
2023-05-25,71.5568
2023-05-24,71.5738
2023-05-23,71.5936
2023-05-22,71.6045
2023-05-19,71.6191
2023-05-18,71.6227
2023-05-17,71.6237
2023-05-16,71.6377
2023-05-15,71.6486
2023-05-12,71.6574
2023-05-11,71.6502
2023-05-10,71.6431
2023-05-09,71.6489
2023-05-08,71.6690
2023-05-05,71.6769
2023-05-04,71.6817
2023-05-03,71.6771
2023-05-02,71.6644
2023-05-01,71.6484
2023-04-28,71.6175
2023-04-27,71.5838
2023-04-26,71.5664
2023-04-25,71.5537
2023-04-24,71.5283
2023-04-21,71.4993
2023-04-20,71.4714
2023-04-19,71.4301
2023-04-18,71.3842
2023-04-17,71.3362
2023-04-14,71.3003
2023-04-13,71.2816
2023-04-12,71.2778
2023-04-11,71.2484
2023-04-10,71.2129
2023-04-06,71.1808
2023-04-05,71.1502
2023-04-04,71.0945
2023-04-03,71.0407
2023-03-31,70.9941
2023-03-30,70.9550
2023-03-29,70.9194
2023-03-28,70.9011
2023-03-27,70.9005
2023-03-24,70.8980
2023-03-23,70.8926
2023-03-22,70.8970
2023-03-21,70.8944
2023-03-20,70.8882
2023-03-17,70.9019
2023-03-16,70.9199
2023-03-15,70.9420
2023-03-14,70.9653
2023-03-13,70.9267
2023-03-10,70.8969
2023-03-09,70.8543
2023-03-08,70.8076
2023-03-07,70.7574
2023-03-06,70.7251
2023-03-03,70.7215
2023-03-02,70.7270
2023-03-01,70.7401
2023-02-28,70.7342
2023-02-27,70.7478
2023-02-24,70.7690
2023-02-23,70.7913
2023-02-22,70.8162
2023-02-21,70.8622
2023-02-17,70.8896
2023-02-16,70.8999
2023-02-15,70.8951
2023-02-14,70.9061
2023-02-13,70.9225
2023-02-10,70.9419
2023-02-09,70.9670
2023-02-08,70.9653
2023-02-07,70.9796
2023-02-06,71.0028
2023-02-03,71.0186
2023-02-02,71.0190
2023-02-01,71.0175
2023-01-31,71.0361
2023-01-30,71.0495
2023-01-27,71.0872
2023-01-26,71.1152
2023-01-25,71.1253
2023-01-24,71.1484
2023-01-23,71.1667
2023-01-20,71.2021
2023-01-19,71.2325
2023-01-18,71.2644
2023-01-17,71.2856
2023-01-13,71.3359
2023-01-12,71.3822
2023-01-11,71.4142
2023-01-10,71.4561
2023-01-09,71.5071
2023-01-06,71.5599
2023-01-05,71.6238
2023-01-04,71.7008
2023-01-03,71.7598
2022-12-30,71.8233
2022-12-29,71.8938
2022-12-28,71.9412
2022-12-27,71.9830
2022-12-23,72.0462
2022-12-22,72.1229
2022-12-21,72.2131
2022-12-20,72.3027
2022-12-19,72.4074
2022-12-16,72.5170
2022-12-15,72.6176
2022-12-14,72.6773
2022-12-13,72.7274
2022-12-12,72.7507
2022-12-09,72.7857
2022-12-08,72.7888
2022-12-07,72.8202
2022-12-06,72.8697
2022-12-05,72.9200
2022-12-02,72.9650
2022-12-01,73.0243
2022-11-30,73.0854
2022-11-29,73.1444
2022-11-28,73.2132
2022-11-25,73.2893
2022-11-23,73.3595
2022-11-22,73.4275
2022-11-21,73.5080
2022-11-18,73.6133
2022-11-17,73.7245
2022-11-16,73.8581
2022-11-15,73.9694
2022-11-14,74.0516
2022-11-11,74.1399
2022-11-10,74.2492
2022-11-09,74.3665
2022-11-08,74.4946
2022-11-07,74.5988
2022-11-04,74.7044
2022-11-03,74.8368
2022-11-02,74.9791
2022-11-01,75.1044
2022-10-31,75.2361
2022-10-28,75.3799
2022-10-27,75.5419
2022-10-26,75.6945
2022-10-25,75.8456
2022-10-24,76.0103
2022-10-21,76.1751
2022-10-20,76.3579
2022-10-19,76.5247
