,SMA
2024-06-04,300.1408
2024-06-03,299.8639
2024-05-31,299.5261
2024-05-30,299.2231
2024-05-29,298.9322
2024-05-28,298.6080
2024-05-24,298.2715
2024-05-23,297.9126
2024-05-22,297.4821
2024-05-21,297.0567
2024-05-20,296.6426
2024-05-17,296.2693
2024-05-16,295.9240
2024-05-15,295.4858
2024-05-14,294.9747
2024-05-13,294.4685
2024-05-10,293.9721
2024-05-09,293.4824
2024-05-08,293.0360
2024-05-07,292.6103
2024-05-06,292.1792
2024-05-03,291.7781
2024-05-02,291.3711
2024-05-01,290.9682
2024-04-30,290.5495
2024-04-29,290.0735
2024-04-26,289.6033
2024-04-25,289.1653
2024-04-24,288.7396
2024-04-23,288.1202
2024-04-22,287.4993
2024-04-19,286.9105
2024-04-18,286.3218
2024-04-17,285.7300
2024-04-16,285.1339
2024-04-15,284.5131
2024-04-12,283.8298
2024-04-11,283.1591
2024-04-10,282.4587
2024-04-09,281.7852
2024-04-08,281.0963
2024-04-05,280.3801
2024-04-04,279.7140
2024-04-03,279.0584
2024-04-02,278.4355
2024-04-01,277.8421
2024-03-28,277.1900
2024-03-27,276.5283
2024-03-26,275.8984
2024-03-25,275.2739
2024-03-22,274.6140
2024-03-21,273.8868
2024-03-20,273.2193
2024-03-19,272.5253
2024-03-18,271.7933
2024-03-15,271.0859
2024-03-14,270.4140
2024-03-13,269.7370
2024-03-12,269.0819
2024-03-11,268.4514
2024-03-08,267.8192
2024-03-07,267.1668
2024-03-06,266.5578
2024-03-05,265.9185
2024-03-04,265.2749
2024-03-01,264.6342
2024-02-29,264.0028
2024-02-28,263.3931
2024-02-27,262.7882
2024-02-26,262.2168
2024-02-23,261.6537
2024-02-22,261.1072
2024-02-21,260.5566
2024-02-20,260.0584
2024-02-16,259.5365
2024-02-15,258.9896
2024-02-14,258.4924
2024-02-13,257.9649
2024-02-12,257.4250
2024-02-09,256.9136
2024-02-08,256.4011
2024-02-07,255.8663
2024-02-06,255.3408
2024-02-05,254.8167
2024-02-02,254.2461
2024-02-01,253.8180
2024-01-31,253.4059
2024-01-30,252.9724
2024-01-29,252.5492
2024-01-26,252.1442
2024-01-25,251.7002
2024-01-24,251.2619
2024-01-23,250.8514
2024-01-22,250.4598
2024-01-19,250.1521
2024-01-18,249.8687
2024-01-17,249.5854
2024-01-16,249.3014
2024-01-12,248.9564
2024-01-11,248.5572
2024-01-10,248.1456
2024-01-09,247.7556
2024-01-08,247.3979
2024-01-05,247.0713
2024-01-04,246.7457
2024-01-03,246.3965
2024-01-02,246.0278
2023-12-29,245.6256
2023-12-28,245.2247
2023-12-27,244.8694
2023-12-26,244.4901
2023-12-22,244.1978
2023-12-21,243.9736
2023-12-20,243.7468
2023-12-19,243.5395
2023-12-18,243.3654
2023-12-15,243.1757
2023-12-14,242.9903
2023-12-13,242.8208
2023-12-12,242.7008
2023-12-11,242.5789
2023-12-08,242.4389
2023-12-07,242.3375
2023-12-06,242.2396
2023-12-05,242.1599
2023-12-04,242.1115
2023-12-01,242.0576
2023-11-30,242.0006
2023-11-29,241.9617
2023-11-28,241.9124
2023-11-27,241.8863
2023-11-24,241.8822
2023-11-22,241.8699
2023-11-21,241.8939
2023-11-20,241.8683
2023-11-17,241.8069
2023-11-16,241.7840
2023-11-15,241.7709
2023-11-14,241.7883
2023-11-13,241.8504
2023-11-10,241.9473
2023-11-09,242.0496
2023-11-08,242.1149
2023-11-07,242.1792
2023-11-06,242.2402
2023-11-03,242.2479
2023-11-02,242.2732
2023-11-01,242.3539
2023-10-31,242.4953
2023-10-30,242.6140
2023-10-27,242.6436
2023-10-26,242.6602
2023-10-25,242.6425
2023-10-24,242.6132
2023-10-23,242.5524
2023-10-20,242.4930
2023-10-19,242.4128
2023-10-18,242.3099
2023-10-17,242.1484
2023-10-16,241.9954
2023-10-13,241.8343
2023-10-12,241.6693
2023-10-11,241.4698
2023-10-10,241.2872
2023-10-09,241.0969
2023-10-06,240.9138
2023-10-05,240.7598
2023-10-04,240.5687
2023-10-03,240.3771
2023-10-02,240.1861
2023-09-29,239.9965
2023-09-28,239.7253
2023-09-27,239.5033
2023-09-26,239.2883
2023-09-25,239.0536
2023-09-22,238.8480
2023-09-21,238.6469
2023-09-20,238.4206
2023-09-19,238.1829
2023-09-18,237.9474
2023-09-15,237.7042
2023-09-14,237.4503
2023-09-13,237.2254
2023-09-12,236.9976
2023-09-11,236.7519
2023-09-08,236.4731
2023-09-07,236.2057
2023-09-06,235.9263
2023-09-05,235.6799
2023-09-01,235.4193
2023-08-31,235.1609
2023-08-30,234.8937
2023-08-29,234.6405
2023-08-28,234.3822
2023-08-25,234.1437
2023-08-24,233.9120
2023-08-23,233.6606
2023-08-22,233.3549
2023-08-21,233.0607
2023-08-18,232.7675
2023-08-17,232.4670
2023-08-16,232.1328
2023-08-15,231.7873
2023-08-14,231.3570
2023-08-11,230.8802
2023-08-10,230.3960
2023-08-09,229.8658
2023-08-08,229.3525
2023-08-07,228.8643
2023-08-04,228.3899
2023-08-03,227.8730
2023-08-02,227.3515
2023-08-01,226.7708
2023-07-31,226.2918
2023-07-28,225.8493
2023-07-27,225.4352
2023-07-26,225.0108
2023-07-25,224.5821
2023-07-24,224.1543
2023-07-21,223.7216
2023-07-20,223.2387
2023-07-19,222.7364
2023-07-18,222.2530
2023-07-17,221.7826
2023-07-14,221.3284
2023-07-13,220.8612
2023-07-12,220.4258
2023-07-11,220.0055
2023-07-10,219.6446
2023-07-07,219.3162
2023-07-06,218.9929
2023-07-05,218.6703
2023-07-03,218.3592
2023-06-30,218.0399
2023-06-29,217.7364
2023-06-28,217.4702
2023-06-27,217.2011
2023-06-26,216.9028
2023-06-23,216.6117
2023-06-22,216.3439
2023-06-21,216.0571
2023-06-20,215.7647
2023-06-16,215.4762
2023-06-15,215.1765
2023-06-14,214.8960
2023-06-13,214.6472
2023-06-12,214.4125
2023-06-09,214.2116
2023-06-08,213.9852
2023-06-07,213.7662
2023-06-06,213.5907
2023-06-05,213.4530
2023-06-02,213.2802
2023-06-01,213.1681
2023-05-31,213.0823
2023-05-30,212.9967
2023-05-26,212.8910
2023-05-25,212.7628
2023-05-24,212.6313
2023-05-23,212.4932
2023-05-22,212.3330
2023-05-19,212.1641
2023-05-18,211.9719
2023-05-17,211.8438
2023-05-16,211.7583
2023-05-15,211.6407
2023-05-12,211.5104
2023-05-11,211.3543
2023-05-10,211.2030
2023-05-09,211.0105
2023-05-08,210.8375
2023-05-05,210.6365
2023-05-04,210.4511
2023-05-03,210.2302
2023-05-02,210.0163
2023-05-01,209.7767
2023-04-28,209.5141
2023-04-27,209.2934
2023-04-26,209.0982
2023-04-25,208.8803
2023-04-24,208.6531
2023-04-21,208.4458
2023-04-20,208.1946
2023-04-19,207.9421
2023-04-18,207.7045
2023-04-17,207.4678
2023-04-14,207.2676
2023-04-13,207.0900
2023-04-12,206.9182
2023-04-11,206.7033
2023-04-10,206.5427
2023-04-06,206.4276
2023-04-05,206.3346
2023-04-04,206.2175
2023-04-03,206.0643
2023-03-31,205.9364
2023-03-30,205.8290
2023-03-29,205.7354
2023-03-28,205.7007
2023-03-27,205.7264
2023-03-24,205.7575
2023-03-23,205.7635
2023-03-22,205.7559
2023-03-21,205.7033
2023-03-20,205.6626
2023-03-17,205.6491
2023-03-16,205.6179
2023-03-15,205.5961
2023-03-14,205.5395
2023-03-13,205.4047
2023-03-10,205.2868
2023-03-09,205.0919
2023-03-08,204.8666
2023-03-07,204.6432
2023-03-06,204.4284
2023-03-03,204.2008
2023-03-02,203.9519
2023-03-01,203.7322
2023-02-28,203.5272
2023-02-27,203.3367
2023-02-24,203.1681
2023-02-23,203.0365
2023-02-22,202.9023
2023-02-21,202.7914
2023-02-17,202.6285
2023-02-16,202.4347
2023-02-15,202.2384
2023-02-14,202.0662
2023-02-13,201.8550
2023-02-10,201.6787
2023-02-09,201.5128
2023-02-08,201.3249
2023-02-07,201.2090
2023-02-06,201.1178
2023-02-03,201.0208
2023-02-02,200.9282
2023-02-01,200.7988
2023-01-31,200.6190
2023-01-30,200.3993
2023-01-27,200.1416
2023-01-26,199.8958
2023-01-25,199.6560
2023-01-24,199.4414
2023-01-23,199.2332
2023-01-20,199.0587
2023-01-19,198.8992
2023-01-18,198.7467
2023-01-17,198.5618
2023-01-13,198.3634
2023-01-12,198.1692
2023-01-11,198.0058
2023-01-10,197.8436
2023-01-09,197.7056
2023-01-06,197.5536
2023-01-05,197.4445
