,EMA
2024-06-04,672.1456
2024-06-03,670.7101
2024-05-31,669.3001
2024-05-30,667.8958
2024-05-29,666.4656
2024-05-28,665.0530
2024-05-24,663.5989
2024-05-23,662.2217
2024-05-22,660.7937
2024-05-21,659.3943
2024-05-20,658.0257
2024-05-17,656.6465
2024-05-16,655.2700
2024-05-15,653.8978
2024-05-14,652.6453
2024-05-13,651.4163
2024-05-10,650.0436
2024-05-09,648.7471
2024-05-08,647.5908
2024-05-07,646.3606
2024-05-06,645.2316
2024-05-03,644.1828
2024-05-02,643.2773
2024-05-01,642.4585
2024-04-30,641.6564
2024-04-29,640.8136
2024-04-26,639.9220
2024-04-25,639.1674
2024-04-24,638.2818
2024-04-23,637.4750
2024-04-22,636.6670
2024-04-19,635.8926
2024-04-18,635.1289
2024-04-17,634.3358
2024-04-16,633.4563
2024-04-15,632.6152
2024-04-12,631.5938
2024-04-11,630.6366
2024-04-10,629.6347
2024-04-09,628.8284
2024-04-08,627.9614
2024-04-05,627.1132
2024-04-04,626.3313
2024-04-03,625.5142
2024-04-02,624.6768
2024-04-01,623.7303
2024-03-28,622.6564
2024-03-27,621.5507
2024-03-26,620.4324
2024-03-25,619.3330
2024-03-22,618.2225
2024-03-21,616.9661
2024-03-20,615.7064
2024-03-19,614.5594
2024-03-18,613.3930
2024-03-15,612.2720
2024-03-14,611.0753
2024-03-13,609.8082
2024-03-12,608.5619
2024-03-11,607.4828
2024-03-08,606.3655
2024-03-07,604.8733
2024-03-06,603.1348
2024-03-05,601.5219
2024-03-04,599.8569
2024-03-01,598.3091
2024-02-29,596.8926
2024-02-28,595.3517
2024-02-27,593.8776
2024-02-26,592.3608
2024-02-23,590.8688
2024-02-22,589.3808
2024-02-21,588.0209
2024-02-20,586.6490
2024-02-16,585.2398
2024-02-15,583.8771
2024-02-14,582.5057
2024-02-13,581.1756
2024-02-12,579.7780
2024-02-09,578.3451
2024-02-08,576.8814
2024-02-07,575.4156
2024-02-06,574.0328
2024-02-05,572.6654
2024-02-02,571.2902
2024-02-01,569.9744
2024-01-31,568.7391
2024-01-30,567.4281
2024-01-29,566.1879
2024-01-26,564.9657
2024-01-25,563.8296
2024-01-24,562.6178
2024-01-23,561.3687
2024-01-22,560.0899
2024-01-19,558.7510
2024-01-18,557.4680
2024-01-17,556.2290
2024-01-16,555.0009
2024-01-12,553.7330
2024-01-11,552.5099
2024-01-10,551.3396
2024-01-09,550.1719
2024-01-08,549.0996
2024-01-05,548.0472
2024-01-04,546.9805
2024-01-03,546.0444
2024-01-02,545.0074
2023-12-29,543.9162
2023-12-28,542.7598
2023-12-27,541.5431
2023-12-26,540.3457
2023-12-22,539.1814
2023-12-21,538.0544
2023-12-20,536.9371
2023-12-19,535.7505
2023-12-18,534.5205
2023-12-15,533.3810
2023-12-14,532.4554
2023-12-13,531.5237
2023-12-12,530.6537
2023-12-11,529.8385
2023-12-08,529.0688
2023-12-07,528.4223
2023-12-06,527.7555
2023-12-05,527.1262
2023-12-04,526.5588
2023-12-01,526.0483
2023-11-30,525.5216
2023-11-29,525.0429
2023-11-28,524.4873
2023-11-27,523.9457
2023-11-24,523.4053
2023-11-22,522.8741
2023-11-21,522.3785
2023-11-20,521.9254
2023-11-17,521.5134
2023-11-16,521.0820
2023-11-15,520.5730
2023-11-14,519.9843
2023-11-13,519.5097
2023-11-10,519.0963
2023-11-09,518.7484
2023-11-08,518.3863
2023-11-07,517.9899
2023-11-06,517.5858
2023-11-03,517.2953
2023-11-02,517.0328
2023-11-01,516.7759
2023-10-31,516.5411
2023-10-30,516.3316
2023-10-27,516.1829
2023-10-26,516.0144
2023-10-25,515.8242
2023-10-24,515.6429
2023-10-23,515.4250
2023-10-20,515.1850
2023-10-19,514.8213
2023-10-18,514.3839
2023-10-17,513.9400
2023-10-16,513.5109
2023-10-13,513.0995
2023-10-12,512.7412
2023-10-11,512.3381
2023-10-10,511.9623
2023-10-09,511.6310
2023-10-06,511.3444
2023-10-05,510.9465
2023-10-04,510.4851
2023-10-03,510.0453
2023-10-02,509.5853
2023-09-29,509.1519
2023-09-28,508.6937
2023-09-27,508.2889
2023-09-26,508.0432
2023-09-25,507.6800
2023-09-22,507.3098
2023-09-21,506.9783
2023-09-20,506.5562
2023-09-19,506.1272
2023-09-18,505.7204
2023-09-15,505.3433
2023-09-14,504.8925
2023-09-13,504.4423
2023-09-12,504.0512
2023-09-11,503.6466
2023-09-08,503.3012
2023-09-07,502.9889
2023-09-06,502.6776
2023-09-05,502.4309
2023-09-01,502.1426
2023-08-31,501.7795
2023-08-30,501.5407
2023-08-29,501.2727
2023-08-28,501.0841
2023-08-25,500.8774
2023-08-24,500.6988
2023-08-23,500.4560
2023-08-22,500.2241
2023-08-21,499.9606
2023-08-18,499.6759
2023-08-17,499.3585
2023-08-16,498.9153
2023-08-15,498.4459
2023-08-14,497.9782
2023-08-11,497.4694
2023-08-10,496.9987
2023-08-09,496.4954
2023-08-08,496.0380
2023-08-07,495.5759
2023-08-04,495.1384
2023-08-03,494.6372
2023-08-02,494.2046
2023-08-01,493.7801
2023-07-31,493.2695
2023-07-28,492.7307
2023-07-27,492.1711
2023-07-26,491.5751
2023-07-25,490.9948
2023-07-24,490.3963
2023-07-21,489.8774
2023-07-20,489.3419
2023-07-19,488.8534
2023-07-18,488.3534
2023-07-17,487.8660
2023-07-14,487.4371
2023-07-13,487.0768
2023-07-12,486.7217
2023-07-11,486.4198
2023-07-10,486.1587
2023-07-07,485.9188
2023-07-06,485.5903
2023-07-05,485.2098
2023-07-03,484.8026
2023-06-30,484.4301
2023-06-29,484.0839
2023-06-28,483.7692
2023-06-27,483.4671
2023-06-26,483.2237
2023-06-23,482.9607
2023-06-22,482.7075
2023-06-21,482.4756
2023-06-20,482.2685
2023-06-16,482.0199
2023-06-15,481.6892
2023-06-14,481.3660
2023-06-13,481.0785
2023-06-12,480.8172
2023-06-09,480.5996
2023-06-08,480.3709
2023-06-07,480.1955
2023-06-06,479.9987
2023-06-05,479.7633
2023-06-02,479.5809
2023-06-01,479.4188
2023-05-31,479.2648
2023-05-30,479.1137
2023-05-26,478.9522
2023-05-25,479.0246
2023-05-24,479.1509
2023-05-23,479.2097
2023-05-22,479.2699
2023-05-19,479.2347
2023-05-18,479.1758
2023-05-17,479.1592
2023-05-16,479.1131
2023-05-15,479.0471
2023-05-12,478.9412
2023-05-11,478.8425
2023-05-10,478.7785
2023-05-09,478.6901
2023-05-08,478.6495
2023-05-05,478.6044
2023-05-04,478.5996
2023-05-03,478.6364
2023-05-02,478.6088
2023-05-01,478.5966
2023-04-28,478.5437
2023-04-27,478.4669
2023-04-26,478.4549
2023-04-25,478.3882
2023-04-24,478.2166
2023-04-21,478.0922
2023-04-20,477.9348
2023-04-19,477.9084
2023-04-18,477.8684
2023-04-17,477.8379
2023-04-14,477.8396
2023-04-13,477.8081
2023-04-12,477.8024
2023-04-11,477.7334
2023-04-10,477.7237
2023-04-06,477.8107
2023-04-05,477.9170
2023-04-04,477.8588
2023-04-03,477.8244
2023-03-31,477.7896
2023-03-30,477.7691
2023-03-29,477.7679
2023-03-28,477.8037
2023-03-27,477.8066
2023-03-24,477.7641
2023-03-23,477.8218
2023-03-22,477.8436
2023-03-21,477.8776
2023-03-20,477.8775
2023-03-17,477.9261
2023-03-16,477.9647
2023-03-15,478.0441
2023-03-14,478.1575
2023-03-13,478.3314
2023-03-10,478.5911
2023-03-09,478.7347
2023-03-08,478.7969
2023-03-07,478.9035
2023-03-06,478.9809
2023-03-03,479.1524
2023-03-02,479.3421
2023-03-01,479.5090
2023-02-28,479.6412
2023-02-27,479.7309
2023-02-24,479.7538
2023-02-23,479.8155
2023-02-22,479.7784
2023-02-21,479.6909
2023-02-17,479.6329
