,RSI
2024-06-05,59.9207
2024-06-04,59.3516
2024-06-03,59.2076
2024-05-31,59.1363
2024-05-30,59.1975
2024-05-29,59.0831
2024-05-28,59.2244
2024-05-24,58.8968
2024-05-23,59.0871
2024-05-22,58.9338
2024-05-21,58.7726
2024-05-20,58.7610
2024-05-17,58.7021
2024-05-16,58.6376
2024-05-15,58.1573
2024-05-14,58.0263
2024-05-13,58.6919
2024-05-10,58.3662
2024-05-09,57.8029
2024-05-08,58.1212
2024-05-07,57.6984
2024-05-06,57.3538
2024-05-03,56.7641
2024-05-02,56.3906
2024-05-01,56.2928
2024-04-30,56.4574
2024-04-29,56.6618
2024-04-26,56.0900
2024-04-25,56.7198
2024-04-24,56.3734
2024-04-23,56.3464
2024-04-22,56.1807
2024-04-19,56.1080
2024-04-18,56.2176
2024-04-17,56.6153
2024-04-16,56.4307
2024-04-15,57.3150
2024-04-12,57.0243
2024-04-11,57.2069
2024-04-10,56.3933
2024-04-09,56.6673
2024-04-08,56.5579
2024-04-05,56.2572
2024-04-04,56.3992
2024-04-03,56.4620
2024-04-02,56.9851
2024-04-01,57.6084
2024-03-28,57.7201
2024-03-27,57.7281
2024-03-26,57.6113
2024-03-25,57.6113
2024-03-22,58.3253
2024-03-21,58.2897
2024-03-20,57.8074
2024-03-19,57.8495
2024-03-18,57.6286
2024-03-15,57.9697
2024-03-14,58.2803
2024-03-13,58.1524
2024-03-12,57.4541
2024-03-11,57.5998
2024-03-08,59.5960
2024-03-07,60.9329
2024-03-06,60.3857
2024-03-05,60.5976
2024-03-04,60.0783
2024-03-01,59.4953
2024-02-29,60.1508
2024-02-28,59.8215
2024-02-27,59.9891
2024-02-26,59.8285
2024-02-23,59.7530
2024-02-22,59.1732
2024-02-21,59.1666
2024-02-20,59.3053
2024-02-16,59.0588
2024-02-15,59.0383
2024-02-14,58.8137
2024-02-13,59.1305
2024-02-12,59.2560
2024-02-09,59.3513
2024-02-08,59.3010
2024-02-07,58.9071
2024-02-06,58.7881
2024-02-05,58.7641
2024-02-02,58.4662
2024-02-01,58.0807
2024-01-31,58.4451
2024-01-30,58.0980
2024-01-29,57.9712
2024-01-26,57.5587
2024-01-25,57.9286
2024-01-24,58.0732
2024-01-23,58.1726
2024-01-22,58.4452
2024-01-19,58.1581
2024-01-18,57.9215
2024-01-17,57.8240
2024-01-16,57.9812
2024-01-12,57.7417
2024-01-11,57.4686
2024-01-10,57.4079
2024-01-09,56.9547
2024-01-08,56.8232
2024-01-05,56.8440
2024-01-04,56.2363
2024-01-03,56.7512
2024-01-02,56.9998
2023-12-29,57.3095
2023-12-28,57.5882
2023-12-27,57.4545
2023-12-26,57.2632
2023-12-22,57.0538
2023-12-21,56.9641
2023-12-20,57.2938
2023-12-19,57.4729
2023-12-18,57.0357
2023-12-15,56.0510
2023-12-14,56.0370
2023-12-13,55.7198
2023-12-12,55.4341
2023-12-11,55.1914
2023-12-08,54.5898
2023-12-07,54.6663
2023-12-06,54.4623
2023-12-05,54.1442
2023-12-04,53.8507
2023-12-01,53.9115
2023-11-30,53.6604
2023-11-29,54.0567
2023-11-28,53.9645
2023-11-27,53.9338
2023-11-24,53.8653
2023-11-22,53.6747
2023-11-21,53.4522
2023-11-20,53.2375
2023-11-17,53.3194
2023-11-16,53.7138
2023-11-15,54.1190
2023-11-14,53.5578
2023-11-13,53.2448
2023-11-10,52.9121
2023-11-09,52.9702
2023-11-08,53.1349
2023-11-07,53.1549
2023-11-06,52.5931
2023-11-03,52.4438
2023-11-02,52.4046
2023-11-01,52.2860
2023-10-31,52.1524
