,SMA
2024-06-04,652.3520
2024-06-03,650.9944
2024-05-31,649.6675
2024-05-30,648.3473
2024-05-29,647.0393
2024-05-28,645.7257
2024-05-24,644.4124
2024-05-23,643.1193
2024-05-22,641.8079
2024-05-21,640.5032
2024-05-20,639.2504
2024-05-17,637.9625
2024-05-16,636.6767
2024-05-15,635.4406
2024-05-14,634.2824
2024-05-13,633.1498
2024-05-10,631.9671
2024-05-09,630.8185
2024-05-08,629.7523
2024-05-07,628.6124
2024-05-06,627.5347
2024-05-03,626.4766
2024-05-02,625.4982
2024-05-01,624.5587
2024-04-30,623.6000
2024-04-29,622.5889
2024-04-26,621.5533
2024-04-25,620.5621
2024-04-24,619.4877
2024-04-23,618.4450
2024-04-22,617.4487
2024-04-19,616.4973
2024-04-18,615.5665
2024-04-17,614.6057
2024-04-16,613.5909
2024-04-15,612.5821
2024-04-12,611.4800
2024-04-11,610.3843
2024-04-10,609.2796
2024-04-09,608.2710
2024-04-08,607.2245
2024-04-05,606.1781
2024-04-04,605.1886
2024-04-03,604.2250
2024-04-02,603.2501
2024-04-01,602.2057
2024-03-28,601.0881
2024-03-27,599.9371
2024-03-26,598.7898
2024-03-25,597.6298
2024-03-22,596.4795
2024-03-21,595.2804
2024-03-20,594.0585
2024-03-19,592.8879
2024-03-18,591.7085
2024-03-15,590.5553
2024-03-14,589.3745
2024-03-13,588.0475
2024-03-12,586.7107
2024-03-11,585.4976
2024-03-08,584.2704
2024-03-07,582.9101
2024-03-06,581.4463
2024-03-05,580.0323
2024-03-04,578.6151
2024-03-01,577.2742
2024-02-29,576.0258
2024-02-28,574.7186
2024-02-27,573.4345
2024-02-26,572.1484
2024-02-23,570.8580
2024-02-22,569.5790
2024-02-21,568.3510
2024-02-20,567.1031
2024-02-16,565.8757
2024-02-15,564.6707
2024-02-14,563.4883
2024-02-13,562.3449
2024-02-12,561.1421
2024-02-09,559.9557
2024-02-08,558.8132
2024-02-07,557.6525
2024-02-06,556.5563
2024-02-05,555.4086
2024-02-02,554.2706
2024-02-01,553.1640
2024-01-31,552.0879
2024-01-30,550.9969
2024-01-29,549.9346
2024-01-26,548.9190
2024-01-25,547.9224
2024-01-24,546.8457
2024-01-23,545.7474
2024-01-22,544.7228
2024-01-19,543.6627
2024-01-18,542.6371
2024-01-17,541.6325
2024-01-16,540.6299
2024-01-12,539.5951
2024-01-11,538.6055
2024-01-10,537.6709
2024-01-09,536.6934
2024-01-08,535.7873
2024-01-05,534.8906
2024-01-04,534.0091
2024-01-03,533.1737
2024-01-02,532.2980
2023-12-29,531.3804
2023-12-28,530.4193
2023-12-27,529.4045
2023-12-26,528.3635
2023-12-22,527.4041
2023-12-21,526.5102
2023-12-20,525.6051
2023-12-19,524.6860
2023-12-18,523.7049
2023-12-15,522.7668
2023-12-14,521.9531
2023-12-13,521.1591
2023-12-12,520.4222
2023-12-11,519.7507
2023-12-08,519.0865
2023-12-07,518.5371
2023-12-06,518.0057
2023-12-05,517.4812
2023-12-04,517.0074
2023-12-01,516.5615
2023-11-30,516.1058
2023-11-29,515.6877
2023-11-28,515.2179
2023-11-27,514.7422
2023-11-24,514.3026
2023-11-22,513.8995
2023-11-21,513.5200
2023-11-20,513.1761
2023-11-17,512.8776
2023-11-16,512.5965
2023-11-15,512.1973
2023-11-14,511.7364
2023-11-13,511.3214
2023-11-10,510.9362
2023-11-09,510.5540
2023-11-08,510.1478
2023-11-07,509.7394
2023-11-06,509.2707
2023-11-03,508.8312
2023-11-02,508.4185
2023-11-01,508.0512
2023-10-31,507.6978
2023-10-30,507.3376
2023-10-27,507.0286
2023-10-26,506.6879
2023-10-25,506.3218
2023-10-24,505.9891
2023-10-23,505.5431
2023-10-20,505.0458
2023-10-19,504.5010
2023-10-18,503.9253
2023-10-17,503.3323
2023-10-16,502.7537
2023-10-13,502.1953
2023-10-12,501.6985
2023-10-11,501.1479
2023-10-10,500.6184
2023-10-09,500.1165
2023-10-06,499.6248
2023-10-05,499.1002
2023-10-04,498.5477
2023-10-03,498.0764
2023-10-02,497.6626
2023-09-29,497.3040
2023-09-28,496.8659
2023-09-27,496.4198
2023-09-26,496.0927
2023-09-25,495.6898
2023-09-22,495.3413
2023-09-21,495.0227
2023-09-20,494.6899
2023-09-19,494.4555
2023-09-18,494.2743
2023-09-15,494.1275
2023-09-14,493.9452
2023-09-13,493.7813
2023-09-12,493.6482
2023-09-11,493.4909
2023-09-08,493.3446
2023-09-07,493.2219
2023-09-06,493.0633
2023-09-05,492.9495
2023-09-01,492.8099
2023-08-31,492.6141
2023-08-30,492.4691
2023-08-29,492.2713
2023-08-28,492.0511
2023-08-25,491.8172
2023-08-24,491.5322
2023-08-23,491.2807
2023-08-22,490.9897
2023-08-21,490.7661
2023-08-18,490.5618
2023-08-17,490.3713
2023-08-16,490.0602
2023-08-15,489.7504
2023-08-14,489.4307
2023-08-11,489.0703
2023-08-10,488.6747
2023-08-09,488.1789
2023-08-08,487.7437
2023-08-07,487.2930
