,EMA
2024-06-04,258.8265
2024-06-03,259.0587
2024-05-31,259.3044
2024-05-30,259.7083
2024-05-29,260.0732
2024-05-28,259.9936
2024-05-24,259.8618
2024-05-23,259.7506
2024-05-22,259.4800
2024-05-21,259.2394
2024-05-20,258.9626
2024-05-17,258.6908
2024-05-16,258.4059
2024-05-15,258.0942
2024-05-14,257.8767
2024-05-13,257.6849
2024-05-10,257.4893
2024-05-09,257.3023
2024-05-08,257.1529
2024-05-07,256.9662
2024-05-06,256.7790
2024-05-03,256.5841
2024-05-02,256.3807
2024-05-01,256.2395
2024-04-30,256.1111
2024-04-29,255.9262
2024-04-26,255.7356
2024-04-25,255.5420
2024-04-24,255.3806
2024-04-23,255.1533
2024-04-22,254.9543
2024-04-19,254.7087
2024-04-18,254.5300
2024-04-17,254.3110
2024-04-16,254.0755
2024-04-15,253.8675
2024-04-12,253.5753
2024-04-11,253.1401
2024-04-10,252.6745
2024-04-09,252.2145
2024-04-08,251.7008
2024-04-05,251.2044
2024-04-04,250.7789
2024-04-03,250.2012
2024-04-02,249.6606
2024-04-01,249.1798
2024-03-28,248.6521
2024-03-27,248.1360
2024-03-26,247.5400
2024-03-25,246.9376
2024-03-22,246.3671
2024-03-21,245.7344
2024-03-20,245.1092
2024-03-19,244.5377
2024-03-18,243.9986
2024-03-15,243.4396
2024-03-14,242.8816
2024-03-13,242.2573
2024-03-12,241.6267
2024-03-11,240.9767
2024-03-08,240.3609
2024-03-07,239.7434
2024-03-06,239.0816
2024-03-05,238.4266
2024-03-04,237.6982
2024-03-01,236.9298
2024-02-29,236.2296
2024-02-28,235.5927
2024-02-27,234.9535
2024-02-26,234.2879
2024-02-23,233.6757
2024-02-22,233.0331
2024-02-21,232.4444
2024-02-20,231.9694
2024-02-16,231.3950
2024-02-15,230.7898
2024-02-14,230.1851
2024-02-13,229.6379
2024-02-12,229.1313
2024-02-09,228.5152
2024-02-08,227.8684
2024-02-07,227.2549
2024-02-06,226.6547
2024-02-05,226.0425
2024-02-02,225.4412
2024-02-01,224.8444
2024-01-31,224.2736
2024-01-30,223.6765
2024-01-29,223.0376
2024-01-26,222.4547
2024-01-25,221.8873
2024-01-24,221.3209
2024-01-23,220.7350
2024-01-22,220.1348
2024-01-19,219.4988
2024-01-18,218.9294
2024-01-17,218.3896
2024-01-16,217.8916
2024-01-12,217.3745
2024-01-11,216.8368
2024-01-10,216.3261
2024-01-09,215.8578
2024-01-08,215.4226
2024-01-05,215.0562
2024-01-04,214.6962
2024-01-03,214.3263
2024-01-02,213.9359
2023-12-29,213.4710
2023-12-28,212.9565
2023-12-27,212.4219
2023-12-26,211.8875
2023-12-22,211.3519
2023-12-21,210.7935
2023-12-20,210.2547
2023-12-19,209.7415
2023-12-18,209.1849
2023-12-15,208.6795
2023-12-14,208.2172
2023-12-13,207.7353
2023-12-12,207.2385
2023-12-11,206.7939
2023-12-08,206.3630
2023-12-07,205.9423
2023-12-06,205.5153
2023-12-05,205.0563
2023-12-04,204.6080
2023-12-01,204.1270
2023-11-30,203.6692
2023-11-29,203.2164
2023-11-28,202.9642
2023-11-27,202.7597
2023-11-24,202.5341
2023-11-22,202.3177
2023-11-21,202.0997
2023-11-20,201.8826
2023-11-17,201.6890
2023-11-16,201.4962
2023-11-15,201.3131
2023-11-14,201.1207
2023-11-13,200.9439
2023-11-10,200.8298
2023-11-09,200.7464
2023-11-08,200.6204
2023-11-07,200.5046
2023-11-06,200.4169
2023-11-03,200.3414
2023-11-02,200.2532
2023-11-01,200.1950
2023-10-31,200.1904
2023-10-30,200.1907
2023-10-27,200.2053
2023-10-26,200.2371
2023-10-25,200.2680
2023-10-24,200.2412
2023-10-23,200.2089
2023-10-20,200.2146
2023-10-19,200.1455
2023-10-18,200.0849
2023-10-17,199.9992
2023-10-16,199.9367
2023-10-13,199.8801
2023-10-12,199.8302
2023-10-11,199.7526
2023-10-10,199.6802
2023-10-09,199.6029
2023-10-06,199.5525
2023-10-05,199.5458
2023-10-04,199.5238
2023-10-03,199.5128
2023-10-02,199.4829
2023-09-29,199.4723
2023-09-28,199.4187
2023-09-27,199.4079
2023-09-26,199.3745
2023-09-25,199.3160
2023-09-22,199.2615
2023-09-21,199.1633
2023-09-20,199.0592
2023-09-19,198.8998
2023-09-18,198.7469
2023-09-15,198.5908
2023-09-14,198.3899
2023-09-13,198.1815
2023-09-12,197.9532
2023-09-11,197.6999
2023-09-08,197.4184
2023-09-07,197.1610
2023-09-06,196.9367
2023-09-05,196.7131
2023-09-01,196.4887
2023-08-31,196.2202
2023-08-30,195.9038
2023-08-29,195.7471
2023-08-28,195.6392
2023-08-25,195.4932
2023-08-24,195.3952
2023-08-23,195.2410
2023-08-22,195.1156
2023-08-21,194.9702
2023-08-18,194.8621
2023-08-17,194.8034
2023-08-16,194.6878
2023-08-15,194.5568
2023-08-14,194.4010
2023-08-11,194.2681
2023-08-10,194.1516
2023-08-09,194.0133
2023-08-08,193.8389
2023-08-07,193.6436
2023-08-04,193.4287
2023-08-03,193.2006
2023-08-02,192.9723
2023-08-01,192.6837
2023-07-31,192.3730
2023-07-28,192.0746
2023-07-27,191.7366
2023-07-26,191.3748
2023-07-25,191.0452
2023-07-24,190.6981
2023-07-21,190.3337
2023-07-20,189.9380
2023-07-19,189.5274
2023-07-18,189.0837
2023-07-17,188.7051
2023-07-14,188.3008
2023-07-13,187.8877
2023-07-12,187.4850
2023-07-11,187.1420
2023-07-10,186.7940
2023-07-07,186.5736
2023-07-06,186.3432
2023-07-05,186.0962
2023-07-03,185.8538
2023-06-30,185.6082
2023-06-29,185.3471
2023-06-28,185.0830
2023-06-27,184.8514
2023-06-26,184.6200
2023-06-23,184.3776
2023-06-22,184.1178
2023-06-21,183.8642
2023-06-20,183.5388
2023-06-16,183.2892
2023-06-15,182.9880
2023-06-14,182.7398
2023-06-13,182.4917
2023-06-12,182.1628
2023-06-09,181.8241
2023-06-08,181.5368
2023-06-07,181.2998
2023-06-06,180.9652
2023-06-05,180.6907
2023-06-02,180.3942
2023-06-01,180.0703
2023-05-31,179.7901
2023-05-30,179.3934
2023-05-26,178.9955
2023-05-25,178.6586
2023-05-24,178.3261
2023-05-23,178.0503
2023-05-22,177.7546
2023-05-19,177.4417
2023-05-18,177.0875
2023-05-17,176.7645
2023-05-16,176.4684
2023-05-15,176.2152
2023-05-12,175.9411
2023-05-11,175.6676
2023-05-10,175.3964
2023-05-09,175.1022
2023-05-08,174.8869
2023-05-05,174.6500
2023-05-04,174.4586
2023-05-03,174.2859
2023-05-02,174.0882
2023-05-01,173.8503
2023-04-28,173.6126
2023-04-27,173.3886
2023-04-26,173.1823
2023-04-25,172.9895
2023-04-24,172.7812
2023-04-21,172.5259
2023-04-20,172.2822
2023-04-19,172.0346
2023-04-18,171.7933
2023-04-17,171.5217
2023-04-14,171.2867
2023-04-13,171.0825
2023-04-12,170.8904
2023-04-11,170.6978
2023-04-10,170.5158
2023-04-06,170.3165
2023-04-05,170.0811
2023-04-04,169.8031
2023-04-03,169.5208
2023-03-31,169.2350
2023-03-30,168.9536
2023-03-29,168.6666
2023-03-28,168.4232
2023-03-27,168.1970
2023-03-24,167.9912
2023-03-23,167.8076
2023-03-22,167.6132
2023-03-21,167.3907
2023-03-20,167.2074
2023-03-17,167.0390
2023-03-16,166.8505
2023-03-15,166.6876
2023-03-14,166.5646
2023-03-13,166.4319
2023-03-10,166.3883
2023-03-09,166.2689
2023-03-08,166.1021
2023-03-07,165.9317
2023-03-06,165.7480
2023-03-03,165.5562
2023-03-02,165.3324
2023-03-01,165.0557
2023-02-28,165.0786
2023-02-27,165.1064
2023-02-24,165.1213
2023-02-23,165.1689
2023-02-22,165.1699
2023-02-21,165.1927
2023-02-17,165.2095
2023-02-16,165.2135
2023-02-15,165.1777
2023-02-14,165.1431
2023-02-13,165.1143
2023-02-10,165.0847
2023-02-09,165.0611
