,RSI
2024-06-05,49.9027
2024-06-04,49.9082
2024-06-03,49.8326
2024-05-31,48.7471
2024-05-30,49.0391
2024-05-29,52.2786
2024-05-28,52.6745
2024-05-24,52.5223
2024-05-23,53.7714
2024-05-22,53.5431
2024-05-21,53.8164
2024-05-20,53.7615
2024-05-17,53.8453
2024-05-16,54.0371
2024-05-15,53.3648
2024-05-14,53.1691
2024-05-13,53.1835
2024-05-10,53.1105
2024-05-09,52.8344
2024-05-08,53.1164
2024-05-07,53.1066
2024-05-06,53.1523
2024-05-03,53.2035
2024-05-02,52.7590
2024-05-01,52.6602
2024-04-30,53.0901
2024-04-29,53.1199
2024-04-26,53.1285
2024-04-25,52.8938
2024-04-24,53.3946
2024-04-23,53.1844
2024-04-22,53.5341
2024-04-19,53.0568
2024-04-18,53.3596
2024-04-17,53.4721
2024-04-16,53.2677
2024-04-15,53.9175
2024-04-12,55.0585
2024-04-11,55.2757
2024-04-10,55.2067
2024-04-09,55.6142
2024-04-08,55.4651
2024-04-05,54.9523
2024-04-04,56.2061
2024-04-03,55.9158
2024-04-02,55.4694
2024-04-01,55.8326
2024-03-28,55.7162
2024-03-27,56.3667
2024-03-26,56.3702
2024-03-25,56.1125
2024-03-22,56.6072
2024-03-21,56.5135
2024-03-20,56.1056
2024-03-19,55.8440
2024-03-18,55.9701
2024-03-15,55.9248
2024-03-14,56.4547
2024-03-13,56.4547
2024-03-12,56.5696
2024-03-11,56.2945
2024-03-08,56.2647
2024-03-07,56.5963
2024-03-06,56.5054
2024-03-05,57.0909
2024-03-04,57.3803
2024-03-01,56.8752
2024-02-29,56.3999
2024-02-28,56.3712
2024-02-27,56.5476
2024-02-26,56.1385
2024-02-23,56.3509
2024-02-22,55.9380
2024-02-21,55.0976
2024-02-20,55.9367
2024-02-16,56.1623
2024-02-15,56.1158
2024-02-14,55.6664
2024-02-13,55.3369
2024-02-12,56.2808
2024-02-09,56.5046
2024-02-08,56.2230
2024-02-07,56.0833
2024-02-06,56.1373
2024-02-05,56.0167
2024-02-02,55.9419
2024-02-01,55.7141
2024-01-31,55.8980
2024-01-30,56.2220
2024-01-29,55.7782
2024-01-26,55.6258
2024-01-25,55.5777
2024-01-24,55.7006
2024-01-23,55.7767
2024-01-22,56.0422
2024-01-19,55.5242
2024-01-18,55.2714
2024-01-17,54.9293
2024-01-16,55.0547
2024-01-12,55.1908
2024-01-11,54.9569
2024-01-10,54.6118
2024-01-09,54.3343
2024-01-08,53.7908
2024-01-05,53.7156
2024-01-04,53.7696
2024-01-03,53.9148
2024-01-02,54.5324
2023-12-29,54.9300
2023-12-28,55.0631
2023-12-27,55.0223
2023-12-26,54.9926
2023-12-22,55.1457
2023-12-21,54.9647
2023-12-20,54.7410
2023-12-19,55.0767
2023-12-18,54.6665
2023-12-15,54.3131
2023-12-14,54.4439
2023-12-13,54.5325
2023-12-12,54.1125
2023-12-11,53.9792
2023-12-08,53.8718
2023-12-07,53.8890
2023-12-06,54.1281
2023-12-05,54.0160
2023-12-04,54.2583
2023-12-01,54.0539
2023-11-30,53.9845
2023-11-29,52.4468
2023-11-28,52.0569
2023-11-27,52.2179
2023-11-24,52.1291
2023-11-22,52.1244
2023-11-21,52.1012
2023-11-20,51.9024
2023-11-17,51.8823
2023-11-16,51.7920
2023-11-15,51.8541
2023-11-14,51.7198
2023-11-13,51.2228
2023-11-10,50.9752
2023-11-09,51.3161
2023-11-08,51.2266
2023-11-07,50.9990
2023-11-06,50.8982
2023-11-03,50.9936
2023-11-02,50.7539
2023-11-01,50.3308
2023-10-31,50.2913
2023-10-30,50.1796
