,SMA
2024-06-04,254.6603
2024-06-03,254.5132
2024-05-31,254.3787
2024-05-30,254.3335
2024-05-29,254.2546
2024-05-28,253.9439
2024-05-24,253.6179
2024-05-23,253.3201
2024-05-22,252.9531
2024-05-21,252.6112
2024-05-20,252.2579
2024-05-17,251.9074
2024-05-16,251.5807
2024-05-15,251.2516
2024-05-14,250.9632
2024-05-13,250.7069
2024-05-10,250.4599
2024-05-09,250.2002
2024-05-08,249.9673
2024-05-07,249.7234
2024-05-06,249.4940
2024-05-03,249.2671
2024-05-02,249.0514
2024-05-01,248.8330
2024-04-30,248.6326
2024-04-29,248.4070
2024-04-26,248.1724
2024-04-25,247.9054
2024-04-24,247.6563
2024-04-23,247.3099
2024-04-22,246.9826
2024-04-19,246.6403
2024-04-18,246.3289
2024-04-17,245.9988
2024-04-16,245.6680
2024-04-15,245.3522
2024-04-12,244.9782
2024-04-11,244.5332
2024-04-10,244.0796
2024-04-09,243.6384
2024-04-08,243.1686
2024-04-05,242.7443
2024-04-04,242.3185
2024-04-03,241.8435
2024-04-02,241.3619
2024-04-01,240.9115
2024-03-28,240.4792
2024-03-27,240.0585
2024-03-26,239.5734
2024-03-25,239.0615
2024-03-22,238.6160
2024-03-21,238.1108
2024-03-20,237.6221
2024-03-19,237.1753
2024-03-18,236.7242
2024-03-15,236.3224
2024-03-14,235.9225
2024-03-13,235.4601
2024-03-12,234.9938
2024-03-11,234.4911
2024-03-08,234.0172
2024-03-07,233.5527
2024-03-06,233.0881
2024-03-05,232.6130
2024-03-04,232.0896
2024-03-01,231.5272
2024-02-29,231.0116
2024-02-28,230.5294
2024-02-27,230.0467
2024-02-26,229.5641
2024-02-23,229.0707
2024-02-22,228.5749
2024-02-21,228.0853
2024-02-20,227.6451
2024-02-16,227.1692
2024-02-15,226.7000
2024-02-14,226.2327
2024-02-13,225.7890
2024-02-12,225.3584
2024-02-09,224.8680
2024-02-08,224.3723
2024-02-07,223.9186
2024-02-06,223.4676
2024-02-05,223.0144
2024-02-02,222.5652
2024-02-01,222.1352
2024-01-31,221.7015
2024-01-30,221.2411
2024-01-29,220.7559
2024-01-26,220.3010
2024-01-25,219.8504
2024-01-24,219.4109
2024-01-23,218.9816
2024-01-22,218.5680
2024-01-19,218.1403
2024-01-18,217.7494
2024-01-17,217.3723
2024-01-16,217.0202
2024-01-12,216.6379
2024-01-11,216.2382
2024-01-10,215.8433
2024-01-09,215.4600
2024-01-08,215.0999
2024-01-05,214.7893
2024-01-04,214.4630
2024-01-03,214.1254
2024-01-02,213.7885
2023-12-29,213.4028
2023-12-28,212.9741
2023-12-27,212.5422
2023-12-26,212.0681
2023-12-22,211.6335
2023-12-21,211.2133
2023-12-20,210.8066
2023-12-19,210.4210
2023-12-18,210.0196
2023-12-15,209.6613
2023-12-14,209.3523
2023-12-13,208.8853
2023-12-12,208.4110
2023-12-11,207.9718
2023-12-08,207.5253
2023-12-07,207.1096
2023-12-06,206.6820
2023-12-05,206.2436
2023-12-04,205.8194
2023-12-01,205.4009
2023-11-30,204.9957
2023-11-29,204.5921
2023-11-28,204.2908
2023-11-27,204.0114
2023-11-24,203.7509
2023-11-22,203.4794
2023-11-21,203.1962
2023-11-20,202.9165
2023-11-17,202.6598
2023-11-16,202.4328
2023-11-15,202.1718
2023-11-14,201.8898
2023-11-13,201.6155
2023-11-10,201.3782
2023-11-09,201.1225
2023-11-08,200.8111
2023-11-07,200.5225
2023-11-06,200.2621
2023-11-03,199.9429
2023-11-02,199.6140
2023-11-01,199.3271
2023-10-31,199.0709
2023-10-30,198.8001
2023-10-27,198.5447
2023-10-26,198.2849
2023-10-25,198.0272
2023-10-24,197.7245
2023-10-23,197.3942
2023-10-20,197.0833
2023-10-19,196.7531
2023-10-18,196.3972
2023-10-17,196.0064
2023-10-16,195.6230
2023-10-13,195.2428
2023-10-12,194.8606
2023-10-11,194.4656
2023-10-10,194.0733
2023-10-09,193.6754
2023-10-06,193.2889
2023-10-05,192.9259
2023-10-04,192.5610
2023-10-03,192.2154
2023-10-02,191.8771
2023-09-29,191.5605
2023-09-28,191.1910
2023-09-27,190.8364
2023-09-26,190.4641
2023-09-25,190.0997
2023-09-22,189.7388
2023-09-21,189.4066
2023-09-20,189.0795
2023-09-19,188.7417
2023-09-18,188.4239
2023-09-15,188.1151
2023-09-14,187.7812
2023-09-13,187.4449
2023-09-12,187.0776
2023-09-11,186.6869
2023-09-08,186.2874
2023-09-07,185.9305
2023-09-06,185.5831
2023-09-05,185.2861
2023-09-01,185.0032
2023-08-31,184.6653
2023-08-30,184.3082
2023-08-29,184.0047
2023-08-28,183.7006
2023-08-25,183.3743
2023-08-24,183.0502
2023-08-23,182.7281
2023-08-22,182.4335
2023-08-21,182.1821
2023-08-18,181.9774
2023-08-17,181.7834
2023-08-16,181.5484
2023-08-15,181.3177
2023-08-14,181.0654
2023-08-11,180.8347
2023-08-10,180.6102
2023-08-09,180.3572
2023-08-08,180.0743
2023-08-07,179.7662
2023-08-04,179.4723
2023-08-03,179.1211
2023-08-02,178.7772
2023-08-01,178.3626
2023-07-31,177.9553
2023-07-28,177.5666
2023-07-27,177.1902
2023-07-26,176.8095
2023-07-25,176.4662
2023-07-24,176.0983
2023-07-21,175.7210
2023-07-20,175.2965
2023-07-19,174.8716
2023-07-18,174.4445
2023-07-17,174.0398
2023-07-14,173.6359
2023-07-13,173.2230
2023-07-12,172.8226
2023-07-11,172.4611
2023-07-10,172.1074
2023-07-07,171.8177
2023-07-06,171.5228
2023-07-05,171.2268
2023-07-03,170.9587
2023-06-30,170.6992
2023-06-29,170.4315
2023-06-28,170.1907
2023-06-27,169.9420
2023-06-26,169.6633
2023-06-23,169.3750
2023-06-22,169.0873
2023-06-21,168.8218
2023-06-20,168.5139
2023-06-16,168.2699
2023-06-15,168.0133
2023-06-14,167.7952
2023-06-13,167.6267
2023-06-12,167.3924
2023-06-09,167.1953
2023-06-08,167.0215
2023-06-07,166.8947
2023-06-06,166.7466
2023-06-05,166.6461
2023-06-02,166.5325
2023-06-01,166.4159
2023-05-31,166.3202
2023-05-30,166.1558
2023-05-26,166.0203
2023-05-25,165.8973
2023-05-24,165.7688
2023-05-23,165.6942
2023-05-22,165.5906
2023-05-19,165.4877
2023-05-18,165.3507
2023-05-17,165.2075
2023-05-16,165.0817
2023-05-15,164.9812
2023-05-12,164.8547
2023-05-11,164.7120
2023-05-10,164.5832
2023-05-09,164.4678
2023-05-08,164.4093
2023-05-05,164.3192
2023-05-04,164.2300
2023-05-03,164.1253
2023-05-02,163.9991
2023-05-01,163.8278
2023-04-28,163.6444
2023-04-27,163.4759
2023-04-26,163.3663
2023-04-25,163.2733
2023-04-24,163.1738
2023-04-21,163.0526
2023-04-20,162.9352
2023-04-19,162.7800
2023-04-18,162.6225
2023-04-17,162.4526
2023-04-14,162.3394
2023-04-13,162.2817
2023-04-12,162.2600
2023-04-11,162.1972
2023-04-10,162.0975
2023-04-06,161.9682
2023-04-05,161.8236
2023-04-04,161.6267
2023-04-03,161.4548
2023-03-31,161.2976
2023-03-30,161.1540
2023-03-29,161.0180
2023-03-28,160.9705
2023-03-27,160.9573
2023-03-24,160.9477
2023-03-23,160.9238
2023-03-22,160.9315
2023-03-21,160.9065
2023-03-20,160.8522
2023-03-17,160.8212
2023-03-16,160.7260
2023-03-15,160.6130
2023-03-14,160.5157
2023-03-13,160.3925
2023-03-10,160.3264
2023-03-09,160.2333
2023-03-08,160.1116
2023-03-07,159.9715
2023-03-06,159.8634
2023-03-03,159.7748
2023-03-02,159.6583
2023-03-01,159.5107
2023-02-28,159.4804
2023-02-27,159.4953
2023-02-24,159.5131
2023-02-23,159.5437
2023-02-22,159.5647
2023-02-21,159.6515
2023-02-17,159.7313
2023-02-16,159.7908
2023-02-15,159.8212
2023-02-14,159.8897
2023-02-13,159.9556
2023-02-10,159.9692
2023-02-09,159.9940
2023-02-08,159.9758
2023-02-07,160.0143
2023-02-06,160.1202
2023-02-03,160.2445
2023-02-02,160.3304
2023-02-01,160.3933
2023-01-31,160.5361
2023-01-30,160.6744
2023-01-27,160.8526
2023-01-26,160.9982
2023-01-25,161.2002
2023-01-24,161.4394
2023-01-23,161.6921
2023-01-20,161.9949
2023-01-19,162.3461
2023-01-18,162.6905
2023-01-17,163.0182
2023-01-13,163.3683
2023-01-12,163.7300
2023-01-11,164.0422
2023-01-10,164.3867
2023-01-09,164.7190
2023-01-06,165.0749
2023-01-05,165.4551
2023-01-04,165.8574
2023-01-03,166.1970
2022-12-30,166.5437
2022-12-29,166.8835
2022-12-28,167.2272
2022-12-27,167.5694
2022-12-23,167.9499
2022-12-22,168.3013
2022-12-21,168.6492
2022-12-20,168.9804
2022-12-19,169.3597
2022-12-16,169.7438
2022-12-15,170.1506
2022-12-14,170.5722
2022-12-13,170.9637
2022-12-12,171.3152
2022-12-09,171.6829
2022-12-08,171.9575
2022-12-07,172.2966
2022-12-06,172.6114
2022-12-05,172.9494
2022-12-02,173.2766
2022-12-01,173.6097
2022-11-30,173.9203
2022-11-29,174.1952
2022-11-28,174.5193
2022-11-25,174.8473
2022-11-23,175.1922
2022-11-22,175.5317
2022-11-21,175.9002
2022-11-18,176.2446
2022-11-17,176.5753
2022-11-16,176.9925
2022-11-15,177.3539
2022-11-14,177.6549
2022-11-11,177.9469
2022-11-10,178.2344
2022-11-09,178.5770
2022-11-08,178.9523
2022-11-07,179.2884
2022-11-04,179.7000
2022-11-03,180.1123
2022-11-02,180.5042
2022-11-01,180.8484
2022-10-31,181.1632
2022-10-28,181.5396
2022-10-27,181.9265
2022-10-26,182.2611
2022-10-25,182.5891
2022-10-24,182.9227
2022-10-21,183.2566
2022-10-20,183.6494
2022-10-19,184.1580
2022-10-18,184.6730
2022-10-17,185.1625
2022-10-14,185.7079
2022-10-13,186.2506
2022-10-12,186.8536
2022-10-11,187.4083
2022-10-10,187.9412
2022-10-07,188.4545
2022-10-06,188.9349
2022-10-05,189.4051
2022-10-04,189.8997
2022-10-03,190.4405
2022-09-30,190.9891
2022-09-29,191.5683
2022-09-28,192.1543
2022-09-27,192.7540
2022-09-26,193.3416
2022-09-23,193.9473
2022-09-22,194.5336
