,EMA
2024-06-04,48.9541
2024-06-03,48.9773
2024-05-31,49.0000
2024-05-30,49.0287
2024-05-29,49.0582
2024-05-28,49.0899
2024-05-24,49.1194
2024-05-23,49.1444
2024-05-22,49.1645
2024-05-21,49.1852
2024-05-20,49.2060
2024-05-17,49.2181
2024-05-16,49.2277
2024-05-15,49.2192
2024-05-14,49.2195
2024-05-13,49.2219
2024-05-10,49.2310
2024-05-09,49.2434
2024-05-08,49.2559
2024-05-07,49.2742
2024-05-06,49.2949
2024-05-03,49.3158
2024-05-02,49.3380
2024-05-01,49.3612
2024-04-30,49.3880
2024-04-29,49.4058
2024-04-26,49.4201
2024-04-25,49.4380
2024-04-24,49.4446
2024-04-23,49.4586
2024-04-22,49.4718
2024-04-19,49.4817
2024-04-18,49.4927
2024-04-17,49.5036
2024-04-16,49.5187
2024-04-15,49.5292
2024-04-12,49.5273
2024-04-11,49.5305
2024-04-10,49.5326
2024-04-09,49.5306
2024-04-08,49.5376
2024-04-05,49.5511
2024-04-04,49.5671
2024-04-03,49.5719
2024-04-02,49.5796
2024-04-01,49.5799
2024-03-28,49.5802
2024-03-27,49.5811
2024-03-26,49.5833
2024-03-25,49.5877
2024-03-22,49.5920
2024-03-21,49.5915
2024-03-20,49.5944
2024-03-19,49.6040
2024-03-18,49.6129
2024-03-15,49.6208
2024-03-14,49.6232
2024-03-13,49.6208
2024-03-12,49.6208
2024-03-11,49.6157
2024-03-08,49.6187
2024-03-07,49.6302
2024-03-06,49.6362
2024-03-05,49.6468
2024-03-04,49.6569
2024-03-01,49.6738
2024-02-29,49.6934
2024-02-28,49.7125
2024-02-27,49.7316
2024-02-26,49.7514
2024-02-23,49.7645
2024-02-22,49.7800
2024-02-21,49.7991
2024-02-20,49.8166
2024-02-16,49.8391
2024-02-15,49.8540
2024-02-14,49.8741
2024-02-13,49.8812
2024-02-12,49.8879
2024-02-09,49.8905
2024-02-08,49.8942
2024-02-07,49.8982
2024-02-06,49.8983
2024-02-05,49.8983
2024-02-02,49.9020
2024-02-01,49.9037
2024-01-31,49.9045
2024-01-30,49.8892
2024-01-29,49.8692
2024-01-26,49.8537
2024-01-25,49.8321
2024-01-24,49.8171
2024-01-23,49.7994
2024-01-22,49.7876
2024-01-19,49.7741
2024-01-18,49.7685
2024-01-17,49.7673
2024-01-16,49.7666
2024-01-12,49.7659
2024-01-11,49.7626
2024-01-10,49.7598
2024-01-09,49.7615
2024-01-08,49.7636
2024-01-05,49.7678
2024-01-04,49.7678
2024-01-03,49.7652
2024-01-02,49.7652
2023-12-29,49.7659
2023-12-28,49.7670
2023-12-27,49.7668
2023-12-26,49.7694
2023-12-22,49.7739
2023-12-21,49.7812
2023-12-20,49.7876
2023-12-19,49.7921
2023-12-18,49.7944
2023-12-15,49.8010
2023-12-14,49.8120
2023-12-13,49.8180
2023-12-12,49.8316
2023-12-11,49.8420
2023-12-08,49.8588
2023-12-07,49.8823
2023-12-06,49.9097
2023-12-05,49.9358
2023-12-04,49.9654
2023-12-01,49.9922
2023-11-30,50.0170
2023-11-29,50.0430
2023-11-28,50.0700
2023-11-27,50.0989
2023-11-24,50.1243
2023-11-22,50.1524
2023-11-21,50.1808
2023-11-20,50.2077
2023-11-17,50.2418
2023-11-16,50.2714
2023-11-15,50.3077
2023-11-14,50.2863
2023-11-13,50.2727
2023-11-10,50.2588
2023-11-09,50.2471
2023-11-08,50.2365
2023-11-07,50.2132
2023-11-06,50.1903
2023-11-03,50.1707
2023-11-02,50.1481
2023-11-01,50.1345
2023-10-31,50.1236
2023-10-30,50.1154
2023-10-27,50.1112
2023-10-26,50.1040
2023-10-25,50.0944
2023-10-24,50.0725
