,RSI
2024-06-05,49.3702
2024-06-04,48.8680
2024-06-03,48.9068
2024-05-31,48.5698
2024-05-30,48.5465
2024-05-29,48.4304
2024-05-28,48.5679
2024-05-24,48.8294
2024-05-23,49.1158
2024-05-22,49.0872
2024-05-21,49.0982
2024-05-20,49.5833
2024-05-17,49.7277
2024-05-16,50.7575
2024-05-15,50.2563
2024-05-14,50.1371
2024-05-13,49.7550
2024-05-10,49.5771
2024-05-09,49.5771
2024-05-08,49.2559
2024-05-07,49.1234
2024-05-06,49.1289
2024-05-03,49.0602
2024-05-02,49.0203
2024-05-01,48.8320
2024-04-30,49.3319
2024-04-29,49.5426
2024-04-26,49.3443
2024-04-25,49.9809
2024-04-24,49.5664
2024-04-23,49.6168
2024-04-22,49.8130
2024-04-19,49.7565
2024-04-18,49.7676
2024-04-17,49.5371
2024-04-16,49.7978
2024-04-15,50.5010
2024-04-12,50.2156
2024-04-11,50.2778
2024-04-10,50.5099
2024-04-09,50.0115
2024-04-08,49.6430
2024-04-05,49.5120
2024-04-04,50.1499
2024-04-03,49.9854
2024-04-02,50.4156
2024-04-01,50.4156
2024-03-28,50.3766
2024-03-27,50.3100
2024-03-26,50.1880
2024-03-25,50.1936
2024-03-22,50.4668
2024-03-21,50.2799
2024-03-20,49.9095
2024-03-19,49.9537
2024-03-18,50.0088
2024-03-15,50.3237
2024-03-14,50.5905
2024-03-13,50.4598
2024-03-12,50.7459
2024-03-11,50.2964
2024-03-08,49.8265
2024-03-07,50.1428
2024-03-06,49.8874
2024-03-05,49.9206
2024-03-04,49.5476
2024-03-01,49.4021
2024-02-29,49.4457
2024-02-28,49.4512
2024-02-27,49.4235
2024-02-26,49.8031
2024-02-23,49.6768
2024-02-22,49.4842
2024-02-21,49.5813
2024-02-20,49.3174
2024-02-16,49.7383
2024-02-15,49.4660
2024-02-14,50.1846
2024-02-13,50.2122
2024-02-12,50.4385
2024-02-09,50.3843
2024-02-08,50.3680
2024-02-07,50.5875
2024-02-06,50.5929
2024-02-05,50.3950
2024-02-02,50.5038
2024-02-01,50.5527
2024-01-31,51.4444
2024-01-30,51.6964
2024-01-29,51.4555
2024-01-26,51.7797
2024-01-25,51.4268
2024-01-24,51.5669
2024-01-23,51.2444
2024-01-22,51.3336
2024-01-19,50.9084
2024-01-18,50.6671
2024-01-17,50.6349
2024-01-16,50.6404
2024-01-12,50.7771
2024-01-11,50.7506
2024-01-10,50.5125
2024-01-09,50.4913
2024-01-08,50.3804
2024-01-05,50.6114
2024-01-04,50.7514
2024-01-03,50.6102
2024-01-02,50.5753
2023-12-29,50.5547
2023-12-28,50.6231
2023-12-27,50.4795
2023-12-26,50.3822
2023-12-22,50.2439
2023-12-21,50.2904
2023-12-20,50.3883
2023-12-19,50.5146
2023-12-18,50.2895
2023-12-15,50.0686
2023-12-14,50.3320
2023-12-13,49.9453
2023-12-12,50.1190
2023-12-11,49.7920
2023-12-08,49.4519
2023-12-07,49.2576
2023-12-06,49.3406
2023-12-05,49.1727
2023-12-04,49.3304
2023-12-01,49.4406
2023-11-30,49.3945
2023-11-29,49.3538
2023-11-28,49.2725
2023-11-27,49.4601
2023-11-24,49.3389
2023-11-22,49.3338
2023-11-21,49.4268
2023-11-20,49.0700
2023-11-17,49.3089
2023-11-16,48.9861
2023-11-15,52.0024
2023-11-14,51.5976
2023-11-13,51.6030
2023-11-10,51.4865
2023-11-09,51.4208
2023-11-08,52.1073
2023-11-07,52.0822
2023-11-06,51.8969
2023-11-03,52.0539
2023-11-02,51.5814
2023-11-01,51.4396
2023-10-31,51.2926
2023-10-30,51.0894
2023-10-27,51.2436
2023-10-26,51.3678
2023-10-25,52.0325
2023-10-24,51.6042
2023-10-23,51.9081
2023-10-20,52.2195
2023-10-19,52.4226
2023-10-18,52.4391
2023-10-17,52.4391
2023-10-16,52.5916
2023-10-13,52.4983
2023-10-12,52.5742
2023-10-11,52.5303
2023-10-10,52.5464
2023-10-09,52.2499
2023-10-06,52.0741
2023-10-05,52.2923
2023-10-04,52.4309
2023-10-03,52.5375
2023-10-02,52.3406
2023-09-29,52.5092
2023-09-28,52.1304
2023-09-27,51.8985
2023-09-26,52.0501
2023-09-25,52.1965
2023-09-22,52.1678
2023-09-21,52.1730
2023-09-20,53.5199
2023-09-19,53.6446
2023-09-18,53.5650
2023-09-15,53.7270
2023-09-14,53.7864
2023-09-13,53.7402
2023-09-12,53.9173
2023-09-11,53.9548
2023-09-08,53.9761
2023-09-07,54.0880
2023-09-06,54.1571
2023-09-05,54.5413
2023-09-01,54.3488
2023-08-31,54.2188
2023-08-30,54.0075
2023-08-29,53.8814
2023-08-28,53.6737
2023-08-25,53.3830
2023-08-24,53.9461
2023-08-23,53.6231
2023-08-22,53.5638
2023-08-21,53.4362
2023-08-18,53.1754
2023-08-17,53.0883
2023-08-16,52.5100
2023-08-15,52.7325
2023-08-14,52.8257
2023-08-11,52.6173
2023-08-10,52.6482
2023-08-09,52.4121
2023-08-08,52.3008
2023-08-07,52.4585
2023-08-04,52.4171
2023-08-03,52.2375
2023-08-02,52.1869
2023-08-01,52.2821
2023-07-31,51.9468
2023-07-28,52.0575
2023-07-27,52.8336
2023-07-26,52.8063
2023-07-25,52.6471
2023-07-24,52.4191
2023-07-21,52.4467
2023-07-20,52.1339
2023-07-19,52.2087
2023-07-18,51.6424
2023-07-17,51.2781
2023-07-14,51.3867
2023-07-13,51.5200
2023-07-12,51.9521
2023-07-11,51.9570
2023-07-10,51.7267
2023-07-07,51.6944
2023-07-06,51.7264
2023-07-05,51.6829
2023-07-03,51.6849
2023-06-30,51.9362
2023-06-29,51.4758
2023-06-28,51.4395
2023-06-27,51.2262
2023-06-26,51.2239
2023-06-23,51.3832
2023-06-22,51.3879
2023-06-21,51.7350
