,SMA
2024-06-04,50.1037
2024-06-03,50.1364
2024-05-31,50.1627
2024-05-30,50.1939
2024-05-29,50.2263
2024-05-28,50.2575
2024-05-24,50.2876
2024-05-23,50.3130
2024-05-22,50.3345
2024-05-21,50.3578
2024-05-20,50.3806
2024-05-17,50.3970
2024-05-16,50.4116
2024-05-15,50.4181
2024-05-14,50.4254
2024-05-13,50.4349
2024-05-10,50.4552
2024-05-09,50.4768
2024-05-08,50.4966
2024-05-07,50.5169
2024-05-06,50.5385
2024-05-03,50.5568
2024-05-02,50.5764
2024-05-01,50.5903
2024-04-30,50.6021
2024-04-29,50.6104
2024-04-26,50.6181
2024-04-25,50.6318
2024-04-24,50.6398
2024-04-23,50.6491
2024-04-22,50.6576
2024-04-19,50.6646
2024-04-18,50.6717
2024-04-17,50.6787
2024-04-16,50.6903
2024-04-15,50.6945
2024-04-12,50.6922
2024-04-11,50.6901
2024-04-10,50.6874
2024-04-09,50.6843
2024-04-08,50.6857
2024-04-05,50.6939
2024-04-04,50.7060
2024-04-03,50.7137
2024-04-02,50.7165
2024-04-01,50.7151
2024-03-28,50.7131
2024-03-27,50.7077
2024-03-26,50.7011
2024-03-25,50.6974
2024-03-22,50.6926
2024-03-21,50.6858
2024-03-20,50.6828
2024-03-19,50.6814
2024-03-18,50.6791
2024-03-15,50.6770
2024-03-14,50.6725
2024-03-13,50.6614
2024-03-12,50.6449
2024-03-11,50.6316
2024-03-08,50.6207
2024-03-07,50.6165
2024-03-06,50.6062
2024-03-05,50.5851
2024-03-04,50.5706
2024-03-01,50.5598
2024-02-29,50.5481
2024-02-28,50.5335
2024-02-27,50.5216
2024-02-26,50.5092
2024-02-23,50.4899
2024-02-22,50.4740
2024-02-21,50.4583
2024-02-20,50.4399
2024-02-16,50.4271
2024-02-15,50.4128
2024-02-14,50.4024
2024-02-13,50.3829
2024-02-12,50.3637
2024-02-09,50.3423
2024-02-08,50.3244
2024-02-07,50.3051
2024-02-06,50.2814
2024-02-05,50.2628
2024-02-02,50.2538
2024-02-01,50.2495
2024-01-31,50.2455
2024-01-30,50.2334
2024-01-29,50.2175
2024-01-26,50.2068
2024-01-25,50.1947
2024-01-24,50.1859
2024-01-23,50.1749
2024-01-22,50.1726
2024-01-19,50.1692
2024-01-18,50.1681
2024-01-17,50.1662
2024-01-16,50.1653
2024-01-12,50.1602
2024-01-11,50.1520
2024-01-10,50.1458
2024-01-09,50.1380
2024-01-08,50.1287
2024-01-05,50.1262
2024-01-04,50.1238
2024-01-03,50.1153
2024-01-02,50.1084
2023-12-29,50.0942
2023-12-28,50.0788
2023-12-27,50.0641
2023-12-26,50.0502
2023-12-22,50.0388
2023-12-21,50.0308
2023-12-20,50.0210
2023-12-19,50.0130
2023-12-18,50.0031
2023-12-15,49.9932
2023-12-14,49.9823
2023-12-13,49.9693
2023-12-12,49.9619
2023-12-11,49.9535
2023-12-08,49.9476
2023-12-07,49.9484
2023-12-06,49.9525
2023-12-05,49.9600
2023-12-04,49.9721
2023-12-01,49.9761
2023-11-30,49.9672
2023-11-29,49.9600
2023-11-28,49.9516
2023-11-27,49.9403
2023-11-24,49.9298
2023-11-22,49.9212
2023-11-21,49.9119
2023-11-20,49.9057
2023-11-17,49.9089
2023-11-16,49.9060
2023-11-15,49.9056
2023-11-14,49.8750
2023-11-13,49.8485
2023-11-10,49.8217
2023-11-09,49.7963
2023-11-08,49.7707
