,SMA
2024-06-04,152.5558
2024-06-03,152.5487
2024-05-31,152.5120
2024-05-30,152.5033
2024-05-29,152.5054
2024-05-28,152.4859
2024-05-24,152.4651
2024-05-23,152.4470
2024-05-22,152.4157
2024-05-21,152.3911
2024-05-20,152.3596
2024-05-17,152.3138
2024-05-16,152.2788
2024-05-15,152.2568
2024-05-14,152.2230
2024-05-13,152.1701
2024-05-10,152.1242
2024-05-09,152.0748
2024-05-08,152.0452
2024-05-07,152.0140
2024-05-06,151.9669
2024-05-03,151.9211
2024-05-02,151.8644
2024-05-01,151.8034
2024-04-30,151.7438
2024-04-29,151.6761
2024-04-26,151.6223
2024-04-25,151.5689
2024-04-24,151.5076
2024-04-23,151.4453
2024-04-22,151.3773
2024-04-19,151.3307
2024-04-18,151.3021
2024-04-17,151.2789
2024-04-16,151.2627
2024-04-15,151.2304
2024-04-12,151.1754
2024-04-11,151.1091
2024-04-10,151.0271
2024-04-09,150.9492
2024-04-08,150.8843
2024-04-05,150.8172
2024-04-04,150.7683
2024-04-03,150.7337
2024-04-02,150.6966
2024-04-01,150.6724
2024-03-28,150.6501
2024-03-27,150.6263
2024-03-26,150.6244
2024-03-25,150.6186
2024-03-22,150.6007
2024-03-21,150.5692
2024-03-20,150.5630
2024-03-19,150.5341
2024-03-18,150.4918
2024-03-15,150.4471
2024-03-14,150.4071
2024-03-13,150.3916
2024-03-12,150.3757
2024-03-11,150.3825
2024-03-08,150.3776
2024-03-07,150.3766
2024-03-06,150.3852
2024-03-05,150.3726
2024-03-04,150.3718
2024-03-01,150.3609
2024-02-29,150.3509
2024-02-28,150.3405
2024-02-27,150.3251
2024-02-26,150.3296
2024-02-23,150.3164
2024-02-22,150.3180
2024-02-21,150.3091
2024-02-20,150.2910
2024-02-16,150.2734
2024-02-15,150.2903
2024-02-14,150.3457
2024-02-13,150.3868
2024-02-12,150.4305
2024-02-09,150.4876
2024-02-08,150.5411
2024-02-07,150.6008
2024-02-06,150.6587
2024-02-05,150.7141
2024-02-02,150.7772
2024-02-01,150.8504
2024-01-31,150.9442
2024-01-30,151.0278
2024-01-29,151.1115
2024-01-26,151.1916
2024-01-25,151.2704
2024-01-24,151.3553
2024-01-23,151.4614
2024-01-22,151.5707
2024-01-19,151.6893
2024-01-18,151.8024
2024-01-17,151.8756
2024-01-16,151.9494
2024-01-12,151.9954
2024-01-11,152.0191
2024-01-10,152.0545
2024-01-09,152.0624
2024-01-08,152.0745
2024-01-05,152.1076
2024-01-04,152.1104
2024-01-03,152.0792
2024-01-02,152.0779
2023-12-29,152.0572
2023-12-28,152.0621
2023-12-27,152.0740
2023-12-26,152.0720
2023-12-22,152.0923
2023-12-21,152.1278
2023-12-20,152.1654
2023-12-19,152.2079
2023-12-18,152.2548
2023-12-15,152.2808
2023-12-14,152.3294
2023-12-13,152.3801
2023-12-12,152.4650
2023-12-11,152.5388
2023-12-08,152.5937
2023-12-07,152.6622
2023-12-06,152.7213
2023-12-05,152.7974
2023-12-04,152.8715
2023-12-01,152.9658
2023-11-30,153.0684
2023-11-29,153.1617
2023-11-28,153.2520
2023-11-27,153.3477
2023-11-24,153.4414
2023-11-22,153.5474
2023-11-21,153.6545
2023-11-20,153.7491
2023-11-17,153.8411
2023-11-16,153.9474
2023-11-15,154.0635
2023-11-14,154.1755
2023-11-13,154.3141
2023-11-10,154.4885
2023-11-09,154.6658
2023-11-08,154.8174
2023-11-07,154.9735
2023-11-06,155.1239
2023-11-03,155.2457
2023-11-02,155.3592
2023-11-01,155.5108
2023-10-31,155.6442
2023-10-30,155.7706
2023-10-27,155.8940
2023-10-26,156.0019
2023-10-25,156.0819
2023-10-24,156.1613
2023-10-23,156.2157
2023-10-20,156.2325
2023-10-19,156.2219
2023-10-18,156.2433
2023-10-17,156.2657
2023-10-16,156.2993
2023-10-13,156.3409
2023-10-12,156.3894
2023-10-11,156.4186
2023-10-10,156.4440
2023-10-09,156.4613
2023-10-06,156.4552
2023-10-05,156.4605
2023-10-04,156.4724
2023-10-03,156.4781
2023-10-02,156.4962
2023-09-29,156.4983
2023-09-28,156.4681
2023-09-27,156.4534
2023-09-26,156.4631
2023-09-25,156.4578
2023-09-22,156.4787
2023-09-21,156.5339
2023-09-20,156.5794
2023-09-19,156.6380
2023-09-18,156.6821
2023-09-15,156.7180
2023-09-14,156.7620
2023-09-13,156.8205
2023-09-12,156.8725
2023-09-11,156.9373
2023-09-08,156.9697
2023-09-07,157.0110
2023-09-06,157.0563
2023-09-05,157.1228
2023-09-01,157.1968
2023-08-31,157.2798
2023-08-30,157.3601
2023-08-29,157.4340
2023-08-28,157.5128
2023-08-25,157.6062
2023-08-24,157.6887
2023-08-23,157.7887
2023-08-22,157.8545
2023-08-21,157.9228
2023-08-18,158.0013
2023-08-17,158.0664
2023-08-16,158.1436
2023-08-15,158.2141
2023-08-14,158.2495
2023-08-11,158.2725
2023-08-10,158.3066
2023-08-09,158.3278
2023-08-08,158.3472
2023-08-07,158.3540
2023-08-04,158.3402
2023-08-03,158.3324
2023-08-02,158.3318
2023-08-01,158.2891
2023-07-31,158.2336
2023-07-28,158.1837
2023-07-27,158.1760
2023-07-26,158.1578
2023-07-25,158.1211
2023-07-24,158.0725
2023-07-21,158.0243
2023-07-20,157.9646
2023-07-19,157.8884
2023-07-18,157.8256
2023-07-17,157.7570
2023-07-14,157.6861
2023-07-13,157.6037
2023-07-12,157.5366
2023-07-11,157.5091
2023-07-10,157.5004
2023-07-07,157.4911
2023-07-06,157.4758
2023-07-05,157.4814
2023-07-03,157.4756
2023-06-30,157.4736
2023-06-29,157.4724
2023-06-28,157.4875
2023-06-27,157.4916
2023-06-26,157.4822
2023-06-23,157.4747
2023-06-22,157.4974
2023-06-21,157.5011
2023-06-20,157.4999
2023-06-16,157.4872
2023-06-15,157.4850
2023-06-14,157.4961
2023-06-13,157.4958
2023-06-12,157.5012
2023-06-09,157.5031
2023-06-08,157.4824
2023-06-07,157.4462
2023-06-06,157.4356
2023-06-05,157.4343
2023-06-02,157.3996
2023-06-01,157.3870
2023-05-31,157.3798
