,SMA
2024-06-04,92.3148
2024-06-03,92.2383
2024-05-31,92.1618
2024-05-30,92.0944
2024-05-29,92.0399
2024-05-28,91.9825
2024-05-24,91.9198
2024-05-23,91.8495
2024-05-22,91.7667
2024-05-21,91.6760
2024-05-20,91.5914
2024-05-17,91.5136
2024-05-16,91.4383
2024-05-15,91.3748
2024-05-14,91.3122
2024-05-13,91.2565
2024-05-10,91.2035
2024-05-09,91.1462
2024-05-08,91.0927
2024-05-07,91.0404
2024-05-06,90.9882
2024-05-03,90.9311
2024-05-02,90.8734
2024-05-01,90.8179
2024-04-30,90.7770
2024-04-29,90.7361
2024-04-26,90.6918
2024-04-25,90.6378
2024-04-24,90.5790
2024-04-23,90.5249
2024-04-22,90.4701
2024-04-19,90.4203
2024-04-18,90.3756
2024-04-17,90.3353
2024-04-16,90.2982
2024-04-15,90.2558
2024-04-12,90.2162
2024-04-11,90.1781
2024-04-10,90.1328
2024-04-09,90.0956
2024-04-08,90.0581
2024-04-05,90.0188
2024-04-04,89.9854
2024-04-03,89.9478
2024-04-02,89.9074
2024-04-01,89.8700
2024-03-28,89.8243
2024-03-27,89.7875
2024-03-26,89.7621
2024-03-25,89.7298
2024-03-22,89.6902
2024-03-21,89.6516
2024-03-20,89.6097
2024-03-19,89.5607
2024-03-18,89.5185
2024-03-15,89.4716
2024-03-14,89.4296
2024-03-13,89.3819
2024-03-12,89.3400
2024-03-11,89.3033
2024-03-08,89.2722
2024-03-07,89.2492
2024-03-06,89.2258
2024-03-05,89.2054
2024-03-04,89.1970
2024-03-01,89.2123
2024-02-29,89.2256
2024-02-28,89.2429
2024-02-27,89.2628
2024-02-26,89.2823
2024-02-23,89.2875
2024-02-22,89.2996
2024-02-21,89.3078
2024-02-20,89.3137
2024-02-16,89.3230
2024-02-15,89.3363
2024-02-14,89.3555
2024-02-13,89.3788
2024-02-12,89.3917
2024-02-09,89.4125
2024-02-08,89.4299
2024-02-07,89.4332
2024-02-06,89.4339
2024-02-05,89.4362
2024-02-02,89.4326
2024-02-01,89.4234
2024-01-31,89.4218
2024-01-30,89.4162
2024-01-29,89.4147
2024-01-26,89.4172
2024-01-25,89.4189
2024-01-24,89.4214
2024-01-23,89.4226
2024-01-22,89.4171
2024-01-19,89.3989
2024-01-18,89.3781
2024-01-17,89.3620
2024-01-16,89.3409
2024-01-12,89.3119
2024-01-11,89.2816
2024-01-10,89.2457
2024-01-09,89.1928
2024-01-08,89.1500
2024-01-05,89.1158
2024-01-04,89.0935
2024-01-03,89.0677
