,SMA
2024-06-04,11.5518
2024-06-03,11.5477
2024-05-31,11.5429
2024-05-30,11.5412
2024-05-29,11.5403
2024-05-28,11.5399
2024-05-24,11.5399
2024-05-23,11.5396
2024-05-22,11.5397
2024-05-21,11.5406
2024-05-20,11.5419
2024-05-17,11.5421
2024-05-16,11.5428
2024-05-15,11.5438
2024-05-14,11.5430
2024-05-13,11.5452
2024-05-10,11.5505
2024-05-09,11.5540
2024-05-08,11.5590
2024-05-07,11.5644
2024-05-06,11.5686
2024-05-03,11.5725
2024-05-02,11.5764
2024-05-01,11.5805
2024-04-30,11.5888
2024-04-29,11.5980
2024-04-26,11.6064
2024-04-25,11.6154
2024-04-24,11.6226
2024-04-23,11.6288
2024-04-22,11.6347
2024-04-19,11.6450
2024-04-18,11.6569
2024-04-17,11.6683
2024-04-16,11.6789
2024-04-15,11.6887
2024-04-12,11.6933
2024-04-11,11.6960
2024-04-10,11.6969
2024-04-09,11.6968
2024-04-08,11.6954
2024-04-05,11.6963
2024-04-04,11.6978
2024-04-03,11.6972
2024-04-02,11.6980
2024-04-01,11.6998
2024-03-28,11.6992
2024-03-27,11.6993
2024-03-26,11.7023
2024-03-25,11.7017
2024-03-22,11.6990
2024-03-21,11.6942
2024-03-20,11.6898
2024-03-19,11.6867
2024-03-18,11.6835
2024-03-15,11.6820
2024-03-14,11.6818
2024-03-13,11.6752
2024-03-12,11.6685
2024-03-11,11.6631
2024-03-08,11.6573
2024-03-07,11.6508
2024-03-06,11.6442
2024-03-05,11.6361
2024-03-04,11.6268
2024-03-01,11.6189
2024-02-29,11.6118
2024-02-28,11.6067
2024-02-27,11.6030
2024-02-26,11.6000
2024-02-23,11.5959
2024-02-22,11.5925
2024-02-21,11.5878
2024-02-20,11.5829
2024-02-16,11.5777
2024-02-15,11.5729
2024-02-14,11.5682
2024-02-13,11.5613
2024-02-12,11.5543
2024-02-09,11.5486
2024-02-08,11.5431
2024-02-07,11.5362
2024-02-06,11.5300
2024-02-05,11.5287
2024-02-02,11.5292
2024-02-01,11.5302
2024-01-31,11.5312
2024-01-30,11.5322
