,SMA
2024-06-04,114.8703
2024-06-03,114.5187
2024-05-31,114.1405
2024-05-30,113.7751
2024-05-29,113.4132
2024-05-28,113.0318
2024-05-24,112.6441
2024-05-23,112.2681
2024-05-22,111.9132
2024-05-21,111.5623
2024-05-20,111.2214
2024-05-17,110.8667
2024-05-16,110.5070
2024-05-15,110.1442
2024-05-14,109.7994
2024-05-13,109.4658
2024-05-10,109.1101
2024-05-09,108.7365
2024-05-08,108.3482
2024-05-07,107.9468
2024-05-06,107.5511
2024-05-03,107.1632
2024-05-02,106.7756
2024-05-01,106.4098
2024-04-30,106.0362
2024-04-29,105.6599
2024-04-26,105.2874
2024-04-25,104.9251
2024-04-24,104.5751
2024-04-23,104.1970
2024-04-22,103.8337
2024-04-19,103.5189
2024-04-18,103.1818
2024-04-17,102.8320
2024-04-16,102.4752
2024-04-15,102.1339
2024-04-12,101.7664
2024-04-11,101.4029
2024-04-10,101.0305
2024-04-09,100.6822
2024-04-08,100.3189
2024-04-05,99.9450
2024-04-04,99.6253
2024-04-03,99.3146
2024-04-02,99.0402
2024-04-01,98.7631
2024-03-28,98.4851
2024-03-27,98.1909
2024-03-26,97.9162
2024-03-25,97.6459
2024-03-22,97.3741
2024-03-21,97.0866
2024-03-20,96.8116
2024-03-19,96.5434
2024-03-18,96.2693
2024-03-15,95.9991
2024-03-14,95.7487
2024-03-13,95.4744
2024-03-12,95.2182
2024-03-11,94.9538
2024-03-08,94.7011
2024-03-07,94.4397
2024-03-06,94.2097
2024-03-05,93.9850
2024-03-04,93.7466
2024-03-01,93.5142
2024-02-29,93.2829
2024-02-28,93.0574
2024-02-27,92.8384
2024-02-26,92.6244
2024-02-23,92.4129
2024-02-22,92.2059
2024-02-21,92.0088
2024-02-20,91.8208
2024-02-16,91.6322
2024-02-15,91.4389
2024-02-14,91.2488
2024-02-13,91.0653
2024-02-12,90.8940
2024-02-09,90.7286
2024-02-08,90.5802
2024-02-07,90.4237
2024-02-06,90.2690
2024-02-05,90.1153
2024-02-02,89.9655
2024-02-01,89.8116
2024-01-31,89.6618
2024-01-30,89.5021
2024-01-29,89.3536
2024-01-26,89.2048
2024-01-25,89.0606
2024-01-24,88.9132
2024-01-23,88.7684
2024-01-22,88.6376
2024-01-19,88.5041
2024-01-18,88.3721
2024-01-17,88.2411
2024-01-16,88.1071
2024-01-12,87.9660
2024-01-11,87.8168
2024-01-10,87.6653
2024-01-09,87.5127
2024-01-08,87.3660
2024-01-05,87.2309
2024-01-04,87.0950
2024-01-03,86.9602
2024-01-02,86.8266
2023-12-29,86.6761
2023-12-28,86.5190
2023-12-27,86.3716
2023-12-26,86.2226
2023-12-22,86.0832
2023-12-21,85.9337
2023-12-20,85.7841
2023-12-19,85.6304
2023-12-18,85.4824
2023-12-15,85.3312
2023-12-14,85.1760
2023-12-13,85.0300
2023-12-12,84.8759
2023-12-11,84.7279
2023-12-08,84.5725
2023-12-07,84.4300
2023-12-06,84.2806
2023-12-05,84.1248
2023-12-04,83.9751
2023-12-01,83.8222
2023-11-30,83.6658
2023-11-29,83.5181
2023-11-28,83.3648
2023-11-27,83.2082
2023-11-24,83.0587
2023-11-22,82.9055
2023-11-21,82.7538
2023-11-20,82.6004
2023-11-17,82.4547
2023-11-16,82.3060
2023-11-15,82.1607
2023-11-14,82.0146
2023-11-13,81.8781
2023-11-10,81.7415
2023-11-09,81.6123
2023-11-08,81.4740
2023-11-07,81.3371
2023-11-06,81.2020
2023-11-03,81.0751
2023-11-02,80.9525
2023-11-01,80.8406
2023-10-31,80.7268
2023-10-30,80.6038
2023-10-27,80.4850
2023-10-26,80.3513
2023-10-25,80.1931
2023-10-24,80.0239
2023-10-23,79.8678
2023-10-20,79.7216
2023-10-19,79.5685
2023-10-18,79.4005
2023-10-17,79.2235
2023-10-16,79.0456
2023-10-13,78.8655
2023-10-12,78.6766
2023-10-11,78.4781
2023-10-10,78.2871
2023-10-09,78.0956
2023-10-06,77.8956
2023-10-05,77.7038
2023-10-04,77.5136
2023-10-03,77.3320
2023-10-02,77.1563
2023-09-29,76.9785
2023-09-28,76.7833
2023-09-27,76.6002
2023-09-26,76.4249
2023-09-25,76.2463
2023-09-22,76.0738
2023-09-21,75.8905
2023-09-20,75.6992
2023-09-19,75.5027
2023-09-18,75.3064
2023-09-15,75.1114
2023-09-14,74.9224
2023-09-13,74.7390
2023-09-12,74.5523
2023-09-11,74.3652
2023-09-08,74.1822
2023-09-07,74.0066
2023-09-06,73.8196
2023-09-05,73.6396
2023-09-01,73.4554
2023-08-31,73.2641
2023-08-30,73.0740
2023-08-29,72.8811
2023-08-28,72.6867
2023-08-25,72.4985
2023-08-24,72.3064
2023-08-23,72.1039
2023-08-22,71.8984
2023-08-21,71.6942
2023-08-18,71.4918
2023-08-17,71.2939
2023-08-16,71.0781
2023-08-15,70.8620
2023-08-14,70.6329
2023-08-11,70.4097
2023-08-10,70.1842
2023-08-09,69.9536
2023-08-08,69.7197
2023-08-07,69.4823
2023-08-04,69.2481
2023-08-03,69.0128
2023-08-02,68.7795
2023-08-01,68.5274
2023-07-31,68.2724
2023-07-28,68.0169
2023-07-27,67.7588
2023-07-26,67.5023
2023-07-25,67.2431
2023-07-24,66.9941
2023-07-21,66.7559
2023-07-20,66.5070
2023-07-19,66.2633
2023-07-18,66.0219
2023-07-17,65.7820
2023-07-14,65.5437
2023-07-13,65.3020
2023-07-12,65.0591
2023-07-11,64.8175
2023-07-10,64.5843
2023-07-07,64.3586
2023-07-06,64.1356
2023-07-05,63.9086
2023-07-03,63.6943
2023-06-30,63.4795
2023-06-29,63.2728
2023-06-28,63.0808
2023-06-27,62.8928
2023-06-26,62.7013
2023-06-23,62.5122
2023-06-22,62.3266
2023-06-21,62.1389
2023-06-20,61.9535
2023-06-16,61.7651
2023-06-15,61.5814
2023-06-14,61.3977
2023-06-13,61.2160
2023-06-12,61.0339
2023-06-09,60.8468
2023-06-08,60.6563
2023-06-07,60.4711
2023-06-06,60.2900
2023-06-05,60.1221
2023-06-02,59.9492
2023-06-01,59.7752
2023-05-31,59.6182
2023-05-30,59.4607
2023-05-26,59.2925
2023-05-25,59.1244
2023-05-24,58.9545
2023-05-23,58.7866
2023-05-22,58.6009
2023-05-19,58.4175
2023-05-18,58.2338
2023-05-17,58.0576
2023-05-16,57.8794
2023-05-15,57.7028
2023-05-12,57.5393
2023-05-11,57.3662
2023-05-10,57.1866
2023-05-09,56.9917
2023-05-08,56.8027
2023-05-05,56.6137
2023-05-04,56.4190
2023-05-03,56.2151
2023-05-02,56.0093
2023-05-01,55.8014
2023-04-28,55.5946
2023-04-27,55.4005
2023-04-26,55.2035
2023-04-25,55.0060
2023-04-24,54.7953
2023-04-21,54.5930
2023-04-20,54.3860
2023-04-19,54.1816
2023-04-18,53.9861
2023-04-17,53.7940
2023-04-14,53.6173
2023-04-13,53.4528
2023-04-12,53.2863
2023-04-11,53.1114
2023-04-10,52.9346
2023-04-06,52.7600
2023-04-05,52.5943
2023-04-04,52.4181
2023-04-03,52.2398
2023-03-31,52.0723
2023-03-30,51.9064
2023-03-29,51.7476
2023-03-28,51.5997
2023-03-27,51.4662
2023-03-24,51.3364
2023-03-23,51.2140
2023-03-22,51.0944
2023-03-21,50.9639
2023-03-20,50.8433
2023-03-17,50.7273
2023-03-16,50.6033
2023-03-15,50.4867
2023-03-14,50.3654
2023-03-13,50.2300
2023-03-10,50.1043
2023-03-09,49.9739
2023-03-08,49.8515
2023-03-07,49.7383
2023-03-06,49.6263
2023-03-03,49.5174
2023-03-02,49.4059
2023-03-01,49.3037
2023-02-28,49.1891
2023-02-27,49.0849
2023-02-24,48.9800
2023-02-23,48.8925
2023-02-22,48.8029
2023-02-21,48.7219
2023-02-17,48.6373
2023-02-16,48.5427
2023-02-15,48.4396
2023-02-14,48.3509
2023-02-13,48.2670
2023-02-10,48.1917
2023-02-09,48.1332
2023-02-08,48.0796
2023-02-07,48.0360
2023-02-06,47.9976
2023-02-03,47.9599
2023-02-02,47.9088
2023-02-01,47.8634
2023-01-31,47.8259
2023-01-30,47.7850
2023-01-27,47.7358
2023-01-26,47.6907
2023-01-25,47.6436
2023-01-24,47.6043
2023-01-23,47.5707
2023-01-20,47.5456
2023-01-19,47.5223
2023-01-18,47.4973
2023-01-17,47.4655
2023-01-13,47.4374
2023-01-12,47.4119
2023-01-11,47.3918
2023-01-10,47.3825
2023-01-09,47.3874
2023-01-06,47.3937
2023-01-05,47.4019
2023-01-04,47.4162
2023-01-03,47.4398
2022-12-30,47.4703
2022-12-29,47.5020
2022-12-28,47.5351
2022-12-27,47.5635
2022-12-23,47.5960
2022-12-22,47.6138
2022-12-21,47.6416
2022-12-20,47.6593
2022-12-19,47.6913
2022-12-16,47.7303
2022-12-15,47.7822
2022-12-14,47.8224
2022-12-13,47.8601
2022-12-12,47.8907
2022-12-09,47.9259
2022-12-08,47.9466
2022-12-07,47.9710
2022-12-06,47.9937
2022-12-05,48.0292
2022-12-02,48.0731
2022-12-01,48.1201
2022-11-30,48.1556
2022-11-29,48.1889
2022-11-28,48.2289
2022-11-25,48.2626
2022-11-23,48.3004
2022-11-22,48.3394
2022-11-21,48.3789
2022-11-18,48.4169
2022-11-17,48.4489
2022-11-16,48.4909
2022-11-15,48.5153
2022-11-14,48.5300
2022-11-11,48.5394
2022-11-10,48.5515
2022-11-09,48.5700
2022-11-08,48.5935
2022-11-07,48.6259
2022-11-04,48.6763
2022-11-03,48.7379
2022-11-02,48.8168
2022-11-01,48.8915
2022-10-31,48.9620
2022-10-28,49.0369
2022-10-27,49.1124
2022-10-26,49.1857
2022-10-25,49.2727
2022-10-24,49.3484
2022-10-21,49.4324
2022-10-20,49.5234
2022-10-19,49.6092
2022-10-18,49.6855
2022-10-17,49.7598
2022-10-14,49.8384
2022-10-13,49.9201
2022-10-12,50.0143
2022-10-11,50.1061
2022-10-10,50.1943
2022-10-07,50.2797
2022-10-06,50.3565
2022-10-05,50.4277
2022-10-04,50.5062
2022-10-03,50.5906
2022-09-30,50.6806
2022-09-29,50.7727
2022-09-28,50.8711
2022-09-27,50.9723
2022-09-26,51.0730
2022-09-23,51.1740
2022-09-22,51.2722
2022-09-21,51.3606
2022-09-20,51.4467
2022-09-19,51.5316
2022-09-16,51.6265
2022-09-15,51.7222
2022-09-14,51.8125
2022-09-13,51.8919
2022-09-12,51.9794
