,SMA
2024-06-04,73.8577
2024-06-03,73.9188
2024-05-31,73.9815
2024-05-30,74.0547
2024-05-29,74.1261
2024-05-28,74.1971
2024-05-24,74.2610
2024-05-23,74.3204
2024-05-22,74.3744
2024-05-21,74.4190
2024-05-20,74.4558
2024-05-17,74.4849
2024-05-16,74.5149
2024-05-15,74.5494
2024-05-14,74.5821
2024-05-13,74.6132
2024-05-10,74.6580
2024-05-09,74.7073
2024-05-08,74.7554
2024-05-07,74.8152
2024-05-06,74.8786
2024-05-03,74.9411
2024-05-02,74.9929
2024-05-01,75.0407
2024-04-30,75.0864
2024-04-29,75.1304
2024-04-26,75.1764
2024-04-25,75.2198
2024-04-24,75.2490
2024-04-23,75.2779
2024-04-22,75.3099
2024-04-19,75.3488
2024-04-18,75.3894
2024-04-17,75.4247
2024-04-16,75.4595
2024-04-15,75.4890
2024-04-12,75.5163
2024-04-11,75.5460
2024-04-10,75.5786
2024-04-09,75.6102
2024-04-08,75.6420
2024-04-05,75.6740
2024-04-04,75.7075
2024-04-03,75.7362
2024-04-02,75.7563
2024-04-01,75.7712
2024-03-28,75.7755
2024-03-27,75.7854
2024-03-26,75.7937
2024-03-25,75.7966
2024-03-22,75.8004
2024-03-21,75.8114
2024-03-20,75.8163
2024-03-19,75.8161
2024-03-18,75.8224
2024-03-15,75.8225
2024-03-14,75.8193
2024-03-13,75.8209
2024-03-12,75.8200
2024-03-11,75.8282
2024-03-08,75.8357
2024-03-07,75.8512
2024-03-06,75.8690
2024-03-05,75.8878
2024-03-04,75.9054
2024-03-01,75.9309
2024-02-29,75.9488
2024-02-28,75.9678
2024-02-27,75.9817
2024-02-26,76.0001
2024-02-23,76.0130
2024-02-22,76.0335
2024-02-21,76.0547
2024-02-20,76.0788
2024-02-16,76.1117
2024-02-15,76.1427
2024-02-14,76.1779
2024-02-13,76.2131
2024-02-12,76.2463
2024-02-09,76.2882
2024-02-08,76.3411
2024-02-07,76.3896
2024-02-06,76.4207
2024-02-05,76.4432
2024-02-02,76.4654
2024-02-01,76.4841
2024-01-31,76.4993
2024-01-30,76.5088
2024-01-29,76.5131
2024-01-26,76.5181
2024-01-25,76.5182
2024-01-24,76.5236
2024-01-23,76.5343
2024-01-22,76.5415
2024-01-19,76.5431
2024-01-18,76.5146
2024-01-17,76.4829
2024-01-16,76.4516
2024-01-12,76.4176
2024-01-11,76.3773
2024-01-10,76.3467
2024-01-09,76.3111
2024-01-08,76.2720
2024-01-05,76.2424
2024-01-04,76.2078
2024-01-03,76.1670
2024-01-02,76.1367
2023-12-29,76.1172
2023-12-28,76.0965
2023-12-27,76.0782
2023-12-26,76.0561
2023-12-22,76.0382
2023-12-21,76.0302
2023-12-20,76.0238
2023-12-19,76.0170
2023-12-18,76.0098
2023-12-15,75.9911
2023-12-14,75.9674
2023-12-13,75.9425
2023-12-12,75.9289
2023-12-11,75.9196
2023-12-08,75.9212
2023-12-07,75.9344
2023-12-06,75.9475
2023-12-05,75.9626
2023-12-04,75.9768
2023-12-01,75.9995
2023-11-30,76.0294
2023-11-29,76.0772
2023-11-28,76.1233
2023-11-27,76.1642
2023-11-24,76.2049
2023-11-22,76.2398
2023-11-21,76.2848
2023-11-20,76.3148
2023-11-17,76.3493
2023-11-16,76.3746
2023-11-15,76.4045
2023-11-14,76.4386
2023-11-13,76.4672
2023-11-10,76.4947
2023-11-09,76.5239
2023-11-08,76.5447
2023-11-07,76.5623
2023-11-06,76.5592
2023-11-03,76.5568
2023-11-02,76.5558
2023-11-01,76.5696
2023-10-31,76.5923
2023-10-30,76.6194
2023-10-27,76.6545
2023-10-26,76.6852
2023-10-25,76.7063
2023-10-24,76.7425
2023-10-23,76.7748
2023-10-20,76.7989
2023-10-19,76.8235
2023-10-18,76.8412
2023-10-17,76.8533
2023-10-16,76.8696
2023-10-13,76.8954
2023-10-12,76.9231
2023-10-11,76.9522
2023-10-10,76.9846
2023-10-09,77.0228
2023-10-06,77.0547
2023-10-05,77.0994
2023-10-04,77.1447
2023-10-03,77.2048
2023-10-02,77.2652
2023-09-29,77.3210
2023-09-28,77.3660
2023-09-27,77.4162
2023-09-26,77.4605
2023-09-25,77.5068
2023-09-22,77.5561
2023-09-21,77.6047
2023-09-20,77.6424
2023-09-19,77.6867
2023-09-18,77.7223
2023-09-15,77.7544
2023-09-14,77.7866
2023-09-13,77.8120
2023-09-12,77.8401
2023-09-11,77.8663
2023-09-08,77.8928
2023-09-07,77.9184
2023-09-06,77.9462
2023-09-05,77.9722
2023-09-01,77.9914
2023-08-31,78.0023
2023-08-30,78.0117
2023-08-29,78.0265
2023-08-28,78.0413
2023-08-25,78.0469
2023-08-24,78.0508
2023-08-23,78.0497
2023-08-22,78.0349
2023-08-21,78.0368
2023-08-18,78.0392
2023-08-17,78.0364
2023-08-16,78.0091
2023-08-15,77.9597
2023-08-14,77.9038
2023-08-11,77.8404
2023-08-10,77.7738
2023-08-09,77.6962
2023-08-08,77.6176
2023-08-07,77.5417
2023-08-04,77.4758
2023-08-03,77.4159
2023-08-02,77.3631
2023-08-01,77.2986
2023-07-31,77.2403
2023-07-28,77.1728
2023-07-27,77.1069
2023-07-26,77.0368
2023-07-25,76.9707
2023-07-24,76.9025
2023-07-21,76.8178
2023-07-20,76.7222
2023-07-19,76.6343
2023-07-18,76.5567
2023-07-17,76.4779
2023-07-14,76.4006
2023-07-13,76.3240
2023-07-12,76.2516
2023-07-11,76.1802
2023-07-10,76.1188
2023-07-07,76.0661
2023-07-06,76.0076
2023-07-05,75.9416
2023-07-03,75.8793
2023-06-30,75.8134
2023-06-29,75.7570
2023-06-28,75.7083
2023-06-27,75.6433
2023-06-26,75.5768
2023-06-23,75.4995
2023-06-22,75.4172
2023-06-21,75.3436
2023-06-20,75.2627
2023-06-16,75.1739
2023-06-15,75.0812
2023-06-14,74.9914
2023-06-13,74.9096
2023-06-12,74.8377
2023-06-09,74.7593
2023-06-08,74.6872
2023-06-07,74.6276
2023-06-06,74.5652
2023-06-05,74.4969
2023-06-02,74.4309
2023-06-01,74.3740
2023-05-31,74.2994
2023-05-30,74.2240
2023-05-26,74.1493
2023-05-25,74.0662
2023-05-24,73.9814
2023-05-23,73.8859
2023-05-22,73.7966
2023-05-19,73.7056
2023-05-18,73.6112
2023-05-17,73.5110
2023-05-16,73.4145
2023-05-15,73.3127
2023-05-12,73.2223
2023-05-11,73.1256
2023-05-10,73.0334
2023-05-09,72.9407
2023-05-08,72.8503
2023-05-05,72.7544
2023-05-04,72.6662
2023-05-03,72.5714
2023-05-02,72.4772
2023-05-01,72.3754
2023-04-28,72.2677
2023-04-27,72.1602
2023-04-26,72.0495
2023-04-25,71.9378
2023-04-24,71.8119
2023-04-21,71.6879
2023-04-20,71.5724
2023-04-19,71.4588
2023-04-18,71.3447
2023-04-17,71.2314
2023-04-14,71.1215
2023-04-13,71.0157
2023-04-12,70.9156
2023-04-11,70.8101
2023-04-10,70.7022
2023-04-06,70.5816
2023-04-05,70.4542
2023-04-04,70.3265
2023-04-03,70.1960
2023-03-31,70.0681
2023-03-30,69.9482
2023-03-29,69.8320
2023-03-28,69.7208
2023-03-27,69.6235
2023-03-24,69.5242
2023-03-23,69.4293
2023-03-22,69.3440
2023-03-21,69.2563
2023-03-20,69.1722
2023-03-17,69.0996
2023-03-16,69.0137
2023-03-15,68.9302
2023-03-14,68.8505
2023-03-13,68.7678
2023-03-10,68.6885
2023-03-09,68.6092
2023-03-08,68.5177
2023-03-07,68.4253
2023-03-06,68.3293
2023-03-03,68.2309
2023-03-02,68.1385
2023-03-01,68.0485
2023-02-28,67.9458
2023-02-27,67.8391
2023-02-24,67.7379
2023-02-23,67.6265
2023-02-22,67.5124
2023-02-21,67.3942
2023-02-17,67.2703
2023-02-16,67.1516
2023-02-15,67.0247
2023-02-14,66.9025
2023-02-13,66.7687
2023-02-10,66.6408
2023-02-09,66.5210
2023-02-08,66.4004
2023-02-07,66.2878
2023-02-06,66.1685
2023-02-03,66.0566
2023-02-02,65.9375
2023-02-01,65.8298
2023-01-31,65.7159
2023-01-30,65.6024
2023-01-27,65.4923
2023-01-26,65.3851
2023-01-25,65.2688
2023-01-24,65.1485
2023-01-23,65.0278
2023-01-20,64.9119
2023-01-19,64.7893
2023-01-18,64.6625
2023-01-17,64.5342
2023-01-13,64.4030
2023-01-12,64.2709
2023-01-11,64.1308
2023-01-10,63.9888
2023-01-09,63.8550
2023-01-06,63.7137
2023-01-05,63.5777
2023-01-04,63.4465
2023-01-03,63.3090
2022-12-30,63.1718
2022-12-29,63.0360
2022-12-28,62.9011
2022-12-27,62.7614
2022-12-23,62.6209
2022-12-22,62.4819
2022-12-21,62.3492
2022-12-20,62.2175
2022-12-19,62.0878
2022-12-16,61.9564
2022-12-15,61.8255
2022-12-14,61.6814
2022-12-13,61.5352
2022-12-12,61.3863
2022-12-09,61.2486
2022-12-08,61.1035
2022-12-07,60.9661
2022-12-06,60.8276
2022-12-05,60.6916
2022-12-02,60.5571
2022-12-01,60.4263
2022-11-30,60.2880
2022-11-29,60.1658
2022-11-28,60.0445
2022-11-25,59.9213
2022-11-23,59.8106
2022-11-22,59.6996
2022-11-21,59.5912
2022-11-18,59.4914
2022-11-17,59.3950
2022-11-16,59.3035
2022-11-15,59.2263
2022-11-14,59.1462
2022-11-11,59.0674
2022-11-10,58.9899
2022-11-09,58.9021
2022-11-08,58.8224
2022-11-07,58.7539
2022-11-04,58.6884
2022-11-03,58.6292
2022-11-02,58.5841
2022-11-01,58.5402
2022-10-31,58.4988
2022-10-28,58.4580
