,EMA
2024-06-04,39.1641
2024-06-03,39.1022
2024-05-31,39.0433
2024-05-30,39.0015
2024-05-29,38.9632
2024-05-28,38.9264
2024-05-24,38.8785
2024-05-23,38.8263
2024-05-22,38.7746
2024-05-21,38.7160
2024-05-20,38.6532
2024-05-17,38.5819
2024-05-16,38.5066
2024-05-15,38.4375
2024-05-14,38.3665
2024-05-13,38.2949
2024-05-10,38.2218
2024-05-09,38.1479
2024-05-08,38.0792
2024-05-07,38.0112
2024-05-06,37.9390
2024-05-03,37.8671
2024-05-02,37.7951
2024-05-01,37.7237
2024-04-30,37.6556
2024-04-29,37.5796
2024-04-26,37.4950
2024-04-25,37.4135
2024-04-24,37.3406
2024-04-23,37.2605
2024-04-22,37.1738
2024-04-19,37.1185
2024-04-18,37.0643
2024-04-17,37.0069
2024-04-16,36.9476
2024-04-15,36.8919
2024-04-12,36.8232
2024-04-11,36.7561
2024-04-10,36.6843
2024-04-09,36.6117
2024-04-08,36.5317
2024-04-05,36.4523
2024-04-04,36.3792
2024-04-03,36.2855
2024-04-02,36.2012
2024-04-01,36.1131
2024-03-28,36.0224
2024-03-27,35.9359
2024-03-26,35.8543
2024-03-25,35.7755
2024-03-22,35.7023
2024-03-21,35.6260
2024-03-20,35.5527
2024-03-19,35.4937
2024-03-18,35.4392
2024-03-15,35.3844
2024-03-14,35.3453
2024-03-13,35.2967
2024-03-12,35.2549
2024-03-11,35.2114
2024-03-08,35.1705
2024-03-07,35.1285
2024-03-06,35.0779
2024-03-05,35.0219
2024-03-04,34.9648
2024-03-01,34.9041
2024-02-29,34.8448
2024-02-28,34.7853
2024-02-27,34.7334
2024-02-26,34.6794
2024-02-23,34.6307
2024-02-22,34.5843
2024-02-21,34.5356
2024-02-20,34.4923
2024-02-16,34.4546
2024-02-15,34.4121
2024-02-14,34.3704
2024-02-13,34.3292
2024-02-12,34.2854
2024-02-09,34.2438
2024-02-08,34.2010
2024-02-07,34.1555
2024-02-06,34.1125
2024-02-05,34.0786
2024-02-02,34.0350
2024-02-01,33.9910
2024-01-31,33.9399
2024-01-30,33.8983
2024-01-29,33.8546
2024-01-26,33.8421
2024-01-25,33.8299
2024-01-24,33.8196
2024-01-23,33.8058
2024-01-22,33.7887
2024-01-19,33.7720
2024-01-18,33.7648
2024-01-17,33.7504
2024-01-16,33.7406
2024-01-12,33.7316
2024-01-11,33.7132
2024-01-10,33.6902
2024-01-09,33.6623
2024-01-08,33.6364
2024-01-05,33.6154
2024-01-04,33.5974
2024-01-03,33.5777
2024-01-02,33.5593
2023-12-29,33.5394
2023-12-28,33.5145
2023-12-27,33.4905
2023-12-26,33.4654
2023-12-22,33.4408
2023-12-21,33.4150
2023-12-20,33.3918
2023-12-19,33.3693
2023-12-18,33.3489
2023-12-15,33.3255
2023-12-14,33.2966
2023-12-13,33.2844
2023-12-12,33.2852
2023-12-11,33.2840
2023-12-08,33.2828
2023-12-07,33.2815
2023-12-06,33.2855
2023-12-05,33.2888
2023-12-04,33.2931
2023-12-01,33.3003
2023-11-30,33.3192
2023-11-29,33.3359
2023-11-28,33.3524
2023-11-27,33.4034
2023-11-24,33.4592
2023-11-22,33.5140
2023-11-21,33.5704
2023-11-20,33.6255
2023-11-17,33.6819
2023-11-16,33.7420
2023-11-15,33.8020
2023-11-14,33.8612
2023-11-13,33.9273
2023-11-10,34.0011
2023-11-09,34.0760
2023-11-08,34.1415
2023-11-07,34.2015
2023-11-06,34.2573
2023-11-03,34.3042
2023-11-02,34.3553
2023-11-01,34.4164
2023-10-31,34.4752
2023-10-30,34.5469
2023-10-27,34.6188
2023-10-26,34.6821
2023-10-25,34.7328
2023-10-24,34.7966
2023-10-23,34.8626
2023-10-20,34.9199
2023-10-19,34.9723
2023-10-18,35.0330
2023-10-17,35.0869
2023-10-16,35.1418
2023-10-13,35.1961
2023-10-12,35.2500
2023-10-11,35.2976
2023-10-10,35.3353
2023-10-09,35.3818
2023-10-06,35.4327
2023-10-05,35.4880
2023-10-04,35.5371
2023-10-03,35.5810
2023-10-02,35.6184
2023-09-29,35.6482
2023-09-28,35.6736
2023-09-27,35.7095
2023-09-26,35.7445
2023-09-25,35.7779
2023-09-22,35.8139
2023-09-21,35.8441
2023-09-20,35.8755
2023-09-19,35.8955
2023-09-18,35.9220
2023-09-15,35.9458
2023-09-14,35.9719
2023-09-13,35.9977
2023-09-12,36.0203
2023-09-11,36.0550
2023-09-08,36.0868
2023-09-07,36.1238
2023-09-06,36.1629
2023-09-05,36.1961
2023-09-01,36.2266
2023-08-31,36.2550
2023-08-30,36.2845
2023-08-29,36.3158
2023-08-28,36.3497
2023-08-25,36.3835
2023-08-24,36.4196
2023-08-23,36.4528
2023-08-22,36.4919
2023-08-21,36.5251
2023-08-18,36.5608
2023-08-17,36.6036
2023-08-16,36.6419
2023-08-15,36.6798
2023-08-14,36.7136
2023-08-11,36.7492
2023-08-10,36.7794
2023-08-09,36.7873
2023-08-08,36.7933
2023-08-07,36.8015
2023-08-04,36.8044
2023-08-03,36.8070
2023-08-02,36.8063
2023-08-01,36.8012
2023-07-31,36.7920
2023-07-28,36.7816
2023-07-27,36.7650
2023-07-26,36.7486
2023-07-25,36.7396
2023-07-24,36.7328
2023-07-21,36.7147
2023-07-20,36.6886
2023-07-19,36.6690
2023-07-18,36.6459
2023-07-17,36.6281
2023-07-14,36.6028
2023-07-13,36.5659
2023-07-12,36.5276
2023-07-11,36.4877
2023-07-10,36.4601
2023-07-07,36.4321
2023-07-06,36.4042
2023-07-05,36.3822
2023-07-03,36.3582
2023-06-30,36.3375
2023-06-29,36.3210
2023-06-28,36.3040
2023-06-27,36.2952
2023-06-26,36.2911
2023-06-23,36.2968
2023-06-22,36.3035
2023-06-21,36.3018
2023-06-20,36.2948
2023-06-16,36.2839
2023-06-15,36.2687
2023-06-14,36.2626
2023-06-13,36.2499
2023-06-12,36.2459
2023-06-09,36.2487
2023-06-08,36.2394
2023-06-07,36.2429
2023-06-06,36.2544
2023-06-05,36.2800
2023-06-02,36.3013
2023-06-01,36.3307
2023-05-31,36.3720
2023-05-30,36.4101
2023-05-26,36.4411
2023-05-25,36.4831
2023-05-24,36.5302
2023-05-23,36.5693
2023-05-22,36.6089
2023-05-19,36.6517
2023-05-18,36.6909
2023-05-17,36.7389
2023-05-16,36.7919
2023-05-15,36.8431
2023-05-12,36.8915
2023-05-11,36.9318
2023-05-10,36.9765
2023-05-09,37.0115
2023-05-08,37.0523
2023-05-05,37.0928
2023-05-04,37.1444
2023-05-03,37.1967
2023-05-02,37.2449
2023-05-01,37.2893
2023-04-28,37.3261
2023-04-27,37.3791
2023-04-26,37.4331
2023-04-25,37.4824
2023-04-24,37.5213
2023-04-21,37.5627
2023-04-20,37.6070
2023-04-19,37.6542
2023-04-18,37.6861
2023-04-17,37.7125
2023-04-14,37.7498
2023-04-13,37.7839
2023-04-12,37.8201
2023-04-11,37.8425
2023-04-10,37.8663
2023-04-06,37.9055
2023-04-05,37.9386
2023-04-04,37.9693
2023-04-03,37.9881
2023-03-31,38.0083
2023-03-30,38.0298
2023-03-29,38.0517
2023-03-28,38.0874
2023-03-27,38.1277
2023-03-24,38.1698
2023-03-23,38.2209
2023-03-22,38.2634
2023-03-21,38.2988
2023-03-20,38.3396
2023-03-17,38.3925
2023-03-16,38.4376
2023-03-15,38.4875
2023-03-14,38.5303
2023-03-13,38.5552
2023-03-10,38.5887
2023-03-09,38.6018
2023-03-08,38.5970
2023-03-07,38.5904
2023-03-06,38.5785
2023-03-03,38.5585
2023-03-02,38.5446
2023-03-01,38.5503
2023-02-28,38.5542
2023-02-27,38.5529
2023-02-24,38.5484
2023-02-23,38.5500
2023-02-22,38.5303
2023-02-21,38.5087
2023-02-17,38.4750
2023-02-16,38.4353
2023-02-15,38.4013
2023-02-14,38.3693
2023-02-13,38.3415
2023-02-10,38.3229
2023-02-09,38.2992
2023-02-08,38.2667
2023-02-07,38.2439
2023-02-06,38.2192
2023-02-03,38.1977
2023-02-02,38.1785
