,SMA
2024-06-04,36.6377
2024-06-03,36.5750
2024-05-31,36.5146
2024-05-30,36.4651
2024-05-29,36.4169
2024-05-28,36.3725
2024-05-24,36.3340
2024-05-23,36.2946
2024-05-22,36.2546
2024-05-21,36.2142
2024-05-20,36.1721
2024-05-17,36.1277
2024-05-16,36.0839
2024-05-15,36.0456
2024-05-14,36.0073
2024-05-13,35.9719
2024-05-10,35.9361
2024-05-09,35.8964
2024-05-08,35.8586
2024-05-07,35.8270
2024-05-06,35.7976
2024-05-03,35.7653
2024-05-02,35.7350
2024-05-01,35.7026
2024-04-30,35.6758
2024-04-29,35.6511
2024-04-26,35.6230
2024-04-25,35.5975
2024-04-24,35.5703
2024-04-23,35.5400
2024-04-22,35.5066
2024-04-19,35.4862
2024-04-18,35.4675
2024-04-17,35.4457
2024-04-16,35.4211
2024-04-15,35.3987
2024-04-12,35.3659
2024-04-11,35.3319
2024-04-10,35.2911
2024-04-09,35.2497
2024-04-08,35.2092
2024-04-05,35.1720
2024-04-04,35.1403
2024-04-03,35.1008
2024-04-02,35.0618
2024-04-01,35.0245
2024-03-28,34.9821
2024-03-27,34.9388
2024-03-26,34.9044
2024-03-25,34.8654
2024-03-22,34.8256
2024-03-21,34.7776
2024-03-20,34.7338
2024-03-19,34.6936
2024-03-18,34.6501
2024-03-15,34.6086
2024-03-14,34.5789
2024-03-13,34.5393
2024-03-12,34.5010
2024-03-11,34.4662
2024-03-08,34.4330
2024-03-07,34.3980
2024-03-06,34.3609
2024-03-05,34.3172
2024-03-04,34.2710
2024-03-01,34.2246
2024-02-29,34.1807
2024-02-28,34.1412
2024-02-27,34.1039
2024-02-26,34.0708
2024-02-23,34.0380
2024-02-22,34.0068
2024-02-21,33.9695
2024-02-20,33.9349
2024-02-16,33.9057
2024-02-15,33.8765
2024-02-14,33.8518
2024-02-13,33.8197
2024-02-12,33.7863
2024-02-09,33.7569
2024-02-08,33.7324
2024-02-07,33.7057
2024-02-06,33.6794
2024-02-05,33.6565
2024-02-02,33.6368
2024-02-01,33.6200
2024-01-31,33.5947
2024-01-30,33.5760
2024-01-29,33.5557
2024-01-26,33.5582
2024-01-25,33.5603
2024-01-24,33.5558
2024-01-23,33.5530
2024-01-22,33.5498
2024-01-19,33.5531
2024-01-18,33.5605
2024-01-17,33.5639
2024-01-16,33.5694
2024-01-12,33.5688
2024-01-11,33.5614
2024-01-10,33.5510
2024-01-09,33.5342
2024-01-08,33.5229
2024-01-05,33.5180
2024-01-04,33.5122
2024-01-03,33.4998
2024-01-02,33.4922
2023-12-29,33.4819
2023-12-28,33.4729
2023-12-27,33.4737
2023-12-26,33.4699
2023-12-22,33.4767
2023-12-21,33.4921
2023-12-20,33.5098
2023-12-19,33.5305
2023-12-18,33.5563
2023-12-15,33.5776
2023-12-14,33.5865
2023-12-13,33.6048
2023-12-12,33.6322
2023-12-11,33.6602
2023-12-08,33.6851
2023-12-07,33.7206
2023-12-06,33.7595
2023-12-05,33.8041
2023-12-04,33.8519
2023-12-01,33.8981
2023-11-30,33.9489
2023-11-29,33.9963
2023-11-28,34.0388
2023-11-27,34.1009
2023-11-24,34.1692
2023-11-22,34.2318
2023-11-21,34.2959
2023-11-20,34.3572
2023-11-17,34.4177
2023-11-16,34.4779
2023-11-15,34.5337
2023-11-14,34.5862
2023-11-13,34.6310
2023-11-10,34.6786
2023-11-09,34.7283
2023-11-08,34.7681
2023-11-07,34.8048
2023-11-06,34.8376
2023-11-03,34.8656
2023-11-02,34.8954
2023-11-01,34.9369
2023-10-31,34.9741
2023-10-30,35.0174
2023-10-27,35.0686
2023-10-26,35.1112
2023-10-25,35.1413
2023-10-24,35.1796
2023-10-23,35.2096
2023-10-20,35.2325
2023-10-19,35.2531
2023-10-18,35.2762
2023-10-17,35.2923
2023-10-16,35.3061
2023-10-13,35.3218
2023-10-12,35.3380
2023-10-11,35.3516
2023-10-10,35.3673
2023-10-09,35.3900
2023-10-06,35.4124
2023-10-05,35.4417
2023-10-04,35.4714
2023-10-03,35.5019
2023-10-02,35.5337
2023-09-29,35.5661
2023-09-28,35.5896
2023-09-27,35.6158
2023-09-26,35.6425
2023-09-25,35.6662
2023-09-22,35.6972
2023-09-21,35.7279
2023-09-20,35.7609
2023-09-19,35.7926
2023-09-18,35.8231
2023-09-15,35.8504
2023-09-14,35.8802
2023-09-13,35.9091
2023-09-12,35.9365
2023-09-11,35.9700
2023-09-08,35.9997
2023-09-07,36.0320
2023-09-06,36.0581
2023-09-05,36.0895
2023-09-01,36.1240
2023-08-31,36.1589
2023-08-30,36.1885
2023-08-29,36.2153
2023-08-28,36.2403
2023-08-25,36.2697
2023-08-24,36.2995
2023-08-23,36.3278
2023-08-22,36.3509
2023-08-21,36.3780
2023-08-18,36.4097
2023-08-17,36.4379
2023-08-16,36.4620
2023-08-15,36.4849
2023-08-14,36.5022
2023-08-11,36.5158
2023-08-10,36.5189
2023-08-09,36.5038
2023-08-08,36.4889
2023-08-07,36.4754
2023-08-04,36.4640
2023-08-03,36.4471
2023-08-02,36.4255
2023-08-01,36.3930
2023-07-31,36.3625
2023-07-28,36.3309
2023-07-27,36.2982
2023-07-26,36.2738
2023-07-25,36.2558
2023-07-24,36.2380
2023-07-21,36.2136
2023-07-20,36.1768
2023-07-19,36.1457
2023-07-18,36.1183
2023-07-17,36.0973
2023-07-14,36.0765
2023-07-13,36.0479
2023-07-12,36.0256
2023-07-11,36.0092
2023-07-10,36.0058
2023-07-07,36.0075
2023-07-06,36.0059
2023-07-05,36.0102
2023-07-03,36.0160
2023-06-30,36.0245
2023-06-29,36.0344
2023-06-28,36.0494
2023-06-27,36.0641
2023-06-26,36.0747
2023-06-23,36.0857
2023-06-22,36.0986
2023-06-21,36.1098
2023-06-20,36.1109
2023-06-16,36.1170
2023-06-15,36.1237
2023-06-14,36.1297
2023-06-13,36.1422
2023-06-12,36.1523
2023-06-09,36.1621
2023-06-08,36.1675
2023-06-07,36.1758
2023-06-06,36.1931
2023-06-05,36.2127
2023-06-02,36.2295
2023-06-01,36.2539
2023-05-31,36.2837
2023-05-30,36.3115
2023-05-26,36.3349
2023-05-25,36.3587
2023-05-24,36.3827
2023-05-23,36.3994
2023-05-22,36.4126
2023-05-19,36.4327
2023-05-18,36.4496
2023-05-17,36.4684
2023-05-16,36.4882
2023-05-15,36.5052
2023-05-12,36.5170
2023-05-11,36.5197
2023-05-10,36.5244
2023-05-09,36.5281
2023-05-08,36.5361
2023-05-05,36.5417
2023-05-04,36.5497
2023-05-03,36.5538
2023-05-02,36.5554
2023-05-01,36.5496
2023-04-28,36.5345
2023-04-27,36.5257
2023-04-26,36.5175
2023-04-25,36.5115
2023-04-24,36.5040
2023-04-21,36.4942
2023-04-20,36.4858
2023-04-19,36.4740
2023-04-18,36.4552
2023-04-17,36.4400
2023-04-14,36.4360
2023-04-13,36.4370
2023-04-12,36.4380
2023-04-11,36.4226
2023-04-10,36.4069
2023-04-06,36.3951
2023-04-05,36.3833
2023-04-04,36.3633
2023-04-03,36.3441
2023-03-31,36.3281
2023-03-30,36.3092
2023-03-29,36.2962
2023-03-28,36.2992
2023-03-27,36.3129
2023-03-24,36.3314
2023-03-23,36.3488
2023-03-22,36.3672
2023-03-21,36.3805
2023-03-20,36.3979
2023-03-17,36.4241
2023-03-16,36.4442
2023-03-15,36.4625
2023-03-14,36.4700
2023-03-13,36.4611
2023-03-10,36.4595
2023-03-09,36.4495
2023-03-08,36.4359
2023-03-07,36.4133
2023-03-06,36.3986
2023-03-03,36.3826
2023-03-02,36.3695
2023-03-01,36.3573
2023-02-28,36.3406
2023-02-27,36.3377
2023-02-24,36.3361
2023-02-23,36.3356
2023-02-22,36.3285
2023-02-21,36.3231
2023-02-17,36.3082
2023-02-16,36.2892
2023-02-15,36.2651
2023-02-14,36.2478
2023-02-13,36.2353
2023-02-10,36.2224
2023-02-09,36.2116
2023-02-08,36.1972
2023-02-07,36.1933
2023-02-06,36.1997
2023-02-03,36.2054
2023-02-02,36.2053
2023-02-01,36.2037
2023-01-31,36.2062
2023-01-30,36.2088
2023-01-27,36.2269
2023-01-26,36.2370
2023-01-25,36.2429
2023-01-24,36.2583
2023-01-23,36.2810
2023-01-20,36.3159
2023-01-19,36.3524
2023-01-18,36.3934
2023-01-17,36.4308
2023-01-13,36.4749
2023-01-12,36.5179
2023-01-11,36.5454
2023-01-10,36.5785
2023-01-09,36.6166
2023-01-06,36.6525
2023-01-05,36.6986
2023-01-04,36.7473
2023-01-03,36.7905
2022-12-30,36.8334
2022-12-29,36.8802
2022-12-28,36.9188
2022-12-27,36.9594
2022-12-23,37.0007
2022-12-22,37.0379
2022-12-21,37.0719
2022-12-20,37.0963
2022-12-19,37.1300
2022-12-16,37.1673
2022-12-15,37.2115
2022-12-14,37.2445
2022-12-13,37.2794
2022-12-12,37.3108
2022-12-09,37.3494
2022-12-08,37.3795
2022-12-07,37.4238
2022-12-06,37.4726
2022-12-05,37.5208
2022-12-02,37.5707
2022-12-01,37.6168
2022-11-30,37.6581
2022-11-29,37.7013
2022-11-28,37.7550
2022-11-25,37.8027
2022-11-23,37.8538
2022-11-22,37.8970
2022-11-21,37.9536
2022-11-18,38.0129
2022-11-17,38.0768
2022-11-16,38.1593
2022-11-15,38.2232
2022-11-14,38.2709
2022-11-11,38.3207
2022-11-10,38.3840
2022-11-09,38.4544
2022-11-08,38.5181
2022-11-07,38.5762
2022-11-04,38.6502
2022-11-03,38.7314
2022-11-02,38.8367
2022-11-01,38.9390
2022-10-31,39.0425
2022-10-28,39.1546
2022-10-27,39.2733
2022-10-26,39.3869
2022-10-25,39.5051
2022-10-24,39.6391
2022-10-21,39.7774
2022-10-20,39.9343
2022-10-19,40.0725
2022-10-18,40.2002
2022-10-17,40.3138
2022-10-14,40.4301
2022-10-13,40.5478
2022-10-12,40.6756
