,ADX
2024-06-04,6.5756
2024-06-03,6.5589
2024-05-31,6.5422
2024-05-30,6.5274
2024-05-29,6.5085
2024-05-28,6.4845
2024-05-24,6.4603
2024-05-23,6.4381
2024-05-22,6.4158
2024-05-21,6.3896
2024-05-20,6.3621
2024-05-17,6.3340
2024-05-16,6.3092
2024-05-15,6.2859
2024-05-14,6.2658
2024-05-13,6.2475
2024-05-10,6.2319
2024-05-09,6.2125
2024-05-08,6.1897
2024-05-07,6.1657
2024-05-06,6.1417
2024-05-03,6.1225
2024-05-02,6.1034
2024-05-01,6.0860
2024-04-30,6.0684
2024-04-29,6.0508
2024-04-26,6.0288
2024-04-25,5.9990
2024-04-24,5.9951
2024-04-23,5.9802
2024-04-22,5.9660
2024-04-19,5.9538
2024-04-18,5.9434
2024-04-17,5.9289
2024-04-16,5.9143
2024-04-15,5.9017
2024-04-12,5.8870
2024-04-11,5.8677
2024-04-10,5.8492
2024-04-09,5.8350
2024-04-08,5.8199
2024-04-05,5.8097
2024-04-04,5.8021
2024-04-03,5.7931
2024-04-02,5.7800
2024-04-01,5.7674
2024-03-28,5.7547
2024-03-27,5.7484
2024-03-26,5.7422
2024-03-25,5.7340
2024-03-22,5.7286
2024-03-21,5.7211
2024-03-20,5.7155
2024-03-19,5.7121
2024-03-18,5.7088
2024-03-15,5.7036
2024-03-14,5.7122
2024-03-13,5.7202
2024-03-12,5.7322
2024-03-11,5.7470
2024-03-08,5.7623
2024-03-07,5.7793
2024-03-06,5.8015
2024-03-05,5.8260
2024-03-04,5.8512
2024-03-01,5.8745
2024-02-29,5.8894
2024-02-28,5.9044
2024-02-27,5.9209
2024-02-26,5.9346
2024-02-23,5.9478
2024-02-22,5.9506
2024-02-21,5.9535
2024-02-20,5.9600
2024-02-16,5.9675
2024-02-15,5.9740
2024-02-14,5.9799
2024-02-13,5.9795
2024-02-12,5.9791
2024-02-09,5.9722
2024-02-08,5.9652
2024-02-07,5.9630
2024-02-06,5.9619
2024-02-05,5.9612
2024-02-02,5.9605
2024-02-01,5.9643
2024-01-31,5.9605
2024-01-30,5.9567
2024-01-29,5.9320
2024-01-26,5.9068
2024-01-25,5.8834
2024-01-24,5.8598
2024-01-23,5.8411
2024-01-22,5.8263
2024-01-19,5.8109
2024-01-18,5.7985
2024-01-17,5.7895
2024-01-16,5.7842
2024-01-12,5.7742
2024-01-11,5.7660
2024-01-10,5.7578
2024-01-09,5.7531
2024-01-08,5.7507
2024-01-05,5.7524
2024-01-04,5.7572
2024-01-03,5.7598
2024-01-02,5.7611
2023-12-29,5.7627
2023-12-28,5.7601
2023-12-27,5.7557
2023-12-26,5.7510
2023-12-22,5.7439
2023-12-21,5.7379
2023-12-20,5.7339
2023-12-19,5.7299
2023-12-18,5.7327
2023-12-15,5.7360
2023-12-14,5.7453
2023-12-13,5.7547
2023-12-12,5.7607
2023-12-11,5.7675
2023-12-08,5.7743
2023-12-07,5.7763
2023-12-06,5.7770
2023-12-05,5.7889
2023-12-04,5.8007
2023-12-01,5.8162
2023-11-30,5.8268
2023-11-29,5.8363
2023-11-28,5.8394
2023-11-27,5.8443
2023-11-24,5.8481
2023-11-22,5.8524
2023-11-21,5.8541
2023-11-20,5.8594
2023-11-17,5.8656
2023-11-16,5.8729
2023-11-15,5.8790
2023-11-14,5.8887
2023-11-13,5.8984
2023-11-10,5.9134
2023-11-09,5.9284
2023-11-08,5.9424
2023-11-07,5.9552
2023-11-06,5.9685
2023-11-03,5.9845
2023-11-02,6.0019
