,EMA
2024-06-04,145.4737
2024-06-03,145.1942
2024-05-31,144.9194
2024-05-30,144.6486
2024-05-29,144.3416
2024-05-28,144.0291
2024-05-24,143.7234
2024-05-23,143.4093
2024-05-22,143.0710
2024-05-21,142.7335
2024-05-20,142.3902
2024-05-17,142.0504
2024-05-16,141.7275
2024-05-15,141.4103
2024-05-14,141.1167
2024-05-13,140.8287
2024-05-10,140.5932
2024-05-09,140.3175
2024-05-08,140.0253
2024-05-07,139.7341
2024-05-06,139.4450
2024-05-03,139.1634
2024-05-02,138.8781
2024-05-01,138.6177
2024-04-30,138.3596
2024-04-29,138.0857
2024-04-26,137.7744
2024-04-25,137.4066
2024-04-24,137.2667
2024-04-23,137.0634
2024-04-22,136.8635
2024-04-19,136.6881
2024-04-18,136.4920
2024-04-17,136.3026
2024-04-16,136.1084
2024-04-15,135.9267
2024-04-12,135.6962
2024-04-11,135.4725
2024-04-10,135.2570
2024-04-09,135.0464
2024-04-08,134.8350
2024-04-05,134.6546
2024-04-04,134.5001
2024-04-03,134.3092
2024-04-02,134.1153
2024-04-01,133.9205
2024-03-28,133.7519
2024-03-27,133.5801
2024-03-26,133.4032
2024-03-25,133.2342
2024-03-22,133.0663
2024-03-21,132.9050
2024-03-20,132.7385
2024-03-19,132.5851
2024-03-18,132.4286
2024-03-15,132.2659
2024-03-14,132.1631
2024-03-13,132.0723
2024-03-12,132.0027
2024-03-11,131.9522
2024-03-08,131.9102
2024-03-07,131.8871
2024-03-06,131.8780
2024-03-05,131.8655
2024-03-04,131.8653
2024-03-01,131.8272
2024-02-29,131.7608
2024-02-28,131.7054
2024-02-27,131.6431
2024-02-26,131.5790
2024-02-23,131.4729
2024-02-22,131.3503
2024-02-21,131.2138
2024-02-20,131.1110
2024-02-16,131.0251
2024-02-15,130.9048
2024-02-14,130.7819
2024-02-13,130.6281
2024-02-12,130.4845
2024-02-09,130.3042
2024-02-08,130.1396
2024-02-07,129.9819
2024-02-06,129.8334
2024-02-05,129.6845
2024-02-02,129.5525
2024-02-01,129.4549
2024-01-31,129.3276
2024-01-30,129.1840
2024-01-29,128.9467
2024-01-26,128.7144
2024-01-25,128.4894
2024-01-24,128.2725
2024-01-23,128.0689
2024-01-22,127.8897
2024-01-19,127.6967
2024-01-18,127.5254
2024-01-17,127.3794
2024-01-16,127.2391
2024-01-12,127.0907
2024-01-11,126.9341
2024-01-10,126.7677
2024-01-09,126.6247
2024-01-08,126.5053
2024-01-05,126.4070
2024-01-04,126.3031
2024-01-03,126.1813
2024-01-02,126.0701
2023-12-29,125.9447
2023-12-28,125.8071
2023-12-27,125.6566
2023-12-26,125.4965
2023-12-22,125.3348
2023-12-21,125.1796
2023-12-20,125.0358
2023-12-19,124.8958
2023-12-18,124.7757
2023-12-15,124.6968
2023-12-14,124.6272
2023-12-13,124.5392
2023-12-12,124.4504
2023-12-11,124.3764
2023-12-08,124.2960
2023-12-07,124.1964
2023-12-06,124.0875
2023-12-05,124.0136
2023-12-04,123.9640
2023-12-01,123.9045
2023-11-30,123.8245
2023-11-29,123.7117
2023-11-28,123.5725
2023-11-27,123.4467
2023-11-24,123.3203
2023-11-22,123.1724
2023-11-21,123.0288
2023-11-20,122.8955
2023-11-17,122.7870
2023-11-16,122.6542
2023-11-15,122.5282
2023-11-14,122.4042
2023-11-13,122.2857
2023-11-10,122.1903
2023-11-09,122.1107
2023-11-08,122.0118
2023-11-07,121.9217
2023-11-06,121.8334
2023-11-03,121.7609
2023-11-02,121.6980
2023-11-01,121.6304
2023-10-31,121.6059
2023-10-30,121.5712
2023-10-27,121.5547
2023-10-26,121.5414
2023-10-25,121.5240
2023-10-24,121.4573
2023-10-23,121.2928
2023-10-20,121.1546
2023-10-19,120.9920
2023-10-18,120.8161
2023-10-17,120.6289
2023-10-16,120.4479
2023-10-13,120.2698
2023-10-12,120.0778
2023-10-11,119.8670
2023-10-10,119.6789
2023-10-09,119.4898
2023-10-06,119.3144
2023-10-05,119.1667
2023-10-04,119.0069
2023-10-03,118.8683
2023-10-02,118.7169
2023-09-29,118.5913
2023-09-28,118.4437
2023-09-27,118.3291
2023-09-26,118.2262
2023-09-25,118.1102
2023-09-22,117.9924
2023-09-21,117.8641
2023-09-20,117.7277
2023-09-19,117.5231
2023-09-18,117.3231
2023-09-15,117.1293
2023-09-14,116.9197
2023-09-13,116.7119
2023-09-12,116.5272
2023-09-11,116.3289
2023-09-08,116.1258
2023-09-07,115.9370
2023-09-06,115.7596
2023-09-05,115.5559
2023-09-01,115.3561
2023-08-31,115.1340
2023-08-30,114.9242
2023-08-29,114.7246
2023-08-28,114.5486
2023-08-25,114.3801
2023-08-24,114.2278
2023-08-23,114.0296
2023-08-22,113.8672
2023-08-21,113.7201
2023-08-18,113.5849
2023-08-17,113.4349
2023-08-16,113.2704
2023-08-15,113.1153
2023-08-14,112.9346
2023-08-11,112.7692
2023-08-10,112.6095
2023-08-09,112.4214
2023-08-08,112.2281
2023-08-07,112.0432
2023-08-04,111.8712
2023-08-03,111.6962
2023-08-02,111.5327
2023-08-01,111.3526
2023-07-31,111.1574
2023-07-28,110.9406
2023-07-27,110.7412
2023-07-26,110.5309
2023-07-25,110.3345
2023-07-24,110.2237
2023-07-21,110.1087
2023-07-20,110.0031
2023-07-19,109.8884
2023-07-18,109.7405
2023-07-17,109.5912
2023-07-14,109.4269
2023-07-13,109.2724
2023-07-12,109.1552
2023-07-11,109.0583
2023-07-10,108.9856
2023-07-07,108.8920
2023-07-06,108.7793
2023-07-05,108.6686
2023-07-03,108.5624
2023-06-30,108.4551
2023-06-29,108.3373
2023-06-28,108.2277
2023-06-27,108.1387
2023-06-26,108.0488
2023-06-23,107.9211
2023-06-22,107.7858
2023-06-21,107.6630
2023-06-20,107.5149
2023-06-16,107.3600
2023-06-15,107.1734
2023-06-14,107.0129
2023-06-13,106.8512
2023-06-12,106.6690
2023-06-09,106.5071
2023-06-08,106.3488
2023-06-07,106.1893
2023-06-06,105.9804
2023-06-05,105.7791
2023-06-02,105.5959
2023-06-01,105.4110
2023-05-31,105.2361
2023-05-30,105.0601
2023-05-26,104.8533
2023-05-25,104.6692
2023-05-24,104.4697
2023-05-23,104.3023
2023-05-22,104.1028
2023-05-19,103.9134
2023-05-18,103.7161
2023-05-17,103.5429
2023-05-16,103.3814
2023-05-15,103.2497
2023-05-12,103.1204
2023-05-11,102.9841
2023-05-10,102.8594
2023-05-09,102.8080
2023-05-08,102.7519
2023-05-05,102.7275
2023-05-04,102.7065
2023-05-03,102.6786
2023-05-02,102.6499
2023-05-01,102.6048
2023-04-28,102.5622
2023-04-27,102.5172
2023-04-26,102.4978
2023-04-25,102.4735
2023-04-24,102.4398
2023-04-21,102.4091
2023-04-20,102.3784
2023-04-19,102.3630
2023-04-18,102.3507
2023-04-17,102.3091
2023-04-14,102.2855
2023-04-13,102.2392
2023-04-12,102.2031
2023-04-11,102.1591
2023-04-10,102.1149
2023-04-06,102.0660
2023-04-05,102.0339
2023-04-04,101.9963
2023-04-03,101.9728
2023-03-31,101.9686
2023-03-30,101.9754
2023-03-29,101.9861
2023-03-28,101.9831
2023-03-27,101.9785
2023-03-24,101.9520
2023-03-23,101.9215
2023-03-22,101.8900
2023-03-21,101.8660
2023-03-20,101.8722
2023-03-17,101.8898
2023-03-16,101.9062
2023-03-15,101.9636
2023-03-14,102.0514
2023-03-13,102.1468
2023-03-10,102.2680
2023-03-09,102.3695
2023-03-08,102.4531
2023-03-07,102.5369
2023-03-06,102.6128
2023-03-03,102.6992
2023-03-02,102.8019
2023-03-01,102.9340
2023-02-28,103.0642
2023-02-27,103.2022
2023-02-24,103.3362
2023-02-23,103.4759
2023-02-22,103.5920
2023-02-21,103.7115
2023-02-17,103.8192
