,RSI
2024-06-05,55.8139
2024-06-04,55.5729
2024-06-03,55.4797
2024-05-31,55.3942
2024-05-30,55.9191
2024-05-29,55.9554
2024-05-28,55.8337
2024-05-24,55.9168
2024-05-23,56.2453
2024-05-22,56.1931
2024-05-21,56.2332
2024-05-20,56.1471
2024-05-17,55.9017
2024-05-16,55.7929
2024-05-15,55.4660
2024-05-14,55.3598
2024-05-13,54.6707
2024-05-10,55.2505
2024-05-09,55.4627
2024-05-08,55.4140
2024-05-07,55.3518
2024-05-06,55.2224
2024-05-03,55.2377
2024-05-02,54.8923
2024-05-01,54.8316
2024-04-30,55.0307
2024-04-29,55.5578
2024-04-26,56.3862
2024-04-25,53.3868
2024-04-24,54.3817
2024-04-23,54.3088
2024-04-22,53.9426
2024-04-19,54.2511
2024-04-18,54.1324
2024-04-17,54.1779
2024-04-16,53.9811
2024-04-15,54.7453
2024-04-12,54.6221
2024-04-11,54.4782
2024-04-10,54.3823
2024-04-09,54.3652
2024-04-08,53.9112
2024-04-05,53.5283
2024-04-04,54.0925
2024-04-03,54.1088
2024-04-02,54.0950
2024-04-01,53.7056
2024-03-28,53.7314
2024-03-27,53.7845
2024-03-26,53.6519
2024-03-25,53.6133
2024-03-22,53.5005
2024-03-21,53.5558
2024-03-20,53.3542
2024-03-19,53.3793
2024-03-18,53.4497
2024-03-15,52.6058
2024-03-14,52.4218
2024-03-13,52.1126
2024-03-12,51.8324
2024-03-11,51.7039
2024-03-08,51.4289
2024-03-07,51.2253
2024-03-06,51.2744
2024-03-05,51.0964
2024-03-04,51.6691
2024-03-01,52.0948
2024-02-29,51.9312
2024-02-28,52.0265
2024-02-27,52.0449
2024-02-26,52.6812
2024-02-23,52.9203
2024-02-22,53.1178
2024-02-21,52.6319
2024-02-20,52.3786
2024-02-16,52.9016
2024-02-15,52.9252
2024-02-14,53.3907
2024-02-13,53.2292
2024-02-12,53.7887
2024-02-09,53.5472
2024-02-08,53.4289
2024-02-07,53.2798
2024-02-06,53.2645
2024-02-05,53.0098
2024-02-02,52.5089
2024-02-01,52.9602
2024-01-31,53.1988
2024-01-30,54.6996
2024-01-29,54.5968
2024-01-26,54.4635
2024-01-25,54.3197
2024-01-24,54.1071
2024-01-23,53.7349
2024-01-22,53.9336
2024-01-19,53.6006
2024-01-18,53.2170
2024-01-17,53.1159
2024-01-16,53.2222
2024-01-12,53.3308
2024-01-11,53.4637
2024-01-10,53.1107
2024-01-09,52.7527
2024-01-08,52.4332
2024-01-05,52.5059
2024-01-04,52.7741
2024-01-03,52.6058
2024-01-02,52.8138
2023-12-29,52.9870
2023-12-28,53.1717
2023-12-27,53.3019
2023-12-26,53.3019
2023-12-22,53.1870
2023-12-21,53.0074
2023-12-20,52.9344
2023-12-19,52.6346
2023-12-18,52.0337
2023-12-15,51.8880
2023-12-14,52.1627
2023-12-13,52.1627
2023-12-12,51.9380
2023-12-11,52.0263
2023-12-08,52.3088
2023-12-07,52.4396
2023-12-06,51.9271
2023-12-05,51.5679
2023-12-04,51.7115
2023-12-01,52.0183
2023-11-30,52.5178
2023-11-29,52.9172
2023-11-28,52.7056
2023-11-27,52.6985
2023-11-24,53.0152
2023-11-22,52.9364
2023-11-21,52.7703
2023-11-20,52.4021
2023-11-17,52.7658
2023-11-16,52.6511
2023-11-15,52.6059
2023-11-14,52.5100
2023-11-13,52.1688
2023-11-10,51.9299
2023-11-09,52.2173
2023-11-08,52.0765
2023-11-07,52.0395
2023-11-06,51.8036
2023-11-03,51.6567
2023-11-02,51.7176
2023-11-01,51.0938
2023-10-31,51.2438
2023-10-30,50.9763
2023-10-27,50.9285
2023-10-26,50.9870
2023-10-25,51.7273
2023-10-24,53.2487
2023-10-23,52.8506
2023-10-20,53.2207
2023-10-19,53.4109
2023-10-18,53.5647
2023-10-17,53.4497
2023-10-16,53.3848
2023-10-13,53.5802
2023-10-12,53.8508
2023-10-11,53.5052
2023-10-10,53.4940
2023-10-09,53.2751
2023-10-06,52.8606
2023-10-05,53.0299
2023-10-04,52.7057
2023-10-03,52.8889
2023-10-02,52.4988
2023-09-29,52.8288
2023-09-28,52.3333
2023-09-27,52.1487
2023-09-26,52.3393
2023-09-25,52.3488
2023-09-22,52.4961
2023-09-21,52.6037
2023-09-20,53.6731
2023-09-19,53.5798
2023-09-18,53.4653
2023-09-15,53.6881
2023-09-14,53.6348
2023-09-13,53.2812
2023-09-12,53.4703
2023-09-11,53.5156
2023-09-08,53.2867
2023-09-07,53.1006
2023-09-06,53.4909
2023-09-05,53.4096
2023-09-01,53.7344
2023-08-31,53.5327
2023-08-30,53.3606
2023-08-29,53.0028
2023-08-28,52.8711
2023-08-25,52.6197
2023-08-24,53.3250
2023-08-23,52.7867
2023-08-22,52.5455
2023-08-21,52.3519
2023-08-18,52.5653
2023-08-17,52.7721
2023-08-16,52.6139
2023-08-15,52.9993
2023-08-14,52.7540
2023-08-11,52.6490
2023-08-10,53.0766
2023-08-09,53.1315
2023-08-08,52.9835
2023-08-07,52.7752
2023-08-04,52.7944
2023-08-03,52.6078
2023-08-02,52.8426
2023-08-01,53.0534
2023-07-31,53.3661
2023-07-28,53.0918
2023-07-27,53.2340
2023-07-26,53.0088
2023-07-25,51.7504
2023-07-24,51.7980
2023-07-21,51.6448
2023-07-20,51.7707
2023-07-19,52.2749
2023-07-18,52.2749
2023-07-17,52.4882
2023-07-14,52.3235
2023-07-13,51.7589
