,SMA
2024-06-04,143.6710
2024-06-03,143.4536
2024-05-31,143.2344
2024-05-30,143.0306
2024-05-29,142.8015
2024-05-28,142.5677
2024-05-24,142.3520
2024-05-23,142.1354
2024-05-22,141.9032
2024-05-21,141.6658
2024-05-20,141.4277
2024-05-17,141.1865
2024-05-16,140.9629
2024-05-15,140.7503
2024-05-14,140.5608
2024-05-13,140.3659
2024-05-10,140.2029
2024-05-09,140.0131
2024-05-08,139.7730
2024-05-07,139.5363
2024-05-06,139.2969
2024-05-03,139.0667
2024-05-02,138.8519
2024-05-01,138.6510
2024-04-30,138.4592
2024-04-29,138.2551
2024-04-26,138.0145
2024-04-25,137.7366
2024-04-24,137.5614
2024-04-23,137.3655
2024-04-22,137.1812
2024-04-19,137.0086
2024-04-18,136.8238
2024-04-17,136.6433
2024-04-16,136.4660
2024-04-15,136.2913
2024-04-12,136.0824
2024-04-11,135.8780
2024-04-10,135.6973
2024-04-09,135.5231
2024-04-08,135.3427
2024-04-05,135.1908
2024-04-04,135.0553
2024-04-03,134.9175
2024-04-02,134.7652
2024-04-01,134.6132
2024-03-28,134.4846
2024-03-27,134.3443
2024-03-26,134.1996
2024-03-25,134.0597
2024-03-22,133.9448
2024-03-21,133.8293
2024-03-20,133.7020
2024-03-19,133.5819
2024-03-18,133.4552
2024-03-15,133.3259
2024-03-14,133.2416
2024-03-13,133.1515
2024-03-12,133.0791
2024-03-11,132.9995
2024-03-08,132.9397
2024-03-07,132.8833
2024-03-06,132.8371
2024-03-05,132.7763
2024-03-04,132.7149
2024-03-01,132.6191
2024-02-29,132.5075
2024-02-28,132.4045
2024-02-27,132.2919
2024-02-26,132.1417
2024-02-23,131.9729
2024-02-22,131.7805
2024-02-21,131.5799
2024-02-20,131.4001
2024-02-16,131.2295
2024-02-15,131.0502
2024-02-14,130.8687
2024-02-13,130.6735
2024-02-12,130.4712
2024-02-09,130.2537
2024-02-08,130.0494
2024-02-07,129.8477
2024-02-06,129.6513
2024-02-05,129.4476
2024-02-02,129.2514
2024-02-01,129.0875
2024-01-31,128.9002
2024-01-30,128.7166
2024-01-29,128.4818
2024-01-26,128.2544
2024-01-25,128.0316
2024-01-24,127.8162
2024-01-23,127.5998
2024-01-22,127.3992
2024-01-19,127.1854
2024-01-18,126.9736
2024-01-17,126.7699
2024-01-16,126.5677
2024-01-12,126.3691
2024-01-11,126.1680
2024-01-10,125.9736
2024-01-09,125.7935
2024-01-08,125.6263
2024-01-05,125.4662
2024-01-04,125.2888
2024-01-03,125.0973
2024-01-02,124.9123
2023-12-29,124.7006
2023-12-28,124.4685
2023-12-27,124.2274
2023-12-26,123.9699
2023-12-22,123.7228
2023-12-21,123.4892
2023-12-20,123.2624
2023-12-19,123.0424
2023-12-18,122.8283
2023-12-15,122.6275
2023-12-14,122.4177
2023-12-13,122.2007
2023-12-12,121.9805
2023-12-11,121.7708
2023-12-08,121.5561
2023-12-07,121.3447
2023-12-06,121.1280
2023-12-05,120.9358
2023-12-04,120.7653
2023-12-01,120.5927
2023-11-30,120.4059
2023-11-29,120.2028
2023-11-28,119.9886
2023-11-27,119.7855
2023-11-24,119.6053
2023-11-22,119.4254
2023-11-21,119.2542
2023-11-20,119.0847
2023-11-17,118.9309
2023-11-16,118.7799
2023-11-15,118.5975
2023-11-14,118.4075
2023-11-13,118.2240
2023-11-10,118.0516
2023-11-09,117.8836
2023-11-08,117.7017
2023-11-07,117.5373
2023-11-06,117.3735
2023-11-03,117.2038
2023-11-02,117.0173
2023-11-01,116.8359
2023-10-31,116.6758
2023-10-30,116.5048
2023-10-27,116.3461
2023-10-26,116.1776
2023-10-25,115.9912
2023-10-24,115.7922
2023-10-23,115.5370
2023-10-20,115.2991
2023-10-19,115.0642
2023-10-18,114.8196
2023-10-17,114.5573
2023-10-16,114.2973
2023-10-13,114.0413
2023-10-12,113.7884
2023-10-11,113.5187
2023-10-10,113.2666
2023-10-09,113.0195
2023-10-06,112.7753
2023-10-05,112.5566
2023-10-04,112.3350
2023-10-03,112.1367
2023-10-02,111.9430
2023-09-29,111.7758
2023-09-28,111.5729
2023-09-27,111.3926
