,SMA
2024-06-04,193.1670
2024-06-03,193.0837
2024-05-31,192.9875
2024-05-30,192.9104
2024-05-29,192.8605
2024-05-28,192.7970
2024-05-24,192.7319
2024-05-23,192.6451
2024-05-22,192.5599
2024-05-21,192.4743
2024-05-20,192.3837
2024-05-17,192.2980
2024-05-16,192.2120
2024-05-15,192.1329
2024-05-14,192.0708
2024-05-13,192.0180
2024-05-10,191.9975
2024-05-09,192.0190
2024-05-08,192.0481
2024-05-07,192.0905
2024-05-06,192.1393
2024-05-03,192.1710
2024-05-02,192.1993
2024-05-01,192.2336
2024-04-30,192.2843
2024-04-29,192.3364
2024-04-26,192.3909
2024-04-25,192.4735
2024-04-24,192.5009
2024-04-23,192.5371
2024-04-22,192.5544
2024-04-19,192.5907
2024-04-18,192.6471
2024-04-17,192.7086
2024-04-16,192.7674
2024-04-15,192.7968
2024-04-12,192.8065
2024-04-11,192.8228
2024-04-10,192.8276
2024-04-09,192.8289
2024-04-08,192.8302
2024-04-05,192.8222
2024-04-04,192.8391
2024-04-03,192.8437
2024-04-02,192.8362
2024-04-01,192.8191
2024-03-28,192.7685
2024-03-27,192.7163
2024-03-26,192.6736
2024-03-25,192.6564
2024-03-22,192.6231
2024-03-21,192.5872
2024-03-20,192.5544
2024-03-19,192.5276
2024-03-18,192.4873
2024-03-15,192.4457
2024-03-14,192.4158
2024-03-13,192.3677
2024-03-12,192.3117
2024-03-11,192.2718
2024-03-08,192.2337
2024-03-07,192.1872
2024-03-06,192.1573
2024-03-05,192.1210
2024-03-04,192.0747
2024-03-01,192.0365
2024-02-29,192.0002
2024-02-28,191.9675
2024-02-27,191.9458
2024-02-26,191.9193
2024-02-23,191.8832
2024-02-22,191.8617
2024-02-21,191.8353
2024-02-20,191.8123
2024-02-16,191.8054
2024-02-15,191.7997
2024-02-14,191.8032
2024-02-13,191.8096
2024-02-12,191.7897
2024-02-09,191.7734
2024-02-08,191.7845
2024-02-07,191.7864
2024-02-06,191.7783
2024-02-05,191.7868
2024-02-02,191.7919
2024-02-01,191.7840
2024-01-31,191.7744
2024-01-30,191.7013
2024-01-29,191.6464
2024-01-26,191.5912
2024-01-25,191.5253
2024-01-24,191.4553
2024-01-23,191.3739
2024-01-22,191.3043
2024-01-19,191.2479
2024-01-18,191.1844
2024-01-17,191.1313
2024-01-16,191.0805
2024-01-12,191.0106
2024-01-11,190.9179
2024-01-10,190.8349
2024-01-09,190.7475
2024-01-08,190.6649
2024-01-05,190.5929
2024-01-04,190.5114
2024-01-03,190.4064
2024-01-02,190.2892
2023-12-29,190.1676
2023-12-28,190.0574
2023-12-27,189.9758
2023-12-26,189.8900
2023-12-22,189.8087
2023-12-21,189.7523
2023-12-20,189.6991
2023-12-19,189.6519
2023-12-18,189.5996
2023-12-15,189.5413
2023-12-14,189.4650
2023-12-13,189.3833
2023-12-12,189.3129
2023-12-11,189.2595
2023-12-08,189.2311
2023-12-07,189.2151
2023-12-06,189.1846
2023-12-05,189.1799
2023-12-04,189.1672
2023-12-01,189.1571
2023-11-30,189.1520
2023-11-29,189.1739
2023-11-28,189.1755
2023-11-27,189.1831
2023-11-24,189.2145
2023-11-22,189.2460
2023-11-21,189.2831
2023-11-20,189.3167
2023-11-17,189.3763
2023-11-16,189.3904
2023-11-15,189.4483
