,EMA
2024-06-04,37.4846
2024-06-03,37.5523
2024-05-31,37.6178
2024-05-30,37.6922
2024-05-29,37.7674
2024-05-28,37.8408
2024-05-24,37.9101
2024-05-23,37.9867
2024-05-22,38.0524
2024-05-21,38.1142
2024-05-20,38.1758
2024-05-17,38.2394
2024-05-16,38.3015
2024-05-15,38.3686
2024-05-14,38.4388
2024-05-13,38.5174
2024-05-10,38.6027
2024-05-09,38.6858
2024-05-08,38.7738
2024-05-07,38.8620
2024-05-06,38.9401
2024-05-03,39.0188
2024-05-02,39.1008
2024-05-01,39.1876
2024-04-30,39.2794
2024-04-29,39.3635
2024-04-26,39.4402
2024-04-25,39.5184
2024-04-24,39.5697
2024-04-23,39.6184
2024-04-22,39.6729
2024-04-19,39.7271
2024-04-18,39.7748
2024-04-17,39.8200
2024-04-16,39.8588
2024-04-15,39.8963
2024-04-12,39.9366
2024-04-11,39.9707
2024-04-10,39.9977
2024-04-09,40.0191
2024-04-08,40.0404
2024-04-05,40.0561
2024-04-04,40.0648
2024-04-03,40.0611
2024-04-02,40.0493
2024-04-01,40.0122
2024-03-28,39.9710
2024-03-27,39.9347
2024-03-26,39.9102
2024-03-25,39.8914
2024-03-22,39.8830
2024-03-21,39.8609
2024-03-20,39.8312
2024-03-19,39.8012
2024-03-18,39.7783
2024-03-15,39.7467
2024-03-14,39.7213
2024-03-13,39.6878
2024-03-12,39.6411
2024-03-11,39.5885
2024-03-08,39.5472
2024-03-07,39.4798
2024-03-06,39.4206
2024-03-05,39.3771
2024-03-04,39.3268
2024-03-01,39.2789
2024-02-29,39.2392
2024-02-28,39.2094
2024-02-27,39.1787
2024-02-26,39.1395
2024-02-23,39.0974
2024-02-22,39.0587
2024-02-21,39.0040
2024-02-20,38.9507
2024-02-16,38.8992
2024-02-15,38.8494
2024-02-14,38.7918
2024-02-13,38.7431
2024-02-12,38.7020
2024-02-09,38.6567
2024-02-08,38.6193
2024-02-07,38.5798
2024-02-06,38.5382
2024-02-05,38.4981
2024-02-02,38.4596
2024-02-01,38.4170
2024-01-31,38.3724
2024-01-30,38.3332
2024-01-29,38.2826
2024-01-26,38.2311
2024-01-25,38.1744
2024-01-24,38.0590
2024-01-23,37.9508
2024-01-22,37.8519
2024-01-19,37.7448
2024-01-18,37.6550
2024-01-17,37.5641
2024-01-16,37.4784
2024-01-12,37.3861
2024-01-11,37.2868
2024-01-10,37.1881
2024-01-09,37.0803
2024-01-08,36.9738
2024-01-05,36.8756
2024-01-04,36.7769
2024-01-03,36.6902
2024-01-02,36.5889
2023-12-29,36.4655
2023-12-28,36.3300
2023-12-27,36.1880
2023-12-26,36.0464
2023-12-22,35.9204
2023-12-21,35.8098
2023-12-20,35.7058
2023-12-19,35.5992
2023-12-18,35.5018
2023-12-15,35.3980
2023-12-14,35.2953
2023-12-13,35.2008
2023-12-12,35.1146
2023-12-11,35.0248
2023-12-08,34.9460
2023-12-07,34.8797
2023-12-06,34.8135
2023-12-05,34.7394
2023-12-04,34.6703
2023-12-01,34.5866
2023-11-30,34.4914
2023-11-29,34.3924
2023-11-28,34.2929
2023-11-27,34.2015
2023-11-24,34.1096
2023-11-22,34.0165
2023-11-21,33.9189
2023-11-20,33.8156
2023-11-17,33.7186
2023-11-16,33.6292
2023-11-15,33.5579
2023-11-14,33.5001
2023-11-13,33.4496
2023-11-10,33.4030
2023-11-09,33.3570
2023-11-08,33.3125
2023-11-07,33.2596
2023-11-06,33.2122
2023-11-03,33.1665
2023-11-02,33.1218
2023-11-01,33.0808
2023-10-31,33.0502
2023-10-30,33.0276
2023-10-27,33.0068
2023-10-26,32.9937
2023-10-25,32.9981
2023-10-24,32.9897
2023-10-23,32.9866
2023-10-20,32.9740
2023-10-19,32.9507
2023-10-18,32.9241
2023-10-17,32.9017
2023-10-16,32.8750
2023-10-13,32.8459
2023-10-12,32.8105
2023-10-11,32.7742
2023-10-10,32.7393
2023-10-09,32.7088
2023-10-06,32.6824
2023-10-05,32.6540
2023-10-04,32.6244
2023-10-03,32.5890
2023-10-02,32.5657
2023-09-29,32.5387
2023-09-28,32.5111
2023-09-27,32.4932
2023-09-26,32.4823
2023-09-25,32.4691
2023-09-22,32.4572
2023-09-21,32.4372
2023-09-20,32.4193
2023-09-19,32.3848
2023-09-18,32.3318
2023-09-15,32.2825
2023-09-14,32.2248
2023-09-13,32.1626
2023-09-12,32.0998
2023-09-11,32.0380
2023-09-08,31.9795
2023-09-07,31.9217
2023-09-06,31.8762
2023-09-05,31.8328
2023-09-01,31.7889
2023-08-31,31.7523
2023-08-30,31.7300
2023-08-29,31.7101
2023-08-28,31.6956
2023-08-25,31.6809
2023-08-24,31.6757
2023-08-23,31.6586
2023-08-22,31.6497
2023-08-21,31.6373
2023-08-18,31.6310
2023-08-17,31.6283
2023-08-16,31.6123
2023-08-15,31.5866
2023-08-14,31.5518
2023-08-11,31.5240
2023-08-10,31.4980
2023-08-09,31.4694
2023-08-08,31.4375
2023-08-07,31.4086
2023-08-04,31.3720
2023-08-03,31.3443
2023-08-02,31.3194
2023-08-01,31.2857
2023-07-31,31.2451
2023-07-28,31.1936
2023-07-27,31.1428
2023-07-26,31.1107
2023-07-25,31.0891
2023-07-24,31.0675
2023-07-21,31.0443
2023-07-20,31.0220
2023-07-19,30.9997
2023-07-18,30.9702
2023-07-17,30.9417
2023-07-14,30.9240
2023-07-13,30.8999
2023-07-12,30.8719
2023-07-11,30.8482
2023-07-10,30.8329
2023-07-07,30.8269
2023-07-06,30.8195
2023-07-05,30.8131
2023-07-03,30.7925
2023-06-30,30.7695
2023-06-29,30.7481
2023-06-28,30.7267
2023-06-27,30.7023
2023-06-26,30.6816
2023-06-23,30.6609
2023-06-22,30.6498
2023-06-21,30.6338
2023-06-20,30.5956
2023-06-16,30.5386
2023-06-15,30.4851
2023-06-14,30.4417
2023-06-13,30.4119
2023-06-12,30.3828
2023-06-09,30.3769
2023-06-08,30.3657
2023-06-07,30.3593
2023-06-06,30.3569
2023-06-05,30.3669
2023-06-02,30.3617
2023-06-01,30.3556
2023-05-31,30.3455
2023-05-30,30.3560
2023-05-26,30.3667
2023-05-25,30.3999
2023-05-24,30.4250
2023-05-23,30.4402
2023-05-22,30.4483
2023-05-19,30.4584
2023-05-18,30.4711
2023-05-17,30.4899
2023-05-16,30.5037
2023-05-15,30.5167
2023-05-12,30.5369
2023-05-11,30.5561
2023-05-10,30.5698
2023-05-09,30.5768
2023-05-08,30.5829
2023-05-05,30.5860
2023-05-04,30.5823
2023-05-03,30.5880
2023-05-02,30.5929
2023-05-01,30.6012
2023-04-28,30.6016
2023-04-27,30.5934
2023-04-26,30.6171
2023-04-25,30.6365
2023-04-24,30.6537
2023-04-21,30.6643
2023-04-20,30.6680
2023-04-19,30.6725
2023-04-18,30.6737
2023-04-17,30.6618
2023-04-14,30.6545
2023-04-13,30.6467
2023-04-12,30.6405
2023-04-11,30.6249
2023-04-10,30.6103
2023-04-06,30.5960
2023-04-05,30.5817
2023-04-04,30.5652
2023-04-03,30.5481
2023-03-31,30.5299
2023-03-30,30.5228
2023-03-29,30.5151
2023-03-28,30.5278
2023-03-27,30.5476
2023-03-24,30.5646
2023-03-23,30.5851
2023-03-22,30.6123
2023-03-21,30.6387
2023-03-20,30.6604
2023-03-17,30.6743
2023-03-16,30.6872
2023-03-15,30.7153
2023-03-14,30.7502
2023-03-13,30.7892
2023-03-10,30.8346
2023-03-09,30.8824
2023-03-08,30.9363
2023-03-07,30.9948
2023-03-06,31.0512
2023-03-03,31.1020
2023-03-02,31.1559
2023-03-01,31.2201
2023-02-28,31.2867
2023-02-27,31.3549
2023-02-24,31.4178
2023-02-23,31.4845
2023-02-22,31.5464
2023-02-21,31.6077
2023-02-17,31.6577
2023-02-16,31.6994
2023-02-15,31.7366
2023-02-14,31.7756
2023-02-13,31.8147
2023-02-10,31.8593
2023-02-09,31.9067
2023-02-08,31.9442
2023-02-07,31.9794
2023-02-06,32.0180
2023-02-03,32.0480
2023-02-02,32.0813
2023-02-01,32.1186
2023-01-31,32.1695
2023-01-30,32.2220
2023-01-27,32.2756
2023-01-26,32.3361
2023-01-25,32.3680
2023-01-24,32.4055
2023-01-23,32.4393
2023-01-20,32.4794
2023-01-19,32.5288
2023-01-18,32.5768
2023-01-17,32.6137
2023-01-13,32.6472
