,RSI
2024-06-05,47.3025
2024-06-04,47.4803
2024-06-03,47.5839
2024-05-31,47.2527
2024-05-30,47.2486
2024-05-29,47.3418
2024-05-28,47.5156
2024-05-24,47.2520
2024-05-23,47.6754
2024-05-22,47.8472
2024-05-21,47.8730
2024-05-20,47.8209
2024-05-17,47.8978
2024-05-16,47.7266
2024-05-15,47.6270
2024-05-14,47.3235
2024-05-13,47.0866
2024-05-10,47.1940
2024-05-09,47.0338
2024-05-08,47.0587
2024-05-07,47.4472
2024-05-06,47.4562
2024-05-03,47.3537
2024-05-02,47.2003
2024-05-01,47.0350
2024-04-30,47.3405
2024-04-29,47.6307
2024-04-26,47.5995
2024-04-25,48.6000
2024-04-24,48.7099
2024-04-23,48.5071
2024-04-22,48.5362
2024-04-19,48.7965
2024-04-18,48.9024
2024-04-17,49.1512
2024-04-16,49.2134
2024-04-15,49.1267
2024-04-12,49.3638
2024-04-11,49.6352
2024-04-10,49.8527
2024-04-09,49.8637
2024-04-08,50.0810
2024-04-05,50.3436
2024-04-04,50.8066
2024-04-03,51.1122
2024-04-02,52.0837
2024-04-01,52.2264
2024-03-28,52.0365
2024-03-27,51.5956
2024-03-26,51.3806
2024-03-25,50.9914
2024-03-22,51.5179
2024-03-21,51.8074
2024-03-20,51.8074
2024-03-19,51.5378
2024-03-18,51.8656
2024-03-15,51.6323
2024-03-14,51.9375
2024-03-13,52.4437
2024-03-12,52.6631
2024-03-11,52.2328
2024-03-08,53.2733
2024-03-07,52.9504
2024-03-06,52.3540
2024-03-05,52.6120
2024-03-04,52.5048
2024-03-01,52.1856
2024-02-29,51.7957
2024-02-28,51.8240
2024-02-27,52.1521
2024-02-26,52.2537
2024-02-23,52.1144
2024-02-22,52.7490
2024-02-21,52.6752
2024-02-20,52.5943
2024-02-16,52.5097
2024-02-15,52.8050
2024-02-14,52.4620
2024-02-13,52.1585
2024-02-12,52.3166
2024-02-09,52.0049
2024-02-08,52.0734
2024-02-07,52.1418
2024-02-06,52.0718
2024-02-05,51.9967
2024-02-02,52.1475
2024-02-01,52.2070
2024-01-31,51.9964
2024-01-30,52.4324
2024-01-29,52.4483
2024-01-26,52.6350
2024-01-25,55.0500
2024-01-24,54.7554
2024-01-23,54.3791
2024-01-22,54.6938
2024-01-19,54.0229
2024-01-18,54.0358
2024-01-17,53.8107
2024-01-16,54.0527
2024-01-12,54.3195
2024-01-11,54.2615
2024-01-10,54.6062
2024-01-09,54.5236
2024-01-08,54.1844
2024-01-05,54.1699
2024-01-04,53.6914
2024-01-03,54.2854
2024-01-02,55.2068
2023-12-29,55.6996
2023-12-28,55.9299
2023-12-27,55.8658
2023-12-26,55.2507
2023-12-22,54.6364
2023-12-21,54.3489
2023-12-20,54.4202
2023-12-19,54.0301
2023-12-18,54.2745
2023-12-15,54.1958
2023-12-14,53.8456
2023-12-13,53.4919
2023-12-12,53.6150
2023-12-11,53.1552
2023-12-08,52.6415
2023-12-07,52.6063
2023-12-06,52.9243
2023-12-05,52.7021
2023-12-04,53.3125
2023-12-01,53.7852
2023-11-30,53.9154
2023-11-29,53.8962
2023-11-28,53.5469
2023-11-27,53.5315
2023-11-24,53.5448
2023-11-22,53.6990
2023-11-21,53.9065
2023-11-20,53.6334
2023-11-17,53.3008
2023-11-16,52.5574
2023-11-15,51.9941
2023-11-14,51.6774
2023-11-13,51.4949
2023-11-10,51.4502
2023-11-09,51.3734
2023-11-08,51.7164
2023-11-07,51.4706
2023-11-06,51.3817
2023-11-03,51.3234
2023-11-02,51.1548
2023-11-01,50.7181
2023-10-31,50.3747
2023-10-30,50.2947
2023-10-27,49.9633
2023-10-26,49.2229
2023-10-25,49.7568
2023-10-24,49.5288
2023-10-23,49.9297
2023-10-20,50.3734
2023-10-19,50.5052
2023-10-18,50.3233
2023-10-17,50.4910
2023-10-16,50.5842
2023-10-13,50.8389
2023-10-12,50.8644
2023-10-11,50.7908
2023-10-10,50.5943
2023-10-09,50.4138
2023-10-06,50.4847
2023-10-05,50.5263
2023-10-04,50.7552
2023-10-03,50.2435
2023-10-02,50.3867
2023-09-29,50.4024
2023-09-28,49.9941
2023-09-27,49.6927
2023-09-26,49.7827
2023-09-25,49.7250
2023-09-22,50.0558
2023-09-21,49.9577
2023-09-20,50.6383
2023-09-19,51.4071
2023-09-18,51.2371
2023-09-15,51.5790
2023-09-14,51.7465
2023-09-13,51.7425
2023-09-12,51.6828
2023-09-11,51.5195
2023-09-08,51.4718
2023-09-07,50.9550
2023-09-06,50.8460
2023-09-05,50.8544
2023-09-01,50.5359
2023-08-31,49.9352
2023-08-30,49.8279
2023-08-29,49.5924
2023-08-28,49.5965
2023-08-25,49.1947
2023-08-24,49.6781
2023-08-23,49.3284
2023-08-22,49.4668
2023-08-21,49.2082
2023-08-18,49.0533
2023-08-17,49.5941
2023-08-16,49.9899
2023-08-15,50.3606
2023-08-14,50.0542
2023-08-11,49.9670
2023-08-10,50.0664
2023-08-09,50.1906
2023-08-08,50.0550
2023-08-07,50.3609
2023-08-04,49.9786
2023-08-03,49.8499
2023-08-02,50.2035
2023-08-01,50.4811
2023-07-31,50.9202
2023-07-28,50.8716
2023-07-27,50.0807
2023-07-26,49.6208
2023-07-25,49.6124
2023-07-24,49.6701
2023-07-21,49.6222
2023-07-20,49.6135
2023-07-19,49.8979
2023-07-18,49.8486
2023-07-17,49.3859
2023-07-14,49.6381
2023-07-13,49.7891
2023-07-12,49.5995
2023-07-11,49.2387
2023-07-10,48.8408
2023-07-07,48.8930
2023-07-06,48.8512
2023-07-05,49.4186
2023-07-03,49.5119
2023-06-30,49.4371
2023-06-29,49.4293
2023-06-28,49.5377
2023-06-27,49.3782
2023-06-26,49.3659
2023-06-23,48.9645
2023-06-22,49.1544
2023-06-21,50.0498
2023-06-20,50.8177
2023-06-16,50.6512
2023-06-15,50.2094
2023-06-14,49.6235
2023-06-13,49.5816
2023-06-12,48.5738
2023-06-09,48.7908
2023-06-08,48.5751
2023-06-07,48.4022
2023-06-06,47.8524
2023-06-05,48.4806
2023-06-02,48.5168
2023-06-01,48.6821
2023-05-31,47.7570
2023-05-30,47.7570
2023-05-26,46.7340
2023-05-25,47.0790
2023-05-24,47.4976
2023-05-23,47.8045
2023-05-22,47.7137
2023-05-19,47.6002
2023-05-18,47.3274
2023-05-17,47.5408
2023-05-16,47.5819
2023-05-15,47.2555
2023-05-12,47.3064
2023-05-11,47.5407
2023-05-10,47.8235
2023-05-09,47.8605
2023-05-08,47.9917
2023-05-05,48.2715
2023-05-04,47.8511
2023-05-03,47.8851
2023-05-02,47.7343
2023-05-01,48.0639
2023-04-28,48.4193
2023-04-27,46.9648
2023-04-26,47.1493
2023-04-25,47.2479
2023-04-24,47.5321
2023-04-21,47.8266
2023-04-20,47.7904
2023-04-19,47.9313
2023-04-18,48.4877
2023-04-17,48.2721
2023-04-14,48.2930
2023-04-13,48.2125
2023-04-12,48.6100
2023-04-11,48.5612
2023-04-10,48.5346
2023-04-06,48.5346
2023-04-05,48.6154
2023-04-04,48.6381
2023-04-03,48.6751
2023-03-31,48.1779
2023-03-30,48.1983
2023-03-29,47.2752
2023-03-28,46.9609
2023-03-27,47.0794
2023-03-24,46.9304
2023-03-23,46.6313
2023-03-22,46.6709
2023-03-21,46.8772
2023-03-20,47.1965
2023-03-17,47.2445
2023-03-16,46.5545
2023-03-15,46.2528
2023-03-14,46.0784
2023-03-13,45.7975
2023-03-10,45.7098
2023-03-09,45.4465
2023-03-08,45.2518
2023-03-07,45.3592
2023-03-06,45.6014
2023-03-03,45.4773
2023-03-02,45.0198
2023-03-01,44.9357
2023-02-28,44.8940
2023-02-27,45.1245
2023-02-24,44.9724
2023-02-23,45.1839
2023-02-22,45.2330
2023-02-21,45.6893
2023-02-17,46.0320
2023-02-16,46.2258
2023-02-15,46.1626
2023-02-14,46.1703
2023-02-13,45.9414
2023-02-10,45.8335
2023-02-09,46.2352
2023-02-08,46.3391
2023-02-07,46.2054
2023-02-06,46.5515
2023-02-03,46.4175
2023-02-02,46.2553
2023-02-01,45.6536
2023-01-31,45.6046
2023-01-30,45.5757
2023-01-27,45.2892
2023-01-26,46.4164
2023-01-25,46.1757
2023-01-24,46.3368
2023-01-23,46.0626
2023-01-20,45.6560
2023-01-19,45.7280
2023-01-18,46.1819
2023-01-17,46.3280
2023-01-13,46.2345
2023-01-12,46.2383
2023-01-11,46.1055
2023-01-10,45.9082
2023-01-09,45.7328
2023-01-06,45.3263
2023-01-05,45.1038
2023-01-04,45.0925
2023-01-03,44.9289
2022-12-30,44.4126
2022-12-29,44.3526
2022-12-28,44.3779
