,SMA
2024-06-04,39.1800
2024-06-03,39.1924
2024-05-31,39.2081
2024-05-30,39.2322
2024-05-29,39.2527
2024-05-28,39.2710
2024-05-24,39.2880
2024-05-23,39.3098
2024-05-22,39.3241
2024-05-21,39.3398
2024-05-20,39.3506
2024-05-17,39.3604
2024-05-16,39.3735
2024-05-15,39.3919
2024-05-14,39.4169
2024-05-13,39.4450
2024-05-10,39.4666
2024-05-09,39.4812
2024-05-08,39.4978
2024-05-07,39.5146
2024-05-06,39.5255
2024-05-03,39.5361
2024-05-02,39.5515
2024-05-01,39.5682
2024-04-30,39.5815
2024-04-29,39.5935
2024-04-26,39.6033
2024-04-25,39.6112
2024-04-24,39.6009
2024-04-23,39.5845
2024-04-22,39.5713
2024-04-19,39.5572
2024-04-18,39.5466
2024-04-17,39.5356
2024-04-16,39.5203
2024-04-15,39.5041
2024-04-12,39.4904
2024-04-11,39.4715
2024-04-10,39.4488
2024-04-09,39.4183
2024-04-08,39.3900
2024-04-05,39.3698
2024-04-04,39.3551
2024-04-03,39.3323
2024-04-02,39.3001
2024-04-01,39.2484
2024-03-28,39.1944
2024-03-27,39.1313
2024-03-26,39.0770
2024-03-25,39.0230
2024-03-22,38.9724
2024-03-21,38.9089
2024-03-20,38.8492
2024-03-19,38.7899
2024-03-18,38.7364
2024-03-15,38.6682
2024-03-14,38.6033
2024-03-13,38.5233
2024-03-12,38.4412
2024-03-11,38.3614
2024-03-08,38.2911
2024-03-07,38.2070
2024-03-06,38.1262
2024-03-05,38.0504
2024-03-04,37.9741
2024-03-01,37.8997
2024-02-29,37.8260
2024-02-28,37.7582
2024-02-27,37.6928
2024-02-26,37.6268
2024-02-23,37.5600
2024-02-22,37.4966
2024-02-21,37.4289
2024-02-20,37.3575
2024-02-16,37.2876
2024-02-15,37.2171
2024-02-14,37.1471
2024-02-13,37.0859
2024-02-12,37.0130
2024-02-09,36.9403
2024-02-08,36.8730
2024-02-07,36.8083
2024-02-06,36.7462
2024-02-05,36.6846
2024-02-02,36.6258
2024-02-01,36.5715
2024-01-31,36.5142
2024-01-30,36.4600
2024-01-29,36.3995
2024-01-26,36.3434
2024-01-25,36.2845
2024-01-24,36.1963
2024-01-23,36.1123
2024-01-22,36.0344
2024-01-19,35.9532
2024-01-18,35.8817
2024-01-17,35.8043
2024-01-16,35.7303
2024-01-12,35.6433
2024-01-11,35.5497
2024-01-10,35.4584
2024-01-09,35.3616
2024-01-08,35.2626
2024-01-05,35.1687
2024-01-04,35.0777
2024-01-03,34.9970
2024-01-02,34.9101
2023-12-29,34.8053
2023-12-28,34.6917
2023-12-27,34.5738
2023-12-26,34.4537
2023-12-22,34.3412
2023-12-21,34.2342
2023-12-20,34.1290
2023-12-19,34.0243
2023-12-18,33.9279
2023-12-15,33.8275
2023-12-14,33.7232
2023-12-13,33.6226
2023-12-12,33.5263
2023-12-11,33.4315
2023-12-08,33.3411
2023-12-07,33.2599
2023-12-06,33.1799
2023-12-05,33.1021
2023-12-04,33.0316
2023-12-01,32.9566
2023-11-30,32.8756
2023-11-29,32.7933
2023-11-28,32.7087
2023-11-27,32.6275
2023-11-24,32.5516
2023-11-22,32.4770
