,SMA
2024-06-04,153.3284
2024-06-03,153.4291
2024-05-31,153.5294
2024-05-30,153.6393
2024-05-29,153.7575
2024-05-28,153.8747
2024-05-24,153.9844
2024-05-23,154.0755
2024-05-22,154.1505
2024-05-21,154.2181
2024-05-20,154.2851
2024-05-17,154.3436
2024-05-16,154.3942
2024-05-15,154.4421
2024-05-14,154.5119
2024-05-13,154.6024
2024-05-10,154.6931
2024-05-09,154.7832
2024-05-08,154.8707
2024-05-07,154.9627
2024-05-06,155.0373
2024-05-03,155.0792
2024-05-02,155.1015
2024-05-01,155.1187
2024-04-30,155.1556
2024-04-29,155.1990
2024-04-26,155.2403
2024-04-25,155.2833
2024-04-24,155.3141
2024-04-23,155.3524
2024-04-22,155.3872
2024-04-19,155.4374
2024-04-18,155.5028
2024-04-17,155.5806
2024-04-16,155.6608
2024-04-15,155.7302
2024-04-12,155.7857
2024-04-11,155.8450
2024-04-10,155.8970
2024-04-09,155.9509
2024-04-08,155.9940
2024-04-05,156.0333
2024-04-04,156.0758
2024-04-03,156.1030
2024-04-02,156.1062
2024-04-01,156.1132
2024-03-28,156.1055
2024-03-27,156.0966
2024-03-26,156.1008
2024-03-25,156.0976
2024-03-22,156.0934
2024-03-21,156.0950
2024-03-20,156.0834
2024-03-19,156.0614
2024-03-18,156.0337
2024-03-15,155.9973
2024-03-14,155.9600
2024-03-13,155.9118
2024-03-12,155.8624
2024-03-11,155.8226
2024-03-08,155.7934
2024-03-07,155.7715
2024-03-06,155.7412
2024-03-05,155.7138
2024-03-04,155.6862
2024-03-01,155.6515
2024-02-29,155.6227
2024-02-28,155.5957
2024-02-27,155.5760
2024-02-26,155.5565
2024-02-23,155.5324
2024-02-22,155.5141
2024-02-21,155.5092
2024-02-20,155.5083
2024-02-16,155.5285
2024-02-15,155.5427
2024-02-14,155.5622
2024-02-13,155.5761
2024-02-12,155.5841
2024-02-09,155.6030
2024-02-08,155.6245
2024-02-07,155.6329
2024-02-06,155.6475
2024-02-05,155.6621
2024-02-02,155.6708
2024-02-01,155.6837
2024-01-31,155.7027
2024-01-30,155.7119
2024-01-29,155.7176
2024-01-26,155.7238
2024-01-25,155.7254
2024-01-24,155.7350
2024-01-23,155.7475
2024-01-22,155.7526
2024-01-19,155.7105
2024-01-18,155.6630
2024-01-17,155.6155
2024-01-16,155.5658
2024-01-12,155.5031
2024-01-11,155.4399
2024-01-10,155.3842
2024-01-09,155.3166
2024-01-08,155.2485
2024-01-05,155.1959
2024-01-04,155.1470
2024-01-03,155.0853
2024-01-02,155.0380
2023-12-29,155.0040
2023-12-28,154.9691
2023-12-27,154.9389
2023-12-26,154.9054
2023-12-22,154.8732
2023-12-21,154.8475
2023-12-20,154.8320
2023-12-19,154.8127
2023-12-18,154.7925
2023-12-15,154.7666
2023-12-14,154.7315
2023-12-13,154.6976
2023-12-12,154.6871
2023-12-11,154.6770
2023-12-08,154.6704
2023-12-07,154.6643
2023-12-06,154.6563
2023-12-05,154.6443
2023-12-04,154.6183
2023-12-01,154.6007
2023-11-30,154.6046
2023-11-29,154.6328
2023-11-28,154.6588
2023-11-27,154.6866
2023-11-24,154.7190
2023-11-22,154.7567
2023-11-21,154.7826
2023-11-20,154.8301
2023-11-17,154.8954
2023-11-16,154.9391
2023-11-15,154.9879
2023-11-14,155.0410
2023-11-13,155.1225
2023-11-10,155.2088
2023-11-09,155.2950
2023-11-08,155.3589
2023-11-07,155.4560
2023-11-06,155.5221
2023-11-03,155.5937
2023-11-02,155.6630
2023-11-01,155.7619
2023-10-31,155.8648
2023-10-30,155.9719
2023-10-27,156.0912
2023-10-26,156.2050
2023-10-25,156.3025
2023-10-24,156.4207
2023-10-23,156.5453
2023-10-20,156.6542
2023-10-19,156.7632
2023-10-18,156.8643
2023-10-17,156.9535
2023-10-16,157.0402
2023-10-13,157.1189
2023-10-12,157.2047
2023-10-11,157.2875
2023-10-10,157.3583
2023-10-09,157.4272
2023-10-06,157.5006
2023-10-05,157.5715
2023-10-04,157.6541
2023-10-03,157.7507
2023-10-02,157.8487
2023-09-29,157.9456
2023-09-28,158.0178
2023-09-27,158.0951
2023-09-26,158.1656
2023-09-25,158.2289
2023-09-22,158.3070
2023-09-21,158.3716
2023-09-20,158.4259
2023-09-19,158.4892
2023-09-18,158.5396
2023-09-15,158.5938
2023-09-14,158.6376
2023-09-13,158.6810
2023-09-12,158.7244
2023-09-11,158.7752
2023-09-08,158.8292
2023-09-07,158.8807
2023-09-06,158.9250
2023-09-05,158.9689
2023-09-01,159.0024
2023-08-31,159.0224
2023-08-30,159.0447
2023-08-29,159.0663
2023-08-28,159.0886
2023-08-25,159.1048
2023-08-24,159.1176
2023-08-23,159.1368
2023-08-22,159.1387
2023-08-21,159.1505
2023-08-18,159.1542
2023-08-17,159.1432
2023-08-16,159.1264
2023-08-15,159.1082
2023-08-14,159.0838
2023-08-11,159.0504
2023-08-10,159.0204
2023-08-09,158.9588
2023-08-08,158.9034
2023-08-07,158.8528
2023-08-04,158.8144
2023-08-03,158.7738
2023-08-02,158.7305
2023-08-01,158.6757
2023-07-31,158.6427
2023-07-28,158.5814
2023-07-27,158.5004
2023-07-26,158.4337
2023-07-25,158.3821
2023-07-24,158.3392
2023-07-21,158.2856
2023-07-20,158.2502
2023-07-19,158.2484
2023-07-18,158.2732
2023-07-17,158.2913
2023-07-14,158.3066
2023-07-13,158.3220
2023-07-12,158.3428
2023-07-11,158.3468
2023-07-10,158.3588
2023-07-07,158.3702
2023-07-06,158.3817
2023-07-05,158.3800
2023-07-03,158.3705
2023-06-30,158.3447
2023-06-29,158.3219
2023-06-28,158.3220
2023-06-27,158.3141
2023-06-26,158.2986
2023-06-23,158.2722
2023-06-22,158.2451
2023-06-21,158.2379
2023-06-20,158.2116
2023-06-16,158.1901
2023-06-15,158.1680
2023-06-14,158.1584
2023-06-13,158.1700
2023-06-12,158.1834
2023-06-09,158.1985
2023-06-08,158.2136
2023-06-07,158.2470
2023-06-06,158.2685
2023-06-05,158.2855
2023-06-02,158.3103
2023-06-01,158.3424
2023-05-31,158.3760
2023-05-30,158.4160
2023-05-26,158.4643
2023-05-25,158.5208
2023-05-24,158.5685
2023-05-23,158.6147
2023-05-22,158.6609
2023-05-19,158.7192
2023-05-18,158.7698
2023-05-17,158.8317
2023-05-16,158.8842
2023-05-15,158.9384
2023-05-12,158.9824
2023-05-11,159.0201
2023-05-10,159.0551
2023-05-09,159.0912
2023-05-08,159.1221
2023-05-05,159.1445
2023-05-04,159.1731
2023-05-03,159.2218
2023-05-02,159.2634
2023-05-01,159.3107
2023-04-28,159.3371
2023-04-27,159.3821
2023-04-26,159.4376
2023-04-25,159.4860
2023-04-24,159.5364
2023-04-21,159.5923
2023-04-20,159.6408
2023-04-19,159.7026
2023-04-18,159.7599
2023-04-17,159.8037
2023-04-14,159.8419
2023-04-13,159.9024
2023-04-12,159.9690
2023-04-11,160.0327
2023-04-10,160.0762
2023-04-06,160.0952
2023-04-05,160.1017
2023-04-04,160.1155
2023-04-03,160.1543
2023-03-31,160.2087
2023-03-30,160.2754
2023-03-29,160.3385
2023-03-28,160.4179
2023-03-27,160.5203
2023-03-24,160.6182
2023-03-23,160.7239
2023-03-22,160.8322
2023-03-21,160.9269
2023-03-20,161.0241
2023-03-17,161.1353
2023-03-16,161.2314
2023-03-15,161.3408
2023-03-14,161.4589
2023-03-13,161.5727
2023-03-10,161.6862
2023-03-09,161.7930
2023-03-08,161.8740
2023-03-07,161.9519
2023-03-06,162.0389
2023-03-03,162.1323
2023-03-02,162.2231
2023-03-01,162.3303
2023-02-28,162.4211
2023-02-27,162.5000
2023-02-24,162.5824
2023-02-23,162.6509
2023-02-22,162.7128
2023-02-21,162.7909
2023-02-17,162.8576
2023-02-16,162.9400
2023-02-15,163.0256
2023-02-14,163.1071
2023-02-13,163.1836
2023-02-10,163.2761
2023-02-09,163.3706
2023-02-08,163.4433
2023-02-07,163.5181
2023-02-06,163.6079
2023-02-03,163.6757
2023-02-02,163.7293
2023-02-01,163.7928
2023-01-31,163.8575
2023-01-30,163.9280
2023-01-27,163.9654
2023-01-26,164.0177
2023-01-25,164.0573
2023-01-24,164.1099
2023-01-23,164.1144
2023-01-20,164.1334
2023-01-19,164.1557
2023-01-18,164.1778
2023-01-17,164.1993
2023-01-13,164.2041
2023-01-12,164.2137
2023-01-11,164.2089
2023-01-10,164.1933
2023-01-09,164.1739
2023-01-06,164.1384
2023-01-05,164.1017
2023-01-04,164.0648
2023-01-03,164.0395
2022-12-30,164.0189
2022-12-29,163.9931
2022-12-28,163.9570
2022-12-27,163.9075
