,EMA
2024-06-04,434.7362
2024-06-03,434.6496
2024-05-31,434.5608
2024-05-30,434.4791
2024-05-29,434.4014
2024-05-28,434.3240
2024-05-24,434.1664
2024-05-23,433.9820
2024-05-22,433.7555
2024-05-21,433.5028
2024-05-20,433.2575
2024-05-17,432.9940
2024-05-16,432.7180
2024-05-15,432.4439
2024-05-14,432.2394
2024-05-13,431.9813
2024-05-10,431.7305
2024-05-09,431.4733
2024-05-08,431.2514
2024-05-07,431.0227
2024-05-06,430.8143
2024-05-03,430.6494
2024-05-02,430.5060
2024-05-01,430.3805
2024-04-30,430.2255
2024-04-29,429.9638
2024-04-26,429.6524
2024-04-25,429.3182
2024-04-24,429.0004
2024-04-23,428.6356
2024-04-22,428.3357
2024-04-19,428.0426
2024-04-18,427.7326
2024-04-17,427.4032
2024-04-16,427.0478
2024-04-15,426.7166
2024-04-12,426.2792
2024-04-11,425.8800
2024-04-10,425.4539
2024-04-09,425.0045
2024-04-08,424.4721
2024-04-05,423.9503
2024-04-04,423.4538
2024-04-03,422.8924
2024-04-02,422.3207
2024-04-01,421.7781
2024-03-28,421.1929
2024-03-27,420.6295
2024-03-26,420.0345
2024-03-25,419.4613
2024-03-22,418.8435
2024-03-21,418.1521
2024-03-20,417.4515
2024-03-19,416.7862
2024-03-18,416.1412
2024-03-15,415.5197
2024-03-14,414.9452
2024-03-13,414.2878
2024-03-12,413.6919
2024-03-11,413.1272
2024-03-08,412.5721
2024-03-07,412.0306
2024-03-06,411.4223
2024-03-05,410.8686
2024-03-04,410.3072
2024-03-01,409.6569
2024-02-29,409.0077
2024-02-28,408.3209
2024-02-27,407.6656
2024-02-26,407.0000
2024-02-23,406.3432
2024-02-22,405.6725
2024-02-21,405.1147
2024-02-20,404.6366
2024-02-16,404.1588
2024-02-15,403.4617
2024-02-14,402.8414
2024-02-13,402.2532
2024-02-12,401.7117
2024-02-09,401.1405
2024-02-08,400.5748
2024-02-07,399.9839
2024-02-06,399.3749
2024-02-05,398.8186
2024-02-02,398.2150
2024-02-01,397.5782
2024-01-31,397.0074
2024-01-30,396.4810
2024-01-29,396.0407
2024-01-26,395.6473
2024-01-25,395.2824
2024-01-24,394.8793
2024-01-23,394.4466
2024-01-22,393.9922
2024-01-19,393.5461
2024-01-18,393.1601
2024-01-17,392.8094
2024-01-16,392.4870
2024-01-12,392.1416
2024-01-11,391.7676
2024-01-10,391.3893
2024-01-09,391.0473
2024-01-08,390.7712
2024-01-05,390.4889
2024-01-04,390.1997
2024-01-03,389.9277
2024-01-02,389.6258
2023-12-29,389.2919
2023-12-28,388.9288
2023-12-27,388.5911
2023-12-26,388.2578
2023-12-22,387.9010
2023-12-21,387.5432
2023-12-20,387.2115
2023-12-19,386.8434
2023-12-18,386.4820
2023-12-15,386.1623
2023-12-14,385.9085
2023-12-13,385.5281
2023-12-12,385.1754
2023-12-11,384.8678
2023-12-08,384.6027
2023-12-07,384.3373
2023-12-06,384.0708
2023-12-05,383.8079
2023-12-04,383.5859
2023-12-01,383.2942
2023-11-30,383.0089
2023-11-29,382.7488
2023-11-28,382.4769
2023-11-27,382.2216
2023-11-24,381.9445
2023-11-22,381.6496
2023-11-21,381.3542
2023-11-20,381.1212
2023-11-17,380.9361
2023-11-16,380.7566
2023-11-15,380.5949
2023-11-14,380.4371
2023-11-13,380.2805
2023-11-10,380.1508
2023-11-09,380.0629
2023-11-08,379.9649
2023-11-07,379.9045
2023-11-06,379.8546
2023-11-03,379.7932
2023-11-02,379.7523
2023-11-01,379.7580
2023-10-31,379.7801
2023-10-30,379.8560
2023-10-27,380.0009
2023-10-26,380.1475
2023-10-25,380.2502
2023-10-24,380.2238
2023-10-23,380.1822
2023-10-20,380.1720
2023-10-19,380.1061
2023-10-18,379.9796
2023-10-17,379.7991
2023-10-16,379.6115
2023-10-13,379.4160
2023-10-12,379.2329
2023-10-11,378.9979
2023-10-10,378.7660
2023-10-09,378.6091
2023-10-06,378.4614
2023-10-05,378.3246
2023-10-04,378.2149
2023-10-03,378.0936
2023-10-02,377.9460
2023-09-29,377.8060
2023-09-28,377.5802
2023-09-27,377.4142
2023-09-26,377.2428
2023-09-25,377.0316
2023-09-22,376.8124
2023-09-21,376.5530
2023-09-20,376.2515
2023-09-19,375.8926
2023-09-18,375.4982
2023-09-15,375.1307
2023-09-14,374.7796
2023-09-13,374.3606
2023-09-12,373.9587
2023-09-11,373.5550
2023-09-08,373.1382
2023-09-07,372.7357
2023-09-06,372.3600
2023-09-05,371.9920
2023-09-01,371.5945
2023-08-31,371.1881
2023-08-30,370.7740
2023-08-29,370.3499
2023-08-28,369.9953
2023-08-25,369.6713
2023-08-24,369.3776
2023-08-23,369.0715
2023-08-22,368.7855
2023-08-21,368.5394
2023-08-18,368.3088
2023-08-17,368.1097
2023-08-16,367.8454
2023-08-15,367.6055
2023-08-14,367.3226
2023-08-11,367.0473
2023-08-10,366.7763
2023-08-09,366.4954
2023-08-08,366.2377
2023-08-07,365.9542
2023-08-04,365.6996
2023-08-03,365.4565
2023-08-02,365.2514
2023-08-01,364.9810
2023-07-31,364.7088
2023-07-28,364.4321
2023-07-27,364.1126
2023-07-26,363.7176
2023-07-25,363.3787
2023-07-24,362.9946
2023-07-21,362.6654
2023-07-20,362.3211
2023-07-19,361.9886
2023-07-18,361.6442
2023-07-17,361.2721
2023-07-14,360.8810
2023-07-13,360.4842
2023-07-12,360.0746
2023-07-11,359.7010
2023-07-10,359.3774
2023-07-07,359.1020
2023-07-06,358.8020
2023-07-05,358.4673
2023-07-03,358.1850
2023-06-30,357.8747
2023-06-29,357.5936
2023-06-28,357.3822
2023-06-27,357.1652
2023-06-26,356.9545
2023-06-23,356.7645
2023-06-22,356.6033
2023-06-21,356.4393
2023-06-20,356.2850
2023-06-16,356.1188
2023-06-15,355.8849
2023-06-14,355.7320
2023-06-13,355.5809
2023-06-12,355.4046
2023-06-09,355.2728
2023-06-08,355.1419
2023-06-07,355.0206
2023-06-06,354.7988
2023-06-05,354.6382
2023-06-02,354.4780
2023-06-01,354.2977
2023-05-31,354.1899
2023-05-30,354.1026
2023-05-26,353.9017
2023-05-25,353.7516
2023-05-24,353.6308
2023-05-23,353.4942
2023-05-22,353.2348
2023-05-19,352.9382
2023-05-18,352.5685
2023-05-17,352.2440
2023-05-16,351.9653
2023-05-15,351.6798
2023-05-12,351.3987
2023-05-11,351.0886
2023-05-10,350.7982
2023-05-09,350.4670
2023-05-08,350.1537
2023-05-05,349.8359
2023-05-04,349.5492
2023-05-03,349.3204
2023-05-02,349.0675
2023-05-01,348.8011
2023-04-28,348.5049
2023-04-27,348.2852
2023-04-26,348.1228
2023-04-25,347.9281
2023-04-24,347.6930
2023-04-21,347.4389
2023-04-20,347.1767
2023-04-19,346.9544
2023-04-18,346.7146
2023-04-17,346.4627
2023-04-14,346.2142
2023-04-13,345.9968
2023-04-12,345.8389
2023-04-11,345.6569
2023-04-10,345.4996
2023-04-06,345.3778
2023-04-05,345.2398
2023-04-04,345.0778
2023-04-03,344.8866
2023-03-31,344.7354
2023-03-30,344.5974
2023-03-29,344.4598
2023-03-28,344.3564
2023-03-27,344.2701
2023-03-24,344.1829
2023-03-23,344.1459
2023-03-22,344.0889
2023-03-21,344.0095
2023-03-20,343.9316
2023-03-17,343.9165
2023-03-16,343.8788
2023-03-15,343.8769
2023-03-14,343.8807
2023-03-13,343.8352
2023-03-10,343.8627
2023-03-09,343.8029
2023-03-08,343.6743
2023-03-07,343.5508
2023-03-06,343.3406
2023-03-03,343.1817
2023-03-02,343.0581
2023-03-01,342.9780
2023-02-28,342.8935
2023-02-27,342.8000
2023-02-24,342.6973
2023-02-23,342.6417
2023-02-22,342.5164
2023-02-21,342.4137
2023-02-17,342.2959
2023-02-16,342.1042
2023-02-15,341.9021
2023-02-14,341.6842
2023-02-13,341.4313
2023-02-10,341.1859
2023-02-09,340.9273
2023-02-08,340.6296
2023-02-07,340.3302
2023-02-06,340.0444
2023-02-03,339.7708
2023-02-02,339.4864
2023-02-01,339.1122
2023-01-31,338.8434
2023-01-30,338.5578
2023-01-27,338.2746
2023-01-26,337.9214
2023-01-25,337.4926
2023-01-24,337.1425
2023-01-23,336.6401
2023-01-20,336.2650
2023-01-19,335.9511
2023-01-18,335.6902
2023-01-17,335.3278
2023-01-13,334.9569
2023-01-12,334.5816
2023-01-11,334.1746
2023-01-10,333.8159
2023-01-09,333.4915
2023-01-06,333.1357
2023-01-05,332.9192
2023-01-04,332.7180
2023-01-03,332.5618
2022-12-30,332.4182
2022-12-29,332.3194
2022-12-28,332.2290
2022-12-27,332.1161
2022-12-23,332.0265
2022-12-22,331.9865
2022-12-21,331.8947
2022-12-20,331.8074
2022-12-19,331.7419
2022-12-16,331.6359
2022-12-15,331.5348
2022-12-14,331.3664
2022-12-13,331.1408
2022-12-12,330.7909
2022-12-09,330.6261
2022-12-08,330.4787
2022-12-07,330.3138
2022-12-06,330.1784
2022-12-05,329.9725
2022-12-02,329.7428
2022-12-01,329.4963
2022-11-30,329.2420
2022-11-29,329.1359
2022-11-28,329.0208
2022-11-25,328.8744
2022-11-23,328.7037
2022-11-22,328.5745
2022-11-21,328.4918
2022-11-18,328.3767
2022-11-17,328.2340
2022-11-16,328.1561
2022-11-15,328.0361
2022-11-14,327.8806
2022-11-11,327.8217
2022-11-10,327.7398
2022-11-09,327.7348
2022-11-08,327.8185
2022-11-07,327.8637
2022-11-04,327.9470
2022-11-03,328.1168
2022-11-02,328.2757
2022-11-01,328.2738
2022-10-31,328.2638
2022-10-28,328.2871
2022-10-27,328.4059
2022-10-26,328.5571
2022-10-25,328.7485
2022-10-24,329.0055
2022-10-21,329.2788
2022-10-20,329.6546
2022-10-19,330.0019
2022-10-18,330.3755
2022-10-17,330.6761
2022-10-14,331.0569
2022-10-13,331.4371
2022-10-12,332.0062
2022-10-11,332.4888
2022-10-10,332.9435
2022-10-07,333.3309
2022-10-06,333.7261
2022-10-05,334.0662
2022-10-04,334.4604
2022-10-03,334.8763
2022-09-30,335.3794
2022-09-29,335.8974
2022-09-28,336.4058
2022-09-27,336.9515
2022-09-26,337.3997
2022-09-23,337.9062
2022-09-22,338.3873
2022-09-21,338.7755
2022-09-20,339.0529
2022-09-19,339.3662
2022-09-16,339.6747
2022-09-15,339.9774
2022-09-14,340.1764
2022-09-13,340.3430
2022-09-12,340.4819
2022-09-09,340.5417
2022-09-08,340.6772
2022-09-07,340.8738
2022-09-06,341.0769
2022-09-02,341.2977
2022-09-01,341.4521
2022-08-31,341.6636
2022-08-30,341.8328
2022-08-29,341.9767
