,RSI
2024-06-05,52.6420
2024-06-04,52.4168
2024-06-03,52.4254
2024-05-31,52.3739
2024-05-30,52.3427
2024-05-29,52.3363
2024-05-28,52.9002
2024-05-24,53.0812
2024-05-23,53.3716
2024-05-22,53.5446
2024-05-21,53.4822
2024-05-20,53.5958
2024-05-17,53.6658
2024-05-16,53.6379
2024-05-15,53.1872
2024-05-14,53.5558
2024-05-13,53.4939
2024-05-10,53.5225
2024-05-09,53.2872
2024-05-08,53.3192
2024-05-07,53.1800
2024-05-06,52.8973
2024-05-03,52.7520
2024-05-02,52.6323
2024-05-01,52.8275
2024-04-30,53.5662
2024-04-29,53.9024
2024-04-26,54.0435
2024-04-25,53.9229
2024-04-24,54.2355
2024-04-23,53.8184
2024-04-22,53.7581
2024-04-19,53.8574
2024-04-18,53.9723
2024-04-17,54.1344
2024-04-16,53.9666
2024-04-15,54.7028
2024-04-12,54.4468
2024-04-11,54.6119
2024-04-10,54.7489
2024-04-09,55.3187
2024-04-08,55.2254
2024-04-05,55.0437
2024-04-04,55.4811
2024-04-03,55.5157
2024-04-02,55.3112
2024-04-01,55.5815
2024-03-28,55.4200
2024-03-27,55.6095
2024-03-26,55.4468
2024-03-25,55.7305
2024-03-22,56.2256
2024-03-21,56.2419
2024-03-20,55.9990
2024-03-19,55.8426
2024-03-18,55.6696
2024-03-15,55.3600
2024-03-14,55.9231
2024-03-13,55.5252
2024-03-12,55.3064
2024-03-11,55.2157
2024-03-08,55.1032
2024-03-07,55.5490
2024-03-06,55.1919
2024-03-05,55.2072
2024-03-04,55.8175
2024-03-01,55.7730
2024-02-29,56.0014
2024-02-28,55.7780
2024-02-27,55.8060
2024-02-26,55.7159
2024-02-23,55.7692
2024-02-22,55.0710
2024-02-21,54.5621
2024-02-20,54.5314
2024-02-16,56.1144
2024-02-15,55.6141
2024-02-14,55.3816
2024-02-13,55.0612
2024-02-12,55.2435
2024-02-09,55.1752
2024-02-08,55.3208
2024-02-07,55.4115
2024-02-06,55.0569
2024-02-05,55.3677
2024-02-02,55.5708
2024-02-01,55.1336
2024-01-31,54.8268
2024-01-30,54.2606
2024-01-29,53.9373
2024-01-26,53.7321
2024-01-25,53.9877
2024-01-24,54.1758
2024-01-23,54.3053
