,SMA
2024-06-04,431.4407
2024-06-03,431.1959
2024-05-31,430.9371
2024-05-30,430.7024
2024-05-29,430.4649
2024-05-28,430.2245
2024-05-24,429.9481
2024-05-23,429.6462
2024-05-22,429.3359
2024-05-21,428.9978
2024-05-20,428.6577
2024-05-17,428.2896
2024-05-16,427.9482
2024-05-15,427.6084
2024-05-14,427.3057
2024-05-13,426.9972
2024-05-10,426.7297
2024-05-09,426.4302
2024-05-08,426.1704
2024-05-07,425.8792
2024-05-06,425.6050
2024-05-03,425.3458
2024-05-02,425.1026
2024-05-01,424.8809
2024-04-30,424.6529
2024-04-29,424.3734
2024-04-26,424.0748
2024-04-25,423.7465
2024-04-24,423.4013
2024-04-23,423.0088
2024-04-22,422.6611
2024-04-19,422.3342
2024-04-18,421.9725
2024-04-17,421.6153
2024-04-16,421.2306
2024-04-15,420.8238
2024-04-12,420.3675
2024-04-11,419.9281
2024-04-10,419.4660
2024-04-09,418.9792
2024-04-08,418.4539
2024-04-05,417.9309
2024-04-04,417.4283
2024-04-03,416.9287
2024-04-02,416.3853
2024-04-01,415.8575
2024-03-28,415.3232
2024-03-27,414.7795
2024-03-26,414.2218
2024-03-25,413.6725
2024-03-22,413.1533
2024-03-21,412.5690
2024-03-20,411.9826
2024-03-19,411.4264
2024-03-18,410.8467
2024-03-15,410.2712
2024-03-14,409.7782
2024-03-13,409.2206
2024-03-12,408.6816
2024-03-11,408.1683
2024-03-08,407.7230
2024-03-07,407.3045
2024-03-06,406.8904
2024-03-05,406.4821
2024-03-04,406.0483
2024-03-01,405.5751
2024-02-29,405.1021
2024-02-28,404.6266
2024-02-27,404.1590
2024-02-26,403.7082
2024-02-23,403.2547
2024-02-22,402.7982
2024-02-21,402.3841
2024-02-20,401.9823
2024-02-16,401.5938
2024-02-15,401.1041
2024-02-14,400.6695
2024-02-13,400.2145
2024-02-12,399.7561
2024-02-09,399.3008
2024-02-08,398.8703
2024-02-07,398.4383
2024-02-06,398.0031
2024-02-05,397.5759
2024-02-02,397.1356
2024-02-01,396.6866
2024-01-31,396.2707
2024-01-30,395.8630
2024-01-29,395.4700
2024-01-26,395.1139
2024-01-25,394.7607
2024-01-24,394.3717
2024-01-23,393.9777
2024-01-22,393.5862
2024-01-19,393.2148
2024-01-18,392.8547
2024-01-17,392.5068
2024-01-16,392.1737
2024-01-12,391.8132
2024-01-11,391.4311
2024-01-10,391.0488
2024-01-09,390.6611
2024-01-08,390.3175
2024-01-05,389.9832
2024-01-04,389.6457
2024-01-03,389.2865
2024-01-02,388.9250
2023-12-29,388.5311
2023-12-28,388.1215
2023-12-27,387.7509
2023-12-26,387.3476
2023-12-22,386.9779
2023-12-21,386.6434
2023-12-20,386.3205
2023-12-19,386.0236
2023-12-18,385.7054
2023-12-15,385.3913
2023-12-14,385.0893
2023-12-13,384.7275
2023-12-12,384.3854
2023-12-11,384.0716
2023-12-08,383.7565
2023-12-07,383.4770
2023-12-06,383.1864
2023-12-05,382.9059
2023-12-04,382.6833
2023-12-01,382.4313
2023-11-30,382.1908
2023-11-29,381.9806
2023-11-28,381.7608
2023-11-27,381.5560
2023-11-24,381.3597
2023-11-22,381.1554
2023-11-21,380.9440
2023-11-20,380.7578
2023-11-17,380.6004
2023-11-16,380.4900
2023-11-15,380.3351
2023-11-14,380.1899
2023-11-13,380.0435
2023-11-10,379.9446
2023-11-09,379.9030
2023-11-08,379.8156
2023-11-07,379.8214
2023-11-06,379.7669
