,ADX
2024-06-04,13.4130
2024-06-03,13.4234
2024-05-31,13.4339
2024-05-30,13.4491
2024-05-29,13.4586
2024-05-28,13.4631
2024-05-24,13.4670
2024-05-23,13.4713
2024-05-22,13.4781
2024-05-21,13.4826
2024-05-20,13.4885
2024-05-17,13.4917
2024-05-16,13.4941
2024-05-15,13.4941
2024-05-14,13.4941
2024-05-13,13.4984
2024-05-10,13.5012
2024-05-09,13.5001
2024-05-08,13.4997
2024-05-07,13.4995
2024-05-06,13.5011
2024-05-03,13.5049
2024-05-02,13.5140
2024-05-01,13.5276
2024-04-30,13.5412
2024-04-29,13.5596
2024-04-26,13.5780
2024-04-25,13.5947
2024-04-24,13.6118
2024-04-23,13.5882
2024-04-22,13.5693
2024-04-19,13.5533
2024-04-18,13.5358
2024-04-17,13.5034
2024-04-16,13.4748
2024-04-15,13.4395
2024-04-12,13.4040
2024-04-11,13.3603
2024-04-10,13.3110
2024-04-09,13.2620
2024-04-08,13.2121
2024-04-05,13.1537
2024-04-04,13.0954
2024-04-03,13.0370
2024-04-02,12.9879
2024-04-01,12.9428
2024-03-28,12.8975
2024-03-27,12.8540
2024-03-26,12.8082
2024-03-25,12.7574
2024-03-22,12.7028
2024-03-21,12.6452
2024-03-20,12.5860
2024-03-19,12.5295
2024-03-18,12.4777
2024-03-15,12.4217
2024-03-14,12.3679
2024-03-13,12.3091
2024-03-12,12.2479
2024-03-11,12.1864
2024-03-08,12.1267
2024-03-07,12.0501
2024-03-06,11.9746
2024-03-05,11.9060
2024-03-04,11.8402
2024-03-01,11.7678
2024-02-29,11.6951
2024-02-28,11.6275
2024-02-27,11.5599
2024-02-26,11.4936
2024-02-23,11.4274
2024-02-22,11.3597
2024-02-21,11.2935
2024-02-20,11.2365
2024-02-16,11.1760
2024-02-15,11.1133
2024-02-14,11.0480
2024-02-13,10.9891
2024-02-12,10.9327
2024-02-09,10.8675
2024-02-08,10.8046
2024-02-07,10.7428
2024-02-06,10.6806
2024-02-05,10.6202
2024-02-02,10.5548
2024-02-01,10.4891
2024-01-31,10.4667
2024-01-30,10.4456
2024-01-29,10.4148
2024-01-26,10.3857
2024-01-25,10.3599
2024-01-24,10.3348
2024-01-23,10.3079
2024-01-22,10.2852
2024-01-19,10.2625
2024-01-18,10.2431
2024-01-17,10.2279
2024-01-16,10.2176
2024-01-12,10.2006
2024-01-11,10.1818
2024-01-10,10.1653
2024-01-09,10.1488
2024-01-08,10.1395
2024-01-05,10.1312
2024-01-04,10.1262
