,EMA
2024-06-04,405.0859
2024-06-03,404.3631
2024-05-31,403.6948
2024-05-30,403.0706
2024-05-29,402.3812
2024-05-28,401.6548
2024-05-24,400.9018
2024-05-23,400.2313
2024-05-22,399.5011
2024-05-21,398.8140
2024-05-20,398.1275
2024-05-17,397.4057
2024-05-16,396.6678
2024-05-15,395.8805
2024-05-14,395.0855
2024-05-13,394.3993
2024-05-10,393.6118
2024-05-09,392.7728
2024-05-08,391.9967
2024-05-07,391.2781
2024-05-06,390.5242
2024-05-03,389.8703
2024-05-02,389.3069
2024-05-01,388.8091
2024-04-30,388.4092
2024-04-29,387.9806
2024-04-26,387.4623
2024-04-25,386.9196
2024-04-24,386.5730
2024-04-23,385.3521
2024-04-22,384.2878
2024-04-19,383.2282
2024-04-18,382.0265
2024-04-17,380.8426
2024-04-16,379.6139
2024-04-15,378.4230
2024-04-12,377.0330
2024-04-11,375.6188
2024-04-10,374.1566
2024-04-09,372.7985
2024-04-08,371.2966
2024-04-05,369.7089
2024-04-04,368.2300
2024-04-03,366.7407
2024-04-02,365.4121
2024-04-01,364.2092
2024-03-28,362.9731
2024-03-27,361.6679
2024-03-26,360.2847
2024-03-25,358.8290
2024-03-22,357.3520
2024-03-21,355.8480
2024-03-20,354.2514
2024-03-19,352.7916
2024-03-18,351.4310
2024-03-15,350.0192
2024-03-14,348.6223
2024-03-13,347.0983
2024-03-12,345.6080
2024-03-11,344.1240
2024-03-08,342.5875
2024-03-07,340.8628
2024-03-06,339.2305
2024-03-05,337.6385
2024-03-04,336.0570
2024-03-01,334.3792
2024-02-29,332.7940
2024-02-28,331.2297
2024-02-27,329.6842
2024-02-26,328.1738
2024-02-23,326.6130
2024-02-22,324.9905
2024-02-21,323.4302
2024-02-20,321.9924
2024-02-16,320.5127
2024-02-15,318.9340
2024-02-14,317.3678
2024-02-13,315.8596
2024-02-12,314.4473
2024-02-09,312.9072
2024-02-08,311.3038
2024-02-07,309.7307
2024-02-06,308.2455
2024-02-05,306.6851
2024-02-02,305.0500
2024-02-01,303.5017
2024-01-31,302.5970
2024-01-30,301.7328
2024-01-29,300.7134
2024-01-26,299.7702
2024-01-25,298.8239
2024-01-24,297.9100
2024-01-23,296.9886
2024-01-22,296.1121
2024-01-19,295.1933
2024-01-18,294.3551
2024-01-17,293.5838
2024-01-16,292.8569
2024-01-12,292.0489
2024-01-11,291.2679
2024-01-10,290.4592
2024-01-09,289.7625
2024-01-08,289.0966
2024-01-05,288.4411
2024-01-04,287.8564
2024-01-03,287.2908
2024-01-02,286.7147
2023-12-29,286.0691
2023-12-28,285.3401
2023-12-27,284.5966
2023-12-26,283.8821
2023-12-22,283.1713
2023-12-21,282.4474
2023-12-20,281.7423
2023-12-19,281.0736
2023-12-18,280.4290
2023-12-15,279.8592
2023-12-14,279.3389
2023-12-13,278.7946
2023-12-12,278.2441
2023-12-11,277.7817
2023-12-08,277.2664
2023-12-07,276.8093
2023-12-06,276.4011
2023-12-05,275.9470
2023-12-04,275.5179
2023-12-01,275.1015
2023-11-30,274.5986
2023-11-29,274.0264
2023-11-28,273.3701
2023-11-27,272.7704
2023-11-24,272.1367
2023-11-22,271.4570
2023-11-21,270.7797
2023-11-20,270.1044
2023-11-17,269.4569
2023-11-16,268.8494
2023-11-15,268.2447
2023-11-14,267.5479
2023-11-13,266.8782
2023-11-10,266.2855
2023-11-09,265.7497
2023-11-08,265.2138
2023-11-07,264.6852
2023-11-06,264.1623
2023-11-03,263.6449
2023-11-02,263.1567
2023-11-01,262.6160
2023-10-31,262.2249
2023-10-30,261.8152
2023-10-27,261.4438
2023-10-26,261.1150
2023-10-25,260.7776
2023-10-24,260.2862
2023-10-23,259.7218
2023-10-20,259.2249
2023-10-19,258.6763
2023-10-18,258.0647
2023-10-17,257.4317
2023-10-16,256.8246
2023-10-13,256.2067
2023-10-12,255.5336
2023-10-11,254.8088
2023-10-10,254.1269
2023-10-09,253.4771
2023-10-06,252.8872
2023-10-05,252.4025
2023-10-04,251.8809
2023-10-03,251.4133
2023-10-02,250.8855
2023-09-29,250.3676
2023-09-28,249.7979
2023-09-27,249.3073
2023-09-26,248.7965
2023-09-25,248.3086
2023-09-22,247.8361
2023-09-21,247.3220
2023-09-20,246.8390
2023-09-19,246.2572
2023-09-18,245.6954
2023-09-15,245.1710
