,RSI
2024-06-05,56.0785
2024-06-04,55.7942
2024-06-03,55.5582
2024-05-31,55.3629
2024-05-30,55.6452
2024-05-29,55.7894
2024-05-28,55.8817
2024-05-24,55.5395
2024-05-23,55.7924
2024-05-22,55.6008
2024-05-21,55.5721
2024-05-20,55.7072
2024-05-17,55.7492
2024-05-16,55.9478
2024-05-15,55.9470
2024-05-14,55.5102
2024-05-13,55.9562
2024-05-10,56.1640
2024-05-09,55.8978
2024-05-08,55.6522
2024-05-07,55.7849
2024-05-06,55.3785
2024-05-03,55.0077
2024-05-02,54.7328
2024-05-01,54.3317
2024-04-30,54.4465
2024-04-29,54.8472
2024-04-26,54.9370
2024-04-25,54.1483
2024-04-24,58.5536
2024-04-23,57.8924
2024-04-22,57.8313
2024-04-19,58.5521
2024-04-18,58.4347
2024-04-17,58.6166
2024-04-16,58.4207
2024-04-15,59.4651
2024-04-12,59.5237
2024-04-11,59.7147
2024-04-10,59.2571
2024-04-09,59.9995
2024-04-08,60.4098
2024-04-05,59.9293
2024-04-04,59.9123
2024-04-03,59.2223
2024-04-02,58.6625
2024-04-01,58.7844
2024-03-28,59.1127
2024-03-27,59.4914
2024-03-26,59.8356
2024-03-25,59.8746
2024-03-22,59.9460
2024-03-21,60.4021
2024-03-20,59.8017
2024-03-19,59.3448
2024-03-18,59.5672
2024-03-15,59.4500
2024-03-14,60.1225
2024-03-13,59.9273
2024-03-12,59.8417
2024-03-11,60.0665
2024-03-08,61.1129
2024-03-07,60.6801
2024-03-06,60.4533
2024-03-05,60.3474
2024-03-04,60.8406
2024-03-01,60.4022
2024-02-29,60.2530
2024-02-28,60.1129
2024-02-27,59.9074
2024-02-26,60.1217
2024-02-23,60.4035
2024-02-22,60.0861
2024-02-21,59.5180
2024-02-20,59.6849
2024-02-16,60.2042
2024-02-15,60.0877
2024-02-14,59.7835
2024-02-13,59.3194
2024-02-12,60.0249
2024-02-09,60.3251
2024-02-08,60.1321
2024-02-07,59.6974
2024-02-06,60.0764
2024-02-05,60.4506
2024-02-02,60.0173
2024-02-01,57.0257
2024-01-31,56.7836
2024-01-30,57.7394
2024-01-29,57.3178
2024-01-26,57.2865
2024-01-25,57.0805
2024-01-24,57.0721
2024-01-23,56.8063
2024-01-22,57.0238
2024-01-19,56.5797
2024-01-18,56.2018
2024-01-17,55.9382
2024-01-16,56.4168
2024-01-12,56.2396
2024-01-11,56.3684
2024-01-10,55.7578
2024-01-09,55.5628
2024-01-08,55.4747
2024-01-05,55.0729
2024-01-04,54.9422
2024-01-03,54.9729
2024-01-02,55.3791
2023-12-29,55.8762
2023-12-28,55.9224
2023-12-27,55.7361
2023-12-26,55.6806
2023-12-22,55.7186
2023-12-21,55.5859
2023-12-20,55.3642
2023-12-19,55.2065
2023-12-18,54.7871
2023-12-15,54.4998
2023-12-14,54.6168
2023-12-13,54.6218
2023-12-12,54.1328
2023-12-11,54.4331
2023-12-08,54.1001
2023-12-07,53.8169
2023-12-06,54.0765
2023-12-05,53.9197
2023-12-04,53.8298
2023-12-01,54.3408
2023-11-30,54.7455
2023-11-29,55.2436
2023-11-28,54.9144
2023-11-27,55.0926
2023-11-24,55.3465
2023-11-22,55.2988
2023-11-21,55.2532
2023-11-20,55.0753
2023-11-17,54.8347
2023-11-16,54.7884
2023-11-15,55.3313
2023-11-14,55.1562
2023-11-13,54.7217
2023-11-10,54.3917
2023-11-09,54.3641
2023-11-08,54.2967
2023-11-07,54.2399
2023-11-06,54.1832
2023-11-03,54.0033
2023-11-02,54.2972
2023-11-01,53.4778
2023-10-31,53.5681
2023-10-30,53.3415
2023-10-27,53.0927
2023-10-26,53.1245
2023-10-25,54.0536
2023-10-24,54.4821
2023-10-23,54.0933
2023-10-20,54.3879
2023-10-19,54.7547
2023-10-18,54.8519
2023-10-17,54.6823
2023-10-16,54.7116
2023-10-13,55.0236
2023-10-12,55.3104
2023-10-11,55.0499
2023-10-10,54.8461
2023-10-09,54.4964
2023-10-06,53.9030
2023-10-05,54.1051
2023-10-04,53.7856
2023-10-03,54.1374
2023-10-02,54.0553
2023-09-29,54.3509
2023-09-28,53.8944
2023-09-27,53.9907
2023-09-26,53.8395
2023-09-25,53.7299
2023-09-22,53.9608
2023-09-21,53.7663
2023-09-20,54.3598
2023-09-19,54.2216
2023-09-18,53.9902
2023-09-15,54.8533
2023-09-14,54.5912
2023-09-13,54.3540
2023-09-12,54.6112
2023-09-11,54.3448
2023-09-08,54.2258
2023-09-07,54.1596
2023-09-06,54.3977
2023-09-05,54.1442
2023-09-01,54.2947
2023-08-31,54.1018
2023-08-30,54.1891
2023-08-29,53.7234
2023-08-28,53.6915
2023-08-25,53.5897
2023-08-24,54.3766
2023-08-23,53.8313
2023-08-22,54.0918
2023-08-21,53.5896
2023-08-18,53.3430
2023-08-17,54.2530
2023-08-16,54.7264
2023-08-15,55.1246
2023-08-14,54.8408
2023-08-11,54.9473
2023-08-10,55.3084
2023-08-09,55.6431
2023-08-08,55.7463
2023-08-07,55.6833
2023-08-04,55.8002
2023-08-03,55.5302
2023-08-02,56.0770
2023-08-01,56.0522
2023-07-31,56.4724
2023-07-28,56.1099
2023-07-27,56.6781
2023-07-26,55.3732
2023-07-25,55.0353
2023-07-24,55.0761
2023-07-21,55.6881
2023-07-20,56.3207
2023-07-19,56.2947
2023-07-18,56.1757
2023-07-17,55.9911
2023-07-14,56.2917
2023-07-13,56.4214
2023-07-12,55.7631
2023-07-11,55.3194
2023-07-10,55.4357
2023-07-07,55.2444
2023-07-06,55.5051
2023-07-05,55.0359
2023-07-03,54.9814
2023-06-30,54.8703
2023-06-29,54.8554
2023-06-28,54.8775
2023-06-27,54.7179
2023-06-26,55.1803
2023-06-23,54.7716
2023-06-22,54.6325
2023-06-21,54.9404
2023-06-20,54.6662
2023-06-16,55.0845
2023-06-15,54.3659
2023-06-14,54.3420
2023-06-13,54.5496
2023-06-12,54.0997
2023-06-09,53.8230
2023-06-08,53.7129
2023-06-07,54.4807
2023-06-06,54.3909
2023-06-05,54.4021
2023-06-02,54.5665
2023-06-01,54.1717
2023-05-31,53.8232
2023-05-30,54.1880
2023-05-26,53.4512
2023-05-25,53.4839
2023-05-24,52.9902
2023-05-23,53.0959
2023-05-22,53.0106
2023-05-19,53.1521
2023-05-18,52.7764
2023-05-17,52.6017
2023-05-16,52.4384
2023-05-15,52.5149
2023-05-12,52.5039
2023-05-11,52.2787
2023-05-10,52.4881
2023-05-09,52.2006
2023-05-08,52.1978
2023-05-05,52.2526
2023-05-04,52.5068
2023-05-03,52.7346
2023-05-02,52.9834
2023-05-01,52.7102
2023-04-28,52.7366
2023-04-27,52.7952
2023-04-26,51.1135
2023-04-25,51.0067
2023-04-24,51.1956
2023-04-21,50.9767
2023-04-20,51.1923
2023-04-19,51.1918
2023-04-18,51.6174
2023-04-17,51.6099
2023-04-14,51.4915
2023-04-13,51.3581
2023-04-12,51.3026
2023-04-11,51.3446
2023-04-10,51.2973
2023-04-06,50.9607
2023-04-05,51.2771
2023-04-04,51.2304
2023-04-03,50.9501
2023-03-31,50.8513
2023-03-30,50.6124
2023-03-29,50.6238
2023-03-28,50.4130
2023-03-27,50.7074
2023-03-24,50.7308
2023-03-23,50.5873
2023-03-22,50.5665
2023-03-21,50.6101
2023-03-20,50.3222
2023-03-17,50.4512
2023-03-16,50.3111
2023-03-15,49.9863
2023-03-14,49.6551
2023-03-13,49.0538
2023-03-10,49.2393
2023-03-09,49.5659
2023-03-08,49.3480
2023-03-07,49.7245
2023-03-06,49.6621
2023-03-03,49.0919
2023-03-02,48.6753
2023-03-01,48.8096
2023-02-28,48.6380
2023-02-27,48.6364
2023-02-24,48.4305
2023-02-23,48.6320
2023-02-22,48.5730
2023-02-21,48.7669
2023-02-17,48.5088
2023-02-16,48.6597
2023-02-15,48.8788
2023-02-14,48.9234
2023-02-13,48.9864
2023-02-10,48.8709
2023-02-09,49.4559
2023-02-08,49.6902
2023-02-07,49.4176
2023-02-06,49.4751
2023-02-03,49.2865
2023-02-02,49.2812
2023-02-01,47.0222
2023-01-31,47.0169
2023-01-30,47.1024
2023-01-27,47.0254
2023-01-26,46.7723
2023-01-25,46.5618
2023-01-24,46.5889
2023-01-23,46.4305
2023-01-20,46.2056
2023-01-19,45.9800
2023-01-18,46.1681
2023-01-17,46.1889
2023-01-13,46.1095
2023-01-12,46.0091
2023-01-11,45.8462
2023-01-10,45.6033
2023-01-09,45.8189
2023-01-06,45.6750
2023-01-05,45.4879
2023-01-04,45.5568
2023-01-03,45.2572
2022-12-30,44.9491
2022-12-29,44.8324
2022-12-28,44.8225
2022-12-27,44.9125
2022-12-23,44.7878
2022-12-22,44.8500
2022-12-21,44.8174
2022-12-20,44.5933
2022-12-19,44.7811
2022-12-16,44.9605
2022-12-15,44.8376
2022-12-14,44.8933
2022-12-13,45.0370
2022-12-12,44.5892
2022-12-09,44.5954
2022-12-08,44.6519
2022-12-07,44.4831
2022-12-06,44.8011
2022-12-05,44.8966
2022-12-02,44.6464
2022-12-01,44.7169
2022-11-30,44.0943
2022-11-29,44.0961
2022-11-28,44.1591
2022-11-25,44.1854
2022-11-23,44.2066
2022-11-22,44.0885
2022-11-21,44.1716
2022-11-18,44.2856
2022-11-17,44.0720
2022-11-16,44.2757
2022-11-15,44.3540
2022-11-14,44.0354
2022-11-11,43.9247
2022-11-10,43.7920
2022-11-09,43.4515
2022-11-08,43.0829
2022-11-07,43.0102
2022-11-04,42.7276
2022-11-03,42.7104
2022-11-02,42.9066
2022-11-01,42.9125
2022-10-31,43.0974
