,SMA
2024-06-04,392.7722
2024-06-03,391.8509
2024-05-31,390.9960
2024-05-30,390.1960
2024-05-29,389.3410
2024-05-28,388.4789
2024-05-24,387.6341
2024-05-23,386.8587
2024-05-22,386.0646
2024-05-21,385.2898
2024-05-20,384.5273
2024-05-17,383.7255
2024-05-16,382.9597
2024-05-15,382.1707
2024-05-14,381.4125
2024-05-13,380.6783
2024-05-10,379.9384
2024-05-09,379.0573
2024-05-08,378.1817
2024-05-07,377.3415
2024-05-06,376.5313
2024-05-03,375.8192
2024-05-02,375.1531
2024-05-01,374.5116
2024-04-30,373.9046
2024-04-29,373.3067
2024-04-26,372.6753
2024-04-25,371.9751
2024-04-24,371.3360
2024-04-23,370.2719
2024-04-22,369.2750
2024-04-19,368.3043
2024-04-18,367.2270
2024-04-17,366.1599
2024-04-16,365.0666
2024-04-15,363.9971
2024-04-12,362.8361
2024-04-11,361.6558
2024-04-10,360.4923
2024-04-09,359.3519
2024-04-08,358.1346
2024-04-05,356.9044
2024-04-04,355.7122
2024-04-03,354.5524
2024-04-02,353.4178
2024-04-01,352.3503
2024-03-28,351.2872
2024-03-27,350.1574
2024-03-26,348.9719
2024-03-25,347.7480
2024-03-22,346.5759
2024-03-21,345.3902
2024-03-20,344.1667
2024-03-19,343.0310
2024-03-18,341.9183
2024-03-15,340.7573
2024-03-14,339.6371
2024-03-13,338.3991
2024-03-12,337.1878
2024-03-11,335.9466
2024-03-08,334.6943
2024-03-07,333.3491
2024-03-06,332.0687
2024-03-05,330.7858
2024-03-04,329.5018
2024-03-01,328.1645
2024-02-29,326.8873
2024-02-28,325.6275
2024-02-27,324.3665
2024-02-26,323.1462
2024-02-23,321.8849
2024-02-22,320.6005
2024-02-21,319.3593
2024-02-20,318.2058
2024-02-16,317.0558
2024-02-15,315.8824
2024-02-14,314.7004
2024-02-13,313.5570
2024-02-12,312.4732
2024-02-09,311.1962
2024-02-08,309.8869
2024-02-07,308.6150
2024-02-06,307.3774
2024-02-05,306.1261
2024-02-02,304.8455
2024-02-01,303.6483
2024-01-31,302.7785
2024-01-30,301.9238
2024-01-29,300.9855
2024-01-26,300.0857
2024-01-25,299.1923
2024-01-24,298.3159
2024-01-23,297.4131
2024-01-22,296.5617
2024-01-19,295.6899
2024-01-18,294.8400
2024-01-17,294.0196
2024-01-16,293.2059
2024-01-12,292.3563
2024-01-11,291.5072
2024-01-10,290.6715
2024-01-09,289.8974
2024-01-08,289.1304
2024-01-05,288.3702
2024-01-04,287.6520
2024-01-03,286.9227
2024-01-02,286.2014
2023-12-29,285.4369
2023-12-28,284.6076
2023-12-27,283.7479
2023-12-26,282.8583
2023-12-22,281.9893
2023-12-21,281.1441
2023-12-20,280.2944
2023-12-19,279.4970
2023-12-18,278.7100
2023-12-15,277.9180
2023-12-14,277.1208
2023-12-13,276.3254
2023-12-12,275.5161
2023-12-11,274.7533
2023-12-08,273.9503
2023-12-07,273.1957
2023-12-06,272.4630
2023-12-05,271.7257
2023-12-04,270.9827
2023-12-01,270.2607
2023-11-30,269.5162
2023-11-29,268.7434
2023-11-28,267.9369
2023-11-27,267.1525
2023-11-24,266.4030
2023-11-22,265.6532
2023-11-21,264.8858
2023-11-20,264.1276
2023-11-17,263.3713
2023-11-16,262.6377
2023-11-15,261.7320
2023-11-14,260.7831
2023-11-13,259.8584
2023-11-10,258.9695
2023-11-09,258.0928
2023-11-08,257.2027
2023-11-07,256.3214
2023-11-06,255.4335
2023-11-03,254.5340
2023-11-02,253.6347
2023-11-01,252.7282
2023-10-31,251.9007
2023-10-30,251.0599
2023-10-27,250.2325
2023-10-26,249.4158
2023-10-25,248.5781
2023-10-24,247.6848
2023-10-23,246.7468
2023-10-20,245.8309
2023-10-19,244.8981
2023-10-18,243.9138
2023-10-17,242.8988
2023-10-16,241.8910
2023-10-13,240.8801
2023-10-12,239.8532
2023-10-11,238.7945
