,SMA
2024-06-04,84.1674
2024-06-03,84.0772
2024-05-31,83.9784
2024-05-30,83.8982
2024-05-29,83.8263
2024-05-28,83.7525
2024-05-24,83.6709
2024-05-23,83.5874
2024-05-22,83.5024
2024-05-21,83.4167
2024-05-20,83.3261
2024-05-17,83.2376
2024-05-16,83.1531
2024-05-15,83.0940
2024-05-14,83.0440
2024-05-13,82.9952
2024-05-10,82.9454
2024-05-09,82.8953
2024-05-08,82.8483
2024-05-07,82.7928
2024-05-06,82.7298
2024-05-03,82.6603
2024-05-02,82.5871
2024-05-01,82.5071
2024-04-30,82.4276
2024-04-29,82.3632
2024-04-26,82.3153
2024-04-25,82.2748
2024-04-24,82.2150
2024-04-23,82.1436
2024-04-22,82.0667
2024-04-19,81.9991
2024-04-18,81.9492
2024-04-17,81.8961
2024-04-16,81.8406
2024-04-15,81.7814
2024-04-12,81.7177
2024-04-11,81.6567
2024-04-10,81.5957
2024-04-09,81.5531
2024-04-08,81.5009
2024-04-05,81.4547
2024-04-04,81.4167
2024-04-03,81.3645
2024-04-02,81.3086
2024-04-01,81.2589
2024-03-28,81.2117
2024-03-27,81.1747
2024-03-26,81.1459
2024-03-25,81.1130
2024-03-22,81.0640
2024-03-21,81.0053
2024-03-20,80.9555
2024-03-19,80.8998
2024-03-18,80.8304
2024-03-15,80.7723
2024-03-14,80.7284
2024-03-13,80.6834
2024-03-12,80.6517
2024-03-11,80.6335
2024-03-08,80.6465
2024-03-07,80.6502
2024-03-06,80.6612
2024-03-05,80.6631
2024-03-04,80.6668
2024-03-01,80.6791
2024-02-29,80.6877
2024-02-28,80.7009
2024-02-27,80.7114
2024-02-26,80.7253
2024-02-23,80.7389
2024-02-22,80.7598
2024-02-21,80.7811
2024-02-20,80.8012
2024-02-16,80.8273
2024-02-15,80.8580
2024-02-14,80.8936
2024-02-13,80.9251
2024-02-12,80.9466
2024-02-09,80.9724
2024-02-08,81.0045
2024-02-07,81.0302
2024-02-06,81.0538
2024-02-05,81.0870
2024-02-02,81.1149
2024-02-01,81.1445
2024-01-31,81.1736
2024-01-30,81.1957
2024-01-29,81.2123
2024-01-26,81.2302
2024-01-25,81.2418
2024-01-24,81.2554
2024-01-23,81.2603
2024-01-22,81.2477
2024-01-19,81.2137
2024-01-18,81.1879
2024-01-17,81.1573
2024-01-16,81.1255
2024-01-12,81.0867
2024-01-11,81.0358
2024-01-10,80.9921
2024-01-09,80.9381
2024-01-08,80.8925
2024-01-05,80.8572
2024-01-04,80.8266
2024-01-03,80.7885
2024-01-02,80.7492
2023-12-29,80.7024
2023-12-28,80.6502
2023-12-27,80.6143
2023-12-26,80.5775
2023-12-22,80.5550
2023-12-21,80.5427
2023-12-20,80.5363
