,SMA
2024-06-04,101.1699
2024-06-03,100.9266
2024-05-31,100.7051
2024-05-30,100.4383
2024-05-29,100.1909
2024-05-28,99.9363
2024-05-24,99.6425
2024-05-23,99.3220
2024-05-22,99.0288
2024-05-21,98.8469
2024-05-20,98.6940
2024-05-17,98.5723
2024-05-16,98.4727
2024-05-15,98.4089
2024-05-14,98.3650
2024-05-13,98.3262
2024-05-10,98.3363
2024-05-09,98.3419
2024-05-08,98.3421
2024-05-07,98.3742
2024-05-06,98.3886
2024-05-03,98.3865
2024-05-02,98.3789
2024-05-01,98.4176
2024-04-30,98.4651
2024-04-29,98.5352
2024-04-26,98.6239
2024-04-25,98.7153
2024-04-24,98.7953
2024-04-23,98.8344
2024-04-22,98.9022
2024-04-19,99.0008
2024-04-18,99.1034
2024-04-17,99.1995
2024-04-16,99.2895
2024-04-15,99.3916
2024-04-12,99.4725
2024-04-11,99.5447
2024-04-10,99.6129
2024-04-09,99.6732
2024-04-08,99.7487
2024-04-05,99.8548
2024-04-04,99.9850
2024-04-03,100.1263
2024-04-02,100.2413
2024-04-01,100.3582
2024-03-28,100.4430
2024-03-27,100.5043
2024-03-26,100.5799
2024-03-25,100.6479
2024-03-22,100.7509
2024-03-21,100.8753
2024-03-20,101.0078
2024-03-19,101.1395
2024-03-18,101.2622
2024-03-15,101.3817
2024-03-14,101.4982
2024-03-13,101.6100
2024-03-12,101.7078
2024-03-11,101.8538
2024-03-08,101.9690
2024-03-07,102.1042
2024-03-06,102.2396
2024-03-05,102.3873
2024-03-04,102.5353
2024-03-01,102.7089
2024-02-29,102.8898
2024-02-28,103.0484
2024-02-27,103.2282
2024-02-26,103.4295
2024-02-23,103.6185
2024-02-22,103.8017
2024-02-21,104.0156
2024-02-20,104.2545
2024-02-16,104.4703
2024-02-15,104.6858
2024-02-14,104.9151
2024-02-13,105.1351
2024-02-12,105.3555
2024-02-09,105.5925
2024-02-08,105.8164
2024-02-07,106.0257
2024-02-06,106.2300
2024-02-05,106.4588
2024-02-02,106.6831
2024-02-01,106.9162
2024-01-31,107.1947
2024-01-30,107.4821
2024-01-29,107.7476
2024-01-26,108.0204
2024-01-25,108.2648
2024-01-24,108.5560
2024-01-23,108.8150
2024-01-22,109.0914
2024-01-19,109.3862
2024-01-18,109.6616
2024-01-17,109.9041
2024-01-16,110.1636
2024-01-12,110.3871
2024-01-11,110.5920
2024-01-10,110.7979
2024-01-09,110.9966
2024-01-08,111.1768
2024-01-05,111.3860
2024-01-04,111.6199
2024-01-03,111.8249
2024-01-02,112.0219
2023-12-29,112.2709
2023-12-28,112.5222
2023-12-27,112.7591
2023-12-26,112.9592
2023-12-22,113.1626
2023-12-21,113.4128
2023-12-20,113.6769
2023-12-19,113.9511
2023-12-18,114.2356
2023-12-15,114.4996
2023-12-14,114.7413
2023-12-13,114.9909
2023-12-12,115.3022
2023-12-11,115.5936
2023-12-08,115.8966
2023-12-07,116.2694
2023-12-06,116.6687
2023-12-05,117.1001
2023-12-04,117.5236
2023-12-01,117.9912
2023-11-30,118.4741
2023-11-29,118.9304
2023-11-28,119.3793
2023-11-27,119.8127
2023-11-24,120.2561
2023-11-22,120.7094
2023-11-21,121.1704
2023-11-20,121.6449
2023-11-17,122.1246
2023-11-16,122.6059
2023-11-15,123.0986
2023-11-14,123.6088
2023-11-13,124.1769
2023-11-10,124.7885
2023-11-09,125.4126
2023-11-08,126.0256
2023-11-07,126.6365
2023-11-06,127.2384
2023-11-03,127.8012
2023-11-02,128.4168
2023-11-01,129.0967
2023-10-31,129.6601
2023-10-30,130.2209
2023-10-27,130.7942
2023-10-26,131.3576
2023-10-25,131.8874
2023-10-24,132.4037
2023-10-23,132.8844
2023-10-20,133.3627
2023-10-19,133.8641
2023-10-18,134.3393
2023-10-17,134.7927
2023-10-16,135.2317
2023-10-13,135.6552
2023-10-12,136.1547
2023-10-11,136.6782
2023-10-10,137.2025
2023-10-09,137.7020
2023-10-06,138.1333
2023-10-05,138.6252
2023-10-04,139.1385
2023-10-03,139.6535
2023-10-02,140.1193
2023-09-29,140.5403
2023-09-28,140.9131
2023-09-27,141.3434
2023-09-26,141.7452
2023-09-25,142.1139
2023-09-22,142.4914
2023-09-21,142.8925
2023-09-20,143.2761
2023-09-19,143.6099
2023-09-18,143.9660
2023-09-15,144.2757
2023-09-14,144.5962
2023-09-13,144.9283
2023-09-12,145.2493
2023-09-11,145.6029
2023-09-08,145.9674
2023-09-07,146.3493
2023-09-06,146.7179
2023-09-05,147.0914
2023-09-01,147.4311
2023-08-31,147.7064
2023-08-30,147.9657
2023-08-29,148.2074
