,ADX
2024-06-04,11.1948
2024-06-03,11.2027
2024-05-31,11.2106
2024-05-30,11.2186
2024-05-29,11.2184
2024-05-28,11.2083
2024-05-24,11.1973
2024-05-23,11.1862
2024-05-22,11.1742
2024-05-21,11.1607
2024-05-20,11.1471
2024-05-17,11.1375
2024-05-16,11.1304
2024-05-15,11.1213
2024-05-14,11.1133
2024-05-13,11.1099
2024-05-10,11.1065
2024-05-09,11.1052
2024-05-08,11.1056
2024-05-07,11.1063
2024-05-06,11.1051
2024-05-03,11.1043
2024-05-02,11.1081
2024-05-01,11.1169
2024-04-30,11.1257
2024-04-29,11.1346
2024-04-26,11.1351
2024-04-25,11.1300
2024-04-24,11.1339
2024-04-23,11.1212
2024-04-22,11.1115
2024-04-19,11.1054
2024-04-18,11.0975
2024-04-17,11.0839
2024-04-16,11.0643
2024-04-15,11.0415
2024-04-12,11.0185
2024-04-11,10.9895
2024-04-10,10.9579
2024-04-09,10.9297
2024-04-08,10.8996
2024-04-05,10.8677
2024-04-04,10.8362
2024-04-03,10.8045
2024-04-02,10.7763
2024-04-01,10.7485
2024-03-28,10.7165
2024-03-27,10.6883
2024-03-26,10.6600
2024-03-25,10.6294
2024-03-22,10.5984
2024-03-21,10.5630
2024-03-20,10.5265
2024-03-19,10.4930
2024-03-18,10.4621
2024-03-15,10.4317
2024-03-14,10.4012
2024-03-13,10.3657
2024-03-12,10.3364
2024-03-11,10.3087
2024-03-08,10.2877
2024-03-07,10.2637
2024-03-06,10.2401
2024-03-05,10.2195
2024-03-04,10.1967
2024-03-01,10.1628
2024-02-29,10.1297
2024-02-28,10.0975
2024-02-27,10.0686
2024-02-26,10.0402
2024-02-23,10.0083
2024-02-22,9.9748
2024-02-21,9.9431
2024-02-20,9.9186
2024-02-16,9.8932
2024-02-15,9.8625
2024-02-14,9.8308
2024-02-13,9.7988
2024-02-12,9.7669
2024-02-09,9.7239
2024-02-08,9.6804
2024-02-07,9.6402
2024-02-06,9.6006
2024-02-05,9.5652
2024-02-02,9.5286
2024-02-01,9.4918
2024-01-31,9.4580
2024-01-30,9.4240
2024-01-29,9.3809
2024-01-26,9.3398
2024-01-25,9.3010
2024-01-24,9.2619
2024-01-23,9.2236
2024-01-22,9.1894
2024-01-19,9.1550
2024-01-18,9.1218
2024-01-17,9.0917
