,EMA
2024-06-04,382.8637
2024-06-03,382.5666
2024-05-31,382.2354
2024-05-30,381.8885
2024-05-29,381.4622
2024-05-28,381.0177
2024-05-24,380.5292
2024-05-23,380.0602
2024-05-22,379.5284
2024-05-21,379.0203
2024-05-20,378.5398
2024-05-17,378.1210
2024-05-16,377.6746
2024-05-15,377.2312
2024-05-14,376.8224
2024-05-13,376.4760
2024-05-10,376.0660
2024-05-09,375.7028
2024-05-08,375.3597
2024-05-07,375.0372
2024-05-06,374.6464
2024-05-03,374.3108
2024-05-02,374.0368
2024-05-01,373.8065
2024-04-30,373.6245
2024-04-29,373.3516
2024-04-26,373.0382
2024-04-25,372.6522
2024-04-24,372.4444
2024-04-23,372.0787
2024-04-22,371.7627
2024-04-19,371.4852
2024-04-18,371.1653
2024-04-17,370.7760
2024-04-16,370.3163
2024-04-15,369.8789
2024-04-12,369.3164
2024-04-11,368.7739
2024-04-10,368.2081
2024-04-09,367.6731
2024-04-08,367.0901
2024-04-05,366.5139
2024-04-04,365.9837
2024-04-03,365.3983
2024-04-02,364.8597
2024-04-01,364.3119
2024-03-28,363.7200
2024-03-27,363.1523
2024-03-26,362.5439
2024-03-25,361.9176
2024-03-22,361.2887
2024-03-21,360.6088
2024-03-20,359.9208
2024-03-19,359.3044
2024-03-18,358.7236
2024-03-15,358.1729
2024-03-14,357.5661
2024-03-13,356.9437
2024-03-12,356.3365
2024-03-11,355.8284
2024-03-08,355.3538
2024-03-07,354.8324
2024-03-06,354.3241
2024-03-05,353.8424
2024-03-04,353.2456
2024-03-01,352.6480
2024-02-29,352.0661
2024-02-28,351.5048
2024-02-27,350.9425
2024-02-26,350.3764
2024-02-23,349.7699
2024-02-22,349.1150
2024-02-21,348.5084
2024-02-20,347.9963
2024-02-16,347.4483
2024-02-15,346.8474
2024-02-14,346.2387
2024-02-13,345.6245
2024-02-12,345.0430
2024-02-09,344.2993
2024-02-08,343.6012
2024-02-07,342.9081
2024-02-06,342.2743
2024-02-05,341.6497
2024-02-02,340.9786
2024-02-01,340.3617
2024-01-31,339.7584
2024-01-30,339.0977
2024-01-29,338.3773
2024-01-26,337.7118
2024-01-25,337.0564
2024-01-24,336.3950
2024-01-23,335.7548
2024-01-22,335.1661
2024-01-19,334.5288
2024-01-18,333.9277
2024-01-17,333.3610
2024-01-16,332.8261
2024-01-12,332.2289
2024-01-11,331.7076
2024-01-10,331.1759
2024-01-09,330.7353
2024-01-08,330.3339
2024-01-05,329.9556
2024-01-04,329.5768
2024-01-03,329.1773
2024-01-02,328.7903
2023-12-29,328.3508
2023-12-28,327.8855
2023-12-27,327.4218
2023-12-26,326.9703
2023-12-22,326.5012
2023-12-21,326.0405
2023-12-20,325.5864
2023-12-19,325.1034
2023-12-18,324.6506
2023-12-15,324.2137
2023-12-14,323.7984
2023-12-13,323.3143
2023-12-12,322.7982
2023-12-11,322.3287
2023-12-08,321.8781
2023-12-07,321.4159
2023-12-06,320.9587
2023-12-05,320.4437
2023-12-04,319.9946
2023-12-01,319.5144
2023-11-30,318.9527
2023-11-29,318.3680
2023-11-28,317.7246
2023-11-27,317.1290
2023-11-24,316.5431
2023-11-22,315.9458
2023-11-21,315.3358
2023-11-20,314.7430
2023-11-17,314.1888
2023-11-16,313.6051
2023-11-15,313.0421
2023-11-14,312.4702
2023-11-13,311.9028
2023-11-10,311.3576
2023-11-09,310.8741
2023-11-08,310.3777
2023-11-07,309.8825
2023-11-06,309.4051
2023-11-03,308.9824
2023-11-02,308.5936
2023-11-01,308.2247
2023-10-31,307.9267
2023-10-30,307.6350
2023-10-27,307.3948
2023-10-26,307.1819
2023-10-25,306.8659
2023-10-24,306.5019
2023-10-23,306.2713
2023-10-20,306.0967
2023-10-19,305.8579
2023-10-18,305.6124
