,SMA
2024-06-04,378.6561
2024-06-03,378.1876
2024-05-31,377.7050
2024-05-30,377.2238
2024-05-29,376.6968
2024-05-28,376.1573
2024-05-24,375.6267
2024-05-23,375.1105
2024-05-22,374.5678
2024-05-21,374.0465
2024-05-20,373.5590
2024-05-17,373.0754
2024-05-16,372.6179
2024-05-15,372.1720
2024-05-14,371.7541
2024-05-13,371.3531
2024-05-10,370.9560
2024-05-09,370.5890
2024-05-08,370.2619
2024-05-07,369.9406
2024-05-06,369.6032
2024-05-03,369.3173
2024-05-02,369.1042
2024-05-01,368.8352
2024-04-30,368.5907
2024-04-29,368.3113
2024-04-26,367.9734
2024-04-25,367.5862
2024-04-24,367.2620
2024-04-23,366.8780
2024-04-22,366.5439
2024-04-19,366.2205
2024-04-18,365.8664
2024-04-17,365.4998
2024-04-16,365.0929
2024-04-15,364.6844
2024-04-12,364.2155
2024-04-11,363.7455
2024-04-10,363.2759
2024-04-09,362.8276
2024-04-08,362.3569
2024-04-05,361.9037
2024-04-04,361.4908
2024-04-03,361.1126
2024-04-02,360.6921
2024-04-01,360.2540
2024-03-28,359.7975
2024-03-27,359.3266
2024-03-26,358.8206
2024-03-25,358.3035
2024-03-22,357.8265
2024-03-21,357.3455
2024-03-20,356.8633
2024-03-19,356.4154
2024-03-18,355.9470
2024-03-15,355.5280
2024-03-14,355.0985
2024-03-13,354.6086
2024-03-12,354.1256
2024-03-11,353.6526
2024-03-08,353.2251
2024-03-07,352.7697
2024-03-06,352.3141
2024-03-05,351.8634
2024-03-04,351.3466
2024-03-01,350.8169
2024-02-29,350.2945
2024-02-28,349.7923
2024-02-27,349.2903
2024-02-26,348.7818
2024-02-23,348.2530
2024-02-22,347.7137
2024-02-21,347.1799
2024-02-20,346.6987
2024-02-16,346.2040
2024-02-15,345.6914
2024-02-14,345.1741
2024-02-13,344.6424
2024-02-12,344.0902
2024-02-09,343.4639
2024-02-08,342.7789
2024-02-07,342.1126
2024-02-06,341.4937
2024-02-05,340.8838
2024-02-02,340.2575
2024-02-01,339.6892
2024-01-31,339.1226
2024-01-30,338.5160
2024-01-29,337.8660
2024-01-26,337.2529
2024-01-25,336.6530
2024-01-24,336.0705
2024-01-23,335.4721
2024-01-22,334.9156
2024-01-19,334.3447
2024-01-18,333.7914
2024-01-17,333.2445
2024-01-16,332.7187
2024-01-12,332.1386
2024-01-11,331.5834
2024-01-10,331.0490
2024-01-09,330.5464
2024-01-08,330.0691
2024-01-05,329.5827
2024-01-04,329.1054
2024-01-03,328.6299
2024-01-02,328.1691
2023-12-29,327.6195
2023-12-28,327.0333
2023-12-27,326.4343
2023-12-26,325.7974
2023-12-22,325.1721
2023-12-21,324.5769
2023-12-20,323.9785
2023-12-19,323.3791
2023-12-18,322.7978
2023-12-15,322.2057
2023-12-14,321.5986
2023-12-13,320.9802
2023-12-12,320.3400
2023-12-11,319.7422
2023-12-08,319.1439
2023-12-07,318.5698
2023-12-06,317.9931
2023-12-05,317.3920
2023-12-04,316.8505
2023-12-01,316.3187
2023-11-30,315.7701
2023-11-29,315.2309
2023-11-28,314.6407
2023-11-27,314.0472
2023-11-24,313.5222
2023-11-22,312.9914
2023-11-21,312.3948
2023-11-20,311.7945
2023-11-17,311.2267
2023-11-16,310.6435
2023-11-15,310.0200
2023-11-14,309.3725
2023-11-13,308.7353
2023-11-10,308.1341
2023-11-09,307.5400
2023-11-08,306.8966
2023-11-07,306.2959
2023-11-06,305.6996
2023-11-03,305.1020
2023-11-02,304.5181
2023-11-01,303.9846
2023-10-31,303.4703
2023-10-30,302.9559
2023-10-27,302.4600
2023-10-26,301.9593
2023-10-25,301.3909
2023-10-24,300.7937
2023-10-23,300.2477
2023-10-20,299.7515
2023-10-19,299.2492
2023-10-18,298.7981
2023-10-17,298.3214
2023-10-16,297.8463
2023-10-13,297.3702
2023-10-12,296.8964
2023-10-11,296.4188
2023-10-10,295.9634
2023-10-09,295.5114
2023-10-06,295.0790
2023-10-05,294.7143
2023-10-04,294.3552
2023-10-03,294.0468
2023-10-02,293.7214
2023-09-29,293.4412
2023-09-28,293.0833
2023-09-27,292.7454
2023-09-26,292.4017
2023-09-25,292.0439
2023-09-22,291.7085
2023-09-21,291.3554
2023-09-20,291.0017
2023-09-19,290.6171
2023-09-18,290.1834
2023-09-15,289.7456
2023-09-14,289.2857
2023-09-13,288.8207
2023-09-12,288.3839
2023-09-11,287.9171
2023-09-08,287.4326
2023-09-07,286.9939
2023-09-06,286.5210
2023-09-05,286.0624
2023-09-01,285.6363
2023-08-31,285.1807
2023-08-30,284.7405
2023-08-29,284.2657
2023-08-28,283.7850
2023-08-25,283.2921
2023-08-24,282.7869
2023-08-23,282.2033
2023-08-22,281.6771
2023-08-21,281.1887
2023-08-18,280.7632
2023-08-17,280.3507
2023-08-16,279.8711
2023-08-15,279.4138
2023-08-14,278.9496
2023-08-11,278.5727
