,SMA
2024-06-04,60.9450
2024-06-03,60.8834
2024-05-31,60.8142
2024-05-30,60.7557
2024-05-29,60.7077
2024-05-28,60.6574
2024-05-24,60.6128
2024-05-23,60.5717
2024-05-22,60.5257
2024-05-21,60.4831
2024-05-20,60.4482
2024-05-17,60.4160
2024-05-16,60.3834
2024-05-15,60.3560
2024-05-14,60.3345
2024-05-13,60.3198
2024-05-10,60.3100
2024-05-09,60.3012
2024-05-08,60.3059
2024-05-07,60.3176
2024-05-06,60.3223
2024-05-03,60.3223
2024-05-02,60.3259
2024-05-01,60.3366
2024-04-30,60.3581
2024-04-29,60.3821
2024-04-26,60.4056
2024-04-25,60.4234
2024-04-24,60.4429
2024-04-23,60.4636
2024-04-22,60.4911
2024-04-19,60.5304
2024-04-18,60.5701
2024-04-17,60.6111
2024-04-16,60.6555
2024-04-15,60.6975
2024-04-12,60.7404
2024-04-11,60.7834
2024-04-10,60.8215
2024-04-09,60.8711
2024-04-08,60.9163
2024-04-05,60.9586
2024-04-04,61.0120
2024-04-03,61.0597
2024-04-02,61.1058
2024-04-01,61.1547
2024-03-28,61.1955
2024-03-27,61.2400
2024-03-26,61.2941
2024-03-25,61.3441
2024-03-22,61.3931
2024-03-21,61.4418
2024-03-20,61.4923
2024-03-19,61.5411
2024-03-18,61.5953
2024-03-15,61.6491
2024-03-14,61.7155
2024-03-13,61.7759
2024-03-12,61.8402
2024-03-11,61.9110
2024-03-08,61.9820
2024-03-07,62.0611
2024-03-06,62.1465
2024-03-05,62.2286
2024-03-04,62.3223
2024-03-01,62.4236
2024-02-29,62.5271
2024-02-28,62.6219
2024-02-27,62.7159
2024-02-26,62.8073
2024-02-23,62.8968
2024-02-22,62.9812
2024-02-21,63.0660
2024-02-20,63.1485
2024-02-16,63.2366
2024-02-15,63.3261
2024-02-14,63.4174
2024-02-13,63.5081
2024-02-12,63.5862
2024-02-09,63.6776
2024-02-08,63.7766
2024-02-07,63.8771
2024-02-06,63.9827
2024-02-05,64.0863
2024-02-02,64.1812
2024-02-01,64.2707
2024-01-31,64.3600
2024-01-30,64.4438
2024-01-29,64.5288
2024-01-26,64.6201
2024-01-25,64.7107
