,SMA
2024-06-04,6.9548
2024-06-03,6.9878
2024-05-31,7.0160
2024-05-30,7.0510
2024-05-29,7.0882
2024-05-28,7.1280
2024-05-24,7.1712
2024-05-23,7.2168
2024-05-22,7.2610
2024-05-21,7.3098
2024-05-20,7.3631
2024-05-17,7.4103
2024-05-16,7.4529
2024-05-15,7.5003
2024-05-14,7.5459
2024-05-13,7.5874
2024-05-10,7.6307
2024-05-09,7.6663
2024-05-08,7.7011
2024-05-07,7.7294
2024-05-06,7.7542
2024-05-03,7.7778
2024-05-02,7.8031
2024-05-01,7.8287
2024-04-30,7.8564
2024-04-29,7.8862
2024-04-26,7.9191
2024-04-25,7.9520
2024-04-24,7.9866
2024-04-23,8.0157
2024-04-22,8.0445
2024-04-19,8.0759
2024-04-18,8.1067
2024-04-17,8.1379
2024-04-16,8.1668
2024-04-15,8.1950
2024-04-12,8.2211
2024-04-11,8.2429
2024-04-10,8.2626
2024-04-09,8.2828
2024-04-08,8.3058
2024-04-05,8.3314
2024-04-04,8.3548
2024-04-03,8.3828
2024-04-02,8.4060
2024-04-01,8.4290
2024-03-28,8.4495
2024-03-27,8.4665
2024-03-26,8.4826
2024-03-25,8.4971
2024-03-22,8.5115
2024-03-21,8.5251
2024-03-20,8.5381
2024-03-19,8.5518
2024-03-18,8.5605
2024-03-15,8.5686
2024-03-14,8.5790
2024-03-13,8.5886
2024-03-12,8.5975
2024-03-11,8.6073
2024-03-08,8.6209
2024-03-07,8.6332
2024-03-06,8.6444
2024-03-05,8.6571
2024-03-04,8.6704
2024-03-01,8.6830
2024-02-29,8.6946
2024-02-28,8.7082
2024-02-27,8.7209
2024-02-26,8.7328
2024-02-23,8.7448
2024-02-22,8.7578
2024-02-21,8.7686
2024-02-20,8.7773
2024-02-16,8.7848
2024-02-15,8.7918
2024-02-14,8.8007
2024-02-13,8.8107
2024-02-12,8.8199
2024-02-09,8.8308
2024-02-08,8.8424
2024-02-07,8.8552
2024-02-06,8.8677
2024-02-05,8.8820
2024-02-02,8.9004
2024-02-01,8.9215
2024-01-31,8.9405
2024-01-30,8.9574
2024-01-29,8.9734
2024-01-26,8.9908
2024-01-25,9.0068
2024-01-24,9.0215
2024-01-23,9.0337
2024-01-22,9.0477
2024-01-19,9.0666
2024-01-18,9.0879
2024-01-17,9.1069
2024-01-16,9.1259
2024-01-12,9.1372
2024-01-11,9.1466
2024-01-10,9.1539
2024-01-09,9.1624
2024-01-08,9.1701
2024-01-05,9.1783
2024-01-04,9.1823
2024-01-03,9.1812
2024-01-02,9.1833
2023-12-29,9.1793
2023-12-28,9.1732
2023-12-27,9.1699
2023-12-26,9.1654
2023-12-22,9.1654
2023-12-21,9.1700
2023-12-20,9.1735
2023-12-19,9.1763
2023-12-18,9.1813
2023-12-15,9.1832
2023-12-14,9.1856
2023-12-13,9.1949
2023-12-12,9.2050
2023-12-11,9.2147
2023-12-08,9.2248
2023-12-07,9.2400
2023-12-06,9.2508
2023-12-05,9.2628
2023-12-04,9.2753
2023-12-01,9.2919
2023-11-30,9.3067
2023-11-29,9.3214
2023-11-28,9.3373
2023-11-27,9.3525
2023-11-24,9.3708
2023-11-22,9.3876
2023-11-21,9.4047
2023-11-20,9.4213
2023-11-17,9.4412
2023-11-16,9.4648
2023-11-15,9.4881
2023-11-14,9.5094
2023-11-13,9.5348
2023-11-10,9.5591
2023-11-09,9.5832
2023-11-08,9.6014
2023-11-07,9.6342
2023-11-06,9.6512
2023-11-03,9.6637
2023-11-02,9.6780
2023-11-01,9.6969
2023-10-31,9.7169
2023-10-30,9.7374
2023-10-27,9.7571
2023-10-26,9.7749
2023-10-25,9.7923
2023-10-24,9.8064
2023-10-23,9.8189
2023-10-20,9.8334
2023-10-19,9.8456
2023-10-18,9.8579
2023-10-17,9.8644
2023-10-16,9.8723
2023-10-13,9.8805
2023-10-12,9.8912
2023-10-11,9.9029
2023-10-10,9.9154
2023-10-09,9.9290
2023-10-06,9.9398
2023-10-05,9.9556
2023-10-04,9.9729
2023-10-03,9.9920
2023-10-02,10.0115
2023-09-29,10.0325
2023-09-28,10.0485
2023-09-27,10.0725
2023-09-26,10.0956
2023-09-25,10.1169
2023-09-22,10.1416
2023-09-21,10.1678
2023-09-20,10.1859
2023-09-19,10.2038
2023-09-18,10.2128
2023-09-15,10.2142
2023-09-14,10.2118
2023-09-13,10.2124
2023-09-12,10.2129
2023-09-11,10.2111
2023-09-08,10.2103
2023-09-07,10.2132
2023-09-06,10.2136
2023-09-05,10.2159
2023-09-01,10.2218
2023-08-31,10.2285
2023-08-30,10.2288
2023-08-29,10.2281
2023-08-28,10.2266
2023-08-25,10.2248
2023-08-24,10.2330
2023-08-23,10.2332
2023-08-22,10.2264
2023-08-21,10.2179
2023-08-18,10.2159
2023-08-17,10.2087
2023-08-16,10.1967
2023-08-15,10.1934
2023-08-14,10.1843
2023-08-11,10.1714
2023-08-10,10.1576
2023-08-09,10.1429
2023-08-08,10.1283
2023-08-07,10.1175
2023-08-04,10.1078
2023-08-03,10.0895
2023-08-02,10.0810
2023-08-01,10.0738
2023-07-31,10.0641
2023-07-28,10.0542
2023-07-27,10.0535
2023-07-26,10.0556
2023-07-25,10.0736
2023-07-24,10.0944
2023-07-21,10.1208
2023-07-20,10.1475
2023-07-19,10.1712
2023-07-18,10.2025
2023-07-17,10.2328
2023-07-14,10.2722
2023-07-13,10.3077
2023-07-12,10.3415
2023-07-11,10.3790
2023-07-10,10.4248
2023-07-07,10.4784
2023-07-06,10.5284
2023-07-05,10.5841
2023-07-03,10.6416
2023-06-30,10.6982
2023-06-29,10.7548
2023-06-28,10.8083
2023-06-27,10.8533
2023-06-26,10.8965
2023-06-23,10.9366
2023-06-22,10.9815
2023-06-21,11.0285
2023-06-20,11.0772
2023-06-16,11.1319
2023-06-15,11.1804
2023-06-14,11.2332
2023-06-13,11.2917
2023-06-12,11.3452
2023-06-09,11.3948
2023-06-08,11.4490
2023-06-07,11.5044
2023-06-06,11.5635
2023-06-05,11.6253
2023-06-02,11.6904
2023-06-01,11.7570
2023-05-31,11.8233
2023-05-30,11.8874
2023-05-26,11.9504
2023-05-25,12.0096
2023-05-24,12.0715
2023-05-23,12.1320
2023-05-22,12.1915
2023-05-19,12.2522
2023-05-18,12.3142
2023-05-17,12.3729
2023-05-16,12.4348
2023-05-15,12.4883
2023-05-12,12.5439
2023-05-11,12.5983
2023-05-10,12.6543
2023-05-09,12.7082
2023-05-08,12.7722
2023-05-05,12.8316
2023-05-04,12.8910
2023-05-03,12.9577
2023-05-02,13.0254
2023-05-01,13.0913
2023-04-28,13.1575
2023-04-27,13.2192
2023-04-26,13.2828
2023-04-25,13.3503
2023-04-24,13.4203
2023-04-21,13.4854
2023-04-20,13.5530
2023-04-19,13.6155
2023-04-18,13.6813
2023-04-17,13.7417
2023-04-14,13.7978
2023-04-13,13.8642
2023-04-12,13.9388
2023-04-11,14.0071
2023-04-10,14.0767
2023-04-06,14.1441
2023-04-05,14.2086
2023-04-04,14.2615
2023-04-03,14.3094
2023-03-31,14.3521
2023-03-30,14.3832
2023-03-29,14.4198
2023-03-28,14.4676
2023-03-27,14.5154
2023-03-24,14.5719
2023-03-23,14.6207
2023-03-22,14.6689
2023-03-21,14.7135
2023-03-20,14.7564
2023-03-17,14.8038
2023-03-16,14.8500
2023-03-15,14.8901
2023-03-14,14.9217
2023-03-13,14.9531
2023-03-10,14.9890
2023-03-09,15.0241
2023-03-08,15.0665
2023-03-07,15.1028
2023-03-06,15.1383
2023-03-03,15.1673
2023-03-02,15.1965
2023-03-01,15.2225
2023-02-28,15.2382
2023-02-27,15.2612
2023-02-24,15.2848
2023-02-23,15.3089
2023-02-22,15.3350
2023-02-21,15.3720
2023-02-17,15.4077
2023-02-16,15.4436
2023-02-15,15.4740
2023-02-14,15.5124
2023-02-13,15.5460
2023-02-10,15.5762
2023-02-09,15.6112
2023-02-08,15.6404
2023-02-07,15.6734
2023-02-06,15.7101
2023-02-03,15.7522
2023-02-02,15.7892
2023-02-01,15.8262
2023-01-31,15.8654
2023-01-30,15.9036
2023-01-27,15.9416
2023-01-26,15.9711
2023-01-25,16.0095
2023-01-24,16.0597
2023-01-23,16.0981
2023-01-20,16.1615
2023-01-19,16.2233
2023-01-18,16.2810
2023-01-17,16.3350
2023-01-13,16.3875
2023-01-12,16.4382
2023-01-11,16.4828
2023-01-10,16.5276
2023-01-09,16.5821
2023-01-06,16.6370
2023-01-05,16.6909
2023-01-04,16.7427
2023-01-03,16.7870
2022-12-30,16.8256
2022-12-29,16.8646
2022-12-28,16.8824
2022-12-27,16.9078
2022-12-23,16.9457
2022-12-22,16.9846
2022-12-21,17.0202
2022-12-20,17.0560
2022-12-19,17.0969
2022-12-16,17.1391
2022-12-15,17.1871
2022-12-14,17.2349
2022-12-13,17.2855
2022-12-12,17.3271
2022-12-09,17.3722
2022-12-08,17.3989
2022-12-07,17.4440
2022-12-06,17.4937
2022-12-05,17.5526
2022-12-02,17.6088
2022-12-01,17.6755
2022-11-30,17.7353
2022-11-29,17.7974
2022-11-28,17.8691
2022-11-25,17.9441
2022-11-23,18.0200
2022-11-22,18.0884
2022-11-21,18.1580
2022-11-18,18.2242
2022-11-17,18.2857
2022-11-16,18.3589
2022-11-15,18.4275
2022-11-14,18.4767
2022-11-11,18.5207
2022-11-10,18.5807
2022-11-09,18.6522
2022-11-08,18.7230
2022-11-07,18.7983
2022-11-04,18.8820
2022-11-03,18.9743
2022-11-02,19.0770
2022-11-01,19.1791
2022-10-31,19.2789
2022-10-28,19.3897
2022-10-27,19.4982
2022-10-26,19.5898
2022-10-25,19.6826
2022-10-24,19.7808
2022-10-21,19.8808
2022-10-20,19.9823
2022-10-19,20.0939
2022-10-18,20.2025
2022-10-17,20.2973
2022-10-14,20.3758
2022-10-13,20.4586
2022-10-12,20.5463
2022-10-11,20.6336
2022-10-10,20.7160
2022-10-07,20.7955
2022-10-06,20.8677
2022-10-05,20.9349
2022-10-04,21.0001
2022-10-03,21.0745
2022-09-30,21.1527
2022-09-29,21.2378
2022-09-28,21.3221
2022-09-27,21.4076
2022-09-26,21.4911
2022-09-23,21.5713
2022-09-22,21.6535
2022-09-21,21.7227
2022-09-20,21.7950
2022-09-19,21.8857
2022-09-16,21.9890
2022-09-15,22.0853
2022-09-14,22.1820
2022-09-13,22.2717
2022-09-12,22.3754
2022-09-09,22.4824
2022-09-08,22.5925
2022-09-07,22.6986
2022-09-06,22.8109
2022-09-02,22.9258
2022-09-01,23.0381
2022-08-31,23.1547
2022-08-30,23.2676
2022-08-29,23.3728
2022-08-26,23.4789
2022-08-25,23.5925
2022-08-24,23.7086
2022-08-23,23.8362
2022-08-22,23.9565
2022-08-19,24.0720
2022-08-18,24.1763
2022-08-17,24.2667
2022-08-16,24.3646
2022-08-15,24.4565
2022-08-12,24.5584
2022-08-11,24.6636
2022-08-10,24.7586
2022-08-09,24.8605
2022-08-08,24.9569
2022-08-05,25.0555
2022-08-04,25.1542
2022-08-03,25.2397
2022-08-02,25.3231
2022-08-01,25.4057
2022-07-29,25.4837
2022-07-28,25.5681
2022-07-27,25.6527
2022-07-26,25.7392
2022-07-25,25.8196
2022-07-22,25.8918
2022-07-21,25.9547
2022-07-20,26.0290
2022-07-19,26.1121
2022-07-18,26.1847
2022-07-15,26.2571
2022-07-14,26.3343
2022-07-13,26.4062
2022-07-12,26.4830
2022-07-11,26.5619
2022-07-08,26.6300
