,EMA
2024-06-04,687.2271
2024-06-03,687.5148
2024-05-31,687.7933
2024-05-30,688.1552
2024-05-29,688.1267
2024-05-28,687.7862
2024-05-24,687.2727
2024-05-23,686.6487
2024-05-22,685.6937
2024-05-21,684.7459
2024-05-20,683.8388
2024-05-17,683.0379
2024-05-16,682.2141
2024-05-15,681.3977
2024-05-14,680.9092
2024-05-13,680.4158
2024-05-10,679.8889
2024-05-09,679.4355
2024-05-08,679.0220
2024-05-07,678.6468
2024-05-06,678.1307
2024-05-03,677.7100
2024-05-02,677.3857
2024-05-01,677.2288
2024-04-30,677.0631
2024-04-29,676.6653
2024-04-26,676.1970
2024-04-25,675.7190
2024-04-24,675.3253
2024-04-23,674.5349
2024-04-22,674.0056
2024-04-19,673.5107
2024-04-18,672.9932
2024-04-17,672.3509
2024-04-16,671.6029
2024-04-15,670.9356
2024-04-12,669.9500
2024-04-11,669.0229
2024-04-10,668.0080
2024-04-09,666.9930
2024-04-08,665.7239
2024-04-05,664.5418
2024-04-04,663.5982
2024-04-03,662.5449
2024-04-02,661.6409
2024-04-01,660.7017
2024-03-28,659.6636
2024-03-27,658.6587
2024-03-26,657.4007
2024-03-25,656.1787
2024-03-22,655.0544
2024-03-21,653.8515
2024-03-20,652.5837
2024-03-19,651.4979
2024-03-18,650.5079
2024-03-15,649.5080
2024-03-14,648.3819
2024-03-13,646.9773
2024-03-12,645.4891
2024-03-11,644.2948
2024-03-08,643.2123
2024-03-07,641.9471
2024-03-06,640.8766
2024-03-05,639.7747
2024-03-04,638.5038
2024-03-01,637.1521
2024-02-29,635.7968
2024-02-28,634.4777
2024-02-27,633.1809
2024-02-26,631.6826
2024-02-23,630.2453
2024-02-22,628.7870
2024-02-21,627.3175
2024-02-20,626.2153
2024-02-16,624.9403
2024-02-15,623.4395
2024-02-14,621.7152
2024-02-13,620.0742
2024-02-12,618.6177
2024-02-09,616.6530
2024-02-08,614.7867
2024-02-07,613.0057
2024-02-06,611.2991
2024-02-05,609.5144
2024-02-02,607.7808
2024-02-01,606.1106
2024-01-31,604.4726
2024-01-30,602.7297
2024-01-29,600.8744
2024-01-26,599.1815
2024-01-25,597.4939
2024-01-24,595.6597
2024-01-23,593.8985
2024-01-22,592.3080
2024-01-19,590.6207
2024-01-18,589.0145
2024-01-17,587.4727
2024-01-16,586.0805
2024-01-12,584.6341
2024-01-11,583.2254
2024-01-10,581.8250
2024-01-09,580.5620
2024-01-08,579.4233
2024-01-05,578.3699
2024-01-04,577.4275
2024-01-03,576.4492
2024-01-02,575.4511
2023-12-29,574.2290
2023-12-28,572.8946
2023-12-27,571.5505
2023-12-26,570.2464
2023-12-22,568.9406
2023-12-21,567.5847
2023-12-20,566.2464
2023-12-19,564.8612
2023-12-18,563.4457
2023-12-15,562.0530
2023-12-14,560.9153
2023-12-13,559.4169
2023-12-12,557.8332
2023-12-11,556.3529
2023-12-08,554.9182
2023-12-07,553.5661
2023-12-06,552.2391
2023-12-05,550.8546
2023-12-04,549.5624
2023-12-01,548.2113
2023-11-30,546.8320
2023-11-29,545.4735
2023-11-28,544.2119
2023-11-27,542.9715
2023-11-24,541.6748
2023-11-22,540.3797
2023-11-21,539.0501
2023-11-20,537.7867
2023-11-17,536.6187
2023-11-16,535.4596
2023-11-15,534.3084
2023-11-14,533.1008
2023-11-13,531.9512
2023-11-10,530.9278
2023-11-09,530.0351
