,RSI
2024-06-05,51.4867
2024-06-04,50.8773
2024-06-03,50.9080
2024-05-31,50.7103
2024-05-30,51.7246
2024-05-29,52.5520
2024-05-28,53.0113
2024-05-24,53.2991
2024-05-23,54.2019
2024-05-22,54.1618
2024-05-21,54.0424
2024-05-20,53.7677
2024-05-17,53.8087
2024-05-16,53.7717
2024-05-15,52.9627
2024-05-14,52.9627
2024-05-13,53.0410
2024-05-10,52.8499
2024-05-09,52.7422
2024-05-08,52.6392
2024-05-07,53.0103
2024-05-06,52.7673
2024-05-03,52.5231
2024-05-02,52.1051
2024-05-01,52.1242
2024-04-30,52.7455
2024-04-29,52.9264
2024-04-26,52.9401
2024-04-25,52.7246
2024-04-24,53.8045
2024-04-23,53.1505
2024-04-22,53.0529
2024-04-19,53.1017
2024-04-18,53.4339
2024-04-17,53.7115
2024-04-16,53.4979
2024-04-15,54.3796
2024-04-12,54.2149
2024-04-11,54.4392
2024-04-10,54.4151
2024-04-09,55.1180
2024-04-08,54.8807
2024-04-05,54.2775
2024-04-04,54.5680
2024-04-03,54.1788
2024-04-02,54.2541
2024-04-01,54.5133
2024-03-28,54.4076
2024-03-27,55.1175
2024-03-26,55.0005
2024-03-25,54.7353
2024-03-22,54.9323
2024-03-21,55.0874
2024-03-20,54.6177
2024-03-19,54.3574
2024-03-18,54.3574
2024-03-15,54.6954
2024-03-14,55.4846
2024-03-13,55.6932
2024-03-12,54.9458
2024-03-11,54.6406
2024-03-08,55.1565
2024-03-07,54.6425
2024-03-06,54.7042
2024-03-05,55.1819
2024-03-04,55.3892
2024-03-01,55.3645
2024-02-29,55.2428
2024-02-28,55.1557
2024-02-27,55.7269
2024-02-26,55.5420
2024-02-23,55.5621
2024-02-22,55.5536
2024-02-21,54.6153
2024-02-20,55.1053
2024-02-16,55.7608
2024-02-15,56.4141
2024-02-14,56.1676
2024-02-13,55.6687
2024-02-12,57.2607
2024-02-09,56.9677
2024-02-08,56.7075
2024-02-07,56.4751
2024-02-06,56.6751
2024-02-05,56.5014
2024-02-02,56.2978
2024-02-01,56.1739
2024-01-31,56.4613
2024-01-30,56.7713
2024-01-29,56.3160
2024-01-26,56.2594
2024-01-25,56.6834
2024-01-24,56.4531
2024-01-23,55.9731
2024-01-22,56.2376
2024-01-19,55.9867
2024-01-18,55.7791
2024-01-17,55.3503
2024-01-16,55.4807
2024-01-12,55.3446
2024-01-11,55.2860
2024-01-10,54.8901
2024-01-09,54.5273
2024-01-08,54.2692
2024-01-05,53.9417
2024-01-04,54.0256
2024-01-03,54.0570
2024-01-02,54.7373
2023-12-29,55.0595
2023-12-28,55.0499
2023-12-27,54.9091
2023-12-26,54.8791
2023-12-22,54.9969
2023-12-21,54.9158
2023-12-20,55.0215
2023-12-19,55.0733
2023-12-18,54.9781
2023-12-15,54.2771
2023-12-14,55.3911
2023-12-13,55.6199
2023-12-12,55.3081
2023-12-11,55.1495
2023-12-08,54.8935
2023-12-07,54.7911
2023-12-06,54.9328
2023-12-05,54.6525
2023-12-04,54.7991
2023-12-01,54.8456
2023-11-30,54.7548
2023-11-29,54.4642
2023-11-28,54.3749
2023-11-27,54.5128
2023-11-24,54.4742
2023-11-22,54.5416
2023-11-21,54.3343
2023-11-20,54.0511
2023-11-17,53.9970
2023-11-16,53.9457
2023-11-15,54.0833
2023-11-14,53.9003
2023-11-13,53.5394
2023-11-10,53.1659
2023-11-09,53.3284
2023-11-08,53.0875
2023-11-07,52.9346
2023-11-06,52.8844
2023-11-03,52.6721
2023-11-02,52.6909
2023-11-01,52.1462
2023-10-31,51.8698
2023-10-30,51.5601
2023-10-27,51.4736
2023-10-26,51.5770
2023-10-25,51.2846
2023-10-24,51.1836
2023-10-23,50.9429
2023-10-20,51.5117
2023-10-19,51.5655
2023-10-18,51.6927
2023-10-17,51.3326
2023-10-16,51.3326
2023-10-13,51.5963
2023-10-12,51.6544
2023-10-11,51.6338
2023-10-10,51.5274
2023-10-09,51.4959
2023-10-06,51.1718
2023-10-05,51.2269
2023-10-04,51.2202
2023-10-03,51.4297
2023-10-02,51.5074
2023-09-29,51.6803
2023-09-28,50.9614
